method,horizon_ps,temperature_K,tp,fp,fn,tn,n,positive,prevalence,accuracy,precision,recall,specificity,false_positive_rate,balanced_accuracy,f1,auroc,average_precision,timing_mae_ps,timing_bias_ps,timing_median_absolute_error_ps,timing_p90_absolute_error_ps,timing_within_0_75_ps,timing_within_1_5_ps,timing_within_3_ps,timed_within_1_5_ps_recall,accuracy_ci95_lower,accuracy_ci95_upper,accuracy_bootstrap_valid,precision_ci95_lower,precision_ci95_upper,precision_bootstrap_valid,recall_ci95_lower,recall_ci95_upper,recall_bootstrap_valid,f1_ci95_lower,f1_ci95_upper,f1_bootstrap_valid,false_positive_rate_ci95_lower,false_positive_rate_ci95_upper,false_positive_rate_bootstrap_valid,timing_mae_ps_ci95_lower,timing_mae_ps_ci95_upper,timing_mae_ps_bootstrap_valid,timing_bias_ps_ci95_lower,timing_bias_ps_ci95_upper,timing_bias_ps_bootstrap_valid,timed_within_1_5_ps_recall_ci95_lower,timed_within_1_5_ps_recall_ci95_upper,timed_within_1_5_ps_recall_bootstrap_valid
ar,9,400,1565,2098,1491,223986,229140,3056,0.013336824648686393,0.9843370864973379,0.42724542724542725,0.512107329842932,0.9907202632649812,0.009279736735018843,0.7514137965539566,0.4658431314183658,0.9058040558188954,0.4253042952638681,2.485782747603834,-1.0068690095846646,2.25,5.25,0.3182108626198083,0.4670926517571885,0.7079872204472843,0.23920157068062828,0.9776375831627312,0.9911425932132726,2000,0.33518005540166207,0.5768194070080862,2000,0.5016779830043465,0.5261757077606893,2000,0.4043879907621247,0.5457833305934572,2000,0.004549741375821817,0.014700486409694324,2000,2.2641982182628064,2.7280978565424476,2000,-1.2420864383445074,-0.8104693140794224,2000,0.21034816247582205,0.2663204747774481,2000
ar,9,450,1943,2088,1866,106996,112893,3809,0.033739913014978785,0.9649756849406075,0.48201438848920863,0.5101076398004726,0.9808587877232224,0.01914121227677753,0.7454832137618475,0.4956632653061224,0.8635551996178801,0.44320647220767534,2.4491765311374163,-1.1321410190427175,2.25,5.25,0.3185795162120432,0.4822439526505404,0.7138445702521874,0.245996324494618,0.9624836554478855,0.9676991111464527,2000,0.40956521739130436,0.5596300116824294,2000,0.4650918635170604,0.5572420890146642,2000,0.4517241379310345,0.5378151260504201,2000,0.015058587464743407,0.02323726196603191,2000,2.251901622718053,2.636459430979979,2000,-1.4778714436248683,-0.7591755319148936,2000,0.21926270917648852,0.2722969606377678,2000
ar,9,500,1721,1606,1450,187182,191959,3171,0.016519152527362614,0.9840799337358498,0.517282837391043,0.5427309996846421,0.9914931033752146,0.008506896624785473,0.7671120515299283,0.5297014465989536,0.8778281344643668,0.46092082379951316,2.473997675769901,-1.3461650203370135,2.25,5.25,0.3207437536316095,0.46891342242882045,0.7024985473561882,0.25449385052034057,0.9726239147079644,0.9921782049922843,2000,0.47244094488188976,0.5781942078364566,2000,0.48073022312373226,0.6111284145438063,2000,0.4932270916334661,0.5557830092118731,2000,0.004206742260550319,0.014138988785183526,2000,2.3613678373382623,2.581095041322314,2000,-1.5643210555250138,-1.0925289264685745,2000,0.22909647779479325,0.2781176746441082,2000
ar,9,510,1871,1823,1702,159400,164796,3573,0.021681351489113813,0.9786099177164495,0.5064970221981592,0.5236495941785614,0.9886926803247675,0.011307319675232443,0.7561711372516644,0.5149305077748727,0.8661303878392774,0.4695591283475533,2.3125334045964725,-1.219802244788883,2.25,5.25,0.3399251737039017,0.4927846071619455,0.7370390165686799,0.2580464595577946,0.9703577435871575,0.9830383458618553,2000,0.4454882571075402,0.5809611264156719,2000,0.4793174767321613,0.5708041958041958,2000,0.4779132258487351,0.5442385397798523,2000,0.009995676724771977,0.013332542754771,2000,2.1550794551645858,2.4792846114256304,2000,-1.5860849056603774,-0.8394097222222222,2000,0.24250634784766606,0.2729059671035512,2000
ar,9,520,590,399,731,80992,82712,1321,0.015971080375278075,0.9863381371505948,0.596562184024267,0.4466313398940197,0.9950977380791488,0.0049022619208512,0.7208645389865842,0.5108225108225108,0.8218847021114541,0.4292387367569098,1.9627118644067796,-0.7016949152542373,1.5,4.5,0.37796610169491524,0.5559322033898305,0.8033898305084746,0.24829674489023468,0.9622296487798726,0.999230722513513,2000,0.0,0.7956403269754768,2000,0.4112676056338028,0.4877250409165303,1930,0.0,0.542246982358403,2000,0.0007692774864870337,0.018756558237145855,2000,1.731164383561644,2.1895973154362416,1930,-1.2483221476510067,-0.14383561643835616,1930,0.24549918166939444,0.2507042253521127,1930
direct,3,400,391,1217,551,226981,229140,942,0.004111023828227285,0.992284193069739,0.2431592039800995,0.4150743099787686,0.9946669120675904,0.005333087932409574,0.7048706110231795,0.30666666666666664,0.9622734807402422,0.16285277441486404,0.809462915601023,-0.2071611253196931,0.75,2.25,0.670076726342711,0.8823529411764706,1.0,0.3662420382165605,0.988054852340203,0.9960571242191661,2000,0.159768580329328,0.43326693227091634,2000,0.3894282927903602,0.43897612958226767,2000,0.22656989586620385,0.4352176088044022,2000,0.002260023985695174,0.008991157687137482,2000,0.7431972789115646,0.8955223880597015,2000,-0.29581743252812964,-0.14771399745114705,2000,0.3281907433380084,0.40049963589427984,2000
direct,3,450,510,1204,650,110529,112893,1160,0.010275216355309895,0.9835773697217719,0.2975495915985998,0.4396551724137931,0.9892243115283756,0.010775688471624318,0.7144397419710844,0.35490605427974947,0.9362295297872978,0.309759695089789,0.8264705882352941,-0.3,0.75,2.25,0.6764705882352942,0.8784313725490196,1.0,0.38620689655172413,0.9795757839906051,0.9878417832782438,2000,0.20827886710239651,0.45610859728506786,2000,0.3802698145025295,0.49594148444363856,2000,0.27770032599137895,0.4405474764756202,2000,0.005682790078874846,0.015466823346328217,2000,0.7784782071999282,0.8678983972984563,2000,-0.4434346341006925,-0.11162790697674418,2000,0.3333333333333333,0.44067864515428073,2000
direct,3,500,433,770,461,190295,191959,894,0.004657244515755969,0.9935871722607432,0.35993349958437243,0.4843400447427293,0.9959699578677413,0.004030042132258656,0.7401550013052354,0.4129709108249881,0.9698116222555884,0.36862761721005977,0.8573903002309469,-0.21651270207852194,0.75,2.25,0.6720554272517321,0.8752886836027713,1.0,0.42393736017897093,0.9875316874242257,0.9972502730148233,2000,0.2892881856345435,0.4625158831003812,2000,0.425414364640884,0.5172413793103449,2000,0.35747883349012227,0.4802804557405784,2000,0.0015720898260265278,0.008529352035349892,2000,0.7880859375,0.9193548387096774,2000,-0.2896825396825397,-0.1345519664380721,2000,0.36343115124153497,0.4599774520856821,2000
direct,3,510,529,693,486,163088,164796,1015,0.006159130075972718,0.9928457001383528,0.4328968903436989,0.5211822660098522,0.995768739963732,0.004231260036267943,0.7584755029867921,0.472954850245865,0.9666859593203624,0.4436926081046901,0.806710775047259,-0.30482041587901704,0.75,2.25,0.6880907372400756,0.8960302457466919,1.0,0.4669950738916256,0.9900129189837992,0.9948589654750744,2000,0.37740104232093563,0.4960698689956332,2000,0.47739515903213586,0.5686173945748095,2000,0.42825011246063877,0.5175626111897613,2000,0.003097180821185358,0.005501205387423113,2000,0.7417582417582418,0.8853982300884956,2000,-0.4500392670157068,-0.17896174863387979,2000,0.43807763401109057,0.4965034965034965,2000
direct,3,520,186,245,203,82078,82712,389,0.004703066060547442,0.994583615436696,0.43155452436194897,0.4781491002570694,0.997023917981609,0.002976082018390972,0.7375865091193392,0.45365853658536587,0.9459348586998851,0.4064343524417085,0.8588709677419355,-0.29435483870967744,0.75,2.25,0.6505376344086021,0.8602150537634409,1.0,0.41131105398457585,0.9815246862980012,0.9999392675668562,2000,0.0,0.7443609022556391,2000,0.45622119815668205,0.5058139534883721,1930,0.0,0.5657142857142857,2000,6.073243314371318e-05,0.013259386753362657,2000,0.8333333333333334,0.8879310344827587,1930,-0.5431034482758621,-0.07575757575757576,1930,0.4055299539170507,0.4186046511627907,1930
direct,6,400,900,1817,1076,225347,229140,1976,0.008623548922056384,0.9873745308544994,0.3312476996687523,0.45546558704453444,0.9920013734570619,0.007998626542938142,0.7237334802507982,0.3835499680375027,0.9432230919757842,0.26283442028341736,1.5625,-0.3541666666666667,1.5,3.75,0.4711111111111111,0.6566666666666666,0.8822222222222222,0.2990890688259109,0.9818531871468175,0.9927005131944776,2000,0.2516652186504489,0.47644925017662987,2000,0.436477007014809,0.4789840853041889,2000,0.32377428307123035,0.46441763112533857,2000,0.0039374356255350955,0.012645973538861582,2000,1.4977064220183487,1.7050264550264551,2000,-0.5775,-0.11812674743709227,2000,0.275626423690205,0.3147025516055044,2000
direct,6,450,1271,2081,1193,108348,112893,2464,0.02182597680989964,0.9709990876316512,0.3791766109785203,0.515827922077922,0.9811553124632116,0.018844687536788345,0.7484916172705669,0.43707015130674004,0.9140990338388667,0.419605892600198,1.6929583005507474,-0.4950826121164437,1.5,3.75,0.43194335169158143,0.6199842643587726,0.8520849724626278,0.3198051948051948,0.9625096160494419,0.9769855680137768,2000,0.2748321418211778,0.5198312236286919,2000,0.46060606060606063,0.5705705705705706,2000,0.36377136749967093,0.5092572454642034,2000,0.011153566951668028,0.029042189485742925,2000,1.5803571428571428,1.8134408602150538,2000,-0.7701492537313432,-0.13565891472868216,2000,0.28741496598639454,0.34937888198757766,2000
direct,6,500,1107,1189,894,188769,191959,2001,0.01042410097989675,0.9891487244672039,0.48214285714285715,0.553223388305847,0.9937407216332032,0.006259278366796871,0.7734820549695252,0.5152431929252967,0.9388558584498694,0.4750821877870776,1.6199186991869918,-0.3489159891598916,1.5,3.75,0.44534778681120146,0.6377597109304426,0.8708220415537489,0.35282358820589704,0.9794367686140926,0.9951514354627298,2000,0.4087237479806139,0.5775991963837268,2000,0.509388541165142,0.5993606557377048,2000,0.4565450643776824,0.5751308248193372,2000,0.002542275582673162,0.012400515637260396,2000,1.4827348066298343,1.7503012048192772,2000,-0.41248964611721833,-0.29635463546354635,2000,0.3136893799877225,0.396969696969697,2000
direct,6,510,1283,1409,980,161124,164796,2263,0.013732129420617006,0.9855032889147795,0.47659732540861816,0.5669465311533363,0.9913309912448549,0.008669008755145109,0.7791387611990956,0.5178607467204843,0.9372445929801579,0.5068912275788451,1.518706157443492,-0.4968823070927514,1.5,3.0,0.4676539360872954,0.6562743569758379,0.9049103663289166,0.37207247017233763,0.9795070109170733,0.9890788438762872,2000,0.4182288063480538,0.5365579302587177,2000,0.542608695652174,0.5961384902751422,2000,0.48006576243321003,0.5517101801254807,2000,0.006705602422669262,0.011553686293913904,2000,1.4063260340632604,1.629976580796253,2000,-0.6947502116850127,-0.3115110759493671,2000,0.3525763358778626,0.3958689262423073,2000
direct,6,520,442,446,409,81415,82712,851,0.010288712641454686,0.9896629267820872,0.49774774774774777,0.5193889541715628,0.9945517401448797,0.005448259855120265,0.7569703471582212,0.5083381253594019,0.912101919175681,0.4747903242037119,1.4864253393665159,-0.24773755656108598,1.5,3.0,0.4751131221719457,0.6719457013574661,0.9027149321266968,0.3490011750881316,0.965571599722555,0.9997570702674251,2000,0.0,0.7712418300653595,2000,0.509719222462203,0.5309278350515464,1930,0.0,0.6137841352405722,2000,0.0002429297325748527,0.023527890892637838,2000,1.347457627118644,1.645631067961165,1930,-0.8956310679611651,0.3177966101694915,1930,0.327319587628866,0.367170626349892,1930
direct,9,400,1399,2064,1657,224020,229140,3056,0.013336824648686393,0.9837610194640831,0.4039849841178169,0.45778795811518325,0.9908706498469595,0.009129350153040464,0.7243293039810714,0.42920693357876977,0.9167362292414876,0.32522079676789994,2.3229092208720514,-0.29324517512508935,1.5,5.25,0.3588277340957827,0.507505360972123,0.7383845604002859,0.23232984293193717,0.9773124982264304,0.9904669932245066,2000,0.31672560625124685,0.5495039899767813,2000,0.446112600536193,0.4722838382896872,2000,0.3748738963458821,0.4989788972089857,2000,0.004611796766501585,0.014305337335001741,2000,2.2291528788881534,2.480769230769231,2000,-0.6303013392857143,0.13832997987927564,2000,0.21775147928994082,0.24192,2000
direct,9,450,1947,2393,1862,106691,112893,3809,0.033739913014978785,0.9623094434553072,0.4486175115207373,0.5111577841953269,0.9780627773092296,0.021937222690770416,0.7446102807522783,0.47785004295005523,0.8843305898434564,0.4559162709959276,2.392526964560863,-0.560477657935285,2.25,5.25,0.33384694401643555,0.49820236260914225,0.7293271700051361,0.2546600157521659,0.9536780229333113,0.9679819553375887,2000,0.34031599502929166,0.5829142770219036,2000,0.46144283759330934,0.5592173017507724,2000,0.41508338096684805,0.5328582739509106,2000,0.013321928703680024,0.033115901547763796,2000,2.247945205479452,2.5184552938938074,2000,-0.9645432692307693,-0.05832895428271151,2000,0.23227187583623227,0.2768729641693811,2000
direct,9,500,1684,1383,1487,187405,191959,3171,0.016519152527362614,0.9850488906485239,0.5490707531790023,0.5310627562283191,0.9926743225204991,0.007325677479500816,0.7618685393744091,0.5399166399487015,0.8990349631031488,0.4861772721462437,2.2206057007125892,-0.34026128266033256,1.5,5.25,0.35391923990498814,0.5190023752969121,0.7517814726840855,0.27562283191422265,0.9722771991158753,0.9930604200294987,2000,0.48147986876723936,0.6231729055258467,2000,0.4824966959715814,0.5821534408956207,2000,0.4889791247531887,0.5877489903171664,2000,0.003218716300204977,0.014132827532508203,2000,2.1594827586206895,2.2874625374625372,2000,-0.5406811731315042,-0.12085582112567464,2000,0.24779030783297776,0.3039077357894073,2000
direct,9,510,1938,1641,1635,159582,164796,3573,0.021681351489113813,0.9801208767203088,0.5414920368818106,0.5424013434089001,0.9898215515156026,0.010178448484397388,0.7661114474622513,0.5419463087248322,0.8995367742342281,0.5134766858955173,2.1428018575851393,-0.5754643962848297,1.5,4.5,0.36171310629514963,0.5325077399380805,0.7781217750257998,0.28883291351805207,0.9717949401508891,0.9842863578335249,2000,0.4856823039784071,0.6103821797165849,2000,0.5107988550611502,0.5770831236507278,2000,0.5135868134501314,0.570968882602546,2000,0.008787994814852403,0.012563232665919487,2000,2.0130932896890346,2.251162667211842,2000,-0.8218921617573639,-0.3328,2000,0.27507082152974505,0.30481586402266286,2000
direct,9,520,626,491,695,80900,82712,1321,0.015971080375278075,0.9856610890801818,0.5604297224709042,0.4738834216502649,0.9939673919720854,0.006032608027914634,0.7339254068111751,0.5135356849876949,0.868628832004863,0.4596971835821983,2.0654952076677318,-0.05511182108626198,1.5,4.5,0.3706070287539936,0.5447284345047924,0.7971246006389776,0.25813777441332325,0.9569960274922756,0.9993116990910379,2000,0.0,0.8092783505154639,2000,0.4422535211267606,0.5106382978723404,1930,0.0,0.5719489981785064,2000,0.0006883009089620827,0.025118048268625393,2000,1.7221337579617835,2.4110576923076925,1930,-0.7091346153846154,0.5947452229299363,1930,0.24058919803600654,0.27323943661971833,1930
persistence,3,400,231,1619,711,226579,229140,942,0.004111023828227285,0.9898315440342149,0.12486486486486487,0.24522292993630573,0.9929052840077477,0.0070947159922523425,0.6190641069720267,0.1654727793696275,0.8706055733921536,0.07141639338783756,0.814935064935065,-0.814935064935065,0.75,2.25,0.645021645021645,0.8181818181818182,1.0,0.20063694267515925,0.9850831132916654,0.9943939399858579,2000,0.08783654838044151,0.19298245614035087,2000,0.2203737175640669,0.27621483375959077,2000,0.12681081592581203,0.21255506607929514,2000,0.003491762977475819,0.011242435659498859,2000,0.7175324675324676,0.9403846153846154,2000,-0.9403846153846154,-0.7175324675324676,2000,0.1760875544425909,0.22250639386189258,2000
persistence,3,450,304,2583,856,109150,112893,1160,0.010275216355309895,0.9695375266845597,0.10529961898164185,0.2620689655172414,0.9768823892672711,0.023117610732728916,0.6194756773922563,0.15023474178403756,0.8309556695657166,0.08542527206067754,0.8856907894736842,-0.8856907894736842,0.75,2.25,0.6217105263157895,0.8223684210526315,1.0,0.21551724137931033,0.9600728959575878,0.9787418693129022,2000,0.06151344885233528,0.1881240147136101,2000,0.19480519480519481,0.33827375762859635,2000,0.09529045262965,0.22998261196484787,2000,0.014000184987429264,0.032832194915850994,2000,0.7754716981132076,0.9925816023738873,2000,-0.9925816023738873,-0.7754716981132076,2000,0.1620658949243099,0.27946163819832004,2000
persistence,3,500,224,1572,670,189493,191959,894,0.004657244515755969,0.9883204225902407,0.12472160356347439,0.2505592841163311,0.9917724334650512,0.008227566534948839,0.6211658587906912,0.16654275092936802,0.8498390541513714,0.09538633693974655,0.8337053571428571,-0.8337053571428571,0.75,2.25,0.6383928571428571,0.8348214285714286,1.0,0.20917225950782997,0.9763268757015204,0.9952418324286788,2000,0.08508158508158509,0.2037037037037037,2000,0.21559636118598385,0.2843045849650587,2000,0.12261495151704724,0.23176621630274694,2000,0.0028438020018379155,0.017735126811886874,2000,0.7640256786317987,0.9008620689655172,2000,-0.9008620689655172,-0.7640256786317988,2000,0.18058317267763824,0.23662676856366804,2000
persistence,3,510,277,1390,738,162391,164796,1015,0.006159130075972718,0.9870870652200296,0.16616676664667065,0.2729064039408867,0.991513057070112,0.008486942929888082,0.6322097305054993,0.20656226696495153,0.8660062008191103,0.1267057863793004,0.8528880866425993,-0.8528880866425993,0.75,2.25,0.631768953068592,0.8339350180505415,1.0,0.22758620689655173,0.9776393931379385,0.9913813236471241,2000,0.12704174228675136,0.23249308134877258,2000,0.24777112084917854,0.29913710450623204,2000,0.17398759372995337,0.24763705103969755,2000,0.005143926856398709,0.015800035580194143,2000,0.7807835820895522,0.9149586005357577,2000,-0.9149586005357577,-0.7807835820895522,2000,0.2116991643454039,0.24448897795591182,2000
persistence,3,520,98,519,291,81804,82712,389,0.004703066060547442,0.9902069832672405,0.15883306320907617,0.2519280205655527,0.9936955650304289,0.00630443496957108,0.6228117927979908,0.19483101391650098,0.8200458242623023,0.09319114458383264,0.9566326530612245,-0.9566326530612245,0.75,2.25,0.5714285714285714,0.7551020408163265,1.0,0.19023136246786632,0.9750299514471278,0.9999392675668562,2000,0.0,0.16083916083916083,2000,0.2119815668202765,0.3023255813953488,1930,0.0,0.208,2000,6.073243314371318e-05,0.017594186268885065,2000,0.8967391304347826,1.0096153846153846,1930,-1.0096153846153846,-0.8967391304347826,1930,0.16589861751152074,0.22093023255813954,1930
persistence,6,400,788,5929,1188,221235,229140,1976,0.008623548922056384,0.9689403857903465,0.1173142772070865,0.39878542510121456,0.9738999137187231,0.02610008628127696,0.6863426694099688,0.1812952950649948,0.7947003485131254,0.08568278079896324,2.013959390862944,-2.013959390862944,1.5,4.5,0.37817258883248733,0.5253807106598984,0.7601522842639594,0.20951417004048584,0.9577876509243682,0.9814117287857265,2000,0.10119331742243437,0.1353557881309036,2000,0.36668262326471995,0.43478260869565216,2000,0.16111387369467928,0.2026815063174339,2000,0.01581104141595112,0.03580238650705626,2000,1.8647859922178989,2.170686456400742,2000,-2.170686456400742,-1.8647859922178989,2000,0.20036877688998156,0.21818181818181817,2000
persistence,6,450,1043,8804,1421,101625,112893,2464,0.02182597680989964,0.9094275110059968,0.10592058494973089,0.42329545454545453,0.9202745655579603,0.07972543444203968,0.6717850100517074,0.1694419624725855,0.7589097858522953,0.10927959989171505,2.1478906999041225,-2.1478906999041225,2.25,4.5,0.3537871524448706,0.4928092042186002,0.7325023969319271,0.2086038961038961,0.877737838485502,0.9405017749972141,2000,0.06782061369000787,0.1792616286818606,2000,0.3332046332046332,0.5099443118536198,2000,0.11390146836832715,0.26461662957717985,2000,0.04948889098751761,0.11168864918225514,2000,1.9838709677419355,2.292105263157895,2000,-2.292105263157895,-1.9838709677419355,2000,0.17581047381546136,0.24025457438345266,2000
persistence,6,500,725,5833,1276,184125,191959,2001,0.01042410097989675,0.962966050041936,0.11055199756023178,0.36231884057971014,0.9692932121837459,0.03070678781625412,0.665806026381728,0.16941231452272462,0.7651466107774085,0.10889221709404416,2.0617241379310345,-2.0617241379310345,1.5,4.5,0.37517241379310345,0.5048275862068966,0.7517241379310344,0.18290854572713644,0.9315607644203437,0.9814191491382764,2000,0.08283940163703077,0.14081733136386015,2000,0.3385490753911807,0.3936902494707949,2000,0.13433068412030544,0.20364333575766355,2000,0.015420632515742327,0.0579687557979888,2000,1.9257322175732217,2.1685855263157894,2000,-2.1685855263157894,-1.9257322175732217,2000,0.17396668723010486,0.19174788146055763,2000
