method,horizon_ps,temperature_K,tp,fp,fn,tn,n,positive,prevalence,accuracy,precision,recall,specificity,false_positive_rate,balanced_accuracy,f1,auroc,average_precision,timing_mae_ps,timing_bias_ps,timing_median_absolute_error_ps,timing_p90_absolute_error_ps,timing_within_0_75_ps,timing_within_1_5_ps,timing_within_3_ps,timed_within_1_5_ps_recall,accuracy_ci95_lower,accuracy_ci95_upper,accuracy_bootstrap_valid,precision_ci95_lower,precision_ci95_upper,precision_bootstrap_valid,recall_ci95_lower,recall_ci95_upper,recall_bootstrap_valid,f1_ci95_lower,f1_ci95_upper,f1_bootstrap_valid,false_positive_rate_ci95_lower,false_positive_rate_ci95_upper,false_positive_rate_bootstrap_valid,timing_mae_ps_ci95_lower,timing_mae_ps_ci95_upper,timing_mae_ps_bootstrap_valid,timing_bias_ps_ci95_lower,timing_bias_ps_ci95_upper,timing_bias_ps_bootstrap_valid,timed_within_1_5_ps_recall_ci95_lower,timed_within_1_5_ps_recall_ci95_upper,timed_within_1_5_ps_recall_bootstrap_valid
ar,3,400,387,985,555,227213,229140,942,0.004111023828227285,0.9932792179453609,0.2820699708454811,0.410828025477707,0.9956835730374499,0.0043164269625500665,0.7032557992575785,0.334485738980121,0.9696675000770832,0.2908969303131773,0.8895348837209303,-0.48643410852713176,0.75,2.25,0.6408268733850129,0.8449612403100775,1.0,0.3471337579617834,0.9896184479939389,0.996598503501423,2000,0.18782606498924545,0.4530938123752495,2000,0.35174953959484345,0.47706422018348627,2000,0.2507462686567164,0.4567219152854512,2000,0.0018847837883739908,0.007282845286056143,2000,0.8660130718954249,0.9236966134598791,2000,-0.5590051978384319,-0.42689295039164493,2000,0.2900232018561485,0.4106989922554777,2000
ar,3,450,467,718,693,111015,112893,1160,0.010275216355309895,0.9875014394160843,0.39409282700421944,0.4025862068965517,0.9935739665094466,0.0064260334905533725,0.6980800867029991,0.3982942430703625,0.9401024247459384,0.34320113575419087,0.8656316916488223,-0.3099571734475375,0.75,2.25,0.6552462526766595,0.8479657387580299,1.0,0.3413793103448276,0.9858221869322578,0.989148371358875,2000,0.31807361931759964,0.46476190476190476,2000,0.36395147313691506,0.43894122948276626,2000,0.3447705663497313,0.446218487394958,2000,0.005085456642550068,0.007874433748584372,2000,0.8254345241022294,0.9025516290933026,2000,-0.43241626794258375,-0.16233766233766234,2000,0.3083778966131907,0.37119341563786007,2000
ar,3,500,448,674,446,190391,191959,894,0.004657244515755969,0.9941654207408874,0.39928698752228164,0.5011185682326622,0.996472404679036,0.0035275953209640697,0.748795486455849,0.4444444444444444,0.973217645399966,0.3980557414382314,0.8588169642857143,-0.35658482142857145,0.75,2.25,0.6540178571428571,0.8415178571428571,1.0,0.4217002237136465,0.9905437477038469,0.9971832851371935,2000,0.3504823151125402,0.4557416267942584,2000,0.44454969349158735,0.5417075564278705,2000,0.4096757591353577,0.483046725189869,2000,0.0016785191109809454,0.005496984293339071,2000,0.8149441340782123,0.9073569482288828,2000,-0.47755741127348644,-0.19814410480349345,2000,0.36893203883495146,0.4560811405721203,2000
ar,3,510,526,752,489,163029,164796,1015,0.006159130075972718,0.9924694774145003,0.41158059467918623,0.5182266009852217,0.9954085028177871,0.004591497182212833,0.7568175519015043,0.4587876144788487,0.9681021812649433,0.4342905376417699,0.8897338403041825,-0.35361216730038025,0.75,2.25,0.6197718631178707,0.8631178707224335,1.0,0.44729064039408867,0.9895992383552785,0.9940637271068826,2000,0.35753317720530836,0.47144006436041835,2000,0.47046186895810954,0.5614723547534535,2000,0.4129839149400218,0.5034782608695653,2000,0.0038294575183525884,0.00597573214122799,2000,0.8328729281767956,0.9495283018867925,2000,-0.5143737166324436,-0.2107329842931937,2000,0.40279162512462613,0.48402255639097747,2000
ar,3,520,182,174,207,82149,82712,389,0.004703066060547442,0.9953936550923687,0.5112359550561798,0.46786632390745503,0.9978863744032652,0.0021136255967348127,0.7328763491553602,0.4885906040268456,0.9470332813748541,0.45508046228538135,0.8406593406593407,-0.26373626373626374,0.75,2.25,0.6318681318681318,0.8626373626373627,1.0,0.40359897172236503,0.986443029194779,0.9999797558556187,2000,0.0,0.6585365853658537,2000,0.43023255813953487,0.4976958525345622,1930,0.0,0.5669291338582677,2000,2.0244144381237727e-05,0.007458405048766495,2000,0.8402777777777778,0.8412162162162162,1930,-0.5574324324324325,-0.0625,1930,0.3546511627906977,0.4423963133640553,1930
ar,6,400,988,1634,988,225530,229140,1976,0.008623548922056384,0.9885572139303482,0.37681159420289856,0.5,0.9928069588491134,0.007193041150886584,0.7464034794245566,0.4297520661157025,0.9424445307469103,0.3982333865027458,1.6624493927125505,-0.6148785425101214,1.5,3.75,0.4402834008097166,0.6234817813765182,0.861336032388664,0.3117408906882591,0.9834484127163095,0.9937969500630045,2000,0.28429546865301053,0.51753964440173,2000,0.4692188308329022,0.5324675324675324,2000,0.3577397532829288,0.516546762589928,2000,0.003615908701980288,0.011317878477037795,2000,1.575554528650647,1.7674342105263159,2000,-0.7759308510638298,-0.4918872758326217,2000,0.28092577813248204,0.34296724470134876,2000
ar,6,450,1214,1428,1250,109001,112893,2464,0.02182597680989964,0.9762784229314484,0.4595003785011355,0.4926948051948052,0.9870686142227132,0.012931385777286763,0.7398817097087592,0.4755189972581277,0.9011106794187439,0.42790906660581873,1.7174629324546953,-0.735172981878089,1.5,3.75,0.4110378912685338,0.6046128500823723,0.8599670510708401,0.29788961038961037,0.9742563292575547,0.9787305707995136,2000,0.39957865168539325,0.51559335763467,2000,0.45313552763361564,0.5285201435979258,2000,0.4382805780940068,0.5089785672909828,2000,0.01054640508687669,0.015515613588186044,2000,1.5921926910299002,1.8594674556213018,2000,-0.9767156862745098,-0.4896179401993355,2000,0.269485903814262,0.3268,2000
ar,6,500,1120,1223,881,188735,191959,2001,0.01042410097989675,0.9890393261060956,0.4780196329492104,0.559720139930035,0.9935617346992494,0.006438265300750692,0.7766409373146421,0.5156537753222836,0.9233903826364123,0.4637514201924833,1.6633928571428571,-0.8598214285714286,1.5,3.75,0.4348214285714286,0.6160714285714286,0.8625,0.3448275862068966,0.9815170341819854,0.994709995921062,2000,0.4349514563106796,0.5290362333241169,2000,0.5022132796780684,0.6194256010667111,2000,0.48467322151532677,0.5452096960369373,2000,0.0030096927323529287,0.010427052492978863,2000,1.5564263322884013,1.7487562189054726,2000,-0.9695613249776186,-0.7466216216216216,2000,0.31839361355490386,0.3705416922034024,2000
ar,6,510,1236,1329,1027,161204,164796,2263,0.013732129420617006,0.9857035364936042,0.4818713450292398,0.5461776403004861,0.99182319898113,0.008176801018870014,0.769000419640808,0.512013256006628,0.9132788925404236,0.4778865525473196,1.579490291262136,-0.8064320388349514,1.5,3.75,0.4457928802588997,0.63915857605178,0.8810679611650486,0.34909412284577995,0.9803455951301089,0.9885005865569829,2000,0.43040227839088646,0.5418994413407822,2000,0.5070724389198457,0.5883416177135111,2000,0.4790249388241211,0.5429787234042553,2000,0.007335333461781949,0.00977696716344903,2000,1.4483163664839467,1.7524813895781637,2000,-1.0564228367528992,-0.530897045527072,2000,0.32838678793681186,0.3683360258481422,2000
ar,6,520,421,294,430,81567,82712,851,0.010288712641454686,0.9912467356610891,0.5888111888111888,0.49471210340775557,0.9964085461941584,0.0035914538058416097,0.745560324800957,0.5376756066411239,0.8750434498099019,0.4830017077304586,1.5498812351543942,-0.5308788598574822,1.5,3.75,0.4489311163895487,0.6603325415676959,0.8859857482185273,0.32667450058754405,0.9747777287344725,0.9997570702674251,2000,0.0,0.7542087542087542,2000,0.4838012958963283,0.5077319587628866,1930,0.0,0.5894736842105263,2000,0.0002429297325748527,0.013509146144399199,2000,1.3392857142857142,1.7893401015228427,1930,-0.9289340101522843,-0.18080357142857142,1930,0.29896907216494845,0.34989200863930886,1930
