method,baseline,horizon_ps,event_f1_difference,ci95_lower,ci95_upper
ar,history_mean,3,0.3297206618809958,0.2864585113625654,0.37115540304157896
direct,history_mean,3,0.3032501820246023,0.25607764953956513,0.3553069096900712
ar,history_mean,6,0.35916735501455,0.3247138481714363,0.39271139791695325
direct,history_mean,6,0.3374283725730194,0.2983402407474162,0.37921377200119183
ar,history_mean,9,0.3500419171817979,0.3166687059366932,0.3805782298583125
direct,history_mean,9,0.3460179075513926,0.30803316642144996,0.38208561660081675
