method,horizon_ps,persistence_frames,threshold,validation_f1,tp,fp,fn,tn,n,positive,prevalence,accuracy,precision,recall,specificity,false_positive_rate,balanced_accuracy,f1,auroc,average_precision,timing_mae_ps,timing_bias_ps,timing_median_absolute_error_ps,timing_p90_absolute_error_ps,timing_within_0_75_ps,timing_within_1_5_ps,timing_within_3_ps,timed_within_1_5_ps_recall,accuracy_ci95_lower,accuracy_ci95_upper,accuracy_bootstrap_valid,precision_ci95_lower,precision_ci95_upper,precision_bootstrap_valid,recall_ci95_lower,recall_ci95_upper,recall_bootstrap_valid,f1_ci95_lower,f1_ci95_upper,f1_bootstrap_valid,false_positive_rate_ci95_lower,false_positive_rate_ci95_upper,false_positive_rate_bootstrap_valid,timing_mae_ps_ci95_lower,timing_mae_ps_ci95_upper,timing_mae_ps_bootstrap_valid,timing_bias_ps_ci95_lower,timing_bias_ps_ci95_upper,timing_bias_ps_bootstrap_valid,timed_within_1_5_ps_recall_ci95_lower,timed_within_1_5_ps_recall_ci95_upper,timed_within_1_5_ps_recall_bootstrap_valid
ar,3,3,0.18267489969730377,0.38986397542781925,2010,3303,2390,773797,781500,4400,0.005630198336532309,0.9927152911068458,0.378317334839074,0.45681818181818185,0.9957495817784069,0.004250418221593103,0.7262838817982944,0.41387830742304127,0.963063488231303,0.368216090732794,0.8727611940298508,-0.36156716417910445,0.75,2.25,0.6407960199004975,0.8512437810945274,1.0,0.38886363636363636,0.9907948816285466,0.9944248904333268,2000,0.32554675342106926,0.43250244846412567,2000,0.42654375819672835,0.48735570840448916,2000,0.3728261538536985,0.4531187625117862,2000,0.003169489225127106,0.005453279536536612,2000,0.8508344138897056,0.8955383893904181,2000,-0.42916404840292505,-0.2839995332766998,2000,0.3605684830776116,0.4162905622330123,2000
ar,3,5,0.25992363691329956,0.38431876606683807,1699,3070,2168,783504,790441,3867,0.004892205743376166,0.9933733194507876,0.3562591738309918,0.4393586759762089,0.9960969978666978,0.0039030021333021432,0.7177278369214534,0.39346919870310326,0.966060942890428,0.34618837259044055,0.872277810476751,-0.29311359623307826,0.75,2.25,0.6409652736904061,0.8522660388463802,1.0,0.3744504784070339,0.9915970578840575,0.9949668208205554,2000,0.3007301783467806,0.4154276711409603,2000,0.41069245435893287,0.46768082348025863,2000,0.3504450653172268,0.43459097115266504,2000,0.0028847845603237484,0.00505114632256232,2000,0.8405793165640244,0.9044008887086203,2000,-0.3644129970988869,-0.2208985212891463,2000,0.34785909229622863,0.399750078651489,2000
ar,3,9,0.2650938928127289,0.3680981595092024,1574,3255,1898,790489,797216,3472,0.0043551559426805286,0.9935362561714768,0.32594740111824394,0.4533410138248848,0.9958991816001129,0.004100818399887117,0.7246200977124988,0.37923141790145765,0.9653399067313534,0.32632331186339303,0.8662642947903431,-0.28875476493011437,0.75,2.25,0.644853875476493,0.8513341804320204,1.0,0.3859447004608295,0.991800790974723,0.9950870276199631,2000,0.2770562353154664,0.37977704520001243,2000,0.42142548698503474,0.48394219815638606,2000,0.3394888045412403,0.4192056765362592,2000,0.0030649603165655475,0.005265030026519338,2000,0.834193283922737,0.9022441954643629,2000,-0.3569757598767522,-0.21428571428571427,2000,0.3562305103089002,0.41394772131554797,2000
ar,6,3,0.08017903566360474,0.4633000897050288,4979,5908,4576,766037,781500,9555,0.012226487523992323,0.9865847728726808,0.4573344355653532,0.5210884353741496,0.9923466050042425,0.0076533949957574695,0.756717520189196,0.48713433127873984,0.9172900582200466,0.4436614444410665,1.64596304478811,-0.7397569793131151,1.5,3.75,0.43402289616388834,0.6242217312713396,0.8682466358706568,0.3252747252747253,0.9831855822985535,0.9896439033765214,2000,0.41315133426115686,0.5020103716710974,2000,0.49907291312980656,0.545354552839568,2000,0.45834794729419154,0.5146715402163112,2000,0.005828191693969457,0.009691888403069884,2000,1.5766470406281734,1.7144871729232352,2000,-0.8488812692244871,-0.6213340553080393,2000,0.30989235838160134,0.34054909616390583,2000
ar,6,5,0.22664295136928558,0.4517699943809702,4069,4899,4509,776964,790441,8578,0.010852169864670481,0.9880977833892726,0.4537243532560214,0.4743529960363721,0.9937341964001366,0.006265803599863403,0.7340435962182543,0.46380941525133934,0.9193786908140885,0.4156027352239412,1.5836814942246251,-0.34652248709756694,1.5,3.75,0.45097075448513146,0.6340624231998034,0.8859670680756943,0.30076941011890884,0.9850796642163391,0.9907852200856404,2000,0.40720530400225907,0.5020760678899481,2000,0.4583117709343354,0.4943658684070116,2000,0.4373641060485386,0.4877462037846764,2000,0.004753989632985457,0.007949016920720897,2000,1.5340976476028294,1.6331885435071616,2000,-0.46393102682706644,-0.22703847403916474,2000,0.2867203662440106,0.31506268748972316,2000
ar,6,9,0.22664295136928558,0.4314586427326145,3761,5466,3882,784107,797216,7643,0.009587113153775138,0.9882741941958014,0.40760810664354613,0.49208426010728773,0.9930772708793234,0.006922729120676619,0.7425807654933055,0.4458802608180202,0.9196776737361358,0.38824212012345527,1.578370114331295,-0.39504121244349905,1.5,3.75,0.4536027652220154,0.6381281574049454,0.8862004785961181,0.31401282219023946,0.9853560113987418,0.9909499043717936,2000,0.3644975300190835,0.45509649934101476,2000,0.4728354229880384,0.5126888834462014,2000,0.41831741885690576,0.4724990165443512,2000,0.005289032578538141,0.008743728111395455,2000,1.5352524216828987,1.6239574810558703,2000,-0.5171822279594369,-0.2659379608334933,2000,0.29784431999345856,0.3299473155498037,2000
ar,9,3,0.00721996882930398,0.48183203942004327,7690,8014,7240,758556,781500,14930,0.01910428662827895,0.9804811260396673,0.48968415690269995,0.5150703281982585,0.989545638363098,0.010454361636902044,0.7523079832806783,0.5020565384866488,0.874125078274015,0.44691742704841253,2.3916124837451234,-1.142847854356307,2.25,5.25,0.32873862158647593,0.48439531859557866,0.7226267880364109,0.24949765572672472,0.9755553946895498,0.9849291067163226,2000,0.4464762637995712,0.5361483799561628,2000,0.49158150533096145,0.5401245464641676,2000,0.47725461326370006,0.5250743395575825,2000,0.007930410413064023,0.013289383485721656,2000,2.289414559693554,2.4841584980257014,2000,-1.3024462412076971,-0.9636110864803787,2000,0.23803670630347165,0.2609201989557562,2000
ar,9,5,0.11985613405704498,0.46460384435067975,6662,7307,6959,769513,790441,13621,0.017232152684387575,0.9819518471334356,0.47691316486505836,0.4890977167608839,0.9905937025308308,0.009406297469169177,0.7398457096458574,0.4829285973178688,0.8762326908235426,0.4212806385868419,2.3222755929150405,-0.8272290603422395,2.25,5.25,0.3392374662263585,0.4978985289702792,0.7379165415791054,0.24352103369796638,0.9773374435310556,0.9860731155327648,2000,0.43258124707422163,0.5232823070829579,2000,0.46837783286923196,0.512023335837701,2000,0.45979051514061026,0.5031185513807662,2000,0.007168539915006073,0.012134073384722329,2000,2.223994617783033,2.4178927366333878,2000,-0.990509586237219,-0.6483796772362596,2000,0.23350473354802492,0.2539945619819164,2000
ar,9,9,0.19068597257137299,0.4474055092889173,5837,7097,6403,777879,797216,12240,0.015353429936177899,0.9830660699233332,0.45129117055821866,0.4768790849673203,0.9909589592548053,0.009041040745194757,0.7339190221110627,0.46373242234051004,0.8759918244825737,0.3970019412468687,2.303837587801953,-0.6966763748500943,1.5,5.25,0.34384101421963337,0.5083090628747644,0.7423333904402947,0.24240196078431372,0.9787329869292978,0.9869459097220582,2000,0.4052935539520386,0.49977643990558296,2000,0.45588728046667304,0.4993986604956571,2000,0.4386767627519851,0.4871002045711061,2000,0.006941817733401261,0.011538685344021254,2000,2.223825153646248,2.382708518693968,2000,-0.8681689197794238,-0.5142337586850816,2000,0.2321783911641442,0.25228765400074893,2000
direct,3,3,-0.13570639491081238,0.351652727996814,2049,4129,2351,772971,781500,4400,0.005630198336532309,0.9917082533589251,0.3316607316283587,0.4656818181818182,0.9946866555140909,0.005313344485909149,0.7301842368479545,0.38740782756664777,0.9600946964822591,0.2725768175595116,0.8275988286969254,-0.26537335285505126,0.75,2.25,0.6749633967789166,0.8814055636896047,1.0,0.41045454545454546,0.9891022919378492,0.9938954426516019,2000,0.27298219744008656,0.4053261079708587,2000,0.4374168043153797,0.4924245289506258,2000,0.3406069062023678,0.43743752595447555,2000,0.0036659615833236105,0.007284650750829894,2000,0.7957817559575673,0.858164640859152,2000,-0.3368319671864107,-0.19300844944193957,2000,0.3851501011702226,0.43457324919795154,2000
