arm,representation,readout,horizon_ps,nll,rows,events,n,sources,prevalence,log_loss,brier,average_precision,threshold,recall,false_positive_rate,precision,missed,detected_timing_mae_ps,timed_within_3ps_recall
A-observed,conditions,linear,all,0.1937261562063339,643,18,,,,,,,,,,,,,
A-observed,conditions,linear,0.75,,,0,643,15,0.0,0.0034230707102988448,1.5648459149857034e-05,,0.005865205079317094,,0.0,,0,,
A-observed,conditions,linear,3.0,,,3,643,15,0.004964157706093189,0.037262429253591224,0.005104675529372302,0.00822528887336152,0.028256928548216823,0.0,0.0,,3,,0.0
A-observed,conditions,linear,6.0,,,7,643,15,0.012423636212083323,0.07025149480601481,0.012427569987694858,0.02252827331872724,0.04470143094658852,0.0,0.0,,7,,0.0
A-observed,conditions,linear,9.0,,,13,643,15,0.02264552139352361,0.1073223917006372,0.02206551026837743,0.04343629998510137,0.05249956995248795,0.0,0.0,,13,,0.0
A-observed,conditions,linear,12.0,,,18,643,15,0.032479084681539046,0.14116681197890818,0.031246888710676896,0.0552561229258037,0.05605084821581841,0.0,0.0,,18,,0.0
A-observed,conditions,mlp,all,0.19233812129893213,643,18,,,,,,,,,,,,,
A-observed,conditions,mlp,0.75,,,0,643,15,0.0,0.00398998232013849,1.8778886206922616e-05,,0.006103778257966042,,0.0,,0,,
A-observed,conditions,mlp,3.0,,,3,643,15,0.004964157706093189,0.038030289883034536,0.005132218138126074,0.008494106077662595,0.029344802722334865,0.0,0.0,,3,,0.0
A-observed,conditions,mlp,6.0,,,7,643,15,0.012423636212083323,0.07140971709867898,0.012492423163006309,0.022916197652444494,0.04731298610568047,0.0,0.0,,7,,0.0
A-observed,conditions,mlp,9.0,,,13,643,15,0.02264552139352361,0.10842722755713421,0.02213963914750345,0.04343629998510137,0.05636731162667275,0.0,0.0,,13,,0.0
A-observed,conditions,mlp,12.0,,,18,643,15,0.032479084681539046,0.14123334982525992,0.031237464838725956,0.058561700136441276,0.06563423573970796,0.0,0.0,,18,,0.0
A-observed,descriptor,linear,all,0.22257830325064,643,18,,,,,,,,,,,,,
A-observed,descriptor,linear,0.75,,,0,643,15,0.0,0.00648631515630461,9.10714766012398e-05,,0.024979140609502792,,0.03794041723252321,0.0,0,,
A-observed,descriptor,linear,3.0,,,3,643,15,0.004964157706093189,0.050876239315547835,0.0060376355654119685,0.005222332835556838,0.06153801456093788,0.0,0.06499504727694201,0.0,3,,0.0
A-observed,descriptor,linear,6.0,,,7,643,15,0.012423636212083323,0.0864867218553886,0.01393114314356998,0.028370183284100178,0.08856838196516037,0.12479338338893939,0.06282532443269705,0.024379006060792387,6,1.8483637206310863,0.14285714285714285
A-observed,descriptor,linear,9.0,,,13,643,15,0.02264552139352361,0.12840573551370152,0.024291666474388143,0.02688249611071955,0.10099935531616211,0.06846332084641778,0.06356520142002348,0.02434802169044369,12,1.6955320574655905,0.07692307692307693
A-observed,descriptor,linear,12.0,,,18,643,15,0.032479084681539046,0.16504058411452258,0.034417665713932184,0.04138490757953078,0.12489224225282669,0.16847630646009057,0.0711203702589673,0.07366423379333052,16,3.811221170309792,0.05555555555555555
A-observed,descriptor,mlp,all,0.19560414962322462,643,18,,,,,,,,,,,,,
A-observed,descriptor,mlp,0.75,,,0,643,15,0.0,0.003912436136415667,1.5247428614729532e-05,,0.003912421874701977,,0.05648351387946239,0.0,0,,
A-observed,descriptor,mlp,3.0,,,3,643,15,0.004964157706093189,0.03777482925707925,0.005100973482043661,0.013519352116959434,0.017714016139507294,0.0,0.022356217567326656,0.0,3,,0.0
A-observed,descriptor,mlp,6.0,,,7,643,15,0.012423636212083323,0.07235650734400183,0.012505864912536425,0.011192800642260118,0.027834197506308556,0.0,0.04010078275061313,0.0,7,,0.0
A-observed,descriptor,mlp,9.0,,,13,643,15,0.02264552139352361,0.11132587479728645,0.022325942958625264,0.020112808646533573,0.036563318222761154,0.0,0.03910164535372908,0.0,13,,0.0
A-observed,descriptor,mlp,12.0,,,18,643,15,0.032479084681539046,0.14507388961924464,0.031564306695760026,0.04772356263944371,0.04434286430478096,0.1207413529630649,0.04016406269037046,0.0916658296007775,17,7.032454595158284,0.0
A-observed,descriptor_pca64,linear,all,0.21409634814895312,643,18,,,,,,,,,,,,,
A-observed,descriptor_pca64,linear,0.75,,,0,643,15,0.0,0.005763277939549515,0.00011972665877300354,,0.01787903904914856,,0.040440371769069464,0.0,0,,
A-observed,descriptor_pca64,linear,3.0,,,3,643,15,0.004964157706093189,0.0470222238442216,0.005826303102721649,0.004977535241047016,0.049473874270915985,0.0,0.0740370907975205,0.0,3,,0.0
