arm,representation,readout,horizon_ps,nll,rows,events,n,sources,prevalence,log_loss,brier,average_precision,threshold,recall,false_positive_rate,precision,missed,detected_timing_mae_ps,timed_within_3ps_recall
A-observed,descriptor_pca64,linear,6.0,,,7,643,15,0.012423636212083323,0.07869486098504724,0.013060372626521766,0.06380149173876395,0.07154826074838638,0.3036638995797525,0.06368747195190289,0.05658729253512762,5,2.619253594369573,0.14285714285714285
A-observed,descriptor_pca64,linear,9.0,,,13,643,15,0.02264552139352361,0.12154423375241817,0.023787542735482062,0.031943390005263396,0.10121029615402222,0.09813075987986548,0.06734939485100472,0.032657428298349105,12,3.721036479284044,0.0
A-observed,descriptor_pca64,linear,12.0,,,18,643,15,0.032479084681539046,0.15687341258292728,0.033390671172538425,0.03618967863917408,0.10691969096660614,0.06842010001240345,0.083345432340306,0.026818781332958445,17,3.6286117924204637,0.0
A-observed,descriptor_pca64,mlp,all,0.2494068416149331,643,18,,,,,,,,,,,,,
A-observed,descriptor_pca64,mlp,0.75,,,0,643,15,0.0,0.004849337453757686,0.00022136567128361572,,0.016274666413664818,,0.0567049513362274,0.0,0,,
A-observed,descriptor_pca64,mlp,3.0,,,3,643,15,0.004964157706093189,0.05716935372066046,0.008565659752512556,0.004128052128260725,0.05739607289433479,0.0,0.07158187253364892,0.0,3,,0.0
A-observed,descriptor_pca64,mlp,6.0,,,7,643,15,0.012423636212083323,0.09003669204930977,0.01608109248416989,0.02809284652720321,0.10455206781625748,0.3036638995797525,0.05100931227630831,0.06967193281578236,5,2.7195343346316196,0.14285714285714285
A-observed,descriptor_pca64,mlp,9.0,,,13,643,15,0.02264552139352361,0.13508901987179925,0.02734529167012922,0.025893405786860568,0.14038090407848358,0.06846332084641778,0.05854852243252308,0.026379227282950023,12,1.4490819432783715,0.07692307692307693
A-observed,descriptor_pca64,mlp,12.0,,,18,643,15,0.032479084681539046,0.1723337433084259,0.03776129737978658,0.032721148844472865,0.13861067593097687,0.04773495349702566,0.08000492265344025,0.0196358911916226,17,0.20861998498253342,0.05555555555555555
A-observed,exported,linear,all,0.2000807139781365,643,18,,,,,,,,,,,,,
A-observed,exported,linear,0.75,,,0,643,15,0.0,0.005215475474165591,0.00013336491628813602,,0.020752836018800735,,0.051563840057953655,0.0,0,,
A-observed,exported,linear,3.0,,,3,643,15,0.004964157706093189,0.03717683624702216,0.005831703711419091,0.02234316709288278,0.06192243844270706,0.0,0.0523741257735788,0.0,3,,0.0
A-observed,exported,linear,6.0,,,7,643,15,0.012423636212083323,0.0693649400802587,0.013419042688035288,0.049215190264003957,0.0895870253443718,0.12479338338893939,0.04473193102751349,0.033905606198292464,6,1.6673730152646664,0.14285714285714285
A-observed,exported,linear,9.0,,,13,643,15,0.02264552139352361,0.112362126398323,0.023296371422606835,0.049521492267571285,0.09078264236450195,0.13692664169283555,0.05836060201808459,0.05155947794278611,11,3.3909772001602074,0.07692307692307693
A-observed,exported,linear,12.0,,,18,643,15,0.032479084681539046,0.14868329770378558,0.034068391031374,0.0723110957311551,0.13685977458953857,0.04773495349702566,0.05015767018230184,0.030958847755786764,17,3.9001254020557283,0.0
A-observed,exported,mlp,all,0.19558486692392574,643,18,,,,,,,,,,,,,
A-observed,exported,mlp,0.75,,,0,643,15,0.0,0.003914535948082803,1.5263762835206152e-05,,0.003913930617272854,,0.05920777105845265,0.0,0,,
A-observed,exported,mlp,3.0,,,3,643,15,0.004964157706093189,0.037775248382279164,0.00510098846725395,0.004628073605542054,0.01770916022360325,0.0,0.04986073987670131,0.0,3,,0.0
A-observed,exported,mlp,6.0,,,7,643,15,0.012423636212083323,0.07235511489028415,0.012505789432088719,0.014084183361341433,0.027820300310850143,0.0,0.048458679090946304,0.0,7,,0.0
A-observed,exported,mlp,9.0,,,13,643,15,0.02264552139352361,0.11132310040648147,0.022325747744850997,0.02427782564856899,0.03655291348695755,0.07359806990989912,0.013577675562629874,0.11158072696534237,12,5.20928422394714,0.0
A-observed,exported,mlp,12.0,,,18,643,15,0.032479084681539046,0.14507565091981758,0.03156445600930125,0.030186291795730298,0.04433251544833183,0.05131507500930259,0.034218300041576236,0.04792909732960972,17,4.031481354142711,0.0
A-observed,initial_exported,linear,all,0.20993033696726995,643,18,,,,,,,,,,,,,
A-observed,initial_exported,linear,0.75,,,0,643,15,0.0,0.007209930972306585,0.0005853098130982068,,0.02930162474513054,,0.05583048401389773,0.0,0,,
A-observed,initial_exported,linear,3.0,,,3,643,15,0.004964157706093189,0.03721692407953717,0.006605485379574731,0.04274511460502982,0.0726444199681282,0.4476534296028881,0.06478142192724512,0.033325638965877674,2,0.505126380010281,0.3333333333333333
A-observed,initial_exported,linear,6.0,,,7,643,15,0.012423636212083323,0.07085587907347789,0.014938428715220685,0.06686331008796732,0.11567351222038269,0.43781678672286234,0.06287850234184839,0.08053820522659044,4,1.382068131076643,0.42857142857142855
A-observed,initial_exported,linear,9.0,,,13,643,15,0.02264552139352361,0.12076505854287928,0.02537606367268969,0.06173721300878045,0.15369467437267303,0.21052471160273467,0.05656560811236509,0.07938843892239747,10,2.8706259319018215,0.07692307692307693
A-observed,initial_exported,linear,12.0,,,18,643,15,0.032479084681539046,0.15459842793203213,0.03529554520347929,0.08736132315330702,0.20677736401557922,0.09546990699405132,0.046823252105873535,0.06406130031053732,16,1.3165973966979068,0.1111111111111111
A-observed,initial_exported,mlp,all,0.1955830611539077,643,18,,,,,,,,,,,,,
A-observed,initial_exported,mlp,0.75,,,0,643,15,0.0,0.003913888886835768,1.5258721018462783e-05,,0.003913315944373608,,0.05062361966458345,0.0,0,,
A-observed,initial_exported,mlp,3.0,,,3,643,15,0.004964157706093189,0.037770624297973676,0.005100827935228731,0.004964663169882346,0.017699062824249268,0.0,0.06909971355159182,0.0,3,,0.0
A-observed,initial_exported,mlp,6.0,,,7,643,15,0.012423636212083323,0.07233732760261294,0.012504829290978308,0.017638874317174376,0.02782115526497364,0.0,0.06816526915140908,0.0,7,,0.0
A-observed,initial_exported,mlp,9.0,,,13,643,15,0.02264552139352361,0.11130919685084889,0.022324769830462807,0.03308463109420223,0.03655514866113663,0.09813075987986548,0.050511115504716826,0.04307509811953632,12,2.212783484943778,0.07692307692307693
A-observed,initial_exported,mlp,12.0,,,18,643,15,0.032479084681539046,0.1450640141178369,0.031563471245972426,0.04002759188258352,0.044328171759843826,0.11304190436831874,0.05994323558453783,0.059536673832737634,16,3.6604544262414667,0.05555555555555555
B-relaxed,conditions,linear,all,0.1937261562063339,643,18,,,,,,,,,,,,,
B-relaxed,conditions,linear,0.75,,,0,643,15,0.0,0.0034230707102988448,1.5648459149857034e-05,,0.005865205079317094,,0.0,,0,,
B-relaxed,conditions,linear,3.0,,,3,643,15,0.004964157706093189,0.037262429253591224,0.005104675529372302,0.00822528887336152,0.028256928548216823,0.0,0.0,,3,,0.0
B-relaxed,conditions,linear,6.0,,,7,643,15,0.012423636212083323,0.07025149480601481,0.012427569987694858,0.02252827331872724,0.04470143094658852,0.0,0.0,,7,,0.0
B-relaxed,conditions,linear,9.0,,,13,643,15,0.02264552139352361,0.1073223917006372,0.02206551026837743,0.04343629998510137,0.05249956995248795,0.0,0.0,,13,,0.0
B-relaxed,conditions,linear,12.0,,,18,643,15,0.032479084681539046,0.14116681197890818,0.031246888710676896,0.0552561229258037,0.05605084821581841,0.0,0.0,,18,,0.0
B-relaxed,conditions,mlp,all,0.19233812129893213,643,18,,,,,,,,,,,,,
B-relaxed,conditions,mlp,0.75,,,0,643,15,0.0,0.00398998232013849,1.8778886206922616e-05,,0.006103778257966042,,0.0,,0,,
B-relaxed,conditions,mlp,3.0,,,3,643,15,0.004964157706093189,0.038030289883034536,0.005132218138126074,0.008494106077662595,0.029344802722334865,0.0,0.0,,3,,0.0
B-relaxed,conditions,mlp,6.0,,,7,643,15,0.012423636212083323,0.07140971709867898,0.012492423163006309,0.022916197652444494,0.04731298610568047,0.0,0.0,,7,,0.0
B-relaxed,conditions,mlp,9.0,,,13,643,15,0.02264552139352361,0.10842722755713421,0.02213963914750345,0.04343629998510137,0.05636731162667275,0.0,0.0,,13,,0.0
B-relaxed,conditions,mlp,12.0,,,18,643,15,0.032479084681539046,0.14123334982525992,0.031237464838725956,0.058561700136441276,0.06563423573970796,0.0,0.0,,18,,0.0
B-relaxed,descriptor,linear,all,0.21559822158498207,643,18,,,,,,,,,,,,,
B-relaxed,descriptor,linear,0.75,,,0,643,15,0.0,0.0048413365030194385,9.79506207638855e-05,,0.021132582798600197,,0.0513079807351001,0.0,0,,
B-relaxed,descriptor,linear,3.0,,,3,643,15,0.004964157706093189,0.044783271628785204,0.00750852007353979,0.014230091959719339,0.07373759150505066,0.0,0.06755587223347737,0.0,3,,0.0
B-relaxed,descriptor,linear,6.0,,,7,643,15,0.012423636212083323,0.0791936835644139,0.014672880263937734,0.1059756099830812,0.09867330640554428,0.16260956017346648,0.07447079527406686,0.026734343326101615,6,0.2972703240324508,0.14285714285714285
B-relaxed,descriptor,linear,9.0,,,13,643,15,0.02264552139352361,0.11345771849335516,0.024178337239003245,0.09351953657967484,0.1276012659072876,0.15767310255538639,0.06313732812227839,0.05469809059744306,11,2.7408006737644337,0.07692307692307693
B-relaxed,descriptor,linear,12.0,,,18,643,15,0.032479084681539046,0.1484530636373648,0.033635128611230115,0.09913023720538783,0.1751791536808014,0.10993504441739242,0.05521601431662534,0.06264935493737209,16,1.215530762112992,0.1111111111111111
B-relaxed,descriptor,mlp,all,0.22701937539801778,643,18,,,,,,,,,,,,,
B-relaxed,descriptor,mlp,0.75,,,0,643,15,0.0,0.0013783975152191037,3.3015180337919506e-05,,0.006956874392926693,,0.028570275414520445,0.0,0,,
B-relaxed,descriptor,mlp,3.0,,,3,643,15,0.004964157706093189,0.03341707150897693,0.005953041780986809,0.016446473929666715,0.04387851804494858,0.0,0.04425423060155784,0.0,3,,0.0
B-relaxed,descriptor,mlp,6.0,,,7,643,15,0.012423636212083323,0.06257796629085867,0.012046238101480663,0.19726108036244092,0.0654531940817833,0.28740294356240587,0.05813556496529947,0.058549709808632035,5,1.395827461542594,0.2857142857142857
B-relaxed,descriptor,mlp,9.0,,,13,643,15,0.02264552139352361,0.10970633135150853,0.02159500886325557,0.14939574447853007,0.07803881913423538,0.22613642340180418,0.061558839403329506,0.0784393914412987,10,2.2095565119970253,0.15384615384615385
B-relaxed,descriptor,mlp,12.0,,,18,643,15,0.032479084681539046,0.1507582282004087,0.03062469889400098,0.16050996913941595,0.09537378698587418,0.278411350877483,0.05640867420068053,0.14213566825225207,14,4.632043275838189,0.05555555555555555
B-relaxed,descriptor_pca64,linear,all,0.2082363262870176,643,18,,,,,,,,,,,,,
B-relaxed,descriptor_pca64,linear,0.75,,,0,643,15,0.0,0.005899686040870886,0.0001321930154530369,,0.017991572618484497,,0.047074907591446946,0.0,0,,
B-relaxed,descriptor_pca64,linear,3.0,,,3,643,15,0.004964157706093189,0.04253901819460337,0.00606206816970358,0.022816248513219558,0.05769782140851021,0.0,0.06828760786840567,0.0,3,,0.0
B-relaxed,descriptor_pca64,linear,6.0,,,7,643,15,0.012423636212083323,0.07678730703560634,0.013780837552320367,0.03954258544640681,0.08300939947366714,0.0,0.05604165690943082,0.0,7,,0.0
B-relaxed,descriptor_pca64,linear,9.0,,,13,643,15,0.02264552139352361,0.11323063928937815,0.023726492982735287,0.054729160492405865,0.10182173550128937,0.0,0.06002912577105869,0.0,13,,0.0
B-relaxed,descriptor_pca64,linear,12.0,,,18,643,15,0.032479084681539046,0.14497171335362474,0.03269438695114473,0.07407444462478904,0.13990455865859985,0.0,0.04518137659481922,0.0,18,,0.0
B-relaxed,descriptor_pca64,mlp,all,0.222040996939338,643,18,,,,,,,,,,,,,
B-relaxed,descriptor_pca64,mlp,0.75,,,0,643,15,0.0,0.0030939546997161395,0.0001509418318331376,,0.015400268137454987,,0.02467758300264339,0.0,0,,
B-relaxed,descriptor_pca64,mlp,3.0,,,3,643,15,0.004964157706093189,0.036549329930360336,0.007414332141026757,0.037893311517486115,0.054218072444200516,0.21660649819494587,0.06299591964635134,0.016864721996122996,2,0.435495325551283,0.3333333333333333
B-relaxed,descriptor_pca64,mlp,6.0,,,7,643,15,0.012423636212083323,0.07940567733798896,0.01626483209323761,0.03967703027186015,0.10407593101263046,0.24915980994321477,0.05670698166618667,0.05237865388317941,5,0.39880315913983644,0.2857142857142857
B-relaxed,descriptor_pca64,mlp,9.0,,,13,643,15,0.02264552139352361,0.11312840184655168,0.02663452473275055,0.05879483453169422,0.12677380442619324,0.04748262574832201,0.05666221017358996,0.019046701054952233,12,0.24160496762705597,0.07692307692307693
B-relaxed,descriptor_pca64,mlp,12.0,,,18,643,15,0.032479084681539046,0.14705491505330456,0.0368161346695879,0.09507092110951028,0.18085877597332,0.15384785296906658,0.05401346985811136,0.08727185816103686,16,4.892946690222469,0.05555555555555555
B-relaxed,exported,linear,all,0.2220106533670724,643,18,,,,,,,,,,,,,
B-relaxed,exported,linear,0.75,,,0,643,15,0.0,0.006784181681170348,0.0004941868100088293,,0.03614015877246857,,0.04083265677308925,0.0,0,,
B-relaxed,exported,linear,3.0,,,3,643,15,0.004964157706093189,0.03975181764835205,0.00761129794528801,0.04208724268110317,0.07676997035741806,0.0,0.0492533647528178,0.0,3,,0.0
B-relaxed,exported,linear,6.0,,,7,643,15,0.012423636212083323,0.0768932615451658,0.01807769860198346,0.05673704300095319,0.1311538964509964,0.24915980994321477,0.04962539108839365,0.05940908543759771,5,0.7950374805031155,0.2857142857142857
B-relaxed,exported,linear,9.0,,,13,643,15,0.02264552139352361,0.12048389059198124,0.02873179413561244,0.053603810989631163,0.1449999362230301,0.13669240745729064,0.04807739903072226,0.061805420352220065,11,0.9292819701120161,0.15384615384615385
B-relaxed,exported,linear,12.0,,,18,643,15,0.032479084681539046,0.16217256625323542,0.04009509790662062,0.05786832472973748,0.19400738179683685,0.06220009092036677,0.047632127804570754,0.041995430437083335,17,0.49058136628272253,0.05555555555555555
B-relaxed,exported,mlp,all,0.19558529533108196,643,18,,,,,,,,,,,,,
B-relaxed,exported,mlp,0.75,,,0,643,15,0.0,0.0039158456213928714,1.5273993155026393e-05,,0.003919756039977074,,0.05432331441874741,0.0,0,,
B-relaxed,exported,mlp,3.0,,,3,643,15,0.004964157706093189,0.03777107596071187,0.005100843458760383,0.013309618153778707,0.017717191949486732,0.21660649819494587,0.0633239880171236,0.01677881539874151,2,0.7071406283619885,0.3333333333333333
B-relaxed,exported,mlp,6.0,,,7,643,15,0.012423636212083323,0.07234324537783184,0.012505148362372044,0.024322055722663053,0.027819661423563957,0.0,0.05055377317337474,0.0,7,,0.0
B-relaxed,exported,mlp,9.0,,,13,643,15,0.02264552139352361,0.11131647623775713,0.02232528165062909,0.02083708560460451,0.03653985634446144,0.0,0.046745196986928896,0.0,13,,0.0
B-relaxed,exported,mlp,12.0,,,18,643,15,0.032479084681539046,0.1450661550910859,0.0315636524209807,0.03490069696818818,0.044324781745672226,0.03207192188081411,0.05471751964743731,0.019296551581259605,17,4.782876747381968,0.0
B-relaxed,initial_exported,linear,all,0.2066428637018353,643,18,,,,,,,,,,,,,
B-relaxed,initial_exported,linear,0.75,,,0,643,15,0.0,0.005928204296488597,0.0003409536821057787,,0.016074780374765396,,0.07326801042617741,0.0,0,,
B-relaxed,initial_exported,linear,3.0,,,3,643,15,0.004964157706093189,0.032985893002314755,0.006165153821434275,0.06336925444472762,0.07859157770872116,0.664259927797834,0.05697858720150622,0.05496438805159406,1,0.7353408101063795,0.6666666666666666
B-relaxed,initial_exported,linear,6.0,,,7,643,15,0.012423636212083323,0.06910617149241163,0.015010665802164003,0.07018414637854767,0.11195933073759079,0.5621832132771377,0.05683085572807133,0.11067107637589273,3,1.0022184853728913,0.5714285714285714
B-relaxed,initial_exported,linear,9.0,,,13,643,15,0.02264552139352361,0.11186998180609498,0.02506869236743846,0.07123456109064367,0.12385237962007523,0.2348231673371561,0.0574252342209633,0.08654746808367203,10,1.0389413801935172,0.23076923076923078
B-relaxed,initial_exported,linear,12.0,,,18,643,15,0.032479084681539046,0.15083094619410137,0.03667428827119851,0.09136362571845731,0.17222435772418976,0.16372669093877187,0.05790437884008297,0.08669012881892411,15,2.321043062863655,0.1111111111111111
B-relaxed,initial_exported,mlp,all,0.19558718282190352,643,18,,,,,,,,,,,,,
B-relaxed,initial_exported,mlp,0.75,,,0,643,15,0.0,0.00391365416025475,1.5256893121608942e-05,,0.003912483807653189,,0.055041274186748916,0.0,0,,
B-relaxed,initial_exported,mlp,3.0,,,3,643,15,0.004964157706093189,0.037772783344301314,0.005100902909954083,0.004425389632427961,0.017704753205180168,0.0,0.03872577810732573,0.0,3,,0.0
B-relaxed,initial_exported,mlp,6.0,,,7,643,15,0.012423636212083323,0.07235059344702736,0.012505545710851598,0.009459612250856154,0.027829647064208984,0.0,0.03697517320036631,0.0,7,,0.0
B-relaxed,initial_exported,mlp,9.0,,,13,643,15,0.02264552139352361,0.11131444893161038,0.02232513937285141,0.022662684473543346,0.03655525669455528,0.0,0.0752444442767647,0.0,13,,0.0
B-relaxed,initial_exported,mlp,12.0,,,18,643,15,0.032479084681539046,0.1450652017695903,0.03156357182575128,0.03462202748275319,0.04433508589863777,0.03207192188081411,0.04942397106933956,0.021319244803837872,17,4.7875650006653485,0.0
C-relaxed-teacher,exported,linear,all,0.2003422780083226,643,18,,,,,,,,,,,,,
C-relaxed-teacher,exported,linear,0.75,,,0,643,15,0.0,0.005321436420316336,0.00014640268921056293,,0.02056971751153469,,0.05164549814206272,0.0,0,,
C-relaxed-teacher,exported,linear,3.0,,,3,643,15,0.004964157706093189,0.03721618579586266,0.005963353051618526,0.024355531940715987,0.06300435215234756,0.0,0.052374125773578806,0.0,3,,0.0
C-relaxed-teacher,exported,linear,6.0,,,7,643,15,0.012423636212083323,0.06982864527916433,0.013787403080481642,0.051727051178737424,0.10325729846954346,0.12479338338893939,0.04316203967151484,0.03509554181850645,6,1.72409938425842,0.14285714285714285
C-relaxed-teacher,exported,linear,9.0,,,13,643,15,0.02264552139352361,0.11310027018329676,0.023628872169742104,0.05231898881978851,0.10795310139656067,0.13692664169283555,0.04509631512368579,0.06572800463193816,11,3.399338385410621,0.07692307692307693
C-relaxed-teacher,exported,linear,12.0,,,18,643,15,0.032479084681539046,0.14994662673470907,0.034681121717854035,0.07501525422442555,0.15095990896224976,0.04773495349702566,0.04865974353351018,0.031881491503446595,17,3.9544032474919844,0.0
C-relaxed-teacher,exported,mlp,all,0.19558695899579012,643,18,,,,,,,,,,,,,
C-relaxed-teacher,exported,mlp,0.75,,,0,643,15,0.0,0.003914088527836577,1.5260283065430727e-05,,0.003914736211299896,,0.06329850044163883,0.0,0,,
C-relaxed-teacher,exported,mlp,3.0,,,3,643,15,0.004964157706093189,0.037774357982435815,0.005100957660997105,0.004769293288364888,0.017713621258735657,0.0,0.038560631117938386,0.0,3,,0.0
C-relaxed-teacher,exported,mlp,6.0,,,7,643,15,0.012423636212083323,0.07235630036653098,0.012505853532441703,0.011293046511172493,0.02782212197780609,0.0,0.04813359808531677,0.0,7,,0.0
C-relaxed-teacher,exported,mlp,9.0,,,13,643,15,0.02264552139352361,0.11132231982339327,0.022325692786411326,0.02289356290581182,0.036547623574733734,0.07359806990989912,0.016321564076475982,0.0945968882602546,12,5.209933168961204,0.0
C-relaxed-teacher,exported,mlp,12.0,,,18,643,15,0.032479084681539046,0.14507273129734669,0.031564208799614926,0.0391296733374767,0.044325072318315506,0.05131507500930259,0.02059677511911453,0.07718022701562163,17,4.0318458661905145,0.0
C-relaxed-teacher,initial_exported,linear,all,0.209930514858085,643,18,,,,,,,,,,,,,
C-relaxed-teacher,initial_exported,linear,0.75,,,0,643,15,0.0,0.007209947915428808,0.0005853104078255581,,0.029301250353455544,,0.05583048401389773,0.0,0,,
C-relaxed-teacher,initial_exported,linear,3.0,,,3,643,15,0.004964157706093189,0.037216868499448455,0.0066054728254836045,0.04274511460502982,0.07264333963394165,0.4476534296028881,0.06478142192724513,0.033325638965877674,2,0.5051216210039248,0.3333333333333333
C-relaxed-teacher,initial_exported,linear,6.0,,,7,643,15,0.012423636212083323,0.07085596045280831,0.014938428252068953,0.06686331008796732,0.11567685008049011,0.43781678672286234,0.06287850234184839,0.08053820522659044,4,1.3820673851640868,0.42857142857142855
C-relaxed-teacher,initial_exported,linear,9.0,,,13,643,15,0.02264552139352361,0.12076522980154471,0.025376081734032063,0.06173721300878045,0.15369677543640137,0.21052471160273467,0.056565608112365114,0.07938843892239746,10,2.8706194741569218,0.07692307692307693
C-relaxed-teacher,initial_exported,linear,12.0,,,18,643,15,0.032479084681539046,0.15459855167001826,0.035295553252080565,0.08735923432491667,0.2067779153585434,0.09546990699405132,0.04682325210587354,0.06406130031053732,16,1.3165960758493154,0.1111111111111111
C-relaxed-teacher,initial_exported,mlp,all,0.1955830612160521,643,18,,,,,,,,,,,,,
C-relaxed-teacher,initial_exported,mlp,0.75,,,0,643,15,0.0,0.003913888874650775,1.5258720923669591e-05,,0.003913315944373608,,0.05062361966458346,0.0,0,,
C-relaxed-teacher,initial_exported,mlp,3.0,,,3,643,15,0.004964157706093189,0.03777062432314195,0.005100827936104345,0.004964663169882346,0.017699062824249268,0.0,0.06909971355159183,0.0,3,,0.0
C-relaxed-teacher,initial_exported,mlp,6.0,,,7,643,15,0.012423636212083323,0.07233732769506819,0.012504829295973819,0.017638874317174376,0.02782115526497364,0.0,0.0681652691514091,0.0,7,,0.0
C-relaxed-teacher,initial_exported,mlp,9.0,,,13,643,15,0.02264552139352361,0.11130919695725658,0.02232476983795044,0.03308463109420223,0.03655514866113663,0.09813075987986548,0.05051111550471685,0.04307509811953631,12,2.212783484943778,0.07692307692307693
C-relaxed-teacher,initial_exported,mlp,12.0,,,18,643,15,0.032479084681539046,0.14506401423032247,0.03156347125549205,0.04002759188258352,0.044328171759843826,0.11304190436831874,0.05994323558453784,0.05953667383273764,16,3.6604544262414667,0.05555555555555555
D-physical-distance,exported,linear,all,0.19568011737304167,643,18,,,,,,,,,,,,,
D-physical-distance,exported,linear,0.75,,,0,643,15,0.0,0.003911708125064444,1.5242277296577326e-05,,0.003940060269087553,,0.05344749100738874,0.0,0,,
D-physical-distance,exported,linear,3.0,,,3,643,15,0.004964157706093189,0.037789645413645684,0.005101492349463371,0.005802039131091938,0.017798203974962234,0.0,0.06604869622905543,0.0,3,,0.0
D-physical-distance,exported,linear,6.0,,,7,643,15,0.012423636212083323,0.07237556951678635,0.012506898543943603,0.009701523026711057,0.027909912168979645,0.0,0.07629602886930402,0.0,7,,0.0
D-physical-distance,exported,linear,9.0,,,13,643,15,0.02264552139352361,0.1113368302550425,0.022326717485215735,0.018792197680863786,0.03665238246321678,0.0,0.059908208440240876,0.0,13,,0.0
D-physical-distance,exported,linear,12.0,,,18,643,15,0.032479084681539046,0.1450977994103682,0.031566335233531,0.025700921368547902,0.044449977576732635,0.0,0.056092458425167455,0.0,18,,0.0
D-physical-distance,exported,mlp,all,0.1955808271111534,643,18,,,,,,,,,,,,,
D-physical-distance,exported,mlp,0.75,,,0,643,15,0.0,0.003912341829637241,1.5246740529431125e-05,,0.003920780029147863,,0.01956848777356611,0.0,0,,
