contrast,arm,representation,target,readout,reference_arm,reference_representation,reference,candidate,change_percent,ci95_lower,ci95_upper,roots,roots_improved
descriptor_control,A-observed,exported,observed_l6,ridge,A-observed,descriptor,0.2894583528169298,0.271597967440777,-6.170278108176996,-9.297278561694183,-2.9548429487647896,15,11
training,A-observed,exported,observed_l6,residual,A-observed,initial_exported,0.26209628656292583,0.271597967440777,3.6252634489615243,1.8783047423278372,5.422629217966523,15,5
descriptor_control,A-observed,exported,observed_l6,residual,A-observed,descriptor,0.29157904549837554,0.271597967440777,-6.8527139950836595,-9.90431614024831,-3.601341143148431,15,13
training,A-observed,exported,observed_radial,ridge,A-observed,initial_exported,0.07303139821560077,0.11261108370991199,54.19543711523287,46.42937913397897,63.502083316149736,15,0
descriptor_control,A-observed,exported,observed_radial,ridge,A-observed,descriptor,1.4561350526039202e-13,0.11261108370991199,77335603938927.67,70883500141658.11,84161547686300.98,15,0
training,A-observed,exported,observed_radial,residual,A-observed,initial_exported,0.07303139821560077,0.11242407554107423,53.93937167843856,46.10109205086435,63.484136621421584,15,0
descriptor_control,A-observed,exported,observed_radial,residual,A-observed,descriptor,1.4561350526039202e-13,0.11242407554107423,77207176174962.12,70865277010565.55,83951379250873.22,15,0
training,A-observed,exported,relaxed_angular,ridge,A-observed,initial_exported,0.8273074317347717,0.8345421898963097,0.8744945209022914,0.15287235670994492,1.6429475538194847,15,5
descriptor_control,A-observed,exported,relaxed_angular,ridge,A-observed,descriptor,0.7926899414923777,0.8345421898963097,5.279775384198482,1.9715781969473152,9.744623376905295,15,4
training,A-observed,exported,relaxed_angular,residual,A-observed,initial_exported,0.8295859158641503,0.8382762825865266,1.0475547566792809,0.22515951653085342,1.8333610674190735,15,5
descriptor_control,A-observed,exported,relaxed_angular,residual,A-observed,descriptor,0.7926899414923777,0.8382762825865266,5.750841370375492,2.5982088838547273,9.894508913779763,15,4
training,A-observed,exported,relaxed_l6,ridge,A-observed,initial_exported,0.23132682083905642,0.23585626176038052,1.958026702176241,1.0734613575974956,2.890574610601237,15,5
descriptor_control,A-observed,exported,relaxed_l6,ridge,A-observed,descriptor,0.2545809886464274,0.23585626176038052,-7.355115943890289,-10.21954097557234,-4.085520173546673,15,13
