contrast,arm,representation,target,readout,reference_arm,reference_representation,reference,candidate,change_percent,ci95_lower,ci95_upper,roots,roots_improved
training,A-observed,exported,current_order,ridge,A-observed,initial_exported,0.42532624232841276,0.41927939792347896,-1.4216955840370638,-2.3477878542940145,-0.4412966167629146,15,11
descriptor_control,A-observed,exported,current_order,ridge,A-observed,descriptor,0.35933296135425036,0.41927939792347896,16.6826990608663,10.614178842150864,22.343494621857122,15,1
training,A-observed,exported,current_order,residual,A-observed,initial_exported,0.4252259895213362,0.41927939792347896,-1.3984544088076922,-2.228235680089738,-0.4369264437022365,15,11
descriptor_control,A-observed,exported,current_order,residual,A-observed,descriptor,0.35933296135425036,0.41927939792347896,16.6826990608663,10.614178842150864,22.343494621857122,15,1
training,A-observed,exported,future_order_12,ridge,A-observed,initial_exported,0.5750711937062234,0.574724514010471,-0.06028465684712048,-0.4356929186160072,0.3644612485164031,15,7
descriptor_control,A-observed,exported,future_order_12,ridge,A-observed,descriptor,0.5922071368684105,0.574724514010471,-2.952112828357256,-4.5609992456350295,-1.2714147141885765,15,11
persistence,A-observed,exported,future_order_12,ridge,A-observed,persistence,0.8955950880579524,0.574724514010471,-35.82763888793441,-39.23929116268396,-32.027296320100504,15,15
training,A-observed,exported,future_order_12,residual,A-observed,initial_exported,0.5750711937062234,0.574724514010471,-0.06028465684712048,-0.4356929186160072,0.3644612485164031,15,7
descriptor_control,A-observed,exported,future_order_12,residual,A-observed,descriptor,0.5922071368684105,0.574724514010471,-2.952112828357256,-4.5609992456350295,-1.2714147141885765,15,11
persistence,A-observed,exported,future_order_12,residual,A-observed,persistence,0.8955950880579524,0.574724514010471,-35.82763888793441,-39.23929116268396,-32.027296320100504,15,15
training,A-observed,exported,future_order_3,ridge,A-observed,initial_exported,0.5643622322833539,0.563453991792868,-0.1609321883236592,-0.3481186315140436,0.03005239246035332,15,10
descriptor_control,A-observed,exported,future_order_3,ridge,A-observed,descriptor,0.5754496781163801,0.563453991792868,-2.084576076708844,-3.434454162126056,-0.4657132494357877,15,10
persistence,A-observed,exported,future_order_3,ridge,A-observed,persistence,0.8318929066854726,0.563453991792868,-32.26844618283272,-35.29731869079942,-28.300759156156584,15,15
training,A-observed,exported,future_order_3,residual,A-observed,initial_exported,0.5643622322833539,0.5658132904533418,0.2571146839711602,-0.3967844494961578,0.9701618212351025,15,6
descriptor_control,A-observed,exported,future_order_3,residual,A-observed,descriptor,0.5754496781163801,0.5658132904533418,-1.6745839001215734,-3.0417685153339327,0.08711327040671168,15,10
persistence,A-observed,exported,future_order_3,residual,A-observed,persistence,0.8318929066854726,0.5658132904533418,-31.98484012711168,-35.13242219648225,-27.82285905448473,15,15
training,A-observed,exported,future_order_9,ridge,A-observed,initial_exported,0.5566632639285749,0.5542073513910244,-0.4411845898035782,-0.7740539612667224,-0.10600046687047775,15,10
descriptor_control,A-observed,exported,future_order_9,ridge,A-observed,descriptor,0.56694166594634,0.5542073513910244,-2.246141943732338,-3.9793746758465054,-0.2572052889011697,15,11
persistence,A-observed,exported,future_order_9,ridge,A-observed,persistence,0.8820290234427766,0.5542073513910244,-37.166767004126854,-39.36974709521697,-34.29062904868343,15,15
training,A-observed,exported,future_order_9,residual,A-observed,initial_exported,0.5526959405795865,0.5542073513910244,0.2734615365282078,-0.190878264761411,0.6863030279793281,15,5
descriptor_control,A-observed,exported,future_order_9,residual,A-observed,descriptor,0.56694166594634,0.5542073513910244,-2.246141943732338,-3.9793746758465054,-0.2572052889011697,15,11
