arm,representation,readout,horizon_ps,nll,rows,events,n,sources,prevalence,log_loss,brier,average_precision,threshold,recall,false_positive_rate,precision,missed,detected_timing_mae_ps,timed_within_3ps_recall
A-observed,conditions,linear,all,0.19372409609937555,643,18,,,,,,,,,,,,,
A-observed,conditions,linear,0.75,,,0,643,15,0.0,0.0034228888148823107,1.5647284003771385e-05,,0.005863259080797435,,0.0,,0,,
A-observed,conditions,linear,3.0,,,3,643,15,0.004964157706093189,0.03726168211056993,0.005104634789832656,0.00822528887336152,0.028251379728317264,0.0,0.0,,3,,0.0
A-observed,conditions,linear,6.0,,,7,643,15,0.012423636212083323,0.07025096476172298,0.012427510921972936,0.02252827331872724,0.04469068720936776,0.0,0.0,,7,,0.0
A-observed,conditions,linear,9.0,,,13,643,15,0.02264552139352361,0.10732193715150551,0.022065485292402848,0.04343629998510137,0.05249159038066865,0.0,0.0,,13,,0.0
A-observed,conditions,linear,12.0,,,18,643,15,0.032479084681539046,0.1411660864144005,0.03124682605547172,0.0552561229258037,0.05604271590709687,0.0,0.0,,18,,0.0
A-observed,conditions,mlp,all,0.19233177530441972,643,18,,,,,,,,,,,,,
A-observed,conditions,mlp,0.75,,,0,643,15,0.0,0.004003587190496233,1.8882846458904867e-05,,0.006103604566305877,,0.0,,0,,
A-observed,conditions,mlp,3.0,,,3,643,15,0.004964157706093189,0.03805365214986431,0.005132990900989824,0.008942134751497726,0.029341392219066623,0.0,0.0,,3,,0.0
A-observed,conditions,mlp,6.0,,,7,643,15,0.012423636212083323,0.07144370603940936,0.012494211299621015,0.022916197652444494,0.04731959849596024,0.0,0.0,,7,,0.0
A-observed,conditions,mlp,9.0,,,13,643,15,0.02264552139352361,0.10845903968201402,0.02214203357562598,0.04343629998510137,0.056451495736837394,0.0,0.0,,13,,0.0
A-observed,conditions,mlp,12.0,,,18,643,15,0.032479084681539046,0.1412452505481952,0.031238286010389762,0.058561700136441276,0.06584770977497102,0.0,0.0,,18,,0.0
A-observed,descriptor,linear,all,0.22257783305879789,643,18,,,,,,,,,,,,,
A-observed,descriptor,linear,0.75,,,0,643,15,0.0,0.006487383901954658,9.107294166565746e-05,,0.025096682831645012,,0.03794041723252321,0.0,0,,
A-observed,descriptor,linear,3.0,,,3,643,15,0.004964157706093189,0.050876673708546656,0.006038396714673362,0.005213852060496014,0.06171272322535515,0.0,0.06499504727694203,0.0,3,,0.0
A-observed,descriptor,linear,6.0,,,7,643,15,0.012423636212083323,0.08648764345414088,0.013931720318059988,0.028363681513402968,0.0885935053229332,0.12479338338893939,0.06282532443269706,0.024379006060792387,6,1.8485235639117668,0.14285714285714285
A-observed,descriptor,linear,9.0,,,13,643,15,0.02264552139352361,0.1284181155960646,0.024293140362591194,0.026882949211303474,0.1009325161576271,0.06846332084641778,0.06356520142002349,0.02434802169044369,12,1.6963375298424213,0.07692307692307693
A-observed,descriptor,linear,12.0,,,18,643,15,0.032479084681539046,0.16505727829659206,0.03442056491352469,0.041365948432308675,0.12487594038248062,0.16847630646009057,0.07004373548014829,0.07471192366927006,16,3.812472770909756,0.05555555555555555
A-observed,descriptor,mlp,all,0.19559800495529914,643,18,,,,,,,,,,,,,
A-observed,descriptor,mlp,0.75,,,0,643,15,0.0,0.003913401680912204,1.5254916679774812e-05,,0.0039057543035596613,,0.0,,0,,
A-observed,descriptor,mlp,3.0,,,3,643,15,0.004964157706093189,0.03777881787235592,0.005101111639588548,0.00496415770609317,0.017676230520009998,0.0,0.0,,3,,0.0
A-observed,descriptor,mlp,6.0,,,7,643,15,0.012423636212083323,0.07235206248666551,0.012505624535516392,0.012423636212083278,0.027796829119324688,0.0,0.0,,7,,0.0
A-observed,descriptor,mlp,9.0,,,13,643,15,0.02264552139352361,0.11131956953968651,0.02232549930691915,0.022645521393523528,0.03653067722916604,0.0,0.0,,13,,0.0
A-observed,descriptor,mlp,12.0,,,18,643,15,0.032479084681539046,0.14507099669010734,0.03156406197200376,0.03247908468153893,0.04430567473173142,0.0,0.0,,18,,0.0
A-observed,descriptor_pca64,linear,all,0.2141009711256257,643,18,,,,,,,,,,,,,
A-observed,descriptor_pca64,linear,0.75,,,0,643,15,0.0,0.005764790865872492,0.00011983008531419997,,0.01791626401245594,,0.040440371769069464,0.0,0,,
