arm,checkpoint,domain,block,population,rows,sources,mse
A-observed,last,observed,radial,T500,192,3,0.2747780809489389
A-observed,last,observed,radial,T510,192,3,0.21791967066625753
A-observed,last,observed,radial,T520,192,3,0.2682153522328008
A-observed,last,observed,l2,all,960,15,0.7789618030627026
A-observed,last,observed,l2,PTM_other,686,15,1.0133580694483142
A-observed,last,observed,l2,PTM_crystalline,274,13,0.27102216879361385
A-observed,last,observed,l2,T400,192,3,0.8354393858462572
A-observed,last,observed,l2,T450,192,3,0.6951001686005231
A-observed,last,observed,l2,T500,192,3,0.7278177137777675
A-observed,last,observed,l2,T510,192,3,0.6727062842837768
A-observed,last,observed,l2,T520,192,3,0.9637454628051879
A-observed,last,observed,l4,all,960,15,0.5429221579358757
A-observed,last,observed,l4,PTM_other,686,15,0.6546693546895167
A-observed,last,observed,l4,PTM_crystalline,274,13,0.3147717745078152
A-observed,last,observed,l4,T400,192,3,0.5728914025239646
A-observed,last,observed,l4,T450,192,3,0.5074234510345074
A-observed,last,observed,l4,T500,192,3,0.5310564835575254
A-observed,last,observed,l4,T510,192,3,0.4419562539163356
A-observed,last,observed,l4,T520,192,3,0.6612831986470458
A-observed,last,observed,block_mean,all,960,15,0.5245016736521696
A-observed,last,observed,block_mean,PTM_other,686,15,0.653564357709724
A-observed,last,observed,block_mean,PTM_crystalline,274,13,0.26396640863253473
A-observed,last,observed,block_mean,T400,192,3,0.5580140860596051
A-observed,last,observed,block_mean,T450,192,3,0.4780014019731122
A-observed,last,observed,block_mean,T500,192,3,0.5112174375681207
A-observed,last,observed,block_mean,T510,192,3,0.4441940842856032
A-observed,last,observed,block_mean,T520,192,3,0.6310813583744068
A-observed,constant,observed,radial,all,960,15,0.977641144581139
A-observed,constant,observed,radial,PTM_other,686,15,1.1234027234651516
A-observed,constant,observed,radial,PTM_crystalline,274,13,0.7069658751506812
A-observed,constant,observed,radial,T400,192,3,0.9510382709559053
A-observed,constant,observed,radial,T450,192,3,0.9211531563196331
A-observed,constant,observed,radial,T500,192,3,1.0718741321470588
A-observed,constant,observed,radial,T510,192,3,0.9085881414357572
A-observed,constant,observed,radial,T520,192,3,1.0355520220473409
A-observed,constant,observed,l2,all,960,15,0.9589257089809204
A-observed,constant,observed,l2,PTM_other,686,15,1.2170788315380492
A-observed,constant,observed,l2,PTM_crystalline,274,13,0.3580430820293406
A-observed,constant,observed,l2,T400,192,3,0.981817600938181
A-observed,constant,observed,l2,T450,192,3,0.8688732167550672
