step,examples_seen,elapsed_seconds,score,present_mse,future_mse,present_blocks.radial,present_blocks.pair,present_blocks.angular,present_blocks.speed,present_blocks.radial_velocity,present_blocks.moments,future_by_horizon.0.75,future_by_horizon.3.0,future_by_horizon.9.0,future_by_horizon.24.0,future_by_horizon.48.0,future_by_horizon.96.0,future_blocks.radial,future_blocks.pair,future_blocks.angular,future_blocks.speed,future_blocks.radial_velocity,future_blocks.moments,validation_seconds,input_wait_seconds,windows
1,8,5.141374479979277,2.235538718290627,0.9444615235552192,1.2910771947354078,0.7527392292395234,0.9468639446422458,1.0029672160744667,1.2408271122258157,0.9309510113671422,0.9817405459471047,1.183587457984686,1.3424150869250298,1.3505456000566483,1.278468046337366,1.1978421919047832,1.393604837357998,1.2157528139650822,1.2281048092991114,1.3234847374260426,1.3770632781088352,1.3174583334475756,1.422896046191454,1.2288562570465729,0.3715849159634672,32
25,200,6.130894879985135,2.032328585162759,0.8621016442775726,1.1702269408851862,0.7101236945018172,0.8900577444583178,0.9663572302088141,1.0495167050976306,0.8026450565084815,0.8779312972910702,1.0342651158571243,1.2149675963446498,1.2086476851254702,1.1773607302457094,1.1071010492742062,1.2790195010602474,1.0779164731502533,1.0932026505470276,1.2353735296055675,1.2816266268491745,1.2383105605840683,1.264266638085246,0.04544914502184838,2.0701962057501078e-05,32
50,400,7.143282679026015,2.043667593970895,0.7439766209572554,1.2996909730136395,0.7103926711715758,0.8848297251388431,0.9357389183714986,0.6085956990136765,0.5495203975588083,0.667513185646385,1.1737932059913874,1.3222998976707458,1.3519670329988003,1.305219842121005,1.2292768862098455,1.415588840842247,1.2079012505710125,1.2422944009304047,1.37407061830163,1.411011889576912,1.3260728511959314,1.3859809692949057,0.045459610992111266,2.0390027202665806e-05,32
75,600,8.151643128017895,2.0345742818899453,0.6998931081034243,1.334681173786521,0.6981938476674259,0.867030477616936,0.9147562044672668,0.43605070339981467,0.49791659391485155,0.6199726676568389,1.2096364367753267,1.3786691445857286,1.3984423484653234,1.3248511347919703,1.264510253444314,1.4319776706397533,1.2321062963455915,1.2835738714784384,1.4084862805902958,1.4644753728061914,1.363211963325739,1.409915341064334,0.04548135300865397,2.1471991203725338e-05,32
100,800,9.167730181012303,1.9911314374767244,0.6791353090666234,1.311996128410101,0.6876632636412978,0.8516833679750562,0.903677717782557,0.37627269444055855,0.47708451794460416,0.5973542090505362,1.184745442122221,1.3492340240627527,1.365098712965846,1.3172353506088257,1.2466731183230877,1.4089900199323893,1.2036522440612316,1.269928239285946,1.3956617899239063,1.4158761780709028,1.3552429135888815,1.3820270616561174,0.04541268094908446,2.1131010726094246e-05,32
125,1000,10.183714282989968,1.9896432226523757,0.6635457118973136,1.326097510755062,0.6758142211474478,0.8453311063349247,0.8921460099518299,0.3230323634343222,0.46015333011746407,0.5907433540560305,1.1905664876103401,1.3527515903115273,1.3855790793895721,1.339533869177103,1.267582044005394,1.4205719586461782,1.2154268585145473,1.2943919450044632,1.4094953034073114,1.4137198366224766,1.3624972980469465,1.4034300949424505,0.04522745299618691,2.1442014258354902e-05,32
150,1200,11.203544727002736,1.9787408146075904,0.6444737310521305,1.33426708355546,0.6532401712611318,0.8228373012971133,0.8681563674472272,0.2993966866051778,0.45668335538357496,0.5793985289055854,1.1974524902179837,1.3625362422317266,1.3744347263127565,1.366019494831562,1.2781200837343931,1.427039422094822,1.2290909178555012,1.2991715427488089,1.4221707917749882,1.4096344206482172,1.3780569564551115,1.40774960629642,0.04547258000820875,2.1020998246967793e-05,32
175,1400,12.223857255012263,1.996139922644943,0.6194074018858373,1.3767325207591057,0.6051155384629965,0.7901471354998648,0.8200382748618722,0.30813889973796904,0.4641865596640855,0.5723701291717589,1.2345816660672426,1.385832903906703,1.4163015112280846,1.4313877262175083,1.3281154427677393,1.4641759786754847,1.2652658335864544,1.344772843644023,1.450288811698556,1.4566538408398628,1.4383007679134607,1.448539599776268,0.04550074297003448,2.673093695193529e-05,32
200,1600,13.22598015400581,2.0395209626294672,0.641358254943043,1.3981627076864243,0.5792316375300288,0.8094588867388666,0.8595376135781407,0.3804494624491781,0.5041568756569177,0.6093410986941308,1.2619790229946375,1.4288001116365194,1.4040918815881014,1.452838245779276,1.3860900234431028,1.4551769066601992,1.2746532838791609,1.377866305410862,1.4700473360717297,1.503585834056139,1.4507415425032377,1.45588768273592,0.045368705003056675,2.025195863097906e-05,32
225,1800,14.240828913985752,1.9731826693750918,0.5493583776988089,1.4238242916762829,0.49888210091739893,0.7247601172421128,0.7392316816840321,0.2472126524662599,0.43611589074134827,0.5250223646871746,1.2771502379328012,1.4331678710877895,1.4466555286198854,1.490275451913476,1.3875167611986399,1.5081798825412989,1.3031778186559677,1.3982060123234987,1.519739292562008,1.4959920980036259,1.4809533413499594,1.4911418911069632,0.045513962977565825,2.2193999029695988e-05,32
