method,dimensions,sources,tracks,lag_ps,rms_jump,ci95_low,ci95_high,p95_jump,standardized_rms_jump,standardized_ci95_low,standardized_ci95_high,rms_acceleration,acceleration_ci95_low,acceleration_ci95_high,roughness,roughness_ci95_low,roughness_ci95_high,increment_cosine,reversal_fraction,jump_075_to_12_ratio,reference_effective_rank,reference_total_variance
mace,128,10,40,0.75,0.7227678255917054,0.696144693734013,0.7486785451361133,1.3366512941972903,0.7215630456538349,0.6979637411410657,0.744414584595737,0.7179039758255722,0.6920349009194108,0.7429302990128556,1.480407503412397,1.476016468469367,1.4846671138118304,-0.3966430849244643,0.7456195244055068,0.9243061910859585,1.8711833163946057,0.0011728492011512897
gatr,128,10,40,0.75,0.6802021627925434,0.6592041073068678,0.7006252861771161,1.0759619296974237,0.6877745567370562,0.6667647108120843,0.708173912477432,0.6737295991329306,0.6535628657982155,0.6934424836012232,1.472851369443276,1.4695502542246257,1.4761524846619267,-0.4502067735236908,0.8897684605757196,0.900492376477978,6.2806854116339474,2.1548602218049202e-05
tda,144,10,40,0.75,0.3707015945049796,0.3694798984611374,0.37192881567393793,0.6553069209033285,3.9043313514954123,1.318908781974025,5.361724184380597,0.3689967032371434,0.3675044683509191,0.37058466068664925,1.485641085097402,1.4817221130738458,1.4893651504997536,-0.42060463213604526,0.7809449311639549,0.9006972033122225,1.1973673694723173,0.017740526989428945
soap,252,10,40,0.75,0.5866125977025614,0.5714430930904079,0.6013995933869276,0.9609662083115565,0.7426404864995414,0.7214667259878829,0.7625763433836792,0.5812605881567315,0.5669461121885828,0.5954747208639725,1.4739064524155108,1.4699910774837666,1.4778472309371349,-0.4412064497594067,0.8505006257822278,0.8935006537844523,2.7636848640666245,0.5831514646940797
bond_order,6,10,40,0.75,0.2775673608951757,0.26170871630616727,0.2930257695641728,0.5476100614625515,0.5173681430475777,0.4830677915130821,0.549531709443296,0.27241847854391443,0.2568942219836197,0.2875819294503807,1.4455616051404099,1.4405637825175215,1.450506781265263,-0.4141650760512757,0.7906445556946184,0.7644074996302267,1.1564179036713185,0.14990141804926052
radial,32,10,40,0.75,0.6609382206150195,0.6444589575551541,0.6775582588767228,1.0408292678664006,0.7493909781225473,0.719667523615989,0.7779819473159546,0.6559280181534973,0.6394427116055728,0.6727361087052117,1.4777768392848765,1.475577672836187,1.479976005733566,-0.45207995882587404,0.8830100125156445,0.9185659253996927,2.9206708920131024,0.017495865737279563
angular,16,10,40,0.75,0.5128290652073649,0.5060581662491993,0.5195117251953195,0.8664275213911159,0.6275144160411625,0.6115923036711527,0.6426332407444001,0.5095376895288742,0.5024433879517436,0.5162631615856461,1.4801058824726576,1.4761637035869655,1.4840480613583498,-0.42973769102365617,0.827628285356696,0.9075238455264519,1.698822839292098,0.0009852776144941649
