method,source,phase,pairs,jump2_mean
tda,970,FCC,1750,0.1382346826334456
tda,970,HCP,0,
tda,970,BCC,0,
tda,971,unclassified,1790,0.1430815830155094
tda,971,FCC,1340,0.13865394508618237
tda,971,HCP,0,
tda,971,BCC,0,
tda,1000,unclassified,2833,0.14563411104745563
tda,1000,FCC,325,0.15117073339782
tda,1000,HCP,0,
tda,1000,BCC,0,
tda,1001,unclassified,1832,0.1503732862712254
tda,1001,FCC,929,0.13660081531095727
tda,1001,HCP,246,0.12504903341242585
tda,1001,BCC,0,
tda,881,unclassified,2259,0.15435416496948948
tda,881,FCC,915,0.13406301544280128
tda,881,HCP,0,
tda,881,BCC,0,
tda,1009,unclassified,1323,0.14984352481328436
tda,1009,FCC,1509,0.13902675183354413
tda,1009,HCP,140,0.14328042553193895
tda,1009,BCC,0,
soap,911,unclassified,2072,0.3655281966908443
soap,911,FCC,1014,0.17852374669744572
soap,911,HCP,0,
soap,911,BCC,0,
soap,913,unclassified,2663,0.3148936657545046
soap,913,FCC,527,0.18345434554578047
soap,913,HCP,0,
soap,913,BCC,0,
soap,938,unclassified,1366,0.3751209362332752
soap,938,FCC,1716,0.21094841944643702
soap,938,HCP,5,0.10530063399468356
soap,938,BCC,0,
soap,942,unclassified,1574,0.37516024852051494
soap,942,FCC,1503,0.20651651519699402
soap,942,HCP,33,0.26673126268923164
soap,942,BCC,0,
soap,970,unclassified,1437,0.3929278800889506
soap,970,FCC,1750,0.22164891792059493
soap,970,HCP,0,
soap,970,BCC,0,
soap,971,unclassified,1790,0.457415212664801
soap,971,FCC,1340,0.23682119726396939
soap,971,HCP,0,
soap,971,BCC,0,
soap,1000,unclassified,2833,0.4419924458747571
soap,1000,FCC,325,0.25117354354465526
soap,1000,HCP,0,
soap,1000,BCC,0,
soap,1001,unclassified,1832,0.4862196668836237
soap,1001,FCC,929,0.24044900388072524
soap,1001,HCP,246,0.24659658583836339
soap,1001,BCC,0,
