method,reference_rows,reference_sources,dimensions,active_standardized_dimensions,independent_pair_rms_scale,total_variance,effective_rank
mace,420,5,128,128,0.04843241065962523,0.0011728492011512897,1.8711833163946057
gatr,420,5,128,128,0.006564846109094896,2.1548602218049202e-05,6.2806854116339474
tda,420,5,144,94,0.1883641525844498,0.017740526989428945,1.1973673694723173
soap,420,5,252,252,1.079955058966881,0.5831514646940797,2.7636848640666245
bond_order,420,5,6,6,0.5475425427293491,0.14990141804926052,1.1564179036713185
radial,420,5,32,26,0.1870607694696008,0.017495865737279563,2.9206708920131024
angular,420,5,16,16,0.04439093633826988,0.0009852776144941649,1.698822839292098
