source_id,population,method,metric,value,samples
860,all,encoder,future/3ps/motion_even,1.2695289850234985,12
861,all,encoder,future/3ps/motion_even,1.150778889656067,12
860,all,persistence,future/3ps/motion_even,1.8739227056503296,12
861,all,persistence,future/3ps/motion_even,2.1267240047454834,12
860,all,encoder,delta/3ps/motion_even,1.9274080991744995,12
861,all,encoder,delta/3ps/motion_even,2.1972568035125732,12
860,all,encoder,future/9ps/motion_even,1.0133494138717651,12
861,all,encoder,future/9ps/motion_even,1.1224526166915894,12
860,all,persistence,future/9ps/motion_even,1.8884997367858887,12
861,all,persistence,future/9ps/motion_even,1.929638385772705,12
860,all,encoder,delta/9ps/motion_even,2.0419552326202393,12
861,all,encoder,delta/9ps/motion_even,2.163362979888916,12
860,all,encoder,present/motion_odd,1.16312837600708,12
861,all,encoder,present/motion_odd,0.7180600166320801,12
860,all,encoder,future/0.75ps/motion_odd,0.9670081734657288,12
861,all,encoder,future/0.75ps/motion_odd,0.9546494483947754,12
860,all,persistence,future/0.75ps/motion_odd,2.923733949661255,12
861,all,persistence,future/0.75ps/motion_odd,1.6014165878295898,12
860,all,encoder,delta/0.75ps/motion_odd,2.9026896953582764,12
861,all,encoder,delta/0.75ps/motion_odd,1.5780938863754272,12
860,all,encoder,future/3ps/motion_odd,1.349107265472412,12
861,all,encoder,future/3ps/motion_odd,0.8869731426239014,12
860,all,persistence,future/3ps/motion_odd,1.9614228010177612,12
861,all,persistence,future/3ps/motion_odd,1.3415521383285522,12
860,all,encoder,delta/3ps/motion_odd,2.0070993900299072,12
861,all,encoder,delta/3ps/motion_odd,1.4414821863174438,12
860,all,encoder,future/9ps/motion_odd,1.2379778623580933,12
861,all,encoder,future/9ps/motion_odd,0.99027019739151,12
860,all,persistence,future/9ps/motion_odd,3.0488369464874268,12
861,all,persistence,future/9ps/motion_odd,1.8574007749557495,12
860,all,encoder,delta/9ps/motion_odd,3.1474177837371826,12
861,all,encoder,delta/9ps/motion_odd,1.8126734495162964,12
860,all,encoder,path/0.75ps/mean_std_qbar6,0.6853330135345459,12
861,all,encoder,path/0.75ps/mean_std_qbar6,0.35253286361694336,12
860,all,encoder,path/3ps/mean_std_qbar6,0.8180842995643616,12
861,all,encoder,path/3ps/mean_std_qbar6,0.27668699622154236,12
860,all,encoder,path/9ps/mean_std_qbar6,1.2360795736312866,12
861,all,encoder,path/9ps/mean_std_qbar6,0.10368611663579941,12
861,low_order,encoder,present/bond_order,0.7249595522880554,12
861,low_order,encoder,future/0.75ps/bond_order,0.8106537461280823,12
861,low_order,persistence,future/0.75ps/bond_order,0.13606156408786774,12
861,low_order,encoder,delta/0.75ps/bond_order,0.16163811087608337,12
861,low_order,encoder,future/3ps/bond_order,0.9697189927101135,12
861,low_order,persistence,future/3ps/bond_order,0.1713465303182602,12
861,low_order,encoder,delta/3ps/bond_order,0.22450463473796844,12
861,low_order,encoder,future/9ps/bond_order,1.2181085348129272,12
861,low_order,persistence,future/9ps/bond_order,0.25968870520591736,12
861,low_order,encoder,delta/9ps/bond_order,0.39010247588157654,12
861,low_order,encoder,present/instantaneous_TDA_H0,1.0968135595321655,12
861,low_order,encoder,future/0.75ps/instantaneous_TDA_H0,1.1528902053833008,12
861,low_order,persistence,future/0.75ps/instantaneous_TDA_H0,0.3428742587566376,12
861,low_order,encoder,delta/0.75ps/instantaneous_TDA_H0,0.3607945740222931,12
861,low_order,encoder,future/3ps/instantaneous_TDA_H0,1.041253924369812,12
861,low_order,persistence,future/3ps/instantaneous_TDA_H0,0.2021111100912094,12
861,low_order,encoder,delta/3ps/instantaneous_TDA_H0,0.2436327189207077,12
861,low_order,encoder,future/9ps/instantaneous_TDA_H0,0.7571251392364502,12
861,low_order,persistence,future/9ps/instantaneous_TDA_H0,0.226069375872612,12
861,low_order,encoder,delta/9ps/instantaneous_TDA_H0,0.45271599292755127,12
861,low_order,encoder,present/instantaneous_TDA_H1,1.0813689231872559,12
861,low_order,encoder,future/0.75ps/instantaneous_TDA_H1,1.0204811096191406,12
861,low_order,persistence,future/0.75ps/instantaneous_TDA_H1,0.13117924332618713,12
861,low_order,encoder,delta/0.75ps/instantaneous_TDA_H1,0.14893563091754913,12
861,low_order,encoder,future/3ps/instantaneous_TDA_H1,1.0231112241744995,12
861,low_order,persistence,future/3ps/instantaneous_TDA_H1,0.2500666379928589,12
861,low_order,encoder,delta/3ps/instantaneous_TDA_H1,0.27750924229621887,12
861,low_order,encoder,future/9ps/instantaneous_TDA_H1,0.717430591583252,12
861,low_order,persistence,future/9ps/instantaneous_TDA_H1,0.24275153875350952,12
861,low_order,encoder,delta/9ps/instantaneous_TDA_H1,0.38912689685821533,12
861,low_order,encoder,present/instantaneous_TDA_H2,1.0693466663360596,12
861,low_order,encoder,future/0.75ps/instantaneous_TDA_H2,0.9904162287712097,12
861,low_order,persistence,future/0.75ps/instantaneous_TDA_H2,0.10962886363267899,12
861,low_order,encoder,delta/0.75ps/instantaneous_TDA_H2,0.12867718935012817,12
861,low_order,encoder,future/3ps/instantaneous_TDA_H2,1.012029767036438,12
861,low_order,persistence,future/3ps/instantaneous_TDA_H2,0.17976708710193634,12
861,low_order,encoder,delta/3ps/instantaneous_TDA_H2,0.21044622361660004,12
861,low_order,encoder,future/9ps/instantaneous_TDA_H2,0.9253984093666077,12
861,low_order,persistence,future/9ps/instantaneous_TDA_H2,0.16877372562885284,12
861,low_order,encoder,delta/9ps/instantaneous_TDA_H2,0.2704735994338989,12
861,low_order,encoder,present/motion_even,0.9357607960700989,12
861,low_order,encoder,future/0.75ps/motion_even,1.0617179870605469,12
861,low_order,persistence,future/0.75ps/motion_even,1.4577542543411255,12
861,low_order,encoder,delta/0.75ps/motion_even,1.4884098768234253,12
861,low_order,encoder,future/3ps/motion_even,1.150778889656067,12
861,low_order,persistence,future/3ps/motion_even,2.1267240047454834,12
861,low_order,encoder,delta/3ps/motion_even,2.1972568035125732,12
861,low_order,encoder,future/9ps/motion_even,1.1224526166915894,12
861,low_order,persistence,future/9ps/motion_even,1.929638385772705,12
861,low_order,encoder,delta/9ps/motion_even,2.163362979888916,12
861,low_order,encoder,present/motion_odd,0.7180600166320801,12
861,low_order,encoder,future/0.75ps/motion_odd,0.9546494483947754,12
861,low_order,persistence,future/0.75ps/motion_odd,1.6014165878295898,12
861,low_order,encoder,delta/0.75ps/motion_odd,1.5780938863754272,12
861,low_order,encoder,future/3ps/motion_odd,0.8869731426239014,12
861,low_order,persistence,future/3ps/motion_odd,1.3415521383285522,12
861,low_order,encoder,delta/3ps/motion_odd,1.4414821863174438,12
861,low_order,encoder,future/9ps/motion_odd,0.99027019739151,12
861,low_order,persistence,future/9ps/motion_odd,1.8574007749557495,12
861,low_order,encoder,delta/9ps/motion_odd,1.8126734495162964,12
861,low_order,encoder,path/0.75ps/mean_std_qbar6,0.35253286361694336,12
861,low_order,encoder,path/3ps/mean_std_qbar6,0.27668699622154236,12
861,low_order,encoder,path/9ps/mean_std_qbar6,0.10368611663579941,12
861,at_risk,encoder,hazard/nll,1.8559366464614868,12
861,at_risk,encoder,hazard/bin0/brier,0.27786344289779663,12
861,at_risk,encoder,hazard/bin1/brier,0.5935491919517517,12
861,at_risk,encoder,hazard/bin2/brier,0.7586854696273804,8
860,all,encoder,temporal/0.75ps/normalized_rms_jump,0.8192831839829418,8
860,all,encoder,temporal/0.75ps/increment_rms,0.002272974932566285,8
860,all,encoder,temporal/0.75ps/increment_p95,0.0032655817572958762,8
860,all,encoder,temporal/0.75ps/covariance_trace,3.848497271974338e-06,8
861,all,encoder,temporal/0.75ps/normalized_rms_jump,0.9458159376779469,8
861,all,encoder,temporal/0.75ps/increment_rms,0.003652501618489623,8
861,all,encoder,temporal/0.75ps/increment_p95,0.005739597557112574,8
861,all,encoder,temporal/0.75ps/covariance_trace,7.456544153683353e-06,8
861,low_order,encoder,temporal/0.75ps/normalized_rms_jump,0.9458159376779469,8
861,low_order,encoder,temporal/0.75ps/increment_rms,0.003652501618489623,8
861,low_order,encoder,temporal/0.75ps/increment_p95,0.005739597557112574,8
861,low_order,encoder,temporal/0.75ps/covariance_trace,7.456544153683353e-06,8
