model,width16,width32,seeds,sources,evidence
snapshot,0.4009,0.4028,3,17,user-reported rounded means; interval endpoints unavailable
history,0.399,0.3946,3,17,user-reported rounded means; interval endpoints unavailable
repeated_anchor,0.3963,0.4056,3,17,user-reported rounded means; interval endpoints unavailable
