cohort,model,val_constant_state_nll_increase,val_embedding_ridge_future_mse,val_embedding_ridge_present_mse,test_constant_state_nll_increase,test_embedding_ridge_future_mse,test_embedding_ridge_present_mse
pilot_seed17,x-H0,2.2696454834658653e-05,0.7185329045585275,0.5841616676818067,2.4999515517265536e-05,0.7584185477633902,0.5898049059934416
pilot_seed17,x-H12,0.0018729332368820906,0.7442892846300375,0.7448668941152089,0.006521677598357201,0.7966453767636897,0.7596240474634574
pilot_seed17,x-H48,0.0035731266252696514,0.7846398032922319,0.8161537511842614,0.015914293006062508,0.7955473228673389,0.7472391445654164
pilot_seed17,xv-H0,-0.000950705842114985,0.8202561447876554,0.6334966053221528,-0.00040307044400833547,0.926993638816185,0.635701067655998
pilot_seed17,xv-H12,-0.0005184041219763458,0.8052673073469764,0.5814172151715482,-0.000629789603408426,0.902381762472256,0.6349586545351621
pilot_seed17,xv-H48,-0.0008258508751168847,0.8048967173827376,0.6289889768885808,-0.0007049309206195176,0.8565035388771606,0.6223247791610206
pilot_seed17,x-H48-repeat,1.511739901616238e-05,0.7164655542940188,0.5985703258402744,0.00016554859757889062,0.757624856037729,0.5918389010859194
pilot_seed17,xv-H48-repeat,-0.00033711030846461654,0.8258437988162741,0.5997897661797374,-0.00043186379480175674,0.9299073476313705,0.6488322645444653
pilot_seed18,xv-H0,-0.0023264174815267324,0.8225662127691729,0.6370676090869203,-0.0004577030776999891,0.932597451744229,0.7052245384438226
pilot_seed18,xv-H12,-0.0006941905594430864,0.8058820808266601,0.5788685642605353,-0.0006466190097853541,0.907112761584516,0.6737128019761979
pilot_seed18,xv-H48,-0.001051172032020986,0.8282328845899155,0.6190771052233096,-0.0007457480533048511,0.8899356214543015,0.6277737165978088
pilot_seed18,xv-H48-repeat,-0.001211001188494265,0.8023707026075759,0.5894375820135705,-0.0007469799602404237,0.899502662388769,0.6129281227665607
original_seed17_12000,xv-H0,-0.0009507397189736366,0.8202559457064068,0.6334940346298629,-0.00040305053698830307,0.9269935354513419,0.6356999416887775
original_seed17_12000,xv-H12,-0.0005183888715691864,0.8052669903879836,0.5814171504821506,-0.0006297780200839043,0.9023812354453777,0.6349583465610266
original_seed17_12000,xv-H48,-0.0008258704328909516,0.8048965403709629,0.6289892224257012,-0.0007049465784803033,0.8565032875090176,0.6223246457992847
original_seed17_12000,xv-H48-repeat,-0.003175145946443081,0.806497215147009,0.6021913193891405,-0.001999561907723546,0.9082071460684383,0.6666889241040663
present1_seed17_12000,xv-H0,-0.0011465626303106546,0.7278893172628872,0.48419039896788324,0.002814732026308775,0.7853234294232097,0.5261322874556515
present1_seed17_12000,xv-H12,0.003254940966144204,0.7363275289088639,0.5083901984289354,0.006598079111427069,0.8089149421291638,0.5624038490949698
present1_seed17_12000,xv-H48,0.009924937970936298,0.7509482799145797,0.5418076273121569,0.03652701899409294,0.7859505132967654,0.5410210104434963
present1_seed17_12000,xv-H48-repeat,-0.001853883033618331,0.7945767708005269,0.5865046426150393,-0.0010689195478335023,0.9255524240324848,0.6630145987081478
