left,right,readout,population,metric,seeds,value,ci95_low,ci95_high,sources
D,C,joint,all,future/0.75ps/block_mean,1,0.00039680933372842155,-0.0040220038287548535,0.0053328755239231765,30
D,C,joint,all,future/3ps/block_mean,1,-0.0020442248425549927,-0.005905126720770365,0.002007435361544289,30
D,C,joint,all,future/9ps/block_mean,1,0.001255745647682078,-0.004090400111551093,0.007029710918044047,30
D,C,joint,all,present/block_mean,1,0.0021001917723980227,-0.0026238590882470166,0.007367174206818968,30
D,C,joint,all,temporal/0.75ps/normalized_rms_jump,1,-0.017152383181766755,-0.04000588257366134,0.006084580199113233,30
D,C,joint,low_order,future/0.75ps/block_mean,1,-0.003767383814442384,-0.007274924045172966,-0.00028718235336389704,17
D,C,joint,low_order,future/3ps/block_mean,1,0.0017980334586372552,-0.004995443679246248,0.00953718816916293,17
D,C,joint,low_order,future/9ps/block_mean,1,-0.0003404415888237089,-0.004936058418916578,0.004042572164268894,17
D,C,joint,low_order,present/block_mean,1,0.0028314219020745303,-0.0012113681355235611,0.007194602962437208,17
D,C,joint,low_order,temporal/0.75ps/normalized_rms_jump,1,-0.01443528869631245,-0.047058215777941496,0.015154470259951636,16
D,C,linear,all,future/0.75ps/block_mean,1,-0.0001812901968757367,-0.004611979173496371,0.00420124518736782,30
D,C,linear,all,future/3ps/block_mean,1,-0.002281413103143378,-0.004860266423266802,0.00047510088938805826,30
D,C,linear,all,future/9ps/block_mean,1,-0.004351086666186661,-0.008957268434783654,0.0003012080873466069,30
D,C,linear,all,present/block_mean,1,0.0018449874491327316,-0.002193404002529051,0.006242191691675942,30
D,C,linear,all,temporal/0.75ps/normalized_rms_jump,1,-0.017152459664014384,-0.04018698349923048,0.0076177573946641045,30
D,C,linear,low_order,future/0.75ps/block_mean,1,-0.0036985051325138974,-0.008346195997414646,0.0008579677819986478,17
D,C,linear,low_order,future/3ps/block_mean,1,-0.0007229347658507965,-0.005186545845194197,0.0036509298500331036,17
D,C,linear,low_order,future/9ps/block_mean,1,-0.008310751368602128,-0.013642971104412698,-0.0029348350769164704,17
D,C,linear,low_order,present/block_mean,1,0.0012492977228819198,-0.001512562564811587,0.0040951980853124615,17
D,C,linear,low_order,temporal/0.75ps/normalized_rms_jump,1,-0.014435342907514484,-0.04353013810982353,0.014671937092069282,16
D,C,nonlinear,all,future/0.75ps/block_mean,1,0.00436048851244979,-0.003652728933634032,0.012429110122741083,30
D,C,nonlinear,all,future/3ps/block_mean,1,0.0018141072864333732,-0.004617931633256389,0.008742601201455619,30
D,C,nonlinear,all,future/9ps/block_mean,1,0.0028535250574350367,-0.004605393425251042,0.011401158240106369,30
D,C,nonlinear,all,present/block_mean,1,-0.003325961819953389,-0.010429632467114263,0.003384288791049691,30
D,C,nonlinear,all,temporal/0.75ps/normalized_rms_jump,1,-0.017152459664014384,-0.03783404306100991,0.005725053652957177,30
D,C,nonlinear,low_order,future/0.75ps/block_mean,1,-0.004544438027283728,-0.017633666023246803,0.007881489313919752,17
D,C,nonlinear,low_order,future/3ps/block_mean,1,0.0136201138078582,0.0010082858906803093,0.028872324056083365,17
D,C,nonlinear,low_order,future/9ps/block_mean,1,0.005625785474537637,-0.004840819318048354,0.015945524213762555,17
D,C,nonlinear,low_order,present/block_mean,1,-0.00790821706109187,-0.017035354947780856,0.0016483780380119313,17
D,C,nonlinear,low_order,temporal/0.75ps/normalized_rms_jump,1,-0.014435342907514484,-0.04457423227903066,0.014023304199543778,16
D,repeated_anchor,joint,all,future/0.75ps/block_mean,1,0.0005617307499051177,-0.004022779205503548,0.006254035400537164,30
D,repeated_anchor,joint,all,future/3ps/block_mean,1,-0.0008339945019947096,-0.0046428320375788475,0.0032689635735005215,30
D,repeated_anchor,joint,all,future/9ps/block_mean,1,0.0023962002454532504,-0.003377916162523126,0.009610336515017687,30
D,repeated_anchor,joint,all,present/block_mean,1,0.002681495911545224,-0.0021714118754284206,0.008210540156707986,30
D,repeated_anchor,joint,all,temporal/0.75ps/normalized_rms_jump,1,0.006572374304816659,-0.018909646076319002,0.0314067296551396,30
D,repeated_anchor,joint,low_order,future/0.75ps/block_mean,1,-0.0025129570972685644,-0.006935143699029493,0.003555713215952424,17
D,repeated_anchor,joint,low_order,future/3ps/block_mean,1,-0.0011016431757632423,-0.0076424724641529955,0.007206288636570741,17
D,repeated_anchor,joint,low_order,future/9ps/block_mean,1,-0.0017676684713246755,-0.006649474484626857,0.003208418410527058,17
