contrast,domain,task,representation,family,step,reference_step,reference_task,reference_representation,probe,reference_probe,reference_rmse,candidate_rmse,change_percent,ci95_lower_percent,ci95_upper_percent,roots,observations,roots_improved
export_vs_pooled,pilot,melt_to_melt,exported,angular,0,0,melt_to_melt,pooled,ridge,ridge,0.9596458948207603,0.9696700362187287,1.044566694034632,0.2801711912995719,1.80250860775788,6,384,2
export_vs_pooled,pilot,melt_to_melt,exported,angular,0,0,melt_to_melt,pooled,residual,residual,0.9596458948207603,0.9698150138429901,1.0596741024072376,0.306665840402931,1.8090724428854177,6,384,2
residual_vs_ridge,pilot,melt_to_melt,exported,angular,0,0,melt_to_melt,exported,residual,ridge,0.9696700362187287,0.9698150138429901,0.014951232774684797,-0.024273602241564607,0.0529155110428281,6,384,2
export_vs_pooled,pilot,melt_to_melt,exported,radial,0,0,melt_to_melt,pooled,ridge,ridge,0.3341813308452569,0.335062144929137,0.26357369564966593,-1.9001237115909397,2.500669697862956,6,384,2
export_vs_pooled,pilot,melt_to_melt,exported,radial,0,0,melt_to_melt,pooled,residual,residual,0.3260900752829054,0.3326650605713578,2.0163095374025497,-0.20167753039288527,4.242574736104966,6,384,1
residual_vs_ridge,pilot,melt_to_melt,exported,radial,0,0,melt_to_melt,exported,residual,ridge,0.335062144929137,0.3326650605713578,-0.715414854843166,-1.0093951728573747,-0.37607578055904867,6,384,5
export_vs_pooled,pilot,melt_to_melt,exported,rich,0,0,melt_to_melt,pooled,ridge,ridge,0.6977309166865928,0.7020008428799966,0.6119731964409736,0.4173961995879161,0.8374863055682358,6,384,0
export_vs_pooled,pilot,melt_to_melt,exported,rich,0,0,melt_to_melt,pooled,residual,residual,0.6977309166865928,0.7020597593399862,0.6204172052387102,0.42989974799410025,0.8513243065185305,6,384,0
residual_vs_ridge,pilot,melt_to_melt,exported,rich,0,0,melt_to_melt,exported,residual,ridge,0.7020008428799966,0.7020597593399862,0.008392648041266604,-0.011526689273566593,0.029345181988449376,6,384,3
residual_vs_ridge,pilot,melt_to_melt,pooled,angular,0,0,melt_to_melt,pooled,residual,ridge,0.9596458948207603,0.9596458948207603,0.0,0.0,0.0,6,384,0
residual_vs_ridge,pilot,melt_to_melt,pooled,radial,0,0,melt_to_melt,pooled,residual,ridge,0.3341813308452569,0.3260900752829054,-2.421217110448992,-3.3394304560026233,-1.507494376823415,6,384,6
residual_vs_ridge,pilot,melt_to_melt,pooled,rich,0,0,melt_to_melt,pooled,residual,ridge,0.6977309166865928,0.6977309166865928,0.0,0.0,0.0,6,384,0
encoder_training,pilot,melt_to_melt,exported,angular,1000,0,melt_to_melt,exported,ridge,ridge,0.9696700362187287,0.9668868282506986,-0.28702629390131573,-1.1510684663500692,0.6975618918649173,6,384,4
export_vs_pooled,pilot,melt_to_melt,exported,angular,1000,1000,melt_to_melt,pooled,ridge,ridge,0.9561211316801362,0.9668868282506986,1.1259762193148504,0.541327212637821,1.684924061597104,6,384,1
encoder_training,pilot,melt_to_melt,exported,angular,1000,0,melt_to_melt,exported,residual,residual,0.9698150138429901,0.9685274082214951,-0.13276816744595132,-0.9991970755097168,0.918624738577023,6,384,4
export_vs_pooled,pilot,melt_to_melt,exported,angular,1000,1000,melt_to_melt,pooled,residual,residual,0.9561211316801362,0.9685274082214951,1.2975632616296195,0.5875681404569288,1.9489086168887004,6,384,1
