domain,input_domain,target_domain,representation,family,probe,target_group,initial_rmse,final_rmse,rmse_change_percent
paired_relaxed,observed,observed,exported,angular,residual,q4,0.9144772173564611,0.9027640860625736,-1.280855451789975
paired_relaxed,observed,observed,exported,angular,residual,q6,0.8902987907638319,0.8684816915863334,-2.4505367640430653
paired_relaxed,observed,observed,exported,angular,residual,w4,0.9128199342433584,0.9122039452693111,-0.06748198094050917
paired_relaxed,observed,observed,exported,angular,residual,w6,1.096430014084102,1.0983826710518123,0.17809225783933513
paired_relaxed,observed,observed,exported,angular,ridge,q4,0.9142079379033444,0.9036395201280332,-1.1560190343073318
paired_relaxed,observed,observed,exported,angular,ridge,q6,0.8909466616715958,0.8689128562965793,-2.473077943148305
paired_relaxed,observed,observed,exported,angular,ridge,w4,0.9125967200480708,0.9123093355098714,-0.031490858106997255
paired_relaxed,observed,observed,exported,angular,ridge,w6,1.0963431728941966,1.0984384518270152,0.19111524426127513
paired_relaxed,observed,observed,exported,radial,residual,nearest_distance,0.3274249604160473,0.3877097455884457,18.41178665664238
paired_relaxed,observed,observed,exported,radial,residual,radial_bin_00,0.0307894051690153,0.0460717294853383,49.63500994069954
paired_relaxed,observed,observed,exported,radial,residual,radial_bin_01,0.0985108103065795,0.1765956845628946,79.26528470662659
paired_relaxed,observed,observed,exported,radial,residual,radial_bin_02,0.0233492143639169,0.0682134183996663,192.14438368890495
paired_relaxed,observed,observed,exported,radial,residual,radial_bin_03,0.003027002920688,0.010088462744281,233.2822269622396
paired_relaxed,observed,observed,exported,radial,residual,radial_bin_04,0.0034380166236882,0.0172147985897508,400.71888748703276
paired_relaxed,observed,observed,exported,radial,residual,radial_bin_05,0.0395198230681657,0.0595301739421132,50.633705620171135
paired_relaxed,observed,observed,exported,radial,residual,radial_bin_06,0.2622070231447855,0.2664846426087539,1.6313901178788726
paired_relaxed,observed,observed,exported,radial,residual,radial_bin_07,0.3802057901432084,0.4134873340476129,8.753560510445846
paired_relaxed,observed,observed,exported,radial,residual,radial_bin_08,0.5812114902241202,0.5781767168720672,-0.5221461383846382
paired_relaxed,observed,observed,exported,radial,residual,radial_bin_09,0.3057417070840905,0.3295698767055312,7.793562039243485
paired_relaxed,observed,observed,exported,radial,residual,radial_bin_10,0.2647376103174029,0.4115072779303325,55.43967381021626
