fit,recipe,family,seed,milestone,representation,material,liquid_order_nmse,liquid_topology_nmse,liquid_order_neighbor_nmse,liquid_order_retrieval_gain,nonbulk_boundary_ap,nonbulk_fault_ap,spatial_auc,liquid_rank,perturbation_p95_001,onset_ap12,onset_brier12,hazard_selected_step,brier_delta,brier_ci_low,brier_ci_high,future_mse_delta,future_ci_low,future_ci_high
gf-mlp-cov1-factor1-s123,gf-mlp-cov1-factor1,geoframe,123,0,encoder,Al,1.0237703528661293,2.0760189390452144,1.968799230167672,-0.12112699364340118,0.20697863908754174,0.36496301517670016,0.5048523103483359,6.163002075958434,0.9276197988100358,0.1167385917608636,0.03184655093360152,128,0.00028247791402631026,-0.0014778360167127902,0.0021324423944465015,0.07220147450764974,0.05641532162825267,0.08974853952725728
gf-mlp-cov1-factor1-s123,gf-mlp-cov1-factor1,geoframe,123,0,encoder,Ta,0.9557662065903854,2.275677591436063,1.9311032383434157,-0.4117648149801196,0.42836841077741444,,0.4947439686372548,6.097078167739357,0.8724553080303533,,,,,,,,,
gf-mlp-cov1-factor1-s123,gf-mlp-cov1-factor1,geoframe,123,0,encoder,Zr,1.02466562566707,1.4121326669471,1.960914774264456,-0.1998549620681497,0.1921340342283094,,0.5084334082375449,5.99363473853802,0.8214320294179371,,,,,,,,,
gf-mlp-cov1-factor1-s123,gf-mlp-cov1-factor1,geoframe,123,0,projector,Al,1.0115314296724287,2.010296829869069,1.9557991575799123,-0.10812692105564141,0.18512613685022716,0.25727598400457113,0.5049603104802921,5.561386820693745,0.9637855921204811,0.0980770496981627,0.031913146135668105,128,0.00034907311609290795,-0.0022833819117351367,0.002998297201071471,0.036403461297353105,0.025824273626009624,0.04760178486506144
gf-mlp-cov1-factor1-s123,gf-mlp-cov1-factor1,geoframe,123,0,projector,Ta,0.9520102959054754,2.216535629790718,1.9361411029956939,-0.41680267963239764,0.3341516518139569,,0.49925557749483246,5.511074787727047,0.8934737396179863,,,,,,,,,
gf-mlp-cov1-factor1-s123,gf-mlp-cov1-factor1,geoframe,123,0,projector,Zr,1.0070203099169999,1.332964437747014,1.9682877311032143,-0.2072279189069081,0.11534924235589489,,0.5040087474475462,5.43351938817855,0.8206286818246303,,,,,,,,,
gf-mlp-cov1-factor1-s123,gf-mlp-cov1-factor1,geoframe,123,12,encoder,Al,0.8270375653768651,2.1228946018324897,1.6612123857793548,0.18645985074491614,0.5505589697744969,0.8302050250757633,0.4959526672330328,5.615234384947109,0.34211076487146075,0.07913186208898422,0.0372365841075264,128,0.005672511087951198,-0.0008510503234975591,0.013028931103232732,0.07025121450424195,0.0528986739118894,0.08906235416730245
gf-mlp-cov1-factor1-s123,gf-mlp-cov1-factor1,geoframe,123,12,encoder,Ta,0.7414365426596308,2.2439040965566286,1.568418080720441,-0.049079657357144736,0.9514515278024822,,0.504036999875707,5.541077600820766,0.402970571628219,,,,,,,,,
gf-mlp-cov1-factor1-s123,gf-mlp-cov1-factor1,geoframe,123,12,encoder,Zr,0.8198787017541531,1.4590983918150504,1.6634452789241438,0.09761453327216214,0.7912942615746501,,0.49920411876331466,6.864632701217424,0.36231979440498563,,,,,,,,,
gf-mlp-cov1-factor1-s123,gf-mlp-cov1-factor1,geoframe,123,12,projector,Al,0.8415012038909913,1.9231287057497706,1.7093709946731972,0.13830124185107354,0.6070066197714338,0.8155621224629959,0.4938667691922851,1.216374863143572,0.25344892764770427,0.07769773568143536,0.040742668732455876,128,0.009178595712880683,0.0013029133629165386,0.018142010507944454,0.008388646443684896,-0.0006088908513387045,0.017226793368657425
gf-mlp-cov1-factor1-s123,gf-mlp-cov1-factor1,geoframe,123,12,projector,Ta,0.811835630790628,2.11570030571194,1.7245892383290429,-0.20525081496574668,0.9117454477678164,,0.5156304674158364,1.4382042536004693,0.4116989556817163,,,,,,,,,
gf-mlp-cov1-factor1-s123,gf-mlp-cov1-factor1,geoframe,123,12,projector,Zr,0.8619976526675358,1.2671723248147864,1.7516740258649417,0.009385786331364443,0.7657740303044385,,0.49109823720804296,1.4660347469117572,0.31627188729149225,,,,,,,,,
gf-mlp-cov1-factor1-s123,gf-mlp-cov1-factor1,geoframe,123,24,encoder,Al,0.7996567413809399,2.12965925383085,1.651658633639249,0.19601360288502181,0.5930298474950786,0.8787330447603368,0.49196672508937334,8.228847338475452,0.3240919326593327,0.1268189425806231,0.038383577370198575,128,0.0068195043506233755,-0.005682550550300175,0.01905939083071753,0.05294302304585775,0.03370588978131612,0.07207008004188536
gf-mlp-cov1-factor1-s123,gf-mlp-cov1-factor1,geoframe,123,24,encoder,Ta,0.7056379190778622,2.2579779985733546,1.5647708233544746,-0.04543239999117832,0.940031912889566,,0.5017991633075963,7.517964305424511,0.40418533013242913,,,,,,,,,
gf-mlp-cov1-factor1-s123,gf-mlp-cov1-factor1,geoframe,123,24,encoder,Zr,0.800067972589925,1.4451823314938075,1.6603054827262278,0.1007543294700785,0.7725552653504127,,0.491556014598868,10.707468224918733,0.36225767549300775,,,,,,,,,
gf-mlp-cov1-factor1-s123,gf-mlp-cov1-factor1,geoframe,123,24,projector,Al,0.852062689866377,1.8908210023713279,1.725592950527295,0.12207928599697578,0.6548150180110627,0.8537262250236795,0.49909229773916364,2.146629285244929,0.25301346912198225,0.03247908468153893,0.03156406197200376,0,-1.1047571428212758e-08,-0.001348686723817874,0.0010607776571129243,0.011164085070292155,-0.004169031381607056,0.02593736469745635
gf-mlp-cov1-factor1-s123,gf-mlp-cov1-factor1,geoframe,123,24,projector,Ta,0.8083151608295734,2.10337321260992,1.7599354071611593,-0.24059698379786312,0.9321047924271268,,0.5133083037892469,1.9144605052298769,0.3605453923127577,,,,,,,,,
gf-mlp-cov1-factor1-s123,gf-mlp-cov1-factor1,geoframe,123,24,projector,Zr,0.8552367158489699,1.2543461043953485,1.7684158233070058,-0.00735601111069976,0.7892840910734114,,0.48408284501670695,2.5088467920730104,0.3016831675518621,,,,,,,,,
gf-mlp-cov1-factor1-s123,gf-mlp-cov1-factor1,geoframe,123,35,encoder,Al,0.7867383716416283,2.128371403801472,1.6167808374001105,0.23089139912416035,0.6255970849868385,0.9054263127220672,0.495391526331781,9.689139663288126,0.28689087697931154,0.19212867227050606,0.03404179583223404,128,0.00247772281265884,-0.007667120270225082,0.010712014233049637,0.054559044043223065,0.03283639540274938,0.07646225700775781
gf-mlp-cov1-factor1-s123,gf-mlp-cov1-factor1,geoframe,123,35,encoder,Ta,0.6963745829021041,2.249759565030002,1.526960228380557,-0.007621805017260878,0.9676044636807286,,0.5030995702144236,9.503888576909723,0.43719886279513204,,,,,,,,,
gf-mlp-cov1-factor1-s123,gf-mlp-cov1-factor1,geoframe,123,35,encoder,Zr,0.7795829623445503,1.4554087006638419,1.641462328830502,0.1195974833658043,0.751388554581776,,0.5093279074000544,12.35388609761317,0.35640461422814185,,,,,,,,,
gf-mlp-cov1-factor1-s123,gf-mlp-cov1-factor1,geoframe,123,35,projector,Al,0.8474864981236401,1.8636419743776187,1.717849359667542,0.1298228768567291,0.6391797032469855,0.8738721001921923,0.5024281749038508,2.3636583853147375,0.302191928452417,0.1453980071128892,0.03728776380013999,128,0.005723690780564802,-0.004430510180254954,0.015165631603060446,0.008747494220733643,-0.002541861633459727,0.01937682271003721
gf-mlp-cov1-factor1-s123,gf-mlp-cov1-factor1,geoframe,123,35,projector,Ta,0.8176167393248668,2.0821627120073862,1.7400585387074106,-0.2207201153441145,0.9532074701463062,,0.5028644568927263,2.525015068165535,0.41467146283326217,,,,,,,,,
