campaign,name,mode,history_ps,radius_A,aggregation,equivariant,selection_nll,test_nll,ap9,auroc9,ap96,brier96,sources,eligible_windows,updates,samples,complete_epochs,partial_epoch_updates,selected_step
initial,frozen-H0-R0-linear-persistence,frozen,0,0,linear,False,,11.025744129925116,0.031243024276516953,0.5,0.3675248043307495,0.367524804330415,,,,,,,
initial,frozen-H0-R0-linear-condition,frozen,0,0,linear,False,1.1239321763316792,1.1416781901943167,0.03761950755050181,0.5772744080548023,0.37345747530537426,0.24041688917946866,,,,,,,
initial,frozen-H0-R0-mlp-descriptor,frozen,0,0,mlp,False,1.0556441931131606,1.116952999323127,0.2003267672410834,0.8432166272299177,0.4588306909157266,0.24414949044549564,,,,,,,
initial,frozen-H0-R0-linear,frozen,0,0,linear,False,1.0992917813671133,1.1283450222307772,0.08439252638284586,0.7596821079120444,0.39563042283587646,0.24144007258513409,,,,,,,
initial,frozen-H0-R0-mlp,frozen,0,0,mlp,False,1.0529932247009128,1.120262528789381,0.19074168506754913,0.814151894723707,0.4640041435308705,0.24287834214683587,,,,,,,
initial,frozen-H0-R25-mean,frozen,0,25,mean,False,1.0321785660926253,1.0963664919127825,0.24497362073393283,0.8918948381193662,0.49160672475503975,0.24133754431732038,,,,,,,
initial,frozen-H0-R25-attention,frozen,0,25,attention,False,0.9686800523195416,1.012124567241705,0.4231838167042695,0.9390092731623066,0.5951567148845301,0.21738456535971398,,,,,,,
initial,frozen-H3-R0-mlp,frozen,3,0,mlp,False,1.0524609225569295,1.1180727994413204,0.22574164818770426,0.8201937734609448,0.47368040004019263,0.24255125196171987,,,,,,,
initial,frozen-H3-R25-mean,frozen,3,25,mean,False,1.0298979767132548,1.093680354411866,0.30246369720322,0.8891361786956512,0.4996258635707974,0.24039360715194533,,,,,,,
initial,frozen-H3-R25-attention,frozen,3,25,attention,False,0.9500157699144136,0.9811353949201377,0.5014279644002396,0.9555163532568873,0.6210073631634045,0.21059464973404843,,,,,,,
