campaign,name,mode,history_ps,radius_A,aggregation,equivariant,selection_nll,test_nll,ap9,auroc9,ap96,brier96,sources,eligible_windows,updates,samples,complete_epochs,partial_epoch_updates,selected_step
initial,frozen-H12-R0-mlp,frozen,12,0,mlp,False,1.0440311374220377,1.1134707778390998,0.2893903720751145,0.82303304601461,0.48286364006167515,0.24154584525265893,,,,,,,
initial,frozen-H12-R25-mean,frozen,12,25,mean,False,1.0194046017636234,1.0946864910802527,0.3361490658721259,0.8782290294998942,0.5031446159495351,0.24010248868607598,,,,,,,
initial,frozen-H12-R25-attention,frozen,12,25,attention,False,0.9435659765421103,0.9777714516748385,0.5285951301973072,0.9572053958973294,0.6249962119137933,0.2106297869782311,,,,,,,
initial,frozen-H48-R0-mlp,frozen,48,0,mlp,False,1.0412088968170186,1.112003642462087,0.29556834102839913,0.8230856414894792,0.48668386587021345,0.24141367442679398,,,,,,,
initial,frozen-H48-R25-mean,frozen,48,25,mean,False,1.022046150934572,1.0991485344896488,0.33741587216808444,0.8712554097443085,0.5025464633369461,0.24117163523781457,,,,,,,
initial,frozen-H48-R25-attention,frozen,48,25,attention,False,0.9418322169144328,0.9776350099990434,0.5187400400805706,0.9575938778755628,0.6243125217890331,0.21052158228138282,,,,,,,
initial,finetune-H0-R0-mlp,finetune,0,0,mlp,False,1.08359541753307,1.1289744836466125,0.05688436406445781,0.6106409881563214,0.37431064920108376,0.23646381843153674,,,,,,,
initial,finetune-H0-R25-mean,finetune,0,25,mean,False,1.1083823679946363,1.1357812851202946,0.05736625845696232,0.6919395850556066,0.40331862213920155,0.2394574675652523,,,,,,,
initial,finetune-H0-R25-attention,finetune,0,25,attention,False,1.0861779345044247,1.131894966082867,0.06192674865098599,0.6097856342723839,0.3761849359959719,0.2379785978654253,,,,,,,
initial,finetune-H3-R0-mlp,finetune,3,0,mlp,False,1.0832716456148774,1.1290136059119895,0.05686872418068907,0.6105886856647783,0.37413231043472983,0.2365341732338505,,,,,,,
initial,finetune-H3-R25-mean,finetune,3,25,mean,False,1.1207546104987463,1.1376103476454646,0.03998492954932242,0.6049618740498361,0.39442014094232186,0.2382694556129427,,,,,,,
initial,finetune-H3-R25-attention,finetune,3,25,attention,False,1.087313739831249,1.1332413703238382,0.05827159238620715,0.6106143535527406,0.3764403662693841,0.23865205201529627,,,,,,,
initial,finetune-H12-R0-mlp,finetune,12,0,mlp,False,1.083177023551737,1.128621889090652,0.057164595945918946,0.6106467011791269,0.37460800266757943,0.23629690820209928,,,,,,,
initial,finetune-H12-R25-mean,finetune,12,25,mean,False,1.106542424360911,1.133056065273303,0.03963664815915825,0.6048203917756239,0.39232559983785964,0.23621007015822962,,,,,,,
initial,finetune-H12-R25-attention,finetune,12,25,attention,False,1.0860261054554332,1.1324107754729167,0.0570800132676159,0.6107840627778323,0.37662872340665376,0.23820100024470017,,,,,,,
initial,finetune-H48-R0-mlp,finetune,48,0,mlp,False,1.0832234686240554,1.1280595498810648,0.05693158542353471,0.6106575199758525,0.37502173377002795,0.23592522861872806,,,,,,,
initial,finetune-H48-R25-mean,finetune,48,25,mean,False,1.107971735515942,1.1380507908363824,0.037386278303846554,0.5816124860707362,0.39693078118487435,0.2377797177338053,,,,,,,
initial,finetune-H48-R25-attention,finetune,48,25,attention,False,1.0837335825432093,1.1302571332511546,0.05694696637304568,0.6106651004736355,0.3767444981292089,0.2371179288329905,,,,,,,
initial,scratch-H0-R0-mlp,scratch,0,0,mlp,False,1.0830461177043618,1.1286484754692965,0.05206474297803792,0.60707805018101,0.3738061329079736,0.23630038523721145,,,,,,,
initial,scratch-H0-R25-mean,scratch,0,25,mean,False,1.1021690560194353,1.141881331904923,0.04651270640641445,0.6438137393501066,0.4079988241640117,0.24236532260710072,,,,,,,
initial,scratch-H0-R25-attention,scratch,0,25,attention,False,1.0818469534007211,1.1296764080736539,0.05589662509854076,0.6111801563793935,0.37458326770591693,0.2367621655388191,,,,,,,
initial,scratch-H3-R0-mlp,scratch,3,0,mlp,False,1.0827554419636727,1.1282785635951715,0.05203448421036436,0.6068747105726757,0.37427047109186484,0.23607616145461088,,,,,,,
initial,scratch-H3-R25-mean,scratch,3,25,mean,False,1.102893030270934,1.13824268243115,0.04817468509995833,0.6523963522447327,0.4092887700818205,0.24028833786360135,,,,,,,
initial,scratch-H3-R25-attention,scratch,3,25,attention,False,1.0819769475143404,1.1293567904831596,0.055258835664115005,0.6110981439028996,0.374451482217039,0.23668441909538848,,,,,,,
initial,scratch-H12-R0-mlp,scratch,12,0,mlp,False,1.0823187353865555,1.1282123349746114,0.05095513657278685,0.6057203315290258,0.37433614605476273,0.23609472964151476,,,,,,,
initial,scratch-H12-R25-mean,scratch,12,25,mean,False,1.1057833179831504,1.1444486194798793,0.04217981050721024,0.6175600392437406,0.40659521721706476,0.24323221894451358,,,,,,,
initial,scratch-H12-R25-attention,scratch,12,25,attention,False,1.0827350644860414,1.13033644273315,0.05451524485495039,0.6100062155715978,0.37512396026192446,0.2372085567647244,,,,,,,
initial,scratch-H48-R0-mlp,scratch,48,0,mlp,False,1.0821904883099098,1.1282007751659686,0.04975978162749113,0.6033794787723523,0.3756552596209358,0.23605106288442776,,,,,,,
initial,scratch-H48-R25-mean,scratch,48,25,mean,False,1.1038995540700856,1.1386164468851316,0.041584290591304376,0.6081670847958422,0.40219303203544854,0.23987200168116413,,,,,,,
initial,scratch-H48-R25-attention,scratch,48,25,attention,False,1.0824486646801232,1.128799671599088,0.0537158061942746,0.607929172480974,0.37538237030852495,0.2362427809613226,,,,,,,
initial,frozen-H0-R25-attention-tensor,frozen,0,25,attention,True,0.9700070957032343,1.0126677392010244,0.40610879590395965,0.9373908973236061,0.5941542707833195,0.21738927446569015,,,,,,,
initial,frozen-H3-R25-attention-tensor,frozen,3,25,attention,True,0.9517933322349563,0.9806383900952909,0.5043094747279707,0.9556018161956106,0.622561435279136,0.2108056135014556,,,,,,,
initial,frozen-H12-R25-attention-tensor,frozen,12,25,attention,True,0.936647618903468,0.9714970419765637,0.5311176740028736,0.9578824179132384,0.6280640720608865,0.20813264362635356,,,,,,,
initial,frozen-H48-R25-attention-tensor,frozen,48,25,attention,True,0.9441855222607651,0.975197685938393,0.5245964080422648,0.9578178086283361,0.6273711634690062,0.2095542698528811,,,,,,,
initial,finetune-H0-R25-attention-tensor,finetune,0,25,attention,True,1.0860209321603178,1.1330629415896027,0.05726310143414383,0.6110733985058058,0.3767662228118834,0.2383888759392972,,,,,,,
initial,finetune-H3-R25-attention-tensor,finetune,3,25,attention,True,1.087248906834672,1.1343437209667948,0.05714933690481057,0.6109260825643685,0.37603282032390495,0.23891798922966817,,,,,,,
initial,finetune-H12-R25-attention-tensor,finetune,12,25,attention,True,1.0875451545696706,1.134358545755178,0.05696100919449716,0.6105916077935044,0.3763884969599044,0.238948550103576,,,,,,,
initial,finetune-H48-R25-attention-tensor,finetune,48,25,attention,True,1.0879682774965962,1.1347308949265458,0.0568751014084338,0.6106101921886669,0.3764776460733001,0.23898017014003733,,,,,,,
initial,frozen-H12-R12-mean,frozen,12,12,mean,False,1.038798540791807,1.1199754477189832,0.23194113072823835,0.8107542624475697,0.46846905060178234,0.2438936014377275,,,,,,,
initial,frozen-H12-R12-attention,frozen,12,12,attention,False,0.9963220482847344,1.0620807992212637,0.43663570686006625,0.9159603139304942,0.5488071780300694,0.23120020758339174,,,,,,,
initial,frozen-H48-R25-attention-repeat,frozen,48,25,attention,False,0.9658394762314856,1.0120245371743735,0.42765666672664815,0.9392709683658862,0.5944497695319338,0.21760950738301665,,,,,,,
scaling,frozen-H12-R25-attention-E1-S90-W1,frozen,12,25,attention,False,0.951266265536348,0.9882524650952094,0.5094045139777396,0.952782716035483,0.6074711238357156,0.2108366079666963,90,109838,1717,109838,1,0,1280
scaling,finetune-H12-R25-attention-E1-S90-W1,finetune,12,25,attention,False,1.088994643340508,1.1441818358679317,0.042186757039322,0.6004983506234916,0.3780044251348951,0.24481122887431095,90,109838,1717,109838,1,0,1408
scaling,scratch-H12-R25-attention-E1-S90-W1,scratch,12,25,attention,False,1.0884147178692123,1.1443643049680987,0.04159024398381055,0.5995946773614332,0.3785902039713351,0.24486458101509218,90,109838,1717,109838,1,0,1408
scaling,frozen-tensor-H12-R25-attention-E1-S90-W1,frozen,12,25,attention,True,0.9518598340218887,0.9919760021519415,0.5126190946854312,0.9517630775099085,0.6040587584959971,0.2125537943682446,90,109838,1717,109838,1,0,1280
scaling,finetune-tensor-H12-R25-attention-E1-S90-W1,finetune,12,25,attention,True,1.0892203356915464,1.1461752965397465,0.040489547978237284,0.5953175761721593,0.37778435435325647,0.2454054069636313,90,109838,1717,109838,1,0,1408
scaling,frozen-H12-R25-attention-E3-S90-W1,frozen,12,25,attention,False,0.9380566301639192,0.9928265197656527,0.5390517400867346,0.9543807964116446,0.6191994313679086,0.21786855817930761,90,109838,5151,329514,3,0,4864
scaling,finetune-H12-R25-attention-E3-S90-W1,finetune,12,25,attention,False,1.0857595549120258,1.1348547182879887,0.03459406799663533,0.5615925308446573,0.3680199240160152,0.23790374808402381,90,109838,5151,329514,3,0,640
scaling,scratch-H12-R25-attention-E3-S90-W1,scratch,12,25,attention,False,1.0845537752533954,1.1345838883108659,0.03404939944924686,0.5654979769168943,0.3670994245001915,0.23794464381279082,90,109838,5151,329514,3,0,640
scaling,frozen-tensor-H12-R25-attention-E3-S90-W1,frozen,12,25,attention,True,0.9381136782971831,0.9923736575755123,0.5409490906419333,0.954892434599469,0.6207181491680446,0.21759727383634658,90,109838,5151,329514,3,0,4864
scaling,finetune-tensor-H12-R25-attention-E3-S90-W1,finetune,12,25,attention,True,1.0851477499740818,1.1339388096441054,0.034349842580370965,0.5661936937455511,0.36773275598622285,0.23726289407508752,90,109838,5151,329514,3,0,640
scaling,frozen-H12-R0-attention-E3-S90-W1,frozen,12,0,attention,False,1.0275081321946344,1.1117803845554264,0.3308201072734478,0.8409533479912115,0.4979217864632404,0.24434110225515054,90,109838,5151,329514,3,0,4352
scaling,finetune-H12-R0-attention-E3-S90-W1,finetune,12,0,attention,False,1.0861786843122292,1.1352891323471828,0.03520853295854943,0.5640884350676226,0.36784368096370235,0.2381194194595917,90,109838,5151,329514,3,0,640
scaling,scratch-H12-R0-attention-E3-S90-W1,scratch,12,0,attention,False,1.0848780227048942,1.1354073409732046,0.03346768113515168,0.5610334355314694,0.36681740027710447,0.23832346640627455,90,109838,5151,329514,3,0,640
scaling,frozen-tensor-H12-R0-attention-E3-S90-W1,frozen,12,0,attention,True,1.0296263098173464,1.1100436905497546,0.3354325262642593,0.8440781214799026,0.4991235252468105,0.24359983553948195,90,109838,5151,329514,3,0,4352
scaling,finetune-tensor-H12-R0-attention-E3-S90-W1,finetune,12,0,attention,True,1.084451928269118,1.1338026270617112,0.03534649876060268,0.5733494926057178,0.36752584721665377,0.237352706009944,90,109838,5151,329514,3,0,640
scaling,frozen-H12-R6-attention-E3-S90-W1,frozen,12,6,attention,False,1.0187244009226561,1.1045308071154876,0.3638414428000617,0.858490109053248,0.5073533258180889,0.24317791870334612,90,109838,5151,329514,3,0,4352
scaling,finetune-H12-R6-attention-E3-S90-W1,finetune,12,6,attention,False,1.085858938858534,1.1352489991532533,0.03503447891886445,0.5663014041602613,0.3681818273467548,0.2381564184433475,90,109838,5151,329514,3,0,640
scaling,scratch-H12-R6-attention-E3-S90-W1,scratch,12,6,attention,False,1.0847869116347282,1.1353652895626443,0.033350794152553646,0.5599649399291651,0.36671589372332786,0.23827243443103444,90,109838,5151,329514,3,0,640
scaling,frozen-tensor-H12-R6-attention-E3-S90-W1,frozen,12,6,attention,True,1.0195307470935706,1.1035755771480642,0.3714225755083209,0.8625123059910498,0.5088109880899762,0.24279374900307568,90,109838,5151,329514,3,0,4352
scaling,finetune-tensor-H12-R6-attention-E3-S90-W1,finetune,12,6,attention,True,1.0847346166769665,1.1340445322314727,0.03430555027030876,0.5665525541564761,0.36729113749849757,0.23734508698125228,90,109838,5151,329514,3,0,640
scaling,frozen-H12-R12-attention-E3-S90-W1,frozen,12,12,attention,False,0.9847689395809236,1.0675374605656114,0.4588602086883285,0.9162368643432743,0.5545726530991955,0.2356885622206961,90,109838,5151,329514,3,0,4864
scaling,finetune-H12-R12-attention-E3-S90-W1,finetune,12,12,attention,False,1.0857479031508168,1.1351534093318802,0.03524835491509232,0.5665968510707315,0.3681203368953363,0.23814386043135824,90,109838,5151,329514,3,0,640
scaling,scratch-H12-R12-attention-E3-S90-W1,scratch,12,12,attention,False,1.0848236618718752,1.1353098695025332,0.03321115425484463,0.5587172410789815,0.3667831967426866,0.23824563781902997,90,109838,5151,329514,3,0,640
scaling,frozen-tensor-H12-R12-attention-E3-S90-W1,frozen,12,12,attention,True,0.9801072230640178,1.0603783576667778,0.46435313159110403,0.9178649291745992,0.5665393585546388,0.23232259615337084,90,109838,5151,329514,3,0,5151
scaling,finetune-tensor-H12-R12-attention-E3-S90-W1,finetune,12,12,attention,True,1.084639843630915,1.1341104747577484,0.034675788584068015,0.5647980599770424,0.3671136629295887,0.23737681659333332,90,109838,5151,329514,3,0,640
scaling,frozen-H12-R18-attention-E3-S90-W1,frozen,12,18,attention,False,0.9638957456802018,1.0383527315305925,0.5229361605653994,0.9409619104413705,0.5788312485454079,0.22985422705489358,90,109838,5151,329514,3,0,4864
scaling,finetune-H12-R18-attention-E3-S90-W1,finetune,12,18,attention,False,1.0854614117648453,1.1349115995914065,0.035412777210047784,0.5643312432565094,0.36781050199635734,0.23794480547274913,90,109838,5151,329514,3,0,640
scaling,scratch-H12-R18-attention-E3-S90-W1,scratch,12,18,attention,False,1.0846573123397927,1.1350106642751299,0.03390771108406349,0.5643442512425526,0.3667171811052781,0.23815138900555322,90,109838,5151,329514,3,0,640
scaling,frozen-tensor-H12-R18-attention-E3-S90-W1,frozen,12,18,attention,True,0.9633468642986069,1.0354204264834332,0.5266067142048683,0.941025423629385,0.5826468831901354,0.2285461877387115,90,109838,5151,329514,3,0,4864
scaling,finetune-tensor-H12-R18-attention-E3-S90-W1,finetune,12,18,attention,True,1.0846519280535478,1.134023548333112,0.03438207978030736,0.5682422918641615,0.3671683537307251,0.23746165436425457,90,109838,5151,329514,3,0,640
scaling,frozen-H12-R25-attention-E3-S30-W1-matched-updates,frozen,12,25,attention,False,0.9723596763797104,1.0479963408812198,0.5182780323037514,0.9520577192666613,0.6012023230258623,0.23300667088192992,30,36473,5151,329601,9,21,3456
scaling,finetune-H12-R25-attention-E3-S30-W1-matched-updates,finetune,12,25,attention,False,1.1106250705430285,1.1820921121095387,0.04035092080087909,0.6134946149071983,0.4011793325777757,0.26336877735529635,30,36473,5151,329601,9,21,3456
scaling,scratch-H12-R25-attention-E3-S30-W1-matched-updates,scratch,12,25,attention,False,1.1202198397445802,1.1978871629623145,0.03884644221594559,0.6079259974836698,0.42410001003941145,0.2714095586011514,30,36473,5151,329601,9,21,3072
scaling,frozen-tensor-H12-R25-attention-E3-S30-W1-matched-updates,frozen,12,25,attention,True,0.9751885319439073,1.0441831115215732,0.5164122719834924,0.9506879849036155,0.6000853727685111,0.23337205605502304,30,36473,5151,329601,9,21,3456
scaling,finetune-tensor-H12-R25-attention-E3-S30-W1-matched-updates,finetune,12,25,attention,True,1.1287737743929027,1.1767174964773262,0.03592301834331387,0.550025479923524,0.3572150970675379,0.25099691154177467,30,36473,5151,329601,9,21,256
scaling,frozen-H12-R25-attention-E3-S60-W1-matched-updates,frozen,12,25,attention,False,0.9527607680608828,1.0205778663556393,0.536725581410881,0.9538357439115033,0.6293521749431334,0.22740298345329837,60,75329,5151,329412,4,439,4864
scaling,finetune-H12-R25-attention-E3-S60-W1-matched-updates,finetune,12,25,attention,False,1.0923467865446583,1.1616541770991153,0.045974051345949535,0.622193955304152,0.5025265968153927,0.2514457495646965,60,75329,5151,329412,4,439,1536
scaling,scratch-H12-R25-attention-E3-S60-W1-matched-updates,scratch,12,25,attention,False,1.0937859954855715,1.161212728181983,0.04583293700383599,0.6213583752976525,0.5156837363064759,0.25131720605957925,60,75329,5151,329412,4,439,1536
scaling,frozen-tensor-H12-R25-attention-E3-S60-W1-matched-updates,frozen,12,25,attention,True,0.9529348725297798,1.0224190258718064,0.5398195969371993,0.9543099468940719,0.629344356643935,0.22918305587146548,60,75329,5151,329412,4,439,4736
scaling,finetune-tensor-H12-R25-attention-E3-S60-W1-matched-updates,finetune,12,25,attention,True,1.0946567315453042,1.161998657178081,0.046481955999050445,0.6241358208626564,0.49982017632507325,0.25192282279541484,60,75329,5151,329412,4,439,1536
scaling,frozen-H12-R25-attention-E3-S90-W0.25-matched-updates,frozen,12,25,attention,False,0.9452557904956241,0.9813592499563575,0.5021323958860362,0.9492283235338929,0.606291166026101,0.20797841079232765,90,27492,5151,329356,11,421,2048
scaling,finetune-H12-R25-attention-E3-S90-W0.25-matched-updates,finetune,12,25,attention,False,1.0840632532024754,1.1201651386502822,0.04561360663262665,0.6287243570841281,0.5243971215720444,0.2366524018047477,90,27492,5151,329356,11,421,2048
scaling,scratch-H12-R25-attention-E3-S90-W0.25-matched-updates,scratch,12,25,attention,False,1.0826692535464342,1.1123885798623856,0.0464112646147781,0.6336031867692391,0.5148900719365815,0.23363202533093363,90,27492,5151,329356,11,421,2432
scaling,frozen-H12-R6-mean-E3-S90-W1,frozen,12,6,mean,False,1.0260818687034772,1.105941974886856,0.29926097961868803,0.8303469790165342,0.4841109146284682,0.24093324335689925,90,109838,5151,329514,3,0,4096
scaling,frozen-H12-R12-mean-E3-S90-W1,frozen,12,12,mean,False,1.0249211931329532,1.1058967073472876,0.2968991126432094,0.8303631634769223,0.4831942354219456,0.24096917696982584,90,109838,5151,329514,3,0,4096
scaling,frozen-H12-R18-mean-E3-S90-W1,frozen,12,18,mean,False,1.0126829977030867,1.0923492345115569,0.34938055273405466,0.8597083956301956,0.5001515049260258,0.23796172970977972,90,109838,5151,329514,3,0,4096
scaling,frozen-H12-R25-mean-E3-S90-W1,frozen,12,25,mean,False,1.0038215995649806,1.0737918232377974,0.39933230807652476,0.8947015943696464,0.5185962311248761,0.23388456241476396,90,109838,5151,329514,3,0,4096
scaling,frozen-H12-R25-attention-E6-S90-W1,frozen,12,25,attention,False,0.9236686244141311,0.9636669901670067,0.5274613564670112,0.9539923010474173,0.6328913197418231,0.2046370088589574,90,109838,10302,659028,6,0,7168
scaling,finetune-H12-R25-attention-E6-S90-W1,finetune,12,25,attention,False,1.076671334177566,1.1188902283064395,0.05721214347102528,0.6404551766318893,0.45138635871327526,0.23652273578051367,90,109838,10302,659028,6,0,2304
scaling,scratch-H12-R25-attention-E6-S90-W1,scratch,12,25,attention,False,1.0860716493334621,1.1381159030051515,0.044690022996547465,0.6221325761228051,0.39645005257736304,0.24400406045768705,90,109838,10302,659028,6,0,2304
scaling,frozen-tensor-H12-R25-attention-E6-S90-W1,frozen,12,25,attention,True,0.9256799399813948,0.965904492742627,0.53622848490832,0.9550185268336986,0.6326914718345258,0.20597162859306917,90,109838,10302,659028,6,0,7168
scaling,finetune-tensor-H12-R25-attention-E6-S90-W1,finetune,12,25,attention,True,1.0879160303312045,1.1398144855564631,0.049573726059775725,0.6178636099072223,0.39870616246210927,0.2423361393798418,90,109838,10302,659028,6,0,1280
