campaign,name,n,sources,prevalence,log_loss,brier,average_precision,threshold,recall,false_positive_rate,precision,auroc,f1,balanced_accuracy,horizon_ps,ece_10bin,log_loss_ci95,brier_ci95,timing_true_events,timing_missed_windows,timing_detected_window_timing_mae_ps,timing_detected_window_timing_bias_ps,timing_timed_within_3ps_recall,timing_alarm_episodes,timing_false_alarm_episodes,timing_observable_event_centers,timing_detected_event_centers,timing_missed_event_centers,timing_event_recall,timing_false_alarms_per_sampled_center_ns,timing_mean_detected_lead_ps,spatial_sampled_center_fraction_mae,spatial_sampled_center_jaccard,spatial_nearby_pair_difference_rmse,spatial_nearby_pairs
initial,frozen-H0-R0-linear-persistence,44385,30,0.0024611272127941872,0.03966878357888561,0.002461127212793726,0.00246112721279384,9.357622912219839e-14,0.0,0.0,,0.5,0.0,0.5,0.75,0.0024611272127006097,"[0.02653213487382862, 0.05510028487643082]","[0.0016461023444076283, 0.003418529484591589]",68,68,,,0.0,0,0,68,0,68,0.0,0.0,,0.0027795422848349498,0.0,0.04016576550906573,16736
initial,frozen-H0-R0-linear-persistence,44385,30,0.00884508151496356,0.1425659690142029,0.00884508151496025,0.008845081514962334,1.8715245824439677e-13,0.0,0.0,,0.5,0.0,0.5,3.0,0.008845081514776405,"[0.11553497514609337, 0.17448741800251058]","[0.0071680227220874025, 0.010825554262957945]",274,274,,,0.0,0,0,274,0,274,0.0,0.0,,0.010372250004644009,0.0,0.08607658113719252,16736
initial,frozen-H0-R0-linear-persistence,44385,30,0.031243024276521245,0.5035781505898839,0.03124302427650371,0.031243024276516953,2.80728673814068e-13,0.0,0.0,,0.5,0.0,0.5,9.0,0.031243024276240216,"[0.4107458817023216, 0.6148414187877435]","[0.025483518223569823, 0.038146027664591985]",974,974,,,0.0,0,0,378,0,378,0.0,0.0,,0.035720051583420495,0.0,0.15323939955352806,16736
initial,frozen-H0-R0-linear-persistence,44385,30,0.09117904843080059,1.4696327148531068,0.09117904843073232,0.09117904843078883,3.7430491648879354e-13,0.0,0.0,,0.5,0.0,0.5,24.0,0.09117904843042567,"[1.2041717154020168, 1.8005653465227018]","[0.07470929872540152, 0.11171079367464695]",2883,2883,,,0.0,0,0,397,0,397,0.0,0.0,,0.09507311215833243,0.0,0.23800075517659006,16736
initial,frozen-H0-R0-linear-persistence,44385,30,0.18840006848320312,3.036650405619367,0.18840006848302698,0.18840006848317306,4.678811591635191e-13,0.0,0.0,,0.5,0.0,0.5,48.0,0.18840006848273494,"[2.5004082175611053, 3.717011443654009]","[0.15513049352844277, 0.23061107510493253]",6014,6014,,,0.0,0,0,402,0,402,0.0,0.0,,0.17486192732998232,0.0,0.3007717924408921,16736
initial,frozen-H0-R0-linear-persistence,44385,30,0.36752480433082874,5.92380001355156,0.367524804330415,0.3675248043307495,5.61457347628136e-13,0.0,0.0,,0.5,0.0,0.5,96.0,0.36752480433026924,"[4.971550479956968, 6.978721995270333]","[0.308445272844644, 0.43297434695053455]",12127,12127,,,0.0,0,0,409,0,409,0.0,0.0,,0.3087319799725807,0.0,0.363223300943087,16736
initial,frozen-H0-R0-linear-condition,44385,30,0.0024611272127941872,0.017445354492622432,0.0024561548630223098,0.002140890749437817,0.0036173758562654257,0.0,0.028356780448171293,0.0,0.46261277869167744,0.0,0.4858216097759143,0.75,0.00021710896448003575,"[0.012377415746261874, 0.023389700580528406]","[0.0016443137478608883, 0.003409693443699419]",68,68,,,0.0,96,96,68,0,68,0.0,0.7209642897375239,,0.004880473277667651,0.0,0.04016576550906573,16736
initial,frozen-H0-R0-linear-condition,44385,30,0.00884508151496356,0.05099186658618908,0.008777000094300654,0.007821123659526214,0.015038278885185719,0.0,0.02853942433880997,0.0,0.4823307434205062,0.0,0.485730287830595,3.0,0.0025885812546248854,"[0.04362152324022044, 0.05981612786048258]","[0.007140869934645336, 0.010713697740202373]",274,274,,,0.0,96,96,274,0,274,0.0,0.7209642897375239,,0.02024830991128934,0.0,0.08607658113719252,16736
initial,frozen-H0-R0-linear-condition,44385,30,0.031243024276521245,0.1394176737321311,0.030298971647956273,0.03761950755050181,0.0454990491271019,0.11322337941429257,0.0884620411673655,0.03964156012775766,0.5772744080548023,0.058723097871437514,0.5123806691234636,9.0,0.00910635859108436,"[0.12133859185478221, 0.16118309377537693]","[0.025019335606358342, 0.03661485715364668]",974,789,2.149764166172666,-0.4745321721719602,0.13141683778234087,134,130,378,4,374,0.010582010582010581,0.9763058090195637,6.1875,0.06414861724894141,0.025034846232225103,0.15323939955352806,16736
initial,frozen-H0-R0-linear-condition,44385,30,0.09117904843080059,0.30675533508046804,0.08317756809555699,0.10486199002519928,0.1449514627456665,0.016990987671355415,0.03827174287834532,0.04264142795587385,0.5794497481166606,0.024299534709991306,0.48935962239650505,24.0,0.031925019433277795,"[0.27509265613628187, 0.3469408853954767]","[0.07090885492068556, 0.09860736946256353]",2883,2843,5.302288092568781,-2.14391603772975,0.003815469996531391,92,91,397,1,396,0.0025188916876574307,0.6834140663136946,4.5,0.15616111943841673,0.0023237885462555063,0.23800075517659006,16736
initial,frozen-H0-R0-linear-condition,44385,30,0.18840006848320312,0.48533738716853836,0.15351421556402112,0.29541926606224045,0.30953219532966614,0.2643081608514846,0.07112913822755493,0.46311185290097834,0.6349738857095366,0.33654350937458344,0.5965895113119646,48.0,0.06495415757580496,"[0.4511846645502494, 0.5307988119034315]","[0.13784273694274615, 0.17415242807366002]",6014,4780,11.829492968527312,1.124064683122375,0.025939474559361488,86,72,402,14,388,0.03482587064676617,0.540723217303143,31.714285714285715,0.2625072982339194,0.10541607023691714,0.3007717924408921,16736
initial,frozen-H0-R0-linear-condition,44385,30,0.36752480433082874,0.6736763997689007,0.24041688917946866,0.37345747530537426,0.5637856721878052,0.006851616838331098,0.026995807786332458,0.12852686161555496,0.550189155947201,0.013009701679029456,0.4899279045259993,96.0,0.10555934519810978,"[0.6580690656017658, 0.6874403512530588]","[0.23277458730580688, 0.2471933348391054]",12127,12068,25.15029042537781,-25.15029042537781,8.246062505153789e-05,96,90,409,6,403,0.014669926650366748,0.6759040216289287,86.875,0.3720093640568625,0.0016776615104640582,0.363223300943087,16736
initial,frozen-H0-R0-mlp-descriptor,44385,30,0.0024611272127941872,0.011300534038885899,0.0023235873619486245,0.12716524688532527,0.017860328778624535,0.8334591289881472,0.05152171462638306,0.03837972388371099,0.971068349836904,0.07338037559017778,0.8909687071808823,0.75,0.00048535050298707,"[0.008202535465144673, 0.015151204860358192]","[0.001566131557360868, 0.0031834179230873934]",68,10,0.375,-0.375,0.8529411764705882,620,590,68,30,38,0.4411764705882353,4.4309263640118655,0.75,0.00991654365196492,0.03592436974789916,0.0387534631291455,16736
initial,frozen-H0-R0-mlp-descriptor,44385,30,0.00884508151496356,0.035185313434351516,0.008040226897979688,0.14123221927467566,0.05306398123502731,0.6760355112532234,0.054656709526508016,0.09940657241460796,0.9341732685839981,0.1733266079302111,0.8106894008633576,3.0,0.002417708982785641,"[0.029252006825179342, 0.04339591702585687]","[0.006565197129520995, 0.009898245004596165]",274,86,0.7384990461566949,-0.3240797246220616,0.6861313868613139,690,592,274,98,176,0.35766423357664234,4.4459464533813975,1.8137755102040816,0.032643828758542624,0.08871852405883818,0.08132835555074931,16736
initial,frozen-H0-R0-mlp-descriptor,44385,30,0.031243024276521245,0.11099848065499933,0.02716189736429471,0.2003267672410834,0.125518336892128,0.48597571720367927,0.05568311418295001,0.21964506821375726,0.8432166272299177,0.3025482575383161,0.7151463015103646,9.0,0.009444776648454521,"[0.09457107281257332, 0.133377666292626]","[0.022310842944358596, 0.03359155810451178]",974,500,2.0378333609443593,-0.11266938536825509,0.3788501026694045,881,670,378,211,167,0.5582010582010583,5.031729938793136,4.137440758293839,0.08045056671445332,0.14189726065455352,0.14750676214085595,16736
initial,frozen-H0-R0-mlp-descriptor,44385,30,0.09117904843080059,0.28174559167370006,0.07774410904993287,0.24826139423674598,0.2529173493385315,0.29507231733347883,0.0579924914940915,0.3379560606089963,0.7124291050093201,0.31506163526164094,0.6185399129196937,24.0,0.033612281325620316,"[0.25013747007105597, 0.3227680342386548]","[0.06630202615618591, 0.09278117824077095]",2883,2028,5.280970658441488,0.05997624103021717,0.08359347901491503,1315,965,397,284,113,0.7153652392947103,7.247193120799069,9.689260563380282,0.1628054822022587,0.14592009312950271,0.23794351318367413,16736
initial,frozen-H0-R0-mlp-descriptor,44385,30,0.18840006848320312,0.47471730454409644,0.1518197214786195,0.3114001124917477,0.42035287618637085,0.18737906781069252,0.061457417881518435,0.4144375168600965,0.6427027162583111,0.25807502668775273,0.562960824964587,48.0,0.07230616729351358,"[0.43622828984255296, 0.5224402369342015]","[0.13576654684702572, 0.17243163810035125]",6014,4883,10.35230435105344,-0.5028220231125096,0.02793481875623545,1772,1238,402,290,112,0.7213930348258707,9.297435319740153,23.844827586206897,0.25176718908105983,0.1427157010351339,0.30398824197328067,16736
initial,frozen-H0-R0-mlp-descriptor,44385,30,0.36752480433082874,0.6790181450521482,0.24414949044549564,0.4588306909157266,0.7087105512619019,0.1238121125631244,0.0660385469155845,0.5214060042641704,0.613806875549884,0.20010714890798445,0.52888678282377,96.0,0.128067906541992,"[0.6392769800523795, 0.7135163019217607]","[0.2261995978124522, 0.26004906427496133]",12127,10674,21.858389808279647,-2.242886857270474,0.007668838129793023,2108,1269,409,232,177,0.5672371638141809,9.530246704967894,61.12823275862069,0.3393048914885044,0.11179837035710297,0.36724094041150235,16736
initial,frozen-H0-R0-linear,44385,30,0.0024611272127941872,0.014823912358105444,0.0024368437583842406,0.01928872191788992,0.010234536603093147,0.34900758293688855,0.04414218581695573,0.019133532139221466,0.9291135068298577,0.036278196221437485,0.6524326985599666,0.75,0.0006844218206160208,"[0.01082248451414148, 0.019463574122315662]","[0.0016325337595564117, 0.003377597912861774]",68,44,0.375,-0.375,0.35294117647058826,267,248,68,19,49,0.27941176470588236,1.862491081821937,0.75,0.007976288963230382,0.016359163591635917,0.039988861107157415,16736
initial,frozen-H0-R0-linear,44385,30,0.00884508151496356,0.04517639867817407,0.008650997494244908,0.04495616003013623,0.03971485048532486,0.20992895025363925,0.044117049065558224,0.04073473514269642,0.8704676734814649,0.06823006829924551,0.5829059505940405,3.0,0.0041068183005777414,"[0.03845070592829534, 0.05351193130673731]","[0.007040210218815257, 0.010570891710482701]",274,214,0.7980301500322147,-0.2971260206841914,0.21897810218978103,233,190,274,43,231,0.15693430656934307,1.426908490105516,1.7616279069767442,0.029429509600316636,0.037336122733612274,0.08509997952031104,16736
initial,frozen-H0-R0-linear,44385,30,0.031243024276521245,0.13091915204832485,0.029677031106177004,0.08439252638284586,0.09693445265293121,0.11794874880585093,0.042871568450252084,0.08149719759117764,0.7596821079120444,0.09639195642439811,0.5375385901777994,9.0,0.010809429836691498,"[0.11312654714966874, 0.15367675286598717]","[0.02447683577255995, 0.036181458612161696]",974,855,2.1911701168086357,0.0676099260365198,0.08418891170431211,324,246,378,78,300,0.20634920634920634,1.847470992452405,3.7788461538461537,0.07615680875596119,0.04761092150170648,0.15178425234643433,16736
initial,frozen-H0-R0-linear,44385,30,0.09117904843080059,0.302612600286183,0.08251701682746099,0.1349275848067531,0.187273770570755,0.0879574322212096,0.04610986123938067,0.1606369032399999,0.6325348731506608,0.11367281963801631,0.5209237854909144,24.0,0.03256314819717274,"[0.27064586207102326, 0.34356741903991367]","[0.07018355255846316, 0.09811517034490629]",2883,2621,5.621546849605575,1.32931433582118,0.02081165452653486,871,711,397,142,255,0.35768261964735515,5.339641770868536,9.316901408450704,0.16400774980682353,0.05782476059968352,0.2379676928918819,16736
initial,frozen-H0-R0-linear,44385,30,0.18840006848320312,0.4901224174182046,0.15571746612985718,0.21710583126502114,0.3332417607307434,0.06181935462263778,0.04749234825670827,0.2320464095076573,0.5683763094799525,0.09762933304407233,0.5071635031829647,48.0,0.06552802052048794,"[0.45660581565953867, 0.5338797356958431]","[0.14036377989783197, 0.17569053612425153]",6014,5650,11.42356565823649,0.8647490315033584,0.005986032590621883,1683,1387,402,203,199,0.5049751243781094,10.416431977770268,26.74137931034483,0.2633567484763442,0.035766092228974325,0.3026906551869106,16736
initial,frozen-H0-R0-linear,44385,30,0.36752480433082874,0.6753748596989936,0.24144007258513409,0.39563042283587646,0.6030167937278748,0.04956524850842883,0.04776230613084757,0.37617932418969485,0.5643670813388203,0.08758970933689703,0.5009014711887907,96.0,0.10986713223076944,"[0.6607300085718562, 0.6889139618121377]","[0.23433349733774073, 0.24797870613598724]",12127,11596,24.594679624271297,-4.313510986650338,0.0026387400016492125,1544,1125,409,191,218,0.4669926650366748,8.448800270361609,66.41230366492147,0.36278353276105774,0.02567377933904971,0.3674946848068851,16736
initial,frozen-H0-R0-mlp,44385,30,0.0024611272127941872,0.011950614738288493,0.002373574294793307,0.054113424229319675,0.012318775989115238,0.7324991213925686,0.0464899197673149,0.03741880537441627,0.9590068404789933,0.0712004256750209,0.8430046008126268,0.75,6.510249715458893e-05,"[0.008729287662821775, 0.01596482716317501]","[0.0016155066660754878, 0.0032677740381284095]",68,16,0.375,-0.375,0.7647058823529411,596,565,68,31,37,0.45588235294117646,4.243175246892719,0.75,0.008872775750670279,0.030929899856938482,0.039457458069544774,16736
initial,frozen-H0-R0-mlp,44385,30,0.00884508151496356,0.03680916440399678,0.008159956505328575,0.13679950670195953,0.0424661785364151,0.6066567171088926,0.04796498914221652,0.10142253939964492,0.9120330755010959,0.17379033272751732,0.7793458639833379,3.0,0.0016872690665032052,"[0.030605895378793217, 0.045616138643818555]","[0.006733241128156301, 0.010088418298092428]",274,106,0.7747048864643502,-0.3807962336036426,0.6131386861313869,654,564,274,90,184,0.3284671532846715,4.2356652022079535,1.8083333333333333,0.029180159777320604,0.08036405886909373,0.08274057086469296,16736
initial,frozen-H0-R0-mlp,44385,30,0.031243024276521245,0.11561760827878832,0.027589063684055008,0.19074168506754913,0.10238395631313324,0.4435766553346879,0.052031190619718684,0.21565139429448885,0.814151894723707,0.2902119357731214,0.6957727323574845,9.0,0.010574807479813783,"[0.09912984040213874, 0.13727334568921432]","[0.022772317686074663, 0.03385121303530644]",974,547,2.0544349208056665,-0.20005005034443218,0.34188911704312114,916,721,378,195,183,0.5158730158730159,5.414742217716196,4.065384615384615,0.07377120012758048,0.12607100691516276,0.14873447309551135,16736
initial,frozen-H0-R0-mlp,44385,30,0.09117904843080059,0.28755446899717524,0.07917212007159964,0.2237802818733054,0.2236459106206894,0.2689156481138953,0.057659011479934914,0.31876096453224095,0.687205568751345,0.2917244264141351,0.6056283183169802,24.0,0.03472013356225942,"[0.2559711536095842, 0.32743595319398067]","[0.06765409625882053, 0.09438572162302657]",2883,2101,5.404195637684097,0.2893399767631975,0.07318765175164758,1315,995,397,273,124,0.6876574307304786,7.472494461342045,9.62912087912088,0.15673699863273677,0.1366133813651544,0.2395756672460108,16736
initial,frozen-H0-R0-mlp,44385,30,0.18840006848320312,0.47877925705999475,0.15335717907975804,0.2979127847626168,0.38945916295051575,0.1957374067564358,0.07308091789760514,0.38337839163645165,0.6297784052936456,0.2591588500732357,0.5613282444294152,48.0,0.07268206836433107,"[0.43967071733559476, 0.5247940736207756]","[0.13728251102448116, 0.17367050185933025]",6014,4778,11.004992175116175,0.015080206240096374,0.02826737612238111,1915,1394,402,299,103,0.7437810945273632,10.469002290563628,22.567725752508363,0.24699694679383996,0.14760073857094957,0.302241428033572,16736
initial,frozen-H0-R0-mlp,44385,30,0.36752480433082874,0.675529292265942,0.24287834214683587,0.4640041435308705,0.6831377148628235,0.1332093850080306,0.07107524585401259,0.5213202904033302,0.6131847162408895,0.21219742323582405,0.5310670695770091,96.0,0.13089782135089467,"[0.6359350043320008, 0.7102231919078259]","[0.2244621558781393, 0.2590788741916269]",12127,10531,22.724013942598603,-2.1593364473622834,0.007338995629586872,2077,1277,409,250,159,0.6112469437652812,9.590327062446022,55.407,0.33427148549065894,0.13698396115822084,0.3635560171199232,16736
initial,frozen-H0-R25-mean,44385,30,0.0024611272127941872,0.011800116750281496,0.0023634079021592545,0.09996655941597954,0.019951438531279564,0.7249997512392063,0.042599073679476476,0.04029754080003179,0.962331028230731,0.07635126207679531,0.841200338779865,0.75,0.0002341474985785894,"[0.008451465996110304, 0.015597725258883538]","[0.0016003588177599425, 0.0032529473758690576]",68,19,0.375,-0.375,0.7205882352941176,573,548,68,25,43,0.36764705882352944,4.115504487251699,0.75,0.009517518664509733,0.03408333333333333,0.039421613925042016,16736
initial,frozen-H0-R25-mean,44385,30,0.00884508151496356,0.03379031502379629,0.008017062922112374,0.15086796312035353,0.06648235768079758,0.6295873495764216,0.04659905302138242,0.1075970133051889,0.9475803387431765,0.18378501183707813,0.7914941482775195,3.0,0.002459872704620653,"[0.028677956998824326, 0.04041593291416288]","[0.006671271612379219, 0.00975628394622569]",274,118,0.777239524037595,-0.357218951253326,0.5693430656934306,595,516,274,79,195,0.28832116788321166,3.875183057339191,1.860759493670886,0.03186921734637533,0.08193215339233038,0.0821541593047268,16736
initial,frozen-H0-R25-mean,44385,30,0.031243024276521245,0.10076148301597392,0.026028056117565188,0.24497362073393283,0.15600156784057617,0.5376432984430615,0.04854400931153144,0.26318238483319667,0.8918948381193662,0.3533808878230466,0.7445496445657649,9.0,0.010553796732452712,"[0.08666887598060068, 0.11917526092832567]","[0.02190821959636959, 0.031497144211721485]",974,478,1.9653559556359563,-0.2451104569880395,0.3973305954825462,658,462,378,196,182,0.5185185185185185,3.4696406443618337,4.9936224489795915,0.07720018097605595,0.15974660344363734,0.1469224700221073,16736
initial,frozen-H0-R25-mean,44385,30,0.09117904843080059,0.2643860386424422,0.07316702363776915,0.3190237831976943,0.26446589827537537,0.4177215147925701,0.061761091436954664,0.4042514581021996,0.768161481173339,0.4108761163785231,0.6779802116778078,24.0,0.035515842652714825,"[0.23391053915634036, 0.3006885975467808]","[0.06251835058920492, 0.08636095474010178]",2883,1672,5.022315398579413,0.25240386953230465,0.13111342351716962,1332,923,397,312,85,0.7858942065491183,6.931771244038902,13.497596153846153,0.15844268726962363,0.18003745100322116,0.2410281181960706,16736
initial,frozen-H0-R25-mean,44385,30,0.18840006848320312,0.46319706732782334,0.1473362510773685,0.36128297485170346,0.4214281141757965,0.2864546063681383,0.0797874590432999,0.4545691331299608,0.6750588766773034,0.351441971848414,0.603333573662419,48.0,0.07536273859962118,"[0.42406336400900413, 0.5094953246560243]","[0.1311041995348052, 0.16673854714966496]",6014,4227,9.886103351958793,0.07075485472240353,0.046558031260392416,2153,1512,402,328,74,0.8159203980099502,11.355187563366002,26.165396341463413,0.24677547179411694,0.16714151674274372,0.3109127983096774,16736
initial,frozen-H0-R25-mean,44385,30,0.36752480433082874,0.6729345604462708,0.24133754431732038,0.49160672475503975,0.7009386420249939,0.18831532054670883,0.08202497790330161,0.5715661301180917,0.6303118547861934,0.2832932924278217,0.5531451713217037,96.0,0.1316969376093277,"[0.6331858381796402, 0.7094834860611158]","[0.2232338173711828, 0.2585740461934432]",12127,9850,20.731858547679863,-2.8612694645200576,0.011709408757318381,2438,1424,409,295,114,0.7212713936430318,10.694303631106605,58.182203389830505,0.3358837011415407,0.15092698761083642,0.3720562638319954,16736
initial,frozen-H0-R25-attention,44385,30,0.0024611272127941872,0.010538196428308362,0.0022749421673715236,0.15624137242192923,0.014966700226068497,0.8547910246003777,0.04673008876953696,0.04318144488003173,0.9742720956681412,0.08220989566436218,0.9040304679154205,0.75,0.0006909588858515147,"[0.008033244327407332, 0.013457234085508528]","[0.0015843204660786479, 0.003075733080141638]",68,9,0.375,-0.375,0.8676470588235294,665,648,68,17,51,0.25,4.866508955728286,0.75,0.008154939824478404,0.03217509025270758,0.039022824891722215,16736
initial,frozen-H0-R25-attention,44385,30,0.00884508151496356,0.030044389694355803,0.007583848721880059,0.25034989052399353,0.06435208022594452,0.7633708256643595,0.045178129174336654,0.13103043437476133,0.9624173822926804,0.22366876109151765,0.8590963482450115,3.0,0.0030612793723308745,"[0.025294002495379667, 0.03559563102832987]","[0.006418957753854552, 0.009044189050882473]",274,65,0.7555145445493268,-0.3561046668944014,0.7627737226277372,726,646,274,80,194,0.291970802919708,4.851488866358755,1.959375,0.025894396876277676,0.10249622736418511,0.08127429411437595,16736
initial,frozen-H0-R25-attention,44385,30,0.031243024276521245,0.08083470050614588,0.02242847164695981,0.4231838167042695,0.2398531585931778,0.6655523067408785,0.040752612456483706,0.34499332263627747,0.9390092731623066,0.45442995351391324,0.8123998471421974,9.0,0.00657313194648757,"[0.06972631429456877, 0.09411575759957683]","[0.019171599641641026, 0.02616060003494606]",974,361,1.928785152945698,-0.44368879056552946,0.5041067761806981,816,628,378,188,190,0.4973544973544973,4.716308062032969,5.297872340425532,0.0559982503281255,0.22090868632924707,0.14318550220428794,16736
initial,frozen-H0-R25-attention,44385,30,0.09117904843080059,0.20700599335346773,0.05703825867269846,0.5323826689058345,0.4014498293399811,0.5640827619693866,0.04519845731520002,0.5559682359527318,0.8562771709564055,0.5599961049724832,0.7594421523270933,24.0,0.016089924614173627,"[0.18060169560585904, 0.24106538336862698]","[0.04871468394145151, 0.06748663296282793]",2883,1304,4.733007849545105,-0.6429403613395591,0.19458896982310095,1063,620,397,340,57,0.8564231738035264,4.656227704554842,15.284558823529412,0.11017222443016471,0.2802353986231401,0.23907533450392815,16736
initial,frozen-H0-R25-attention,44385,30,0.18840006848320312,0.3983792172880236,0.12082739607986713,0.5310006367262129,0.41408270597457886,0.43080206691691386,0.05426147766695372,0.6482588191158566,0.7487670403916529,0.5176190570654183,0.68827029462498,48.0,0.04234496017022543,"[0.3596598934464314, 0.4437090189560079]","[0.10525896614019246, 0.13970413105851193]",6014,3399,8.871571824788466,-0.3641099199912493,0.08247422680412371,1408,654,402,384,18,0.9552238805970149,4.9115692238368815,28.6953125,0.19214702133545986,0.2638225722977851,0.31890130054760474,16736
initial,frozen-H0-R25-attention,44385,30,0.36752480433082874,0.6196173467495227,0.21738456535971398,0.5951567148845301,0.6765235662460327,0.2714156303815471,0.053087952625036315,0.7481653189332115,0.6813727855866055,0.3983278852048863,0.6091638388782556,96.0,0.12411983546083666,"[0.5821368292761209, 0.6534087644088218]","[0.20084656305733453, 0.23263213396199148]",12127,8973,16.49005676291167,-0.8555423593743313,0.02770677001731673,1771,728,409,395,14,0.9657701711491442,5.467312530509557,46.45822784810127,0.29995088979003176,0.21405342684273254,0.3766083157833088,16736
initial,frozen-H3-R0-mlp,44385,30,0.0024611272127941872,0.011539980888428562,0.0023584598433614022,0.0780650452307149,0.009929032996296883,0.823089437837943,0.047599993972864026,0.04091670848507668,0.9664424905130445,0.07795803473965049,0.8877447219325396,0.75,8.971034268207942e-05,"[0.00839840705070857, 0.015312008708581794]","[0.0016037871469825793, 0.00324367219805489]",68,11,0.375,-0.375,0.8382352941176471,595,564,68,31,37,0.45588235294117646,4.2356652022079535,0.75,0.007981324708309976,0.032627716624329665,0.03945514656194101,16736
initial,frozen-H3-R0-mlp,44385,30,0.00884508151496356,0.035563816943057144,0.00797716610110133,0.1835951910529782,0.03627931699156761,0.6589007555146468,0.04880505535384397,0.1075254647617284,0.9211071161536332,0.18488044405113954,0.8050478500804015,3.0,0.0014536292686465255,"[0.02986915081413255, 0.04350730653898317]","[0.006583986073730178, 0.009840929796660623]",274,96,0.7660639331334285,-0.3562818809285914,0.6496350364963503,683,586,274,97,177,0.354014598540146,4.400886185272802,1.7706185567010309,0.025828931647109404,0.08487768583042973,0.08259163740258721,16736
initial,frozen-H3-R0-mlp,44385,30,0.031243024276521245,0.1134478668133372,0.027062548377702243,0.22574164818770426,0.09522610157728195,0.46945692106257547,0.0543133202808153,0.21799131575318195,0.8201937734609448,0.29773160052280684,0.7075718003908801,9.0,0.0107508463793683,"[0.09718551959443507, 0.13452306095609895]","[0.02222108791629449, 0.03317309595548943]",974,513,2.0201148090796672,-0.16339610439053487,0.3675564681724846,993,786,378,207,171,0.5476190476190477,5.902895122225977,4.086956521739131,0.06843460294023125,0.1333223167809634,0.1487094903798383,16736
initial,frozen-H3-R0-mlp,44385,30,0.09117904843080059,0.285542666106851,0.07856455769778103,0.23855523991603572,0.2197083830833435,0.28862987128656764,0.06436894574171446,0.31028031598867417,0.6906892413426191,0.29906376471572405,0.6121304627724267,24.0,0.03430034181403007,"[0.2538691510626249, 0.3249965316912518]","[0.06700628745003304, 0.09347726526513628]",2883,2037,5.290448264562651,0.5298064773733803,0.08498092265001735,1425,1098,397,284,113,0.7153652392947103,8.24602906387293,9.430457746478874,0.15220828390103538,0.13788736842878446,0.24029988496102203,16736
initial,frozen-H3-R0-mlp,44385,30,0.18840006848320312,0.4778879001810268,0.15315107102777045,0.30675717940554176,0.39666953682899475,0.20121573112208446,0.0729705021435527,0.3902842713282158,0.6324939700368523,0.2655328306861854,0.5641226144892657,48.0,0.07758047928038413,"[0.43907906047535084, 0.5234509538923414]","[0.13703672515639465, 0.17335708021910873]",6014,4747,10.910532608646543,0.4012481577059353,0.028433654805453942,1733,1245,402,303,99,0.753731343283582,9.350005632533513,20.754950495049506,0.24321915492608578,0.14696169843228665,0.30296118309835357,16736
initial,frozen-H3-R0-mlp,44385,30,0.36752480433082874,0.6743575773823943,0.24255125196171987,0.47368040004019263,0.6861220598220825,0.1471366951211658,0.07317343013217897,0.5388414551465159,0.6172989017701798,0.2311541581130548,0.5369816324944935,96.0,0.13472028058950747,"[0.6339862452347659, 0.7101359273614456]","[0.22401086190234507, 0.2591098611230418]",12127,10344,22.539846451061837,-1.6768344278003242,0.0078337593798961,2030,1221,409,265,144,0.6479217603911981,9.169764560099132,53.883962264150945,0.33036783189008173,0.14531213082076805,0.3633137059155207,16736
initial,frozen-H3-R25-mean,44385,30,0.0024611272127941872,0.010990706861921098,0.002313435286393584,0.11749339115832771,0.015219692140817642,0.8499809235972126,0.047808790469648914,0.04202056081256436,0.9708626259213812,0.08008209787491428,0.9010860665637819,0.75,0.00033747194787749584,"[0.007965184046581525, 0.014629214058891123]","[0.0015711783563412786, 0.0031521988427476435]",68,11,0.375,-0.375,0.8382352941176471,600,571,68,29,39,0.4264705882352941,4.288235515001314,0.75,0.00839899348397714,0.03500625390869293,0.038974063384107596,16736
