split,horizon_ps,n,sources,prevalence,log_loss,brier,average_precision,threshold,recall,false_positive_rate,precision,log_loss_ci95,brier_ci95
selection,0.75,2220,15,0.002116662413142124,0.015068860959974072,0.0021118948216786344,0.007198675298696764,0.001965006347745657,0.0,0.05692530983745119,0.0,,
calibration,0.75,1774,15,0.0024338147203541477,0.017093741037529083,0.0024279719461764953,0.01142508031879484,0.001965006347745657,0.22637885403522093,0.04887800550294502,0.011173475545683426,,
test,0.75,4691,30,0.0029441286631662887,0.020362672585530775,0.002936612991195384,0.00595028254291525,0.001965006347745657,0.29040530548166876,0.07826822417906733,0.010837373849057837,"[0.007830309927914995, 0.036058523361247735]","[0.0009544070457088803, 0.005422844364865832]"
selection,3,2220,15,0.012197525400714835,0.06588011278890792,0.012049702969338397,0.01491083360036163,0.013420949690043926,0.14508595961128712,0.11767814934139884,0.014995787102329163,,
calibration,3,1774,15,0.010622582090326706,0.05826525392453446,0.010496505856271687,0.03007026012504373,0.013420949690043926,0.12840308559735256,0.049604808617616,0.02704048965820712,,
test,3,4691,30,0.010255489996271665,0.05682777823151514,0.010142735153262618,0.015466620665473003,0.013420949690043926,0.15999693055302613,0.1154128136996483,0.014161096695158156,"[0.03466374246050294, 0.084408303450551]","[0.005238924915892855, 0.01629481956859478]"
selection,9,2220,15,0.030760451321431705,0.13581345085476937,0.029715302057297516,0.04922163511806335,0.04186607897281647,0.10254753152064625,0.06949323716805056,0.04473703380977239,,
calibration,9,1774,15,0.04293983351089521,0.1751245006737945,0.04096199167778703,0.06464092394626242,0.04186607897281647,0.0420998404810952,0.04968535884211025,0.036624258529801466,,
test,9,4691,30,0.030011946895797365,0.1340805542302627,0.029070785109271163,0.040509288250173886,0.04186607897281647,0.13776324283244815,0.10821761791058103,0.03789531325560602,"[0.10921542593162421, 0.16181428117535915]","[0.021874548220197555, 0.03697262613833903]"
selection,24,2220,15,0.08653322279977228,0.2903343961488894,0.0783435838982985,0.13662855744897456,0.13116046786308289,0.06883644283362242,0.08340115571602175,0.0725174029427068,,
calibration,24,1774,15,0.12721667346142765,0.3759669606462644,0.11012444504531184,0.16438299867924525,0.13116046786308289,0.06451963457619832,0.0499282009693601,0.15850258875726328,,
test,24,4691,30,0.08396381261022033,0.2887337279601118,0.07709087096039592,0.1051235891756559,0.13116046786308289,0.1929173568442895,0.13154460940273574,0.11849560662715625,"[0.254086594470271, 0.3261039121959066]","[0.0639874943263838, 0.09108402798705702]"
selection,48,2220,15,0.183668406025412,0.46768957933409816,0.1471667263892982,0.27304244534600697,0.27224254608154297,0.07470784286109923,0.05492933775627211,0.23430662769448227,,
calibration,48,1774,15,0.2558979711877057,0.5576750927572585,0.1867741506105839,0.3146222160967907,0.27224254608154297,0.08533595269251304,0.049416487907286435,0.3725979453554112,,
test,48,4691,30,0.17346459462559105,0.4661203987902912,0.14542758884132193,0.19760267982750176,0.27224254608154297,0.11590954248682182,0.1064793050906774,0.1859703090986902,"[0.42472543090793613, 0.5056307306155325]","[0.1271836549667879, 0.16295904065412697]"
selection,96,2220,15,0.3510004862849353,0.6296093969029757,0.21983845177515932,0.4100079030571487,0.5353963971138,0.0027982238580972637,0.03292984219786451,0.043938186171170235,,
calibration,96,1774,15,0.494912498149532,0.6672513418219832,0.23787401586864362,0.5286267179198455,0.5353963971138,0.023130424166399682,0.0498112927381174,0.312717838152415,,
test,96,4691,30,0.35421946951743727,0.6553788564280691,0.23203012472050474,0.36871859833741416,0.5353963971138,0.012166112086611702,0.0382131501265704,0.14867030600872455,"[0.6283858309063858, 0.6786911165633377]","[0.2188804403354898, 0.2432770860898176]"
