split,horizon_ps,n,sources,prevalence,log_loss,brier,average_precision,threshold,recall,false_positive_rate,precision,log_loss_ci95,brier_ci95
selection,0.75,2220,15,0.002116662413142124,0.015068858760140016,0.0021118945597776617,0.007167590287448634,0.001966365845873952,0.0,0.05834130469363819,0.0,,
calibration,0.75,1774,15,0.0024338147203541477,0.01709359499822514,0.002427971258198215,0.010987778972002038,0.001966365845873952,0.22637885403522093,0.04981687028598357,0.010965205667815765,,
test,0.75,4691,30,0.0029441286631662887,0.02036131582041116,0.0029366080688908195,0.005908951259710637,0.001966365845873952,0.29040530548166876,0.07814239640106291,0.010854635167999425,"[0.00783043496827807, 0.03605474636415153]","[0.0009544075397964618, 0.00542283184702495]"
selection,3,2220,15,0.012197525400714835,0.06587926685197765,0.012049680256305725,0.014929054023766828,0.0134134441614151,0.14508595961128712,0.11767814934139884,0.014995787102329163,,
calibration,3,1774,15,0.010622582090326706,0.05826479007387103,0.010496501093338809,0.029915706261539048,0.0134134441614151,0.12840308559735256,0.049604808617616,0.02704048965820712,,
test,3,4691,30,0.010255489996271665,0.05682610495320333,0.010142698939341038,0.01548236592967299,0.0134134441614151,0.15999693055302613,0.11554645943441942,0.014144949079096214,"[0.03466051790551823, 0.08440781640436573]","[0.005238841216135768, 0.016294811826905037]"
selection,9,2220,15,0.030760451321431705,0.13581256399069142,0.02971525657951,0.04925556481777634,0.041850581765174866,0.10254753152064625,0.06993134191799094,0.04446922925281445,,
calibration,9,1774,15,0.04293983351089521,0.1751251925225564,0.04096206113800865,0.06465182069610817,0.041850581765174866,0.0420998404810952,0.04968535884211025,0.036624258529801466,,
test,9,4691,30,0.030011946895797365,0.1340788728791963,0.029070679898547256,0.040492245817107184,0.041850581765174866,0.13776324283244815,0.10888728589315186,0.03767103280352819,"[0.10921289562097942, 0.1618124482892228]","[0.02187433005179837, 0.03697260073125243]"
selection,24,2220,15,0.08653322279977228,0.29034366172164533,0.07834514274901318,0.13659364684335584,0.13121135532855988,0.06883644283362242,0.08340115571602175,0.0725174029427068,,
calibration,24,1774,15,0.12721667346142765,0.3759594756875711,0.11012273937705608,0.1643554901701435,0.13121135532855988,0.06451963457619832,0.0499282009693601,0.15850258875726328,,
test,24,4691,30,0.08396381261022033,0.28874471428438125,0.07709298480110983,0.10513043921565562,0.13121135532855988,0.1929173568442895,0.1313910707346938,0.11861765121198224,"[0.25410466980233526, 0.3261094738394021]","[0.06399103542529873, 0.09108496126376969]"
selection,48,2220,15,0.183668406025412,0.46770883299755994,0.14717282326207193,0.27311840170353757,0.2723303735256195,0.07470784286109923,0.05492933775627211,0.23430662769448227,,
calibration,48,1774,15,0.2558979711877057,0.5576661206528689,0.18677048244351638,0.3146094303202447,0.2723303735256195,0.08533595269251304,0.049416487907286435,0.3725979453554112,,
test,48,4691,30,0.17346459462559105,0.4661425923973956,0.1454354719308069,0.19764869422442194,0.2723303735256195,0.11590954248682182,0.10626478921708492,0.18627579480677264,"[0.42476052516993656, 0.505641229387742]","[0.12719645176774294, 0.16296284151330553]"
selection,96,2220,15,0.3510004862849353,0.6296950561167695,0.2198778644198698,0.40993577032159373,0.5356515049934387,0.0027982238580972637,0.03292984219786451,0.043938186171170235,,
calibration,96,1774,15,0.494912498149532,0.6671931183058278,0.23784420399730755,0.5286641614903262,0.5356515049934387,0.023130424166399682,0.0498112927381174,0.312717838152415,,
test,96,4691,30,0.35421946951743727,0.6554594219335134,0.23206884972072864,0.3687952125741882,0.5356515049934387,0.012166112086611702,0.03780349041702081,0.15003965533262917,"[0.6284965817729251, 0.6787111128116814]","[0.21893298054877178, 0.2433122049710148]"
