step,examples_seen,elapsed_seconds,score,hazard_nll,validation_seconds,input_wait_seconds,windows
1,8,48.24943598592654,1.0746767712239589,1.0746767712239589,45.60465916013345,26.01866135187447,932
256,2048,222.9712022789754,1.0819383264105351,1.0819383264105351,15.20203679613769,0.0008695591241121292,932
512,4096,381.46848882129416,1.092150333651376,1.092150333651376,15.279107210692018,0.0008245664648711681,932
768,6144,540.0907709440216,1.0748635254972785,1.0748635254972785,15.331462641712278,0.0008963095024228096,932
1024,8192,698.758381030988,1.0664302481269394,1.0664302481269394,15.408924861811101,0.0008705500513315201,932
1280,10240,857.8292649011128,1.0702379438405236,1.0702379438405236,15.456920661963522,0.0008403598330914974,932
1536,12288,1016.4262644681148,1.0726251823862116,1.0726251823862116,15.432095400057733,0.0008983598090708256,932
1792,14336,1175.1396400588565,1.0759077232986411,1.0759077232986411,15.424544798675925,0.0008433018811047077,932
2048,16384,1334.5163375991397,1.0806756303576686,1.0806756303576686,15.389588281977922,0.0008373279124498367,932
2304,18432,1493.3611586312763,1.067936354841071,1.067936354841071,15.38720340328291,0.0008502816781401634,932
2560,20480,1651.7976662688889,1.0723754558522531,1.0723754558522531,15.412349387072027,0.0009320261888206005,932
2816,22528,1811.292364665307,1.0782140325151246,1.0782140325151246,15.391676238738,0.0008874917402863503,932
3072,24576,1970.2156960191205,1.0739274018633835,1.0739274018633835,15.39303377084434,0.0008668466471135616,932
3328,26624,2128.9292256981134,1.0817368674091996,1.0817368674091996,15.395984097383916,0.0008508479222655296,932
3584,28672,2288.0704427198507,1.067650829133129,1.067650829133129,15.364106920082122,0.0008432278409600258,932
3840,30720,2447.1520691621117,1.0753890288579797,1.0753890288579797,15.369057518895715,0.0008142762817442417,932
4096,32768,2606.1186924772337,1.0769369015694354,1.0769369015694354,15.393226282205433,0.0008379663340747356,932
