split,horizon_ps,n,sources,prevalence,log_loss,brier,average_precision,threshold,recall,false_positive_rate,precision,log_loss_ci95,brier_ci95
selection,0.75,2220,15,0.002116662413142124,0.01543976310613417,0.002113557135068756,0.0018752296888143187,0.0030019942205399275,0.0,0.049633354679324074,0.0,,
calibration,0.75,1774,15,0.0024338147203541477,0.016990316227393883,0.0024275934204668736,0.004475473991560582,0.0030019942205399275,0.0,0.049892610634755946,0.0,,
test,0.75,4691,30,0.0029441286631662887,0.020042395861538123,0.002935261781025893,0.0052158208759689444,0.0030019942205399275,0.1301375742322532,0.08408745265304629,0.004549132960827265,"[0.00788729687075352, 0.03509083988291587]","[0.0009544768172250276, 0.005418635288612372]"
selection,3,2220,15,0.012197525400714835,0.06532262693792946,0.012039246145811136,0.01781962088355457,0.012637020088732243,0.14508595961128712,0.10576437149107387,0.016656843852569162,,
calibration,3,1774,15,0.010622582090326706,0.058058583016990725,0.010494533915389317,0.022501880589561322,0.012637020088732243,0.05977083815608408,0.04973477671736551,0.012738823915670572,,
test,3,4691,30,0.010255489996271665,0.056368472679167045,0.010135387537962746,0.017456568758201976,0.012637020088732243,0.27005864882631714,0.08417776446607055,0.03217301370583688,"[0.03366158883225043, 0.08445258140029796]","[0.005224953154483345, 0.016300219069033332]"
selection,9,2220,15,0.030760451321431705,0.1354491763586306,0.029693839501733807,0.051230575146761805,0.0466800257563591,0.08838226967382257,0.0511031983533324,0.05203220473016013,,
calibration,9,1774,15,0.04293983351089521,0.17454615664055825,0.0409224166316394,0.06187721595880356,0.0466800257563591,0.040401629279700174,0.04956301925148667,0.035282738764676774,,
test,9,4691,30,0.030011946895797365,0.13421361659376696,0.029093821931610347,0.036158656484985875,0.0466800257563591,0.10335777590088478,0.0929225018949148,0.033270180712287864,"[0.1093996565339489, 0.16156241037738656]","[0.021914613860905048, 0.03699413189472544]"
selection,24,2220,15,0.08653322279977228,0.2873794713879372,0.07792618483990581,0.13775933710679916,0.14075952768325806,0.11350883413094243,0.07693355669173618,0.1226275291951233,,
calibration,24,1774,15,0.12721667346142765,0.3732462857723622,0.10967070493242645,0.1684792061756949,0.14075952768325806,0.09902824636900816,0.0495270434722871,0.22567262977725672,,
test,24,4691,30,0.08396381261022033,0.28799125729510383,0.07710068653413465,0.10879976835166183,0.14075952768325806,0.12395982968103585,0.11575419207324045,0.08938386019098607,"[0.2531121497595157, 0.32565074591438625]","[0.06397974577753092, 0.09113913086434124]"
selection,48,2220,15,0.183668406025412,0.45989638049129633,0.14511773684066082,0.26518275900699234,0.27582094073295593,0.16348349371433127,0.08171660869655832,0.3104034341357783,,
calibration,48,1774,15,0.2558979711877057,0.5539233806821042,0.18576905374736366,0.35759025950901613,0.27582094073295593,0.07136499680534249,0.04960764316795712,0.33098426232852585,,
test,48,4691,30,0.17346459462559105,0.46069929283235084,0.14392776497217005,0.22048222649882246,0.27582094073295593,0.12811230129205717,0.111579804619474,0.1941757359962079,"[0.4181564017705901, 0.5022488594367139]","[0.1250930749156523, 0.1623739778933833]"
selection,96,2220,15,0.3510004862849353,0.6287953062591348,0.22016474355533186,0.39500898664962897,0.5673776865005493,0.004540730831750092,0.027112665626661,0.08305401644312778,,
calibration,96,1774,15,0.494912498149532,0.6577826943099786,0.23350060990950822,0.5512311126919291,0.5673776865005493,0.029873368439611636,0.047948481403709796,0.37906694606815927,,
test,96,4691,30,0.35421946951743727,0.6583871864057309,0.23377804077712153,0.38262336629348487,0.5673776865005493,0.00942155732604985,0.03683458647652499,0.12303697874107943,"[0.6314837878664566, 0.6816790243014754]","[0.22067002692116977, 0.24464614938246054]"
