step,examples_seen,elapsed_seconds,score,hazard_nll,validation_seconds,input_wait_seconds,windows
1,8,21.26963678235188,1.0746767766428764,1.0746767766428764,18.836756020318717,0.43582969531416893,932
256,2048,171.32174565736204,1.0819667471469274,1.0819667471469274,12.45785114588216,0.0008111819624900818,932
512,4096,299.65358733339235,1.0921414097736555,1.0921414097736555,12.564212669618428,0.000816625077277422,932
768,6144,426.46594833396375,1.0748327804729343,1.0748327804729343,12.603031676262617,0.0008166893385350704,932
1024,8192,553.70729339635,1.0614939016358997,1.0614939016358997,12.59174362802878,0.0008379407227039337,932
1280,10240,680.4529635431245,1.0711220616371266,1.0711220616371266,12.624001522082835,0.0008233049884438515,932
1536,12288,807.0370844313875,1.0724972400848787,1.0724972400848787,12.622809143736959,0.0008366769179701805,932
1792,14336,933.9660046431236,1.0771775931602827,1.0771775931602827,12.590164802968502,0.0008253930136561394,932
2048,16384,1060.613332096953,1.07833392240314,1.07833392240314,12.601138927973807,0.0008329949341714382,932
2304,18432,1187.2525982502848,1.0701894074919875,1.0701894074919875,12.608286641072482,0.0008143056184053421,932
2560,20480,1314.2224741461687,1.0792010912550958,1.0792010912550958,12.599034355953336,0.0008064107969403267,932
2816,22528,1440.9288738369942,1.0785037139171942,1.0785037139171942,12.611075589898974,0.000804064329713583,932
3072,24576,1567.6142507861368,1.073037156084966,1.073037156084966,12.61256272206083,0.0007894439622759819,932
3328,26624,1694.6474033771083,1.0870487320478317,1.0870487320478317,12.613540892954916,0.0008103037253022194,932
3584,28672,1821.3125934363343,1.0733462283077342,1.0733462283077342,12.605405426584184,0.0008230134844779968,932
3840,30720,1947.9746864070185,1.074730766935412,1.074730766935412,12.618564437143505,0.0008147824555635452,932
4096,32768,2074.456734812353,1.077043924584157,1.077043924584157,12.603253897279501,0.000794372521340847,932
