step,examples_seen,elapsed_seconds,score,hazard_nll,validation_seconds,input_wait_seconds,windows
1,8,1.5401997021399438,1.0746762235407477,1.0746762235407477,1.3675940749235451,0.0003990796394646168,932
256,2048,11.48740403726697,1.0818929002137374,1.0818929002137374,1.3713480667211115,0.00041273562237620354,932
512,4096,21.46178888436407,1.0921650738006943,1.0921650738006943,1.3730575069785118,0.0004148576408624649,932
768,6144,31.428130500018597,1.0748978078986209,1.0748978078986209,1.3772851009853184,0.0004075034521520138,932
1024,8192,41.45995686715469,1.0713899104131592,1.0713899104131592,1.3716209582053125,0.0004017474129796028,932
1280,10240,51.482550306245685,1.0706490013127525,1.0706490013127525,1.3705338262952864,0.0004006344825029373,932
1536,12288,61.520505409222096,1.072930845511318,1.072930845511318,1.3725606501102448,0.0004021911881864071,932
1792,14336,71.48843912128359,1.0779888829457813,1.0779888829457813,1.3693153569474816,0.0004047234542667866,932
2048,16384,81.4923479380086,1.0778937889159552,1.0778937889159552,1.3770025689154863,0.00042348960414528847,932
2304,18432,91.61076928209513,1.0698597683364317,1.0698597683364317,1.3766192882321775,0.0004228837788105011,932
2560,20480,101.6687057740055,1.0734057749276638,1.0734057749276638,1.3821249790489674,0.00040908344089984894,932
2816,22528,111.65838527213782,1.0771577604908358,1.0771577604908358,1.3725837338715792,0.00040348945185542107,932
3072,24576,121.7045657611452,1.0743526351672632,1.0743526351672632,1.3741500959731638,0.0004059569910168648,932
3328,26624,131.69945817720145,1.089680223561892,1.089680223561892,1.3848637230694294,0.0004082932136952877,932
3584,28672,142.0170108373277,1.0727590782153935,1.0727590782153935,1.3750572688877583,0.0004398827441036701,932
3840,30720,152.05121542839333,1.0743817578552775,1.0743817578552775,1.3779605603776872,0.00040310900658369064,932
4096,32768,162.09575337916613,1.0774976587474898,1.0774976587474898,1.3790940642356873,0.000406128354370594,932
