method,epsilon_A,raw_crossing_mse,relative_crossing_mse,fraction_of_075ps_energy
frozen-mean80,0.1,2.803393368469344e-07,0.0018107408210678907,0.03753280592704818
frozen-mean80,0.01,2.744562401377485e-07,0.0017727412899088745,0.03674515646793395
frozen-mean80,0.001,2.740143259184889e-07,0.0017698869201824429,0.036685991454509764
frozen-mean80,0.0001,2.7396825566890804e-07,0.0017695893476673222,0.03667982340918307
frozen-halo_mean80,0.1,1.1856273461934753e-07,0.00017181331702912457,0.008683527898459421
frozen-halo_mean80,0.01,8.92702873462697e-08,0.0001293646290324582,0.006538150736515865
frozen-halo_mean80,0.001,8.818532507471501e-08,0.00012779237306749798,0.006458688161836993
frozen-halo_mean80,0.0001,8.809250214410736e-08,0.00012765786018151178,0.006451889815711324
frozen-halo_inner,0.1,2.394149741387921e-08,3.424502476816005e-05,0.0013080217658085346
frozen-halo_inner,0.01,2.420521584251515e-10,3.462223777051899e-07,1.3224297804258937e-05
frozen-halo_inner,0.001,2.420266027046741e-12,3.4618582375596996e-09,1.3222901590895692e-07
frozen-halo_inner,0.0001,2.6259058501676963e-14,3.7559977692004706e-11,1.4346395915036396e-09
frozen-halo_center,0.1,3.677585429984209e-08,3.935055754922292e-05,0.0001335583446937289
frozen-halo_center,0.01,3.8438029225112853e-10,4.112910250212761e-07,1.3959484162458438e-06
frozen-halo_center,0.001,3.848433294587841e-12,4.117864797872952e-09,1.3976300218580987e-08
frozen-halo_center,0.0001,4.097716380895366e-14,4.384600367190081e-11,1.4881618041952936e-10
trained-mean80,0.1,2.821423286166932e-07,0.001815646700632141,0.037506342169444595
trained-mean80,0.01,2.7659119199934593e-07,0.0017799239399479843,0.0367684067082171
trained-mean80,0.001,2.761849004295314e-07,0.001777309366119785,0.03671439669592033
trained-mean80,0.0001,2.7614143679144795e-07,0.0017770296682400994,0.03670861889543971
trained-halo_inner,0.1,1.810882098591824e-08,3.467237906193063e-05,0.001283762550408022
trained-halo_inner,0.01,1.8445956921087662e-10,3.531788243007826e-07,1.3076626424296864e-05
trained-halo_inner,0.001,1.8453593551415424e-12,3.5332504041373987e-09,1.3082040150587336e-07
trained-halo_inner,0.0001,1.983247121147302e-14,3.797259689704482e-11,1.4059548019792453e-09
trained-halo_center,0.1,1.001084029119496e-07,6.538707415885068e-05,0.0004812968131087678
trained-halo_center,0.01,1.0441293198685788e-09,6.819863196671538e-07,5.019919402451941e-06
trained-halo_center,0.001,1.044290597881179e-11,6.820916604483802e-09,5.020694787846484e-08
trained-halo_center,0.0001,1.1237549774888e-13,7.339948287264785e-11,5.402740166139579e-10
