method,source,lag_ps,raw_increment_mse
frozen-halo_mean80,19,6.0,2.8594162174475686e-05
frozen-halo_mean80,28,6.0,2.5247980925792376e-05
frozen-halo_mean80,29,6.0,2.215044976539859e-05
frozen-halo_mean80,8,9.0,5.9223353614554046e-05
frozen-halo_mean80,9,9.0,1.531064649712858e-05
frozen-halo_mean80,18,9.0,3.2519433475107776e-05
frozen-halo_mean80,19,9.0,3.797478954858013e-05
frozen-halo_mean80,28,9.0,2.9724580576336195e-05
frozen-halo_mean80,29,9.0,2.2941379524972308e-05
frozen-halo_mean80,8,12.0,8.31733475602466e-05
frozen-halo_mean80,9,12.0,9.706389750485614e-06
frozen-halo_mean80,18,12.0,6.322871570908901e-05
frozen-halo_mean80,19,12.0,5.832099797688071e-05
frozen-halo_mean80,28,12.0,4.0490878188439076e-05
frozen-halo_mean80,29,12.0,2.140974251544621e-05
frozen-halo_inner,8,0.75,1.528604099165984e-05
frozen-halo_inner,9,0.75,1.5943377735922087e-05
frozen-halo_inner,18,0.75,1.5893252533999492e-05
frozen-halo_inner,19,0.75,1.883141385112453e-05
frozen-halo_inner,28,0.75,2.2761669744492837e-05
frozen-halo_inner,29,0.75,2.11058002867867e-05
frozen-halo_inner,8,1.5,1.811333478087321e-05
frozen-halo_inner,9,1.5,1.790447653947863e-05
frozen-halo_inner,18,1.5,1.625195584298657e-05
frozen-halo_inner,19,1.5,2.0098930661044624e-05
frozen-halo_inner,28,1.5,2.4997492621385444e-05
frozen-halo_inner,29,1.5,2.4966492701698777e-05
frozen-halo_inner,8,3.0,2.7007898168745152e-05
frozen-halo_inner,9,3.0,1.98307943702575e-05
frozen-halo_inner,18,3.0,1.9547398439719905e-05
frozen-halo_inner,19,3.0,2.4486832713335873e-05
frozen-halo_inner,28,3.0,3.1283348809508057e-05
frozen-halo_inner,29,3.0,2.444304022279898e-05
frozen-halo_inner,8,6.0,3.862363240157739e-05
frozen-halo_inner,9,6.0,2.1905248315143266e-05
frozen-halo_inner,18,6.0,2.936166310978646e-05
frozen-halo_inner,19,6.0,3.7005246612493436e-05
frozen-halo_inner,28,6.0,3.434069721154262e-05
frozen-halo_inner,29,6.0,2.787303166151856e-05
frozen-halo_inner,8,9.0,6.427166172980372e-05
frozen-halo_inner,9,9.0,2.0854947837602673e-05
frozen-halo_inner,18,9.0,4.339816272410958e-05
