candidate,reference,comparison,normalization,lag_ps,squared_increment_ratio,ratio_ci95_low,ratio_ci95_high,rms_increment_ratio
frozen-halo_mean80,frozen-mean80,architecture,total,0.75,0.41012416510418653,0.3899802950251397,0.42664630785310226,0.6404093730608466
frozen-halo_mean80,frozen-mean80,architecture,total,1.5,0.425326223639004,0.4001889926589347,0.45170764822850223,0.6521703946354849
frozen-halo_mean80,frozen-mean80,architecture,total,3.0,0.4550861358115093,0.4283370648708433,0.4859970089925342,0.6746007232515463
frozen-halo_mean80,frozen-mean80,architecture,total,6.0,0.48966155429494207,0.4390676788601792,0.549396883840008,0.699758211309408
frozen-halo_mean80,frozen-mean80,architecture,total,9.0,0.5637140626639117,0.47203579015892416,0.6613624764667765,0.7508089388545608
frozen-halo_mean80,frozen-mean80,architecture,total,12.0,0.6147485313612792,0.4809755468476876,0.7197422783701787,0.7840590101269669
frozen-halo_mean80,frozen-mean80,architecture,within_frame,0.75,0.5019990130116267,0.4773425705039121,0.5222223991432045,0.7085188868418588
frozen-halo_mean80,frozen-mean80,architecture,within_frame,1.5,0.5206065934215369,0.4898381915190681,0.5528979096437947,0.7215307293674587
frozen-halo_mean80,frozen-mean80,architecture,within_frame,3.0,0.5570332363971224,0.5242919147347397,0.5948686753897509,0.7463465926746918
frozen-halo_mean80,frozen-mean80,architecture,within_frame,6.0,0.599354141698418,0.5374263703215909,0.6724712097110517,0.7741796572491543
frozen-halo_mean80,frozen-mean80,architecture,within_frame,9.0,0.6899956821763229,0.5777799040584366,0.8095190156495806,0.8306597872633072
frozen-halo_mean80,frozen-mean80,architecture,within_frame,12.0,0.7524627472641433,0.5887223195905312,0.8809768945772397,0.8674461062591401
frozen-halo_inner,frozen-mean80,architecture,total,0.75,0.5426718008112501,0.52482669235706,0.565018050606934,0.736662609890885
frozen-halo_inner,frozen-mean80,architecture,total,1.5,0.5539869989866709,0.5231262782629043,0.58621470184964,0.7443030290054387
frozen-halo_inner,frozen-mean80,architecture,total,3.0,0.5800588484264029,0.5565151470130484,0.6053994350392681,0.7616159454911661
frozen-halo_inner,frozen-mean80,architecture,total,6.0,0.6209263031746837,0.5759855413399589,0.6706847105760493,0.7879887709699192
frozen-halo_inner,frozen-mean80,architecture,total,9.0,0.6763429046474471,0.604746496786087,0.744031574633546,0.8224006959186301
frozen-halo_inner,frozen-mean80,architecture,total,12.0,0.7056770792929912,0.606915728270636,0.8085493271713698,0.8400458792786208
frozen-halo_inner,frozen-mean80,architecture,within_frame,0.75,0.6153970764770109,0.5951604849391667,0.640738022466707,0.7844724829316901
frozen-halo_inner,frozen-mean80,architecture,within_frame,1.5,0.628228662467848,0.5932321926255076,0.6647753083296607,0.792608770117924
frozen-halo_inner,frozen-mean80,architecture,within_frame,3.0,0.6577944882571642,0.6310956161256723,0.6865310522253991,0.8110453059214165
frozen-halo_inner,frozen-mean80,architecture,within_frame,6.0,0.7041387282518565,0.6531753035697648,0.7605654274080986,0.8391297445877226
frozen-halo_inner,frozen-mean80,architecture,within_frame,9.0,0.7669818951229721,0.6857906115179092,0.8437417517394226,0.8757750254049108
frozen-halo_inner,frozen-mean80,architecture,within_frame,12.0,0.8002472413059646,0.6882505490193557,0.9169057455811698,0.8945653924146432
frozen-halo_center,frozen-mean80,architecture,total,0.75,6.107093978545065,5.695445468650037,6.587249836894465,2.471253523729418
frozen-halo_center,frozen-mean80,architecture,total,1.5,5.819025614355146,5.447313028639012,6.15425874187662,2.412265659987545
frozen-halo_center,frozen-mean80,architecture,total,3.0,5.81809041635115,5.357782900565575,6.318091547227029,2.4120718099491048
frozen-halo_center,frozen-mean80,architecture,total,6.0,5.093699335548828,4.751384160630413,5.477986023002459,2.256922536452864
frozen-halo_center,frozen-mean80,architecture,total,9.0,4.631996813998403,4.028058123453288,5.394572839518686,2.152207428199801
frozen-halo_center,frozen-mean80,architecture,total,12.0,4.311426855715294,3.233651192163347,6.025111096329783,2.0763975668728025
frozen-halo_center,frozen-mean80,architecture,within_frame,0.75,3.216736671027345,2.9999126198493142,3.4696450039901667,1.7935263229256895
frozen-halo_center,frozen-mean80,architecture,within_frame,1.5,3.0650049187228983,2.8692159706968625,3.241579357961906,1.7507155447767344
frozen-halo_center,frozen-mean80,architecture,within_frame,3.0,3.0645123299851633,2.8220585424425466,3.3278735913140345,1.7505748570070243
frozen-halo_center,frozen-mean80,architecture,within_frame,6.0,2.6829600954906323,2.5026553908180613,2.8853720911243093,1.637974387922666
frozen-halo_center,frozen-mean80,architecture,within_frame,9.0,2.439771528654321,2.121664137519735,2.841436588068025,1.5619768015736728
frozen-halo_center,frozen-mean80,architecture,within_frame,12.0,2.2709204934382803,1.7032330610411244,3.173554538159424,1.5069573628468327
trained-halo_inner,trained-mean80,architecture,total,0.75,0.557920483203073,0.5412255830687366,0.5772075563862596,0.7469407494594689
trained-halo_inner,trained-mean80,architecture,total,1.5,0.5698382590535261,0.5424715398116934,0.598037466185503,0.7548763203687914
trained-halo_inner,trained-mean80,architecture,total,3.0,0.5901904872532294,0.568970705360508,0.6112782232880885,0.7682385614203634
trained-halo_inner,trained-mean80,architecture,total,6.0,0.6271655831728723,0.5921078834568559,0.6640425839540557,0.7919378657274018
trained-halo_inner,trained-mean80,architecture,total,9.0,0.6750059148516747,0.6171357721553534,0.7268088075968612,0.8215874359139597
trained-halo_inner,trained-mean80,architecture,total,12.0,0.6989309246212366,0.6126877315675302,0.7980152299628619,0.8360208876704198
trained-halo_inner,trained-mean80,architecture,within_frame,0.75,0.6288783177397249,0.6100601150972297,0.6506183730033895,0.7930184851185531
trained-halo_inner,trained-mean80,architecture,within_frame,1.5,0.6423118285242788,0.61146453598529,0.674097487012635,0.801443590356975
trained-halo_inner,trained-mean80,architecture,within_frame,3.0,0.6652525080974748,0.641333937008481,0.6890222393796198,0.8156301294689124
trained-halo_inner,trained-mean80,architecture,within_frame,6.0,0.7069301966216769,0.6674137639310203,0.7484973140026603,0.8407914108871931
