method,lag_ps,raw_increment_mse,train_total_variance,train_within_frame_variance,relative_increment_mse_total,relative_increment_mse_within_frame
frozen-mean80,0.75,7.469181424693501e-06,0.00015482024461214902,3.153389770947029e-05,0.04824421666174904,0.23686197924243124
frozen-mean80,1.5,8.150150009936325e-06,0.00015482024461214902,3.153389770947029e-05,0.05264266330513709,0.25845679100711566
frozen-mean80,3.0,9.327871444092242e-06,0.00015482024461214902,3.153389770947029e-05,0.060249688065408646,0.29580458242213703
frozen-mean80,6.0,1.1240768586240918e-05,0.00015482024461214902,3.153389770947029e-05,0.07260528889100357,0.3564661967830599
frozen-mean80,9.0,1.3113545753543379e-05,0.00015482024461214902,3.153389770947029e-05,0.08470175064246305,0.4158555302729071
frozen-mean80,12.0,1.6807989322567106e-05,0.00015482024461214902,3.153389770947029e-05,0.10856454441519564,0.5330133774588643
frozen-halo_mean80,0.75,1.3653751793713037e-05,0.0006900672000835047,0.00011482958267607406,0.019786119079505303,0.1189044797996809
frozen-halo_mean80,1.5,1.5450815208630922e-05,0.0006900672000835047,0.00011482958267607406,0.02239030518587353,0.13455430951287659
frozen-halo_mean80,3.0,1.8920812976116336e-05,0.0006900672000835047,0.00011482958267607406,0.027418797725535626,0.16477298388770234
frozen-halo_mean80,6.0,2.4533281938416695e-05,0.0006900672000835047,0.00011482958267607406,0.0355520186084021,0.21364949141741033
frozen-halo_mean80,9.0,3.2949030539446507e-05,0.0006900672000835047,0.00011482958267607406,0.047747567969408426,0.286938520297451
frozen-halo_mean80,12.0,4.605501195009787e-05,0.0006900672000835047,0.00011482958267607406,0.06673989423714788,0.40107271033123687
frozen-halo_inner,0.75,1.8303592523997583e-05,0.0006991233785334931,0.00012556990226032729,0.026180775934559464,0.14576416955435062
frozen-halo_inner,1.5,2.0388780524577878e-05,0.0006991233785334931,0.00012556990226032729,0.02916335106307864,0.16236996412013244
frozen-halo_inner,3.0,2.443321878739425e-05,0.0006991233785334931,0.00012556990226032729,0.034948364677270936,0.19457862391849381
frozen-halo_inner,6.0,3.1518253218676955e-05,0.0006991233785334931,0.00012556990226032729,0.04508253362202077,0.25100165446759987
frozen-halo_inner,9.0,4.005098025157622e-05,0.0006991233785334931,0.00012556990226032729,0.05728742805824721,0.31895366270608283
frozen-halo_inner,12.0,5.3560898137593664e-05,0.0006991233785334931,0.00012556990226032729,0.0766115106176895,0.426542484890631
frozen-halo_center,0.75,0.00027535422353560263,0.0009345700948160601,0.0003613939503288137,0.294631965074591,0.7619226146012462
frozen-halo_center,1.5,0.000286285928350988,0.0009345700948160601,0.0003613939503288137,0.30632900618046643,0.7921713357141458
frozen-halo_center,3.0,0.00032760245593417716,0.0009345700948160601,0.0003613939503288137,0.35053813272150025,0.9064967900987513
frozen-halo_center,6.0,0.00034563160189135343,0.0009345700948160601,0.0003613939503288137,0.3698295117814355,0.9563845813602609
frozen-halo_center,9.0,0.0003666675853305837,0.0009345700948160601,0.0003613939503288137,0.39233823911597593,1.0145924827932835
frozen-halo_center,12.0,0.0004374424414667625,0.0009345700948160601,0.0003613939503288137,0.4680680923701704,1.2104310021480886
trained-mean80,0.75,7.5225231866664654e-06,0.00015539495019513524,3.1885974002920646e-05,0.048409058191531656,0.23591950448110596
trained-mean80,1.5,8.185695810001117e-06,0.00015539495019513524,3.1885974002920646e-05,0.05267671697003045,0.256717759641005
trained-mean80,3.0,9.384531142042276e-06,0.00015539495019513524,3.1885974002920646e-05,0.06039148074154128,0.29431533567651674
trained-mean80,6.0,1.1294261915232026e-05,0.00015539495019513524,3.1885974002920646e-05,0.07268100991087162,0.35420783803554223
trained-mean80,9.0,1.3122672534200675e-05,0.00015539495019513524,3.1885974002920646e-05,0.0844472263591709,0.41154999790812985
trained-mean80,12.0,1.6812074342231275e-05,0.00015539495019513524,3.1885974002920646e-05,0.10818932224708541,0.5272561014034367
trained-halo_inner,0.75,1.410605176180179e-05,0.0005222837738815925,9.507689807809214e-05,0.027008405137625025,0.1483646611000674
trained-halo_inner,1.5,1.5677501036452388e-05,0.0005222837738815925,9.507689807809214e-05,0.030017208690857493,0.16489285360967026
trained-halo_inner,3.0,1.861548763035669e-05,0.0005222837738815925,9.507689807809214e-05,0.03564247744479427,0.19579401523035297
trained-halo_inner,6.0,2.38072758712129e-05,0.0005222837738815925,9.507689807809214e-05,0.04558302796634511,0.25040021658740497
trained-halo_inner,9.0,2.977141672876723e-05,0.0005222837738815925,9.507689807809214e-05,0.05700237728525861,0.31312986993238096
trained-halo_inner,12.0,3.949346059359729e-05,0.0005222837738815925,9.507689807809214e-05,0.07561686303230032,0.41538440348736483
trained-halo_center,0.75,0.00020799722787552763,0.0015310121182169321,0.00044843150980566394,0.13585602974702,0.4638327667154056
trained-halo_center,1.5,0.00021819816528857784,0.0015310121182169321,0.00044843150980566394,0.14251890151117727,0.4865808055797373
trained-halo_center,3.0,0.000248782386294187,0.0015310121182169321,0.00044843150980566394,0.16249537370346046,0.5547834638159156
trained-halo_center,6.0,0.0002755690836891173,0.0015310121182169321,0.00044843150980566394,0.17999144514287338,0.6145176635971461
trained-halo_center,9.0,0.0002982595278891507,0.0015310121182169321,0.00044843150980566394,0.19481199680934838,0.6651172394607304
trained-halo_center,12.0,0.0003583607647647633,0.0015310121182169321,0.00044843150980566394,0.23406788261226974,0.7991426938755163
