encoder,updates,noise_over_d0,coverage,roots,true_nmse,other_nmse,delta,gain,ci95_lower,ci95_upper
0,10000,0.01,1.0,6,0.9858996576319138,0.9858996576319138,0.0,0.0,0.0,0.0
0,10000,0.02,1.0,6,0.9484610004971424,0.9484610004971424,0.0,0.0,0.0,0.0
0,10000,0.04,1.0,6,0.8393337550417831,0.8393337550417831,0.0,0.0,0.0,0.0
0,10000,0.08,1.0,6,0.6998388502979651,0.6998388502979651,0.0,0.0,0.0,0.0
0,10000,0.12,1.0,6,0.6467531146093582,0.6467531146093582,0.0,0.0,0.0,0.0
1000,10000,0.01,1.0,6,0.9857917303840319,0.9858996576319138,0.00010792724788188934,0.00010947082397931418,-0.0002147230606974444,0.0004283873971989191
1000,10000,0.02,1.0,6,0.9478640552454939,0.9484610004971424,0.0005969452516486248,0.0006293830229557754,0.00017438205318086683,0.0010418267925308316
1000,10000,0.04,1.0,6,0.8396059414371848,0.8393337550417831,-0.000272186395401756,-0.00032428863222374416,-0.0008644657938236649,0.0001512776480394635
1000,10000,0.08,1.0,6,0.6901918708269174,0.6998388502979651,0.00964697947104772,0.013784572644031457,0.012099979913412863,0.015521752897563785
1000,10000,0.12,1.0,6,0.6287432051807021,0.6467531146093582,0.0180099094286561,0.027846652798161113,0.026052520729178984,0.029955630544433207
10000,10000,0.01,1.0,6,0.9855537191033363,0.9858996576319138,0.0003459385285774867,0.0003508861433306289,-8.478417334397816e-05,0.0008013015604355949
10000,10000,0.02,1.0,6,0.9473768605384976,0.9484610004971424,0.0010841399586449068,0.001143051699623506,0.0006698450267940725,0.0015992139151276637
10000,10000,0.04,1.0,6,0.8388322688018283,0.8393337550417831,0.0005014862399548292,0.0005974813200856727,2.4641009927516942e-05,0.0011392079070365597
10000,10000,0.08,1.0,6,0.6887052429762358,0.6998388502979651,0.011133607321729263,0.015908815746637998,0.01417614759637393,0.01769936325408874
10000,10000,0.12,1.0,6,0.626887306648617,0.6467531146093582,0.019865807960741222,0.030716215371827407,0.029108867530229267,0.032518988092396194
