domain,step,input_domain,target_domain,representation,family,selected_step,ridge_tuning_mse,selected_tuning_mse,probe,population,root,standardized_rmse
pilot,0,melt,melt,exported,angular,300,0.9345540606810547,0.9340243139317609,residual,liquid,independent_melt_294342775,1.0053834157134016
pilot,0,melt,melt,exported,angular,300,0.9345540606810547,0.9340243139317609,residual,liquid,independent_melt_511618678,0.9759982343819642
pilot,0,melt,melt,exported,angular,300,0.9345540606810547,0.9340243139317609,residual,liquid,independent_melt_542619615,0.9405848345224344
pilot,0,melt,melt,exported,angular,300,0.9345540606810547,0.9340243139317609,residual,liquid,independent_melt_746071054,0.9817180235627484
pilot,0,melt,melt,exported,angular,300,0.9345540606810547,0.9340243139317609,residual,liquid,independent_melt_76681035,0.9677662980603908
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,all,independent_melt_200290231,0.334043910443035
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,all,independent_melt_294342775,0.32369019762467943
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,all,independent_melt_511618678,0.36303472080131
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,all,independent_melt_542619615,0.31294964218835336
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,all,independent_melt_746071054,0.338056436437706
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,all,independent_melt_76681035,0.336489712137892
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,liquid,independent_melt_200290231,0.334043910443035
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,liquid,independent_melt_294342775,0.32369019762467943
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,liquid,independent_melt_511618678,0.36303472080131
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,liquid,independent_melt_542619615,0.31294964218835336
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,liquid,independent_melt_746071054,0.338056436437706
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,ridge,liquid,independent_melt_76681035,0.336489712137892
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,all,independent_melt_200290231,0.3298451556795497
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,all,independent_melt_294342775,0.32223735212959403
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,all,independent_melt_511618678,0.35921306480421594
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,all,independent_melt_542619615,0.31301493615069065
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,all,independent_melt_746071054,0.3359343058046438
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,all,independent_melt_76681035,0.3339120892106272
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,liquid,independent_melt_200290231,0.3298451556795497
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,liquid,independent_melt_294342775,0.32223735212959403
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,liquid,independent_melt_511618678,0.35921306480421594
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,liquid,independent_melt_542619615,0.31301493615069065
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,liquid,independent_melt_746071054,0.3359343058046438
pilot,0,melt,melt,exported,radial,1100,0.10847885204178445,0.10717022375872631,residual,liquid,independent_melt_76681035,0.3339120892106272
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,ridge,all,independent_melt_200290231,0.6960759670811963
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,ridge,all,independent_melt_294342775,0.7141227262234956
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,ridge,all,independent_melt_511618678,0.6936330364149895
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,ridge,all,independent_melt_542619615,0.6919791738381478
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,ridge,all,independent_melt_746071054,0.7219830977154628
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,ridge,all,independent_melt_76681035,0.6936256344380842
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,ridge,liquid,independent_melt_200290231,0.6960759670811963
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,ridge,liquid,independent_melt_294342775,0.7141227262234956
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,ridge,liquid,independent_melt_511618678,0.6936330364149895
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,ridge,liquid,independent_melt_542619615,0.6919791738381478
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,ridge,liquid,independent_melt_746071054,0.7219830977154628
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,ridge,liquid,independent_melt_76681035,0.6936256344380842
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,residual,all,independent_melt_200290231,0.6958952786758615
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,residual,all,independent_melt_294342775,0.7140615025831479
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,residual,all,independent_melt_511618678,0.6937090654617517
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,residual,all,independent_melt_542619615,0.6922893453167162
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,residual,all,independent_melt_746071054,0.7219132721174507
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,residual,all,independent_melt_76681035,0.6939148277348373
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,residual,liquid,independent_melt_200290231,0.6958952786758615
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,residual,liquid,independent_melt_294342775,0.7140615025831479
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,residual,liquid,independent_melt_511618678,0.6937090654617517
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,residual,liquid,independent_melt_542619615,0.6922893453167162
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,residual,liquid,independent_melt_746071054,0.7219132721174507
pilot,0,melt,melt,exported,rich,1600,0.5164743919134446,0.516368743191522,residual,liquid,independent_melt_76681035,0.6939148277348373
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,ridge,all,independent_melt_200290231,0.9251828086678695
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,ridge,all,independent_melt_294342775,1.0056782272821914
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,ridge,all,independent_melt_511618678,0.9579547084666455
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,ridge,all,independent_melt_542619615,0.9432335855393947
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,ridge,all,independent_melt_746071054,0.9735756738188169
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,ridge,all,independent_melt_76681035,0.9502384550097549
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,ridge,liquid,independent_melt_200290231,0.9251828086678695
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,ridge,liquid,independent_melt_294342775,1.0056782272821914
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,ridge,liquid,independent_melt_511618678,0.9579547084666455
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,ridge,liquid,independent_melt_542619615,0.9432335855393947
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,ridge,liquid,independent_melt_746071054,0.9735756738188169
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,ridge,liquid,independent_melt_76681035,0.9502384550097549
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,residual,all,independent_melt_200290231,0.9251828086678695
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,residual,all,independent_melt_294342775,1.0056782272821914
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,residual,all,independent_melt_511618678,0.9579547084666455
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,residual,all,independent_melt_542619615,0.9432335855393947
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,residual,all,independent_melt_746071054,0.9735756738188169
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,residual,all,independent_melt_76681035,0.9502384550097549
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,residual,liquid,independent_melt_200290231,0.9251828086678695
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,residual,liquid,independent_melt_294342775,1.0056782272821914
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,residual,liquid,independent_melt_511618678,0.9579547084666455
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,residual,liquid,independent_melt_542619615,0.9432335855393947
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,residual,liquid,independent_melt_746071054,0.9735756738188169
pilot,0,melt,melt,pooled,angular,0,0.9211946466685924,0.9211946466685924,residual,liquid,independent_melt_76681035,0.9502384550097549
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,ridge,all,independent_melt_200290231,0.34759110473679417
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,ridge,all,independent_melt_294342775,0.3222890223131458
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,ridge,all,independent_melt_511618678,0.3469235691343964
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,ridge,all,independent_melt_542619615,0.31718988230186973
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,ridge,all,independent_melt_746071054,0.3368664637305709
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,ridge,all,independent_melt_76681035,0.3330597283902266
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,ridge,liquid,independent_melt_200290231,0.34759110473679417
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,ridge,liquid,independent_melt_294342775,0.3222890223131458
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,ridge,liquid,independent_melt_511618678,0.3469235691343964
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,ridge,liquid,independent_melt_542619615,0.31718988230186973
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,ridge,liquid,independent_melt_746071054,0.3368664637305709
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,ridge,liquid,independent_melt_76681035,0.3330597283902266
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,residual,all,independent_melt_200290231,0.33669895557402374
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,residual,all,independent_melt_294342775,0.32126187406866746
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,residual,all,independent_melt_511618678,0.3389974013186518
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,residual,all,independent_melt_542619615,0.3106876535162921
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,residual,all,independent_melt_746071054,0.32913147903227186
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,residual,all,independent_melt_76681035,0.3188408037486502
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,residual,liquid,independent_melt_200290231,0.33669895557402374
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,residual,liquid,independent_melt_294342775,0.32126187406866746
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,residual,liquid,independent_melt_511618678,0.3389974013186518
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,residual,liquid,independent_melt_542619615,0.3106876535162921
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,residual,liquid,independent_melt_746071054,0.32913147903227186
pilot,0,melt,melt,pooled,radial,500,0.10750845373938185,0.103314411607861,residual,liquid,independent_melt_76681035,0.3188408037486502
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,ridge,all,independent_melt_200290231,0.6910822331952142
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,ridge,all,independent_melt_294342775,0.7119643588670629
pilot,0,melt,melt,pooled,rich,0,0.5113722422018817,0.5113722422018817,ridge,all,independent_melt_511618678,0.6857440107125449
