domain,step,input_domain,target_domain,representation,family,selected_step,ridge_tuning_mse,selected_tuning_mse,probe,population,standardized_rmse
pilot,3000,melt,melt,exported,rich,200,0.524629794517215,0.5245590084453767,ridge,liquid,0.7036864698635203
pilot,3000,melt,melt,exported,rich,200,0.524629794517215,0.5245590084453767,residual,all,0.7037468213382565
pilot,3000,melt,melt,exported,rich,200,0.524629794517215,0.5245590084453767,residual,liquid,0.7037468213382565
pilot,3000,melt,melt,pooled,angular,0,0.9123998395269219,0.9123998395269219,ridge,all,0.9572164921356235
pilot,3000,melt,melt,pooled,angular,0,0.9123998395269219,0.9123998395269219,ridge,liquid,0.9572164921356235
pilot,3000,melt,melt,pooled,angular,0,0.9123998395269219,0.9123998395269219,residual,all,0.9572164921356235
pilot,3000,melt,melt,pooled,angular,0,0.9123998395269219,0.9123998395269219,residual,liquid,0.9572164921356235
pilot,3000,melt,melt,pooled,radial,500,0.1134643203770994,0.10862228072341329,ridge,all,0.33366046937355326
pilot,3000,melt,melt,pooled,radial,500,0.1134643203770994,0.10862228072341329,ridge,liquid,0.33366046937355326
pilot,3000,melt,melt,pooled,radial,500,0.1134643203770994,0.10862228072341329,residual,all,0.3284893594280024
pilot,3000,melt,melt,pooled,radial,500,0.1134643203770994,0.10862228072341329,residual,liquid,0.3284893594280024
pilot,3000,melt,melt,pooled,rich,200,0.5080371708856113,0.5077946741349119,ridge,all,0.6940034870317423
pilot,3000,melt,melt,pooled,rich,200,0.5080371708856113,0.5077946741349119,ridge,liquid,0.6940034870317423
pilot,3000,melt,melt,pooled,rich,200,0.5080371708856113,0.5077946741349119,residual,all,0.6938316588042818
pilot,3000,melt,melt,pooled,rich,200,0.5080371708856113,0.5077946741349119,residual,liquid,0.6938316588042818
pilot,10000,melt,melt,exported,angular,200,0.9416535350934938,0.941516311989437,ridge,all,0.9656622001271764
pilot,10000,melt,melt,exported,angular,200,0.9416535350934938,0.941516311989437,ridge,liquid,0.9656622001271764
pilot,10000,melt,melt,exported,angular,200,0.9416535350934938,0.941516311989437,residual,all,0.9655659412222708
