step,noise_over_d0,population,intervention,coverage,roots,true_nmse,other_nmse,delta,gain,ci95_lower,ci95_upper
1000,0.01,all,alpha_0,1.0,6,0.9905411683333417,0.9904555811081082,-8.55872252335151e-05,-8.641197734258643e-05,-0.00017175859421311506,7.696771383908406e-06
1000,0.01,all,alpha_0.5,1.0,6,0.9905411683333417,0.9904843156691641,-5.685266417761644e-05,-5.7398853548977396e-05,-0.00010177748213103194,-1.1206048738440225e-05
1000,0.01,all,alpha_1,1.0,6,0.9905411683333417,0.9905411683333417,0.0,0.0,0.0,0.0
1000,0.01,all,alpha_2,1.0,6,0.9905411683333417,0.9907384438750645,0.0001972755417227745,0.00019911969999990395,0.00010241693773764847,0.0002899171731656504
1000,0.01,all,optimized_constant,1.0,6,0.9905411683333417,0.990370577123637,-0.00017059120970467725,-0.00017224987660700145,-0.0002667250536276106,-5.954932119952804e-05
1000,0.01,all,strict_donor,0.8984375,6,0.9902276010179228,0.9902215838901999,-6.017127722894126e-06,-6.076546725359348e-06,-9.074330340424014e-05,6.576557708626119e-05
1000,0.01,all,unrestricted_donor,1.0,6,0.9905411683333417,0.9905363157158718,-4.852617469926675e-06,-4.898979868755888e-06,-0.00015042463576831234,0.00014045064848545953
1000,0.01,liquid,alpha_0,1.0,6,0.9905411683333417,0.9904555811081082,-8.55872252335151e-05,-8.641197734258643e-05,-0.00017175859421311506,7.696771383908406e-06
1000,0.01,liquid,alpha_0.5,1.0,6,0.9905411683333417,0.9904843156691641,-5.685266417761644e-05,-5.7398853548977396e-05,-0.00010177748213103194,-1.1206048738440225e-05
1000,0.01,liquid,alpha_1,1.0,6,0.9905411683333417,0.9905411683333417,0.0,0.0,0.0,0.0
1000,0.01,liquid,alpha_2,1.0,6,0.9905411683333417,0.9907384438750645,0.0001972755417227745,0.00019911969999990395,0.00010241693773764847,0.0002899171731656504
1000,0.01,liquid,optimized_constant,1.0,6,0.9905411683333417,0.990370577123637,-0.00017059120970467725,-0.00017224987660700145,-0.0002667250536276106,-5.954932119952804e-05
1000,0.01,liquid,strict_donor,0.8984375,6,0.9902276010179228,0.9902215838901999,-6.017127722894126e-06,-6.076546725359348e-06,-9.074330340424014e-05,6.576557708626119e-05
1000,0.01,liquid,unrestricted_donor,1.0,6,0.9905411683333417,0.9905363157158718,-4.852617469926675e-06,-4.898979868755888e-06,-0.00015042463576831234,0.00014045064848545953
1000,0.02,all,alpha_0,1.0,6,0.9515994975809008,0.9515677413437515,-3.1756237149238586e-05,-3.3372544874623615e-05,-9.407680615950376e-05,1.4043585836643191e-05
1000,0.02,all,alpha_0.5,1.0,6,0.9515994975809008,0.9515658911938468,-3.360638705392679e-05,-3.531693113947242e-05,-6.599697003877357e-05,-1.0425342050679943e-05
1000,0.02,all,alpha_1,1.0,6,0.9515994975809008,0.9515994975809008,0.0,0.0,0.0,0.0
1000,0.02,all,alpha_2,1.0,6,0.9515994975809008,0.9517718459634731,0.000172348382572333,0.000181081614573111,0.00012504532053253983,0.00024691414009577373
1000,0.02,all,optimized_constant,1.0,6,0.9515994975809008,0.9513882037717849,-0.0002112938091158867,-0.00022209000309044295,-0.000312403382720611,-0.00012696450781638432
1000,0.02,all,strict_donor,0.8984375,6,0.9513358050575403,0.9513724318058938,3.6626748353418837e-05,3.849885400184395e-05,-1.0474918792201785e-05,8.181811026849985e-05
1000,0.02,all,unrestricted_donor,1.0,6,0.9515994975809008,0.9516648973027865,6.53997218857209e-05,6.872137668525982e-05,3.2679682163063064e-06,0.0001385547539510559
1000,0.02,liquid,alpha_0,1.0,6,0.9515994975809008,0.9515677413437515,-3.1756237149238586e-05,-3.3372544874623615e-05,-9.407680615950376e-05,1.4043585836643191e-05
1000,0.02,liquid,alpha_0.5,1.0,6,0.9515994975809008,0.9515658911938468,-3.360638705392679e-05,-3.531693113947242e-05,-6.599697003877357e-05,-1.0425342050679943e-05
1000,0.02,liquid,alpha_1,1.0,6,0.9515994975809008,0.9515994975809008,0.0,0.0,0.0,0.0
1000,0.02,liquid,alpha_2,1.0,6,0.9515994975809008,0.9517718459634731,0.000172348382572333,0.000181081614573111,0.00012504532053253983,0.00024691414009577373
1000,0.02,liquid,optimized_constant,1.0,6,0.9515994975809008,0.9513882037717849,-0.0002112938091158867,-0.00022209000309044295,-0.000312403382720611,-0.00012696450781638432
1000,0.02,liquid,strict_donor,0.8984375,6,0.9513358050575403,0.9513724318058938,3.6626748353418837e-05,3.849885400184395e-05,-1.0474918792201785e-05,8.181811026849985e-05
1000,0.02,liquid,unrestricted_donor,1.0,6,0.9515994975809008,0.9516648973027865,6.53997218857209e-05,6.872137668525982e-05,3.2679682163063064e-06,0.0001385547539510559
1000,0.04,all,alpha_0,1.0,6,0.8487450256943703,0.8488267715244243,8.174583005408446e-05,9.630449085299058e-05,-3.6987255144131425e-05,0.00025468505012743274
1000,0.04,all,alpha_0.5,1.0,6,0.8487450256943703,0.848759421845898,1.4396151527762413e-05,1.696140408839691e-05,-4.9065098870675155e-05,9.670445241012096e-05
1000,0.04,all,alpha_1,1.0,6,0.8487450256943703,0.8487450256943703,0.0,0.0,0.0,0.0
1000,0.04,all,alpha_2,1.0,6,0.8487450256943703,0.848873105753834,0.00012808005946377912,0.00015088245651274557,2.007564914701954e-06,0.0002873165690060305
1000,0.04,all,optimized_constant,1.0,6,0.8487450256943703,0.8487595076827953,1.4481988425056139e-05,1.706253455063675e-05,-0.0001245191042731333,0.00016213747153628755
1000,0.04,all,strict_donor,0.8984375,6,0.849681650877033,0.8497445746648471,6.292378781438031e-05,7.405023778934736e-05,-3.887512422093632e-05,0.00020655207293463404
1000,0.04,all,unrestricted_donor,1.0,6,0.8487450256943703,0.8488942440599203,0.0001492183655500412,0.00017577968821697938,-2.337481697005946e-05,0.0003883224646917413
1000,0.04,liquid,alpha_0,1.0,6,0.8487450256943703,0.8488267715244243,8.174583005408446e-05,9.630449085299058e-05,-3.6987255144131425e-05,0.00025468505012743274
1000,0.04,liquid,alpha_0.5,1.0,6,0.8487450256943703,0.848759421845898,1.4396151527762413e-05,1.696140408839691e-05,-4.9065098870675155e-05,9.670445241012096e-05
1000,0.04,liquid,alpha_1,1.0,6,0.8487450256943703,0.8487450256943703,0.0,0.0,0.0,0.0
1000,0.04,liquid,alpha_2,1.0,6,0.8487450256943703,0.848873105753834,0.00012808005946377912,0.00015088245651274557,2.007564914701954e-06,0.0002873165690060305
1000,0.04,liquid,optimized_constant,1.0,6,0.8487450256943703,0.8487595076827953,1.4481988425056139e-05,1.706253455063675e-05,-0.0001245191042731333,0.00016213747153628755
1000,0.04,liquid,strict_donor,0.8984375,6,0.849681650877033,0.8497445746648471,6.292378781438031e-05,7.405023778934736e-05,-3.887512422093632e-05,0.00020655207293463404
1000,0.04,liquid,unrestricted_donor,1.0,6,0.8487450256943703,0.8488942440599203,0.0001492183655500412,0.00017577968821697938,-2.337481697005946e-05,0.0003883224646917413
1000,0.08,all,alpha_0,1.0,6,0.7100677457250034,0.7101052536939582,3.7507968954741955e-05,5.282029496279037e-05,-0.00023282995724003582,0.00032322793741851704
1000,0.08,all,alpha_0.5,1.0,6,0.7100677457250034,0.7100270911275098,-4.065459749350945e-05,-5.725781171113446e-05,-0.00020436730686640263,7.683255338607138e-05
1000,0.08,all,alpha_1,1.0,6,0.7100677457250034,0.7100677457250034,0.0,0.0,0.0,0.0
1000,0.08,all,alpha_2,1.0,6,0.7100677457250034,0.7105019487983858,0.0004342030733823776,0.000611121579774285,0.0003540037961564915,0.000919109883044293
1000,0.08,all,optimized_constant,1.0,6,0.7100677457250034,0.7100048616606122,-6.288406439125538e-05,-8.856849831165585e-05,-0.00037241047905049767,0.00019716751917017047
1000,0.08,all,strict_donor,0.8984375,6,0.7095865030947172,0.7095955022019907,8.99910727360694e-06,1.2682024118899762e-05,-0.0002332086999864928,0.00032057976783545427
1000,0.08,all,unrestricted_donor,1.0,6,0.7100677457250034,0.7103200485968652,0.0002523028718618055,0.0003551960448816269,-2.1592880163178793e-05,0.0007536347569616592
1000,0.08,liquid,alpha_0,1.0,6,0.7100677457250034,0.7101052536939582,3.7507968954741955e-05,5.282029496279037e-05,-0.00023282995724003582,0.00032322793741851704
1000,0.08,liquid,alpha_0.5,1.0,6,0.7100677457250034,0.7100270911275098,-4.065459749350945e-05,-5.725781171113446e-05,-0.00020436730686640263,7.683255338607138e-05
1000,0.08,liquid,alpha_1,1.0,6,0.7100677457250034,0.7100677457250034,0.0,0.0,0.0,0.0
1000,0.08,liquid,alpha_2,1.0,6,0.7100677457250034,0.7105019487983858,0.0004342030733823776,0.000611121579774285,0.0003540037961564915,0.000919109883044293
1000,0.08,liquid,optimized_constant,1.0,6,0.7100677457250034,0.7100048616606122,-6.288406439125538e-05,-8.856849831165585e-05,-0.00037241047905049767,0.00019716751917017047
1000,0.08,liquid,strict_donor,0.8984375,6,0.7095865030947172,0.7095955022019907,8.99910727360694e-06,1.2682024118899762e-05,-0.0002332086999864928,0.00032057976783545427
1000,0.08,liquid,unrestricted_donor,1.0,6,0.7100677457250034,0.7103200485968652,0.0002523028718618055,0.0003551960448816269,-2.1592880163178793e-05,0.0007536347569616592
1000,0.12,all,alpha_0,1.0,6,0.6677830239447454,0.6674396713497117,-0.000343352595033745,-0.000514432404563805,-0.0009414723512277858,-0.00011623941729128541
1000,0.12,all,alpha_0.5,1.0,6,0.6677830239447454,0.6675095337753495,-0.00027349016939600307,-0.00040971724830520884,-0.0006300205993418687,-0.00021079926804555473
1000,0.12,all,alpha_1,1.0,6,0.6677830239447454,0.6677830239447454,0.0,0.0,0.0,0.0
1000,0.12,all,alpha_2,1.0,6,0.6677830239447454,0.668936216738075,0.0011531927933295567,0.00172392040447876,0.0012759224090078012,0.0021893527237262455
1000,0.12,all,optimized_constant,1.0,6,0.6677830239447454,0.6672558657980213,-0.0005271581467241049,-0.0007900389846609095,-0.001278632813171166,-0.00032261115148984594
1000,0.12,all,strict_donor,0.8984375,6,0.6675903991712389,0.6676081311804927,1.7732009253775456e-05,2.656050522101638e-05,-0.000341375619468873,0.0003706050060143524
1000,0.12,all,unrestricted_donor,1.0,6,0.6677830239447454,0.6679301255790051,0.00014710163425964615,0.00022023506445702822,-0.0004286183783661175,0.0008139522560544508
1000,0.12,liquid,alpha_0,1.0,6,0.6677830239447454,0.6674396713497117,-0.000343352595033745,-0.000514432404563805,-0.0009414723512277858,-0.00011623941729128541
1000,0.12,liquid,alpha_0.5,1.0,6,0.6677830239447454,0.6675095337753495,-0.00027349016939600307,-0.00040971724830520884,-0.0006300205993418687,-0.00021079926804555473
1000,0.12,liquid,alpha_1,1.0,6,0.6677830239447454,0.6677830239447454,0.0,0.0,0.0,0.0
1000,0.12,liquid,alpha_2,1.0,6,0.6677830239447454,0.668936216738075,0.0011531927933295567,0.00172392040447876,0.0012759224090078012,0.0021893527237262455
1000,0.12,liquid,optimized_constant,1.0,6,0.6677830239447454,0.6672558657980213,-0.0005271581467241049,-0.0007900389846609095,-0.001278632813171166,-0.00032261115148984594
1000,0.12,liquid,strict_donor,0.8984375,6,0.6675903991712389,0.6676081311804927,1.7732009253775456e-05,2.656050522101638e-05,-0.000341375619468873,0.0003706050060143524
1000,0.12,liquid,unrestricted_donor,1.0,6,0.6677830239447454,0.6679301255790051,0.00014710163425964615,0.00022023506445702822,-0.0004286183783661175,0.0008139522560544508
10000,0.01,all,alpha_0,1.0,6,0.9856298139784485,0.9856571514004221,2.7337421973546345e-05,2.7735224093633706e-05,-1.848794967116463e-05,8.811798547540656e-05
10000,0.01,all,alpha_0.5,1.0,6,0.9856298139784485,0.9856197117672613,-1.0102211187283197e-05,-1.0249603438969847e-05,-3.2869636130177634e-05,1.8320829258025655e-05
10000,0.01,all,alpha_1,1.0,6,0.9856298139784485,0.9856298139784485,0.0,0.0,0.0,0.0
