field,phase,metric,sources,mean,low,high
block1/ideal_bivector,unclassified,coverage,10,0.9965708583410974,0.9956807993293444,0.9974953150879943
block1/ideal_bivector,unclassified,mean_angle_deg,10,73.04957375826055,70.99142168056946,75.07422137946106
block1/ideal_bivector,unclassified,p1,10,0.24398789785069033,0.21711911048754368,0.2714921637177603
block1/ideal_bivector,unclassified,p2,10,0.09913159447071213,0.070843927399809,0.12741926154161526
block1/ideal_bivector,unclassified,rms_relative_norm,10,1.1034436090750137,1.0499203819282414,1.1569668362217862
block1/ideal_bivector,FCC,coverage,10,0.9914029932063697,0.9890106343843936,0.9937779044061077
block1/ideal_bivector,FCC,mean_angle_deg,10,86.71062025453747,85.73784183139871,87.68339867767622
block1/ideal_bivector,FCC,p1,10,0.0486302028079147,0.03412480709000034,0.06313559852582906
block1/ideal_bivector,FCC,p2,10,0.0030765783847071303,-0.004102744021543393,0.009979123614829073
block1/ideal_bivector,FCC,rms_relative_norm,10,0.7055497312577335,0.6983454077273454,0.7127540547881215
block1/ideal_bivector,HCP,coverage,4,,,
block1/ideal_bivector,HCP,mean_angle_deg,4,,,
block1/ideal_bivector,HCP,p1,4,,,
block1/ideal_bivector,HCP,p2,4,,,
block1/ideal_bivector,HCP,rms_relative_norm,10,0.962905488309952,0.792884687876805,1.1378638445905276
block1/axial_bivector,unclassified,coverage,10,0.9976624122815331,0.9973042791377509,0.9980203622569738
block1/axial_bivector,unclassified,mean_angle_deg,10,79.39480879049799,78.15311573172137,80.76985887588941
block1/axial_bivector,unclassified,p1,10,0.15556403168186736,0.13544730925623652,0.1738396760977255
block1/axial_bivector,unclassified,p2,10,0.03023390767255435,0.021229687331543866,0.03873590587209802
block1/axial_bivector,unclassified,rms_relative_norm,10,1.0245013187899643,1.0118453437044534,1.0369231607496652
block1/axial_bivector,FCC,coverage,10,0.9964599357901619,0.9954634044398849,0.9975418503868623
block1/axial_bivector,FCC,mean_angle_deg,10,84.68851108899,83.42052271716129,85.84112705857595
block1/axial_bivector,FCC,p1,10,0.07827301945685328,0.06093001942647558,0.09724855195039134
block1/axial_bivector,FCC,p2,10,0.003301973266064751,-0.005724247456470878,0.011826362932290807
block1/axial_bivector,FCC,rms_relative_norm,10,0.883625473213659,0.8638388621129822,0.9044259806774775
block1/axial_bivector,HCP,coverage,4,,,
block1/axial_bivector,HCP,mean_angle_deg,4,,,
block1/axial_bivector,HCP,p1,4,,,
block1/axial_bivector,HCP,p2,4,,,
block1/axial_bivector,HCP,rms_relative_norm,10,0.9071362786923199,0.8666735367730428,0.9462739070206831
block1/point_numerator,unclassified,coverage,10,0.9963597655143811,0.9953941273544284,0.997343257282469
block1/point_numerator,unclassified,mean_angle_deg,10,72.83736326108229,70.77425350707291,74.84432159422877
block1/point_numerator,unclassified,p1,10,0.24680072742721162,0.21996745558622743,0.274199935691095
block1/point_numerator,unclassified,p2,10,0.10128412542894194,0.0727326978001203,0.12983555305776356
block1/point_numerator,unclassified,rms_relative_norm,10,1.105323890146502,1.0504768402983278,1.160170939994676
block1/point_numerator,FCC,coverage,10,0.9911165355442701,0.9892017666338704,0.9930107508474934
block1/point_numerator,FCC,mean_angle_deg,10,86.45139475810308,85.43937923367197,87.47206243823062
block1/point_numerator,FCC,p1,10,0.052528315666349204,0.03715530615937291,0.06762720420552905
block1/point_numerator,FCC,p2,10,0.0030767378189328065,-0.004633347805334257,0.010423893823276154
block1/point_numerator,FCC,rms_relative_norm,10,0.7049765584480616,0.6972234905453453,0.712729626350778
block1/point_numerator,HCP,coverage,4,,,
block1/point_numerator,HCP,mean_angle_deg,4,,,
block1/point_numerator,HCP,p1,4,,,
block1/point_numerator,HCP,p2,4,,,
block1/point_numerator,HCP,rms_relative_norm,10,0.9693241005674033,0.7958824378329442,1.1468449953954232
block2_mlp_input/ideal_bivector,unclassified,coverage,10,0.9963940048247377,0.9954932376559195,0.9973473792062555
block2_mlp_input/ideal_bivector,unclassified,mean_angle_deg,10,72.93604737025528,70.84461822847257,74.98047460622888
block2_mlp_input/ideal_bivector,unclassified,p1,10,0.24557849726506129,0.21848223325870592,0.2735602689962304
block2_mlp_input/ideal_bivector,unclassified,p2,10,0.10017119678489458,0.07164318097467064,0.12869921259511852
block2_mlp_input/ideal_bivector,unclassified,rms_relative_norm,10,1.1045697408436508,1.0509703924583405,1.1582015209522964
block2_mlp_input/ideal_bivector,FCC,coverage,10,0.991447582269784,0.9892524621065851,0.993625254810745
block2_mlp_input/ideal_bivector,FCC,mean_angle_deg,10,86.71866889658578,85.76991051893091,87.66742727424064
block2_mlp_input/ideal_bivector,FCC,p1,10,0.04848078114065359,0.03429262054379022,0.06266894173751696
block2_mlp_input/ideal_bivector,FCC,p2,10,0.003060441985376241,-0.004135409981089337,0.009930078120114578
block2_mlp_input/ideal_bivector,FCC,rms_relative_norm,10,0.7052473949778226,0.6980752000066884,0.7124195899489568
