threshold_fraction,metric,sources,mean,low,high
0.0,coverage,10,1.0,1.0,1.0
0.0,mean_angle_deg,10,77.87549746415382,76.80795105549643,78.91262930101206
0.0,flip90_fraction,10,0.37734375,0.36909062500000006,0.38559374999999996
0.0,p1,10,0.17655714770951647,0.16215825340079318,0.19147267100959411
0.0,p2,10,0.053355610147496645,0.04242188461344777,0.0642929307646333
0.1,coverage,10,0.99615625,0.99546875,0.9967812500000001
0.1,mean_angle_deg,10,77.81840114781177,76.7476103768774,78.85155224887384
0.1,flip90_fraction,10,0.37684349170076104,0.36872948688958895,0.38495374480207034
0.1,p1,10,0.1774047917720733,0.1630584671613084,0.1924172589551625
0.1,p2,10,0.053417583581399905,0.04228353394554008,0.06455439300461832
0.3,coverage,10,0.9047812500000001,0.8973437500000001,0.913
0.3,mean_angle_deg,10,76.88207821240334,75.74529871729733,77.99320758373902
0.3,flip90_fraction,10,0.3677483909881578,0.35887015423025614,0.37663175527623266
0.3,p1,10,0.1909671148447892,0.1755434754784373,0.2064627117233555
0.3,p2,10,0.058010294408093986,0.04500171704734226,0.07101995818002982
0.5,coverage,10,0.6635312499999999,0.64440625,0.68396875
0.5,mean_angle_deg,10,74.02438671347713,72.66572275082027,75.34511289689912
0.5,flip90_fraction,10,0.34066999320954106,0.3308086422448077,0.35053134417427434
0.5,p1,10,0.2322588269373615,0.21384056765253495,0.2508576898092721
0.5,p2,10,0.07654238682183087,0.0596853200900501,0.09345594505760688
1.0,coverage,10,0.1400625,0.11618750000000003,0.16446875000000002
1.0,mean_angle_deg,10,57.54636902451161,54.169897617109015,60.67815174345693
1.0,flip90_fraction,10,0.18469709918615537,0.16213084506844358,0.20654914207080693
1.0,p1,10,0.46701647205937924,0.4259941361925946,0.5130438021180984
1.0,p2,10,0.21946727755352224,0.17582934603267697,0.26310520907436763
