source,temperature_K,threshold_fraction,pairs,valid_pairs,coverage,mean_angle_deg,median_angle_deg,p95_angle_deg,mean_axis_angle_deg,jump60_fraction,flip90_fraction,p1,p2
911,400.0,0.0,3200,3200,1.0,73.72834498946492,69.86769505037674,145.58433688910728,53.9235629839944,0.578125,0.3359375,0.2377771941577762,0.07210231660040675
911,400.0,0.1,3200,3184,0.995,73.58657444810873,69.69893680338305,145.5477937768279,53.89646188869016,0.5766331658291457,0.3341708542713568,0.23993101545530726,0.07269989072079196
911,400.0,0.3,3200,2818,0.880625,72.4205198250383,67.92153777895186,144.47761949570145,53.25328637514732,0.5624556422995032,0.3254080908445706,0.2564650120485291,0.08638360141601666
911,400.0,0.5,3200,2016,0.63,68.8158800947095,63.1639572325419,140.82784810799953,52.37920791726658,0.5267857142857143,0.29117063492063494,0.3082120818034914,0.10396040884835779
911,400.0,1.0,3200,373,0.1165625,50.40835344472995,43.73103225061767,118.11954858074549,43.372786834258676,0.2707774798927614,0.12064343163538874,0.5692835121997327,0.2985247251370829
913,400.0,0.0,3200,3200,1.0,72.93700082632971,68.07542527530629,142.8809772681584,54.02481668946994,0.5759375,0.32125,0.24875091800379753,0.06885849277053674
913,400.0,0.1,3200,3184,0.995,72.81764649034776,67.76503692611962,142.9018817745585,53.944523952365884,0.5741206030150754,0.32003768844221103,0.25051414230515107,0.07044858672246712
913,400.0,0.3,3200,2889,0.9028125,71.30639861646375,66.0603168675848,140.59113509982453,53.95030295938483,0.5600553824852891,0.3032191069574247,0.27269328384702163,0.07060442283375393
913,400.0,0.5,3200,2069,0.6465625,67.24055938542625,61.29527896500568,136.59219116817863,52.534728999269376,0.5094248429192847,0.2624456259062349,0.33249465974623826,0.09980954203078853
913,400.0,1.0,3200,268,0.08375,51.444124891262895,47.31676714276882,116.8507375488939,45.56824206888946,0.29850746268656714,0.10820895522388059,0.5603311350096738,0.24092814729467715
938,450.0,0.0,3200,3200,1.0,80.00223330566287,77.51224147947423,147.4230599475032,56.09111075184714,0.65125,0.4021875,0.14579212898574917,0.025402920896485374
938,450.0,0.1,3200,3184,0.995,79.95690791485458,77.48450402748688,147.23361552106726,56.110749107081766,0.6507537688442211,0.4020100502512563,0.14644864372828906,0.02496964369967787
938,450.0,0.3,3200,2770,0.865625,78.7091182485457,76.29957410273677,144.57047916883178,56.01638075114255,0.640072202166065,0.38664259927797834,0.16453750807689288,0.027754566922130266
938,450.0,0.5,3200,1825,0.5703125,75.66127912519167,72.03667160790738,143.42922839469713,55.35574573314857,0.6071232876712329,0.35232876712328765,0.2100978515389052,0.042228602767106375
