source,temperature_K,frame,field,distance_lo_A,distance_hi_A,pairs,distance_mean_A,p1,p2,shuffle_p1,shuffle_p2,excess_p1,excess_p2,overlap80,valid_centers,centers
911,400.0,0,block1/ideal_bivector,0,4,1292,3.0792939158750188,0.08932602417264221,-0.005672228089706623,0.0008567715457380546,-0.0005344766310121374,0.08846925262690418,-0.0051377514586944855,0.6734423374613003,320,320
911,400.0,0,block1/ideal_bivector,4,8,6105,6.261166929276069,-0.003121584893004434,-0.0029201326379416624,0.0008567715457380545,-0.0005344766310121374,-0.0039783564387424804,-0.0023856560069295246,0.3743529893529894,320,320
911,400.0,0,block1/ideal_bivector,8,12,6662,9.880375787801666,-0.013360548852291819,-0.0019217706108051772,0.0008567715457380545,-0.0005344766310121374,-0.014217320398029863,-0.0013872939797930403,0.12010657460222156,320,320
911,400.0,0,block1/ideal_bivector,12,18,2291,13.269293066626954,-0.011233515967675021,0.005474976424178301,0.0008567715457380546,-0.0005344766310121374,-0.012090287513413064,0.00600945305519044,0.007687690964644261,320,320
911,400.0,0,block1/ideal_bivector,18,26,480,22.871531452891688,0.0049636664664064615,-0.0012603472680378217,0.0008567715457380546,-0.0005344766310121374,0.004106894920668417,-0.0007258706370256871,0.0,320,320
911,400.0,0,block1/ideal_bivector,26,40,3110,34.2413828682033,0.024665690823473037,0.0033626171704188297,0.0008567715457380545,-0.0005344766310121374,0.02380891927773499,0.0038970938014309675,0.0,320,320
911,400.0,0,block1/ideal_bivector,40,80,30752,57.44250531134881,-0.00031960063112719935,-2.62751836545826e-05,0.0008567715457380546,-0.0005344766310121374,-0.0011763721768652455,0.0005082014473575551,0.0,320,320
911,400.0,0,block1/axial_bivector,0,4,1279,3.0800431951337335,-0.06078053269836769,-0.006337679551410403,-0.001673817646571429,-0.0008730772463054759,-0.0591067150517963,-0.005464602305104926,0.6733971853010164,318,320
911,400.0,0,block1/axial_bivector,4,8,6029,6.262561248724299,0.005620865318523285,-0.0016776419308728223,-0.0016738176465714292,-0.0008730772463054759,0.007294682965094686,-0.000804564684567346,0.3741457953226074,318,320
911,400.0,0,block1/axial_bivector,8,12,6554,9.879324375755294,-0.0022580528778174615,-0.0011375432416113863,-0.0016738176465714294,-0.000873077246305476,-0.0005842352312460621,-0.00026446599530591074,0.12004882514494965,318,320
911,400.0,0,block1/axial_bivector,12,18,2233,13.267686969309965,0.012813794913244001,0.001606825697936022,-0.0016738176465714292,-0.0008730772463054759,0.0144876125598154,0.0024799029442414996,0.007607478728168382,318,320
911,400.0,0,block1/axial_bivector,18,26,476,22.862356582559087,-0.015359949551730976,-0.022610547593139962,-0.0016738176465714292,-0.0008730772463054759,-0.013686131905159568,-0.021737470346834476,0.0,318,320
911,400.0,0,block1/axial_bivector,26,40,3090,34.238085122793386,-0.011355836608659003,0.009840925426446141,-0.0016738176465714292,-0.0008730772463054759,-0.009682018962087605,0.010714002672751617,0.0,318,320
911,400.0,0,block1/axial_bivector,40,80,30396,57.45413229658186,-0.0002026811288769606,-0.0005967288211767865,-0.0016738176465714292,-0.0008730772463054759,0.0014711365176944408,0.00027634842512868897,0.0,318,320
911,400.0,0,block1/point_numerator,0,4,1292,3.0792939158750188,0.1004875884733901,-0.003632137140627583,0.001203037650185762,-0.0002864707587456605,0.09928455082320428,-0.0033456663818819217,0.6734423374613003,320,320
911,400.0,0,block1/point_numerator,4,8,6105,6.261166929276069,-0.0035746444895552575,-0.0028976460281171235,0.0012030376501857617,-0.0002864707587456605,-0.004777682139741041,-0.002611175269371463,0.3743529893529894,320,320
911,400.0,0,block1/point_numerator,8,12,6662,9.880375787801666,-0.013834373994630122,-0.0015943635839280326,0.001203037650185762,-0.0002864707587456605,-0.015037411644815908,-0.0013078928251823697,0.12010657460222156,320,320
911,400.0,0,block1/point_numerator,12,18,2291,13.269293066626954,-0.011804901220043225,0.006126339474872894,0.001203037650185762,-0.0002864707587456605,-0.013007938870229009,0.00641281023361855,0.007687690964644261,320,320
911,400.0,0,block1/point_numerator,18,26,480,22.871531452891688,0.004790665821438175,-0.0001809919359980307,0.0012030376501857621,-0.0002864707587456605,0.003587628171252394,0.00010547882274763026,0.0,320,320
911,400.0,0,block1/point_numerator,26,40,3110,34.2413828682033,0.02513973705910907,0.0035504851764597252,0.001203037650185762,-0.0002864707587456605,0.02393669940892328,0.003836955935205387,0.0,320,320
911,400.0,0,block1/point_numerator,40,80,30752,57.44250531134881,-1.3262136561338441e-05,0.0001521774905184399,0.0012030376501857621,-0.0002864707587456605,-0.001216299786747124,0.00043864824926410125,0.0,320,320
