source,temperature_K,field,norm_rms,valid_fraction,z_increment_spearman,cage_residual_angle_spearman,channel_axis_rank1_fraction,align_centroid_7A_p2,align_centroid_support_p2,align_shape_axis_7A_p2
911,400.0,block1/ideal_bivector,9.619054205564735e-06,0.99812734082397,0.15911289749637667,-0.04796492600723792,0.8652109511340135,0.024788453115643812,0.006614364565106194,-0.025260922104757475
911,400.0,block1/axial_bivector,2.158786200319747e-06,0.9984394506866417,0.06117239513402295,-0.014799397445162408,0.7563023043666273,0.057654316654390116,0.007136632433740711,0.014088034661026197
911,400.0,block1/point_numerator,0.00022420174855292715,0.9978152309612984,0.15898075685847235,-0.049734844660507406,0.8042073552021882,0.02521121499222606,0.006884209223905851,-0.025723014192575555
911,400.0,block2_mlp_input/ideal_bivector,6.11667490828607e-06,0.99812734082397,0.15767013722364617,-0.052645599836804016,0.8644807384075132,0.028279465329038824,0.007086421129991399,-0.025930972750524958
911,400.0,block2_mlp_input/axial_bivector,1.3370329253436283e-06,0.9987515605493134,0.055103814951544414,-0.018101014007127117,0.7543005575635635,0.054127466302233154,0.006745675849148548,0.015390753996223012
911,400.0,block2_mlp_input/point_numerator,0.00017847743962816023,0.9975031210986267,0.11136752882007116,-0.07074818717226936,0.6770819511650643,0.03133499286203924,0.04058126666085933,-0.02239867789090553
911,400.0,block2_output/plane_normal,1.500620181274133e-08,0.9959425717852685,0.15863382762537379,-0.03038903497016928,0.8884377879947376,0.012782532050435792,0.0033331552145067197,-0.023574675277983854
911,400.0,block2_output/ideal_bivector,9.56174399330792e-06,0.99812734082397,0.15752836084261335,-0.05470277782643819,0.8660855079520946,0.02995253012247096,0.00756001082854762,-0.02595502510122479
911,400.0,block2_output/axial_bivector,2.227440615561954e-06,0.99812734082397,0.06071757758472437,-0.0005670800551707591,0.7490032153626711,0.0666180141542438,0.009327923836957217,0.013675984861845097
911,400.0,block2_output/point_numerator,0.0002801073797778877,0.9975031210986267,0.11162994388476012,-0.07076063814248476,0.677278221817716,0.031410744268848725,0.040562119134069326,-0.022375069683702644
911,400.0,centroid_7A,0.09483511143886496,0.9984394506866417,0.16139925916984948,-0.04432307329342823,,,,
911,400.0,centroid_support,0.05769058667789373,0.9987515605493134,0.10840242001000194,0.30773885135570095,,,,
911,400.0,shape_axis_7A,0.7476555119108791,0.5589887640449438,0.12129983428640703,0.006582645305563741,,,,
913,400.0,block1/ideal_bivector,9.439065114731707e-06,0.9968789013732834,0.15695671027409275,0.06671459014987256,0.8650303308904623,0.018235454676225928,-0.014617264883420633,-0.04874865518541616
913,400.0,block1/axial_bivector,2.0958982521969887e-06,0.9993757802746567,0.085688093573056,0.034455510408862494,0.7600005085296282,0.04739017466862917,0.02030202229562624,-0.00338176329015822
913,400.0,block1/point_numerator,0.00022044101023678138,0.9975031210986267,0.15625256604028964,0.06654833275776284,0.8090155624873259,0.02003907711725123,-0.01390897974518428,-0.04958717967501406
913,400.0,block2_mlp_input/ideal_bivector,5.99633291687147e-06,0.9962546816479401,0.1567332648177016,0.06395673678558571,0.865293282297149,0.0211087920623065,-0.014394499180317726,-0.04985055007306097
913,400.0,block2_mlp_input/axial_bivector,1.2971967039772378e-06,0.9990636704119851,0.08203687312371806,0.035600715198260795,0.7576741253176016,0.04373839967955294,0.021166389107391215,-0.003511314445664321
913,400.0,block2_mlp_input/point_numerator,0.00017369358308655494,0.9975031210986267,0.10499072167878139,0.03993811638799064,0.6802722268919662,0.01514243851984651,0.03843151284775248,-0.04958638395650074
913,400.0,block2_output/plane_normal,1.470716666322988e-08,0.9978152309612984,0.1530365356969273,0.06975263978221666,0.8888234538654056,0.0073730757986423465,-0.015132751733465042,-0.042907805062189316
913,400.0,block2_output/ideal_bivector,9.371098663633111e-06,0.9975031210986267,0.15681333941048234,0.06157426198130595,0.8665523152599132,0.02247900633118974,-0.014147103855253893,-0.05065591855720484
913,400.0,block2_output/axial_bivector,2.151983231612302e-06,0.9990636704119851,0.08626185681268131,0.03736063420597615,0.7517296623704015,0.05729711912742662,0.024423307230882107,-0.0006967897917184009
913,400.0,block2_output/point_numerator,0.0002725737820532413,0.9975031210986267,0.10519002064843949,0.039967853061123375,0.6805006347418692,0.015215014452213365,0.03837680494864002,-0.0495886741623357
913,400.0,centroid_7A,0.10027755468928698,0.9990636704119851,0.17430537871634558,0.022831518885606302,,,,
