field,distance_lo_A,distance_hi_A,metric,sources,mean,low,high
block1/ideal_bivector,0,4,p1,10,0.13747298438292113,0.13623264579217706,0.13868368327948982
block1/ideal_bivector,0,4,p2,10,0.029167117090407025,0.027227277400034645,0.03115556103016954
block1/ideal_bivector,0,4,shuffle_p1,10,0.0018881933998616928,0.0014918121907210452,0.0022845746090023405
block1/ideal_bivector,0,4,shuffle_p2,10,0.0015000501729872516,0.0010633131867396096,0.0018997541026111123
block1/ideal_bivector,0,4,excess_p1,10,0.13558479098305945,0.13443504192998065,0.13668497594989365
block1/ideal_bivector,0,4,excess_p2,10,0.027667066917419776,0.025758729519988192,0.02965087249461897
block1/ideal_bivector,0,4,overlap80,10,0.6785449062097164,0.6778461113802258,0.6792207900226593
block1/ideal_bivector,4,8,p1,10,-0.013170465649877458,-0.014730489338107208,-0.011526031734394171
block1/ideal_bivector,4,8,p2,10,0.002019097364928808,0.0012762472598151432,0.002761880720145188
block1/ideal_bivector,4,8,shuffle_p1,10,0.0016617069896131583,0.0012929201716024533,0.0020304938076238636
block1/ideal_bivector,4,8,shuffle_p2,10,0.0012626188751075221,0.0009202747044809251,0.0015609759437172157
block1/ideal_bivector,4,8,excess_p1,10,-0.014832172639490618,-0.016571097077394896,-0.0130733811889546
block1/ideal_bivector,4,8,excess_p2,10,0.0007564784898212862,3.433963608137549e-05,0.00147863808806147
block1/ideal_bivector,4,8,overlap80,10,0.3722176384509452,0.3715321262884479,0.37292860644473685
block1/ideal_bivector,8,12,p1,10,-0.0026248242214392354,-0.005152916254145869,9.405436815074633e-05
block1/ideal_bivector,8,12,p2,10,0.00039032747911996006,-0.00019240318785796267,0.0009469392370866938
block1/ideal_bivector,8,12,shuffle_p1,10,0.0015009761744024862,0.0010251773841114815,0.0019567288181895357
block1/ideal_bivector,8,12,shuffle_p2,10,0.0011260534577443664,0.0007660131827573894,0.0014457190480653562
block1/ideal_bivector,8,12,excess_p1,10,-0.004125800395841723,-0.006467816646314748,-0.0016820598017752246
block1/ideal_bivector,8,12,excess_p2,10,-0.0007357259786244065,-0.0010735543079948631,-0.0004380804698947615
block1/ideal_bivector,8,12,overlap80,10,0.11790088634975446,0.11717006318121197,0.1186561598498725
block1/ideal_bivector,12,18,p1,10,0.0007653335238193232,-0.0007233689368934316,0.0023218028547967186
block1/ideal_bivector,12,18,p2,10,0.0005153921928566091,-0.0007063453756020893,0.0017812536860971856
block1/ideal_bivector,12,18,shuffle_p1,10,0.001444740034605673,0.0010020665409100225,0.0018856943407759385
block1/ideal_bivector,12,18,shuffle_p2,10,0.0011125229406668202,0.000748200407458873,0.0014557272411588474
block1/ideal_bivector,12,18,excess_p1,10,-0.0006794065107863514,-0.002528367163435725,0.0012518156365621909
block1/ideal_bivector,12,18,excess_p2,10,-0.000597130747810211,-0.001983853085930727,0.000809495030569289
block1/ideal_bivector,12,18,overlap80,10,0.007198070496432715,0.007094448234224032,0.007305400679254762
block1/ideal_bivector,18,26,p1,10,0.0017697545276754909,-0.0006338816075243284,0.004173390662875311
block1/ideal_bivector,18,26,p2,10,-0.0006982277026643003,-0.0027270442059327956,0.0013172175432853849
block1/ideal_bivector,18,26,shuffle_p1,10,0.0016359664858612566,0.0011532478286539341,0.0021102707643141016
block1/ideal_bivector,18,26,shuffle_p2,10,0.0011520426797777524,0.000726521841947187,0.0015438136511579425
block1/ideal_bivector,18,26,excess_p1,10,0.00013378804181423336,-0.0023097360006222424,0.0025773120842507097
block1/ideal_bivector,18,26,excess_p2,10,-0.001850270382442053,-0.0037415900735488427,-4.431160914610071e-05
block1/ideal_bivector,18,26,overlap80,10,0.0,0.0,0.0
