source,temperature_K,field,phase,observations,rms_relative_norm,pairs,valid_pairs,coverage,mean_angle_deg,median_angle_deg,p95_angle_deg,mean_axis_angle_deg,jump60_fraction,flip90_fraction,p1,p2
911,400.0,block1/ideal_bivector,unclassified,2131,0.9538377179922229,2072.0,2064.0,0.9961389961389961,73.50997541992214,69.28202663283236,141.2621832091309,54.48083770692746,0.5804263565891473,0.32703488372093026,0.24151546091731174,0.06222800666519147
911,400.0,block1/ideal_bivector,FCC,1072,0.6467526850630493,1014.0,1010.0,0.9960552268244576,87.3500029747632,86.8499291059293,150.83194889408142,58.52854633454847,0.7425742574257426,0.4762376237623762,0.040088631299190686,-0.02552658262222827
911,400.0,block1/ideal_bivector,HCP,1,1.079358698886851,,,,,,,,,,,
911,400.0,block1/axial_bivector,unclassified,2131,1.0063670260090385,2072.0,2068.0,0.9980694980694981,73.99852938341087,69.82837671314998,146.10660010609894,54.32714384718155,0.5865570599613152,0.3307543520309478,0.23478809453331687,0.062075289027659776
911,400.0,block1/axial_bivector,FCC,1072,0.7926438967041879,1014.0,1008.0,0.9940828402366864,85.64839889793318,86.681186265366,147.46574209205644,58.469507090371835,0.7261904761904762,0.4632936507936508,0.06213877876418473,-0.025031536531149704
911,400.0,block1/axial_bivector,HCP,1,1.0313304658165126,,,,,,,,,,,
911,400.0,block1/point_numerator,unclassified,2131,0.9511109478553692,2072.0,2064.0,0.9961389961389961,73.36352021342725,69.0930701681067,141.11654591411937,54.4862409212852,0.5770348837209303,0.3231589147286822,0.24335760581991325,0.06198070179727257
911,400.0,block1/point_numerator,FCC,1072,0.6455899479556255,1014.0,1008.0,0.9940828402366864,87.08031519918381,85.78162229362724,151.5891251555293,58.64376148612924,0.7380952380952381,0.4722222222222222,0.0436680502820485,-0.028230578961784738
911,400.0,block1/point_numerator,HCP,1,1.0806886549266228,,,,,,,,,,,
911,400.0,block2_mlp_input/ideal_bivector,unclassified,2131,0.9562179493604779,2072.0,2066.0,0.997104247104247,73.15196955575787,68.59250761640425,142.24545181982813,54.28833396547709,0.5769603097773476,0.3218780251694095,0.24672792831103763,0.0654778649279177
911,400.0,block2_mlp_input/ideal_bivector,FCC,1072,0.6469076012819049,1014.0,1008.0,0.9940828402366864,87.5061207058759,87.16334983165822,151.514956626459,58.61655056264634,0.746031746031746,0.47619047619047616,0.037809796491318014,-0.027180888651154082
911,400.0,block2_mlp_input/ideal_bivector,HCP,1,1.0793201391168121,,,,,,,,,,,
911,400.0,block2_mlp_input/axial_bivector,unclassified,2131,1.0018370950828182,2072.0,2070.0,0.999034749034749,73.85279285434149,69.77084848696337,145.49370584694964,54.35853191218054,0.5869565217391305,0.32560386473429953,0.23723047047983067,0.06184603564994281
911,400.0,block2_mlp_input/axial_bivector,FCC,1072,0.7974968087575023,1014.0,1008.0,0.9940828402366864,85.63360260409112,86.4766237045804,147.87241392606447,58.44362342108586,0.7232142857142857,0.4642857142857143,0.06210531031205418,-0.024442206644929267
911,400.0,block2_mlp_input/axial_bivector,HCP,1,1.044677015729838,,,,,,,,,,,
911,400.0,block2_mlp_input/point_numerator,unclassified,2131,0.9845652431431061,2072.0,2068.0,0.9980694980694981,68.29360592156931,62.15128099138331,141.88345113835484,52.15906593801174,0.5164410058027079,0.27949709864603484,0.31722385642490436,0.10995958868432085
911,400.0,block2_mlp_input/point_numerator,FCC,1072,0.7024907630228683,1014.0,1002.0,0.9881656804733728,84.76894445611968,83.85092657656045,148.7550030463949,57.400905001451555,0.6956087824351297,0.45109780439121755,0.07680472624520257,-0.0013471549739548997
911,400.0,block2_mlp_input/point_numerator,HCP,1,1.012787696195884,,,,,,,,,,,
911,400.0,block2_output/plane_normal,unclassified,2131,0.9530768951851865,2072.0,2060.0,0.9942084942084942,75.01530027509416,72.3020826227195,145.26632216002926,55.19628843672922,0.5941747572815534,0.3388349514563107,0.21974771834424645,0.047840190437916576
911,400.0,block2_output/plane_normal,FCC,1072,0.6584282522524136,1014.0,1000.0,0.9861932938856016,87.96391486561075,87.12920668788391,154.8255606096013,58.49334260757737,0.748,0.477,0.031396233938073566,-0.02572580355912933
911,400.0,block2_output/plane_normal,HCP,1,1.0708589552331647,,,,,,,,,,,
911,400.0,block2_output/ideal_bivector,unclassified,2131,0.9570035815523894,2072.0,2064.0,0.9961389961389961,72.89732819610315,68.3510327530847,142.13827221631107,54.17316546067985,0.5736434108527132,0.32122093023255816,0.25043389085699463,0.06764869984470336
911,400.0,block2_output/ideal_bivector,FCC,1072,0.645738265662575,1014.0,1010.0,0.9960552268244576,87.36985736916029,86.93116050375743,151.28364940329342,58.566416538915426,0.7445544554455445,0.47326732673267324,0.03963348807657977,-0.026013617292173233
911,400.0,block2_output/ideal_bivector,HCP,1,1.0798924990954077,,,,,,,,,,,
911,400.0,block2_output/axial_bivector,unclassified,2131,1.0049081943481852,2072.0,2070.0,0.999034749034749,74.68981989318596,70.76118647486243,145.8743915550486,54.50095624455559,0.5995169082125604,0.3367149758454106,0.22436425681068028,0.05773583618219482
911,400.0,block2_output/axial_bivector,FCC,1072,0.7983756632947966,1014.0,1004.0,0.9901380670611439,85.85185055673935,85.71074128704142,148.1640599533022,58.41304860344214,0.7250996015936255,0.46215139442231074,0.05974306313416009,-0.024625270281438703
911,400.0,block2_output/axial_bivector,HCP,1,1.052259417597106,,,,,,,,,,,
911,400.0,block2_output/point_numerator,unclassified,2131,0.9845816579804613,2072.0,2068.0,0.9980694980694981,68.29430271561678,62.16895175636354,141.8801200276034,52.158493303731404,0.5164410058027079,0.27949709864603484,0.3172124709622852,0.10996481917064468
911,400.0,block2_output/point_numerator,FCC,1072,0.7020804347580197,1014.0,1002.0,0.9881656804733728,84.7709703009618,83.85040616703535,148.72494185635688,57.40140098139383,0.6956087824351297,0.45109780439121755,0.07677794703709319,-0.0013505728301733966
911,400.0,block2_output/point_numerator,HCP,1,1.0133288475474176,,,,,,,,,,,
911,400.0,centroid_7A,unclassified,2131,1.111766071420546,2072.0,2070.0,0.999034749034749,62.98521499869665,55.56172734672813,135.55192743390026,49.31178318720196,0.45652173913043476,0.2396135265700483,0.38872821267564933,0.1682969204216235
911,400.0,centroid_7A,FCC,1072,0.6940013523827018,1014.0,1006.0,0.9921104536489151,78.19335033951705,73.79963453106387,151.02592248522873,54.42017102567348,0.6332007952286283,0.35984095427435386,0.1750604820734551,0.05959511425029923
911,400.0,centroid_7A,HCP,1,0.8369714427078925,,,,,,,,,,,
911,400.0,centroid_support,unclassified,2131,0.8504854064592557,2072.0,2065.0,0.9966216216216216,62.298699281920605,57.33452817960485,132.5599741830779,50.521917506215814,0.4716707021791768,0.22566585956416466,0.40032800580597777,0.14268066147301936
911,400.0,centroid_support,FCC,1072,1.0479073883154038,1014.0,1014.0,1.0,40.126950027336704,33.39308592840765,98.45674295548888,37.026981617771206,0.1903353057199211,0.0631163708086785,0.6984198448883777,0.4309714426092584
911,400.0,centroid_support,HCP,1,0.7606607794350553,,,,,,,,,,,
911,400.0,shape_axis_7A,unclassified,2131,0.8082168367570098,2072.0,915.0,0.4416023166023166,69.63999200488638,45.299505513457355,164.41900585641216,35.1956685912961,0.42295081967213116,0.3333333333333333,0.27854082360488125,0.4687552440146982
911,400.0,shape_axis_7A,FCC,1072,0.6093181903681173,1014.0,134.0,0.13214990138067062,74.40693221732447,48.79555436840005,166.1922212390693,35.48186832290621,0.47761194029850745,0.39552238805970147,0.2047352333533602,0.46271178110298933
911,400.0,shape_axis_7A,HCP,1,0.9999999863675912,,,,,,,,,,,
913,400.0,block1/ideal_bivector,unclassified,2670,0.8858908017542556,2663.0,2649.0,0.994742771310552,74.1035752240836,69.61617742145602,147.02824776319494,54.74027388966288,0.5934314835787089,0.3254058135145338,0.23516067587807887,0.05229888552208384
913,400.0,block1/ideal_bivector,FCC,533,0.6146637460975723,527.0,521.0,0.9886148007590133,87.9553494749297,88.34067503946706,152.99470074504282,56.83086216381065,0.7370441458733206,0.491362763915547,0.028495137786428735,0.010779818376943038
913,400.0,block1/ideal_bivector,HCP,1,1.73991154621829,,,,,,,,,,,
913,400.0,block1/axial_bivector,unclassified,2670,0.9308432940416513,2663.0,2661.0,0.9992489673300788,78.67398992436118,76.68730416121808,144.46583017771056,56.74412549667093,0.6384817737692596,0.38030815482901165,0.16668483249157634,0.012276527469470833
913,400.0,block1/axial_bivector,FCC,533,0.8170567458321556,527.0,525.0,0.9962049335863378,82.72897495636596,80.23376037269963,148.52615676377036,56.96209954461198,0.6761904761904762,0.4361904761904762,0.10749481723802029,0.00468312583852388
913,400.0,block1/axial_bivector,HCP,1,0.9334132868839254,,,,,,,,,,,
913,400.0,block1/point_numerator,unclassified,2670,0.8853558180515183,2663.0,2651.0,0.9954938039804732,73.92503442205629,69.54074025031319,146.30363091621132,54.67768864956318,0.5963787250094305,0.3228970199924557,0.2376564153333267,0.0541851885255815
913,400.0,block1/point_numerator,FCC,533,0.6135054835492912,527.0,523.0,0.9924098671726755,87.68403215998505,88.61757574370367,153.29157530067994,56.81748096048784,0.7323135755258127,0.4837476099426386,0.03263795527108601,0.011450712357948192
913,400.0,block1/point_numerator,HCP,1,1.7754916885230903,,,,,,,,,,,
913,400.0,block2_mlp_input/ideal_bivector,unclassified,2670,0.8868600527641678,2663.0,2645.0,0.9932407059707097,73.90523557460463,69.47673044822453,146.72686376173584,54.74966237015612,0.5943289224952741,0.32514177693761814,0.2378728510629006,0.052530124474910206
913,400.0,block2_mlp_input/ideal_bivector,FCC,533,0.6153699609098924,527.0,521.0,0.9886148007590133,87.89382256813236,88.70158609748965,153.44600822087543,56.89550538243451,0.7370441458733206,0.4894433781190019,0.02948201465168587,0.01082091070835128
913,400.0,block2_mlp_input/ideal_bivector,HCP,1,1.7273027398263592,,,,,,,,,,,
