source,temperature_K,frame,field,phase,distance_lo_A,distance_hi_A,pairs,distance_mean_A,p1,p2,shuffle_p1,shuffle_p2,excess_p1,excess_p2,overlap80,valid_centers,centers
911,400.0,0,block1/point_numerator,unclassified,0,4,1292,3.0792939158750188,0.1004875884733901,-0.003632137140627583,0.001203037650185762,-0.0002864707587456605,0.09928455082320428,-0.0033456663818819217,0.6734423374613003,320,320
911,400.0,0,block1/point_numerator,unclassified,4,8,6105,6.261166929276069,-0.0035746444895552575,-0.0028976460281171235,0.0012030376501857617,-0.0002864707587456605,-0.004777682139741041,-0.002611175269371463,0.3743529893529894,320,320
911,400.0,0,block1/point_numerator,unclassified,8,12,6662,9.880375787801666,-0.013834373994630122,-0.0015943635839280326,0.001203037650185762,-0.0002864707587456605,-0.015037411644815908,-0.0013078928251823697,0.12010657460222156,320,320
911,400.0,0,block1/point_numerator,unclassified,12,18,2291,13.269293066626954,-0.011804901220043225,0.006126339474872894,0.001203037650185762,-0.0002864707587456605,-0.013007938870229009,0.00641281023361855,0.007687690964644261,320,320
911,400.0,0,block1/point_numerator,unclassified,18,26,480,22.871531452891688,0.004790665821438175,-0.0001809919359980307,0.0012030376501857621,-0.0002864707587456605,0.003587628171252394,0.00010547882274763026,0.0,320,320
911,400.0,0,block1/point_numerator,unclassified,26,40,3110,34.2413828682033,0.02513973705910907,0.0035504851764597252,0.001203037650185762,-0.0002864707587456605,0.02393669940892328,0.003836955935205387,0.0,320,320
911,400.0,0,block1/point_numerator,unclassified,40,80,30752,57.44250531134881,-1.3262136561338441e-05,0.0001521774905184399,0.0012030376501857621,-0.0002864707587456605,-0.001216299786747124,0.00043864824926410125,0.0,320,320
911,400.0,0,block2_mlp_input/point_numerator,unclassified,0,4,1292,3.0792939158750188,0.02288950795198071,0.000916880932483534,-0.0018205485742430296,0.00031429553795847553,0.024710056526223757,0.0006025853945250578,0.6734423374613003,320,320
911,400.0,0,block2_mlp_input/point_numerator,unclassified,4,8,6105,6.261166929276069,-0.003655417051733523,-0.0037085347711047615,-0.0018205485742430294,0.00031429553795847553,-0.0018348684774904765,-0.004022830309063236,0.3743529893529894,320,320
911,400.0,0,block2_mlp_input/point_numerator,unclassified,8,12,6662,9.880375787801666,-0.014220693221455907,-0.0031742977891494393,-0.0018205485742430296,0.00031429553795847553,-0.012400144647212862,-0.0034885933271079123,0.12010657460222156,320,320
911,400.0,0,block2_mlp_input/point_numerator,unclassified,12,18,2291,13.269293066626954,-0.01077134077667208,0.010704765705620541,-0.0018205485742430294,0.00031429553795847553,-0.008950792202429027,0.010390470167662067,0.007687690964644261,320,320
911,400.0,0,block2_mlp_input/point_numerator,unclassified,18,26,480,22.871531452891688,-0.006005456566618184,-0.01282214491181456,-0.0018205485742430296,0.00031429553795847553,-0.00418490799237514,-0.01313644044977304,0.0,320,320
911,400.0,0,block2_mlp_input/point_numerator,unclassified,26,40,3110,34.2413828682033,0.013708324612395384,0.008909134932242992,-0.0018205485742430296,0.00031429553795847553,0.015528873186638432,0.008594839394284518,0.0,320,320
911,400.0,0,block2_mlp_input/point_numerator,unclassified,40,80,30752,57.44250531134881,-0.0005112070600816395,0.0004364301327674649,-0.0018205485742430294,0.00031429553795847553,0.00130934151416141,0.0001221345948089902,0.0,320,320
911,400.0,128,block1/point_numerator,unclassified,0,4,1253,3.070856450958685,0.14905723900875092,0.06002730769997921,-0.0015315611163458187,0.003323735465257549,0.15058880012509676,0.056703572234721666,0.6742118914604948,317,319
911,400.0,128,block1/point_numerator,unclassified,4,8,6019,6.260144802442181,-0.01921506906043495,0.00879049224596522,-0.0015315611163458187,0.003323735465257549,-0.017683507944089148,0.005466756780707673,0.3738681674696793,317,319
911,400.0,128,block1/point_numerator,unclassified,8,12,6558,9.891830359276673,-0.005307058876397025,0.00010564920975054604,-0.0015315611163458187,0.0033237354652575486,-0.0037754977600512217,-0.003218086255507004,0.11879955779200975,317,319
911,400.0,128,block1/point_numerator,unclassified,12,18,2400,13.374006659318873,-0.0010354882958677058,0.003918880377729554,-0.0015315611163458187,0.003323735465257549,0.000496072820478095,0.0005951449124720032,0.007911458333333333,317,319
911,400.0,128,block1/point_numerator,unclassified,18,26,775,22.404587571236593,-0.0194521163190263,-0.0043803521712824775,-0.0015315611163458187,0.003323735465257549,-0.017920555202680495,-0.0077040876365400265,0.0,317,319
911,400.0,128,block1/point_numerator,unclassified,26,40,2815,33.955342409111466,0.00539401635010728,0.0021459389306426194,-0.0015315611163458187,0.0033237354652575486,0.006925577466453084,-0.0011777965346149294,0.0,317,319
911,400.0,128,block1/point_numerator,unclassified,40,80,29812,56.17496806396652,-0.0037578704664989063,0.0007629012695515561,-0.001531561116345819,0.003323735465257549,-0.0022263093501531045,-0.002560834195705991,0.0,317,319
911,400.0,128,block2_mlp_input/point_numerator,unclassified,0,4,1245,3.0686892245432276,0.07148637825676006,0.03875587938583257,-0.0018932905476804751,0.003048357174210148,0.07337966880444054,0.035707522211622426,0.6745080321285141,317,319
911,400.0,128,block2_mlp_input/point_numerator,unclassified,4,8,6008,6.258328377795672,0.002226098133870608,0.008482656725171567,-0.001893290547680475,0.0030483571742101483,0.004119388681551092,0.005434299550961424,0.3740803928095872,317,319
911,400.0,128,block2_mlp_input/point_numerator,unclassified,8,12,6566,9.89365721591511,-0.00865330513989759,0.0024397554880127284,-0.0018932905476804751,0.0030483571742101483,-0.006760014592217107,-0.0006086016861974195,0.11878997867803838,317,319
911,400.0,128,block2_mlp_input/point_numerator,unclassified,12,18,2411,13.376771582864839,0.01377465192531437,0.001051316242462469,-0.0018932905476804751,0.003048357174210148,0.015667942472994852,-0.001997040931747679,0.00792202405640813,317,319
911,400.0,128,block2_mlp_input/point_numerator,unclassified,18,26,777,22.39550665791531,-0.031043133303716493,0.01720624189556124,-0.0018932905476804751,0.0030483571742101474,-0.029149842756036017,0.014157884721351103,0.0,317,319
911,400.0,128,block2_mlp_input/point_numerator,unclassified,26,40,2806,33.939596792646704,0.003940502211128041,-0.00848195743891066,-0.001893290547680475,0.003048357174210148,0.0058337927588085255,-0.011530314613120804,0.0,317,319
911,400.0,128,block2_mlp_input/point_numerator,unclassified,40,80,29819,56.15032885920287,-0.005287686800246727,0.0015057128237443034,-0.0018932905476804751,0.003048357174210148,-0.0033943962525662427,-0.0015426443504658425,0.0,317,319
911,400.0,256,block1/point_numerator,unclassified,0,4,1288,3.0777379352652425,0.08726507291787455,0.016603365400313493,-0.002137862776838248,-0.0005439227199663943,0.08940293569471279,0.017147288120279887,0.6741265527950311,319,320
911,400.0,256,block1/point_numerator,unclassified,4,8,6112,6.2671215698284355,-0.03198938320329084,-0.005968106622603204,-0.0021378627768382486,-0.0005439227199663943,-0.029851520426452588,-0.005424183902636812,0.3740592277486911,319,320
