source,temperature_K,field,lag_ps,pairs,valid_pairs,coverage,mean_angle_deg,median_angle_deg,p95_angle_deg,mean_axis_angle_deg,jump60_fraction,flip90_fraction,p1,p2
911,400.0,block1/ideal_bivector,0.75,3200,3188,0.99625,77.99776155971078,75.54389250563119,145.96675420856118,55.69820410015195,0.6323713927227101,0.3751568381430364,0.17614304887999294,0.03563417731767065
911,400.0,block1/ideal_bivector,1.5,3196,3184,0.9962453066332916,78.0790169900639,74.34025407715276,148.57728653900426,54.73505011324192,0.6228015075376885,0.37594221105527637,0.17438715787987918,0.053107430872508
911,400.0,block1/ideal_bivector,3.0,3188,3176,0.9962358845671268,78.75316685305387,76.08727336680711,147.89940073404486,55.572821069715545,0.6429471032745592,0.3809823677581864,0.1648679167203438,0.03873141109067487
911,400.0,block1/ideal_bivector,6.0,3172,3160,0.9962168978562421,79.59311664617728,76.63885632905848,146.65270644852268,55.78307036870193,0.6534810126582279,0.38734177215189874,0.1523280191094903,0.03172891440769697
911,400.0,block1/ideal_bivector,12.0,3140,3128,0.9961783439490446,81.82729261551911,79.78259731709582,150.1946506364918,56.062219234195304,0.6735933503836317,0.41464194373401536,0.11979034536150382,0.024755177675739464
911,400.0,block1/ideal_bivector,24.0,3076,3065,0.9964239271781534,83.11357269107003,81.29378159840937,149.27930628299657,57.162035712474754,0.6975530179445351,0.42512234910277324,0.10198795952826654,0.001955020297507951
911,400.0,block1/ideal_bivector,48.0,2948,2937,0.996268656716418,84.55548100564445,83.7185890581974,149.74608923606309,56.99310884766951,0.6928838951310862,0.44296901600272387,0.08018421414303542,0.005543692647559284
911,400.0,block1/ideal_bivector,96.0,2692,2682,0.9962852897473997,87.58438190397683,87.46444868090107,151.89183540682492,56.956718014815294,0.732662192393736,0.4802386278896346,0.034832499002699115,0.007896285278340624
911,400.0,block1/axial_bivector,0.75,3200,3190,0.996875,77.95345703532723,75.03673350273337,147.37336370414394,55.800467062101006,0.635423197492163,0.3749216300940439,0.17640039846521094,0.031228384230866362
911,400.0,block1/axial_bivector,1.5,3196,3186,0.9968710888610763,78.83698778581413,75.92868284752404,146.36718241335598,55.89622901074539,0.6437539234149403,0.3810420590081607,0.16401554301391938,0.027748999120822803
