field,lag_ps,metric,sources,mean,low,high
block1/ideal_bivector,0.75,p1,10,0.16873896314697373,0.15362238633803788,0.18401961726221794
block1/ideal_bivector,0.75,p2,10,0.05791395448423518,0.04535654883669387,0.07068983016822891
block1/ideal_bivector,0.75,coverage,10,0.99475,0.9941875,0.9953749999999999
block1/ideal_bivector,1.5,p1,10,0.15509480765191644,0.13984647056277127,0.17056785702675384
block1/ideal_bivector,1.5,p2,10,0.049847465108644615,0.03386519354997562,0.06602285348608364
block1/ideal_bivector,1.5,coverage,10,0.9947434292866081,0.994180225281602,0.9953692115143928
block1/ideal_bivector,3.0,p1,10,0.1353532529734816,0.11797260308867133,0.1527339028582919
block1/ideal_bivector,3.0,p2,10,0.049031098642075,0.03235988490744111,0.06570976384089576
block1/ideal_bivector,3.0,coverage,10,0.9947616060225848,0.9941969887076535,0.9953575909661231
block1/ideal_bivector,6.0,p1,10,0.1183422533774919,0.09827402481879273,0.13934963003006678
block1/ideal_bivector,6.0,p2,10,0.0473169472287871,0.034117731271522005,0.06034001414370408
block1/ideal_bivector,6.0,coverage,10,0.9947667087011348,0.9941992433795713,0.9953341740226985
block1/ideal_bivector,12.0,p1,10,0.10575387874018191,0.08944318675903254,0.12245551007606285
block1/ideal_bivector,12.0,p2,10,0.04125667365574235,0.027664227719463075,0.055588489838116796
block1/ideal_bivector,12.0,coverage,10,0.9947770700636942,0.994267515923567,0.9952866242038217
block1/ideal_bivector,24.0,p1,10,0.08622303854171601,0.0710486020794622,0.10152176640606247
block1/ideal_bivector,24.0,p2,10,0.03319674454555567,0.018975988849242793,0.047596979203011654
block1/ideal_bivector,24.0,coverage,10,0.9947334200260078,0.994148244473342,0.9953185955786736
block1/ideal_bivector,48.0,p1,10,0.07406662783295163,0.05648721311380032,0.09191225923326882
block1/ideal_bivector,48.0,p2,10,0.030161774180392557,0.01626668527784405,0.044743932219615
block1/ideal_bivector,48.0,coverage,10,0.9948439620081411,0.9942333785617367,0.9954545454545454
block1/ideal_bivector,96.0,p1,10,0.05653604987467338,0.034977715696670096,0.0789929742245542
block1/ideal_bivector,96.0,p2,10,0.026597877342325778,0.013929094575735306,0.03935998653951298
block1/ideal_bivector,96.0,coverage,10,0.9946136701337295,0.9939078751857355,0.9953194650817234
block1/axial_bivector,0.75,p1,10,0.12466091187474015,0.11103575824716524,0.13855924743083378
block1/axial_bivector,0.75,p2,10,0.02242683806425968,0.017360264824930336,0.0273495551517249
block1/axial_bivector,0.75,coverage,10,0.99725,0.9968125000000001,0.9976875
block1/axial_bivector,1.5,p1,10,0.10690872214257782,0.09412923931221566,0.12023111982956163
block1/axial_bivector,1.5,p2,10,0.015964180275618432,0.011202236835415755,0.021070419390514364
block1/axial_bivector,1.5,coverage,10,0.9972465581977472,0.9968085106382979,0.9976846057571965
block1/axial_bivector,3.0,p1,10,0.09497795438571163,0.08170144231296274,0.10825446645846051
block1/axial_bivector,3.0,p2,10,0.015362176445961323,0.009625785780895282,0.02142065443809172
block1/axial_bivector,3.0,coverage,10,0.9972396486825597,0.9968005018820578,0.9976787954830616
block1/axial_bivector,6.0,p1,10,0.08512435865297427,0.07134831174690454,0.09949900950005507
block1/axial_bivector,6.0,p2,10,0.009037067909221836,0.006748357761250592,0.011284690214605948
