source,temperature_K,field,pairs,valid_pairs,coverage,mean_angle_deg,median_angle_deg,p95_angle_deg,mean_axis_angle_deg,jump60_fraction,flip90_fraction,p1,p2,cage_mean_angle_deg,cage_p1,cage_fit_rms_A
911,400.0,block1/ideal_bivector,3200,3188,0.99625,77.99776155971078,75.54389250563119,145.96675420856118,55.69820410015195,0.6323713927227101,0.3751568381430364,0.17614304887999294,0.03563417731767065,77.986361452659,0.17630460870668407,0.5369129180908203
911,400.0,block1/axial_bivector,3200,3190,0.996875,77.95345703532723,75.03673350273337,147.37336370414394,55.800467062101006,0.635423197492163,0.3749216300940439,0.17640039846521094,0.031228384230866362,77.9427364709609,0.17661880081383263,0.5369129180908203
911,400.0,block1/point_numerator,3200,3186,0.995625,77.79339295113144,75.54062403756572,146.20958171574233,55.720385734283816,0.6286880100439423,0.3706842435655995,0.17883615247622284,0.03492590765721321,77.78202473789021,0.17899436674391836,0.5369129180908203
911,400.0,block2_mlp_input/ideal_bivector,3200,3188,0.99625,77.80708294373092,75.57107357437934,145.9610632102049,55.59716169195705,0.6311166875784191,0.3720200752823087,0.17895665586922418,0.03727846091169712,77.79585974837076,0.17910348012232946,0.5369129180908203
911,400.0,block2_mlp_input/axial_bivector,3200,3192,0.9975,77.83336900345775,74.91823927153837,147.32366955227587,55.80077323602871,0.6337719298245614,0.37030075187969924,0.178318483977327,0.0314273926803242,77.82180020826789,0.17854556939675004,0.5369129180908203
911,400.0,block2_mlp_input/point_numerator,3200,3184,0.995,73.58657444810873,69.69893680338305,145.5477937768279,53.89646188869016,0.5766331658291457,0.3341708542713568,0.23993101545530726,0.07269989072079196,73.57962308434604,0.23996095356520436,0.5369129180908203
911,400.0,block2_output/plane_normal,3200,3174,0.991875,79.19126130063064,77.21210123451944,147.26916581545325,56.20432340404577,0.643037177063642,0.3837429111531191,0.15891526687331578,0.025171862255718852,79.17768473123583,0.15911823448992204,0.5369129180908203
911,400.0,block2_output/ideal_bivector,3200,3188,0.99625,77.60349897179546,75.40529384716088,146.40775313087175,55.50836517831737,0.6282936010037641,0.3707653701380176,0.181870228416474,0.03902207220396793,77.59251722394994,0.1820126197470628,0.5369129180908203
911,400.0,block2_output/axial_bivector,3200,3188,0.99625,78.49067161076336,75.66918592437918,146.70072008825662,55.892938514577956,0.6439774153074027,0.3786072772898369,0.16851982737139226,0.028446035748776344,78.47938920250625,0.16874077193689782,0.5369129180908203
911,400.0,block2_output/point_numerator,3200,3184,0.995,73.58804722640495,69.69805645814249,145.52628127222266,53.89630832032941,0.5766331658291457,0.3341708542713568,0.2399101537294449,0.07270157143039932,73.58108197355817,0.23994017956740668,0.5369129180908203
911,400.0,centroid_7A,3200,3190,0.996875,67.77084448265445,61.53882695520868,141.60179917916807,51.04106929028414,0.5137931034482759,0.27711598746081506,0.32164280846844795,0.13148554676267069,67.78480136838753,0.3214148241684683,0.5369129180908203
911,400.0,centroid_support,3200,3192,0.9975,55.126611074124206,47.23257116410815,125.85498573990897,46.159444149573524,0.3793859649122807,0.17324561403508773,0.4968762294202118,0.23574135823061587,55.12447684044803,0.49692634246547795,0.5369129180908203
911,400.0,shape_axis_7A,3200,1097,0.3428125,71.17876269509445,46.69737129064868,164.7346060227403,35.35303597274949,0.4375569735642662,0.34913400182315407,0.256201610429232,0.46568626562228577,71.19662207040014,0.25574201570065075,0.5369129180908203
913,400.0,block1/ideal_bivector,3200,3180,0.99375,76.28178476487062,72.27677217134806,148.60644339715358,55.049723696132624,0.6157232704402515,0.35188679245283017,0.2026409498474459,0.04623637862440928,76.28941157949225,0.20255275548850604,0.5569958686828613
913,400.0,block1/axial_bivector,3200,3196,0.99875,79.24033018380244,77.04592609699728,145.33499433043988,56.7487848667641,0.6439299123904881,0.3882978723404255,0.15843758485093912,0.011691635955054496,79.22260021694592,0.15873986924361883,0.5569958686828613
913,400.0,block1/point_numerator,3200,3184,0.995,76.09087789616919,72.2086707561364,147.92325106565607,54.993658246577795,0.617462311557789,0.34861809045226133,0.20535787416419346,0.04797863418915417,76.0998698181028,0.20525489432445762,0.5569958686828613
913,400.0,block2_mlp_input/ideal_bivector,3200,3176,0.9925,76.11060717133428,72.24272415879577,148.5752684533756,55.06997526128655,0.6164987405541562,0.3513853904282116,0.20500650210147892,0.04639757665656672,76.11846109864938,0.20491567001505784,0.5569958686828613
913,400.0,block2_mlp_input/axial_bivector,3200,3194,0.998125,79.22456585345655,77.22381333124122,146.1173067846806,56.80594972370809,0.6443331246086412,0.3876017532874139,0.15869849222840995,0.010500216699959233,79.21012212558493,0.1589996581379852,0.5569958686828613
913,400.0,block2_mlp_input/point_numerator,3200,3184,0.995,72.81764649034776,67.76503692611962,142.9018817745585,53.944523952365884,0.5741206030150754,0.32003768844221103,0.25051414230515107,0.07044858672246712,72.81023453441233,0.2506555682447341,0.5569958686828613
913,400.0,block2_output/plane_normal,3200,3186,0.995625,77.1673933314011,72.70210170479676,146.45525366880523,55.369722888395756,0.6264908976773383,0.35844318895166355,0.18991694047945892,0.0387567330450356,77.17684689449943,0.1898529187103814,0.5569958686828613
913,400.0,block2_output/ideal_bivector,3200,3184,0.995,76.04867772919381,71.91025637771374,148.1516787022963,55.049626679513,0.6140075376884422,0.35081658291457285,0.20586687717327637,0.04707432357451599,76.05740375257888,0.2057603522479174,0.5569958686828613
913,400.0,block2_output/axial_bivector,3200,3194,0.998125,79.74984655712939,77.23586549035677,146.83646668619835,56.729650804165644,0.6487163431433939,0.39355040701314964,0.15128339919817674,0.012088194868092815,79.73253095543525,0.15158712314941472,0.5569958686828613
913,400.0,block2_output/point_numerator,3200,3184,0.995,72.82233921463694,67.76950743736437,143.03842856799525,53.94546275392065,0.5741206030150754,0.3203517587939699,0.25044645782136055,0.07043071318294146,72.81496528825328,0.2505874664821748,0.5569958686828613
913,400.0,centroid_7A,3200,3194,0.998125,63.92580441112741,56.79962473013367,138.087698461446,49.654225877254945,0.46994364433312463,0.24232936756418283,0.375086553542212,0.1616358327786358,63.90315820369323,0.3752856489489216,0.5569958686828613
913,400.0,centroid_support,3200,3190,0.996875,56.131172363740504,49.41957563729227,125.90208062503653,47.046185968866055,0.3924764890282132,0.16927899686520376,0.4833969553533779,0.21588094327423116,56.09963938580466,0.4838199636711367,0.5569958686828613
913,400.0,shape_axis_7A,3200,1366,0.426875,66.50358489211966,38.1690454588273,166.55600808323956,31.51449554140748,0.3850658857979502,0.32210834553440704,0.3158459319807236,0.5439841967534472,66.4859549072856,0.31600180239220366,0.5569958686828613
938,450.0,block1/ideal_bivector,3200,3184,0.995,75.59837227549697,71.44253267984064,145.55343565295212,54.60785473663341,0.6077261306532663,0.3539572864321608,0.21010202236996794,0.05781097963427047,75.60486585157425,0.21000245864584927,0.519802451133728
938,450.0,block1/axial_bivector,3200,3190,0.996875,79.01572252274059,75.50273990583241,147.98879518538112,55.81160982577614,0.6467084639498433,0.3811912225705329,0.16106161818490644,0.030675010722523426,78.99407447733724,0.16141370561257087,0.519802451133728
938,450.0,block1/point_numerator,3200,3182,0.994375,75.00615570998491,71.20629965069415,145.20492780466617,54.48115121762079,0.600879949717159,0.34538026398491517,0.21894725533457127,0.06093042031516947,75.01331677609552,0.21882828288542877,0.519802451133728
938,450.0,block2_mlp_input/ideal_bivector,3200,3182,0.994375,75.5552653423666,71.52841812295023,146.1488069130929,54.56486916620262,0.6046511627906976,0.3538654934003771,0.21077593916964538,0.05851316257063245,75.5613132313204,0.2106765116631463,0.519802451133728
938,450.0,block2_mlp_input/axial_bivector,3200,3188,0.99625,78.9952783462521,75.59467235537096,147.19559384391368,55.81391494984312,0.644918444165621,0.38143036386449186,0.16168891280696587,0.031131986157679932,78.97624060955347,0.16201586602861415,0.519802451133728
938,450.0,block2_mlp_input/point_numerator,3200,3184,0.995,79.95690791485458,77.48450402748688,147.23361552106726,56.110749107081766,0.6507537688442211,0.4020100502512563,0.14644864372828906,0.02496964369967787,79.9529062735487,0.14647250249599583,0.519802451133728
938,450.0,block2_output/plane_normal,3200,3194,0.998125,77.57861976785236,73.96391798388882,146.9209169199359,55.08543775684363,0.6333750782717595,0.3725735754539762,0.18025647016466612,0.04593736072374981,77.58493493749553,0.18017885589662572,0.519802451133728
