source,temperature_K,field,channel,pairs,valid_pairs,coverage,mean_angle_deg,median_angle_deg,p95_angle_deg,mean_axis_angle_deg,jump60_fraction,flip90_fraction,p1,p2
911,400.0,block1/plane_normal,0,3200,0,0.0,,,,,,,,
911,400.0,block1/plane_normal,1,3200,0,0.0,,,,,,,,
911,400.0,block1/plane_normal,2,3200,0,0.0,,,,,,,,
911,400.0,block1/plane_normal,3,3200,0,0.0,,,,,,,,
911,400.0,block1/plane_normal,4,3200,0,0.0,,,,,,,,
911,400.0,block1/plane_normal,5,3200,0,0.0,,,,,,,,
911,400.0,block1/plane_normal,6,3200,0,0.0,,,,,,,,
911,400.0,block1/plane_normal,7,3200,0,0.0,,,,,,,,
911,400.0,block1/ideal_bivector,0,3200,3180,0.99375,78.1679539490893,75.87461467896715,146.7755655922523,55.6990634069547,0.6336477987421384,0.3754716981132076,0.17383888829847668,0.03547236111543886
911,400.0,block1/ideal_bivector,1,3200,3184,0.995,78.32557972602584,75.8464621552292,147.43621360508524,55.71354270607451,0.6369346733668342,0.37845477386934673,0.171759928786481,0.03530432321102461
911,400.0,block1/ideal_bivector,2,3200,3180,0.99375,78.211213876918,75.73316526644305,146.95384171201246,55.69591358873938,0.6342767295597485,0.37610062893081764,0.17329362496558295,0.03560138066820346
911,400.0,block1/ideal_bivector,3,3200,3196,0.99875,79.94197965208191,77.53603315264633,148.75419031617224,55.975040447056166,0.6551939924906133,0.392991239048811,0.14679843611814675,0.026976981603801607
911,400.0,block1/ideal_bivector,4,3200,3182,0.994375,78.14440724801963,75.87946270865092,146.81736978629021,55.70182421494529,0.6326209930861094,0.37554996857322437,0.17424450544269035,0.03550564335645993
911,400.0,block1/ideal_bivector,5,3200,3184,0.995,78.20930610272373,75.69830690088025,147.2103363990539,55.673156271846885,0.635678391959799,0.375,0.1734066682521315,0.035892946982291514
911,400.0,block1/ideal_bivector,6,3200,3184,0.995,76.17352754269366,72.41735154351964,144.00736563941405,55.977405503348464,0.6246859296482412,0.3514447236180904,0.20377087109576292,0.02793768304923244
