task,family,target,baseline,method,sources,n,improvement_percent,low,high,baseline_loss,candidate_loss
structure,linear,q4,radial_control,plus_gatr,10,22381,-0.009969577086521575,-0.19207454315921524,0.19529582726538486,0.8521328773022889,0.8522178313463711
structure,linear,q4,radial_control,plus_angular_delta,10,22381,-0.117893242748357,-0.3290715227050045,0.09669730050257272,0.8521328773022889,0.8531374843838654
structure,linear,q4,radial_control,plus_soap,10,22381,75.38093594291058,73.97610334298969,76.756052628821,0.8521328773022889,0.20978713891456974
structure,linear,q6,radial_control,plus_gatr,10,22381,0.20686125222501017,0.06945507280152752,0.3497777470329533,0.21491884047216972,0.21447425666750153
structure,linear,q6,radial_control,plus_angular_delta,10,22381,0.43229553446759716,0.21182409691219428,0.6481860260113992,0.21491884047216972,0.213989755922079
structure,linear,q6,radial_control,plus_soap,10,22381,91.77750240797674,91.38388786616945,92.11808424772518,0.21491884047216972,0.017671696482628462
structure,linear,w4,radial_control,plus_gatr,10,22381,0.30461484524287874,0.028666128834164972,0.5880178926680693,0.8337050305336099,0.8311654412450679
structure,linear,w4,radial_control,plus_angular_delta,10,22381,0.42146367767469384,0.1264962351827159,0.7209828706878141,0.8337050305336099,0.830191266650964
structure,linear,w4,radial_control,plus_soap,10,22381,32.81682707473571,28.5723813826541,36.35727185373029,0.8337050305336099,0.5601094923500226
structure,linear,w6,radial_control,plus_gatr,10,22381,-0.1111897448051069,-0.1811236963602081,-0.03730375579406698,0.9529796519638394,0.9540392676069025
structure,linear,w6,radial_control,plus_angular_delta,10,22381,-0.19799820765142861,-0.2655897575972288,-0.1297329050693241,0.9529796519638394,0.9548665345940106
structure,linear,w6,radial_control,plus_soap,10,22381,10.04062929352897,8.976694005982978,10.961376653896027,0.9529796519638394,0.8572944978673878
structure,linear,qbar6,radial_control,plus_gatr,10,22381,-0.11349092128549731,-0.2205839281224753,-0.01155892786616668,0.09560599038418394,0.09571449450347506
structure,linear,qbar6,radial_control,plus_angular_delta,10,22381,1.1229979052693184,0.8944000193635948,1.3377095159116337,0.09560599038418394,0.09453233711485756
structure,linear,qbar6,radial_control,plus_soap,10,22381,47.30538787687107,43.886765832384,50.315393804285044,0.09560599038418394,0.050379205799421664
