task,family,caliper_A,target,baseline,method,sources,n,improvement_percent,low,high,baseline_loss,candidate_loss
structure,linear,0.05,q4,radial_control,plus_gatr,9,609,-0.6555230610052032,-1.612526120318436,-0.4225507880722956,0.36884716995018785,0.3712650482090764
structure,linear,0.05,q4,radial_control,plus_angular_delta,9,609,-0.9137955170319456,-2.6631074027783086,-0.47529806840538313,0.36884716995018785,0.37221767885389184
structure,linear,0.05,q4,radial_control,plus_soap,9,609,93.70749575659478,84.97632595906654,95.5246236519354,0.36884716995018785,0.023209723820795627
structure,linear,0.05,q6,radial_control,plus_gatr,9,609,0.048354160368757615,-0.10886177799496188,0.32993319477773175,0.06486699435967776,0.06483562846919869
structure,linear,0.05,q6,radial_control,plus_angular_delta,9,609,6.4633039757918676,-5.414788482235533,10.780494647089833,0.06486699435967776,0.060674443334252016
structure,linear,0.05,q6,radial_control,plus_soap,9,609,94.47754853743685,90.9211648132348,95.6747554260338,0.06486699435967776,0.0035822482787367846
structure,linear,0.05,w4,radial_control,plus_gatr,9,609,-0.0013010857480066917,-0.06319984209024465,0.2174854236609347,0.513730049980775,0.5137367340492385
structure,linear,0.05,w4,radial_control,plus_angular_delta,9,609,-0.07246877701341248,-0.3265963042481168,0.01540928702516986,0.513730049980775,0.5141023438651464
structure,linear,0.05,w4,radial_control,plus_soap,9,609,68.16047969329959,50.946389541414014,71.35549364122993,0.513730049980775,0.16356918358525102
structure,linear,0.05,w6,radial_control,plus_gatr,9,609,1.4759732585670093,-0.003515956146649124,2.982750907801901,0.02527370318324003,0.024900670082805807
structure,linear,0.05,w6,radial_control,plus_angular_delta,9,609,3.5190662523758243,2.962718636686923,4.1610872195212965,0.02527370318324003,0.024384304823792995
structure,linear,0.05,w6,radial_control,plus_soap,9,609,-92.64388126450143,-168.4477817002282,-48.254346265929286,0.02527370318324003,0.04868824275146344
structure,linear,0.05,qbar6,radial_control,plus_gatr,9,609,-0.9278119563581821,-2.7468239554610037,1.17990373882374,0.03897754093808434,0.039339179223202285
structure,linear,0.05,qbar6,radial_control,plus_angular_delta,9,609,-0.9465167951052011,-2.861136442776435,2.3743843549289045,0.03897754093808434,0.03934646990938231
structure,linear,0.05,qbar6,radial_control,plus_soap,9,609,54.71589143144258,47.923424916793046,61.92661870460153,0.03897754093808434,0.01765063195575603
structure,linear,0.05,q6_coherence,radial_control,plus_gatr,9,609,0.4801838124880886,-1.0373062679838396,2.371294305587135,0.027782707682942078,0.027649299617977706
structure,linear,0.05,q6_coherence,radial_control,plus_angular_delta,9,609,-1.0240550348685762,-3.2053828167918574,1.3054469561708304,0.027782707682942078,0.028067217899792066
structure,linear,0.05,q6_coherence,radial_control,plus_soap,9,609,21.837262309877346,-3.819341963747025,46.138261021244666,0.027782707682942078,0.02171572492943157
structure,linear,0.05,bond_order,radial_control,plus_gatr,9,609,-0.2163002196610586,-0.5229495452818028,-0.039993267853133396,0.17324636101581786,0.17362109327524988
structure,linear,0.05,bond_order,radial_control,plus_angular_delta,9,609,0.06596650425334527,-1.3829223899695986,0.566752451043151,0.17324636101581786,0.1731320764477096
structure,linear,0.05,bond_order,radial_control,plus_soap,9,609,73.21581497306656,57.166377101703205,76.54076902470523,0.17324636101581786,0.04640262588690575
structure,linear,0.05,angular_arrangement,radial_control,plus_gatr,9,609,0.16762246688161175,-0.02015906372949683,0.5350840126120748,0.2915267224925546,0.2910380582086935
structure,linear,0.05,angular_arrangement,radial_control,plus_angular_delta,9,609,-0.10103114806441216,-0.5695369846624221,0.3374682581215871,0.2915267224925546,0.29182125528720343
structure,linear,0.05,angular_arrangement,radial_control,plus_soap,9,609,61.18547563960248,49.22211047093672,66.29077315951272,0.2915267224925546,0.1131547107189411
structure,linear,0.1,q4,radial_control,plus_gatr,10,125006,-0.15906849088327402,-0.30586711363407293,-0.04201137214168149,1.146918348054626,1.1487427337625398
structure,linear,0.1,q4,radial_control,plus_angular_delta,10,125006,-0.3983279579041987,-0.6936130714806588,-0.1943219415070141,1.146918348054626,1.1514868444892605
structure,linear,0.1,q4,radial_control,plus_soap,10,125006,85.88629650849688,84.04665761622915,87.4368633733283,1.146918348054626,0.16187265493407554
structure,linear,0.1,q6,radial_control,plus_gatr,10,125006,0.4039365055989119,0.21622575417916678,0.6036100390891419,0.21351725152366638,0.21265477739901084
structure,linear,0.1,q6,radial_control,plus_angular_delta,10,125006,-0.21586723754136727,-0.6296057775311259,0.20540210030504102,0.21351725152366638,0.21397816531620478
structure,linear,0.1,q6,radial_control,plus_soap,10,125006,92.72126769202785,92.15591988940561,93.21429618465874,0.21351725152366638,0.01554134916974725
structure,linear,0.1,w4,radial_control,plus_gatr,10,125006,0.09279313741059614,0.05533420796931532,0.12827220008992946,1.3931138045266513,1.391821090519731
