task,family,caliper_A,target,baseline,method,sources,n,improvement_percent,low,high,baseline_loss,candidate_loss
structure,linear,0.05,q4,radial,radial_control,2,3,13.053490341417074,,,0.02192939224549089,0.019066841146794272
structure,linear,0.05,q4,radial_control,plus_radial_duplicate,2,3,-21.379733411480007,,,0.019066841146794272,0.023143280953969267
structure,linear,0.05,q4,radial_control,plus_gatr,2,3,-22.177645210246965,,,0.019066841146794272,0.02329541752913169
structure,linear,0.05,q4,radial_control,plus_angular_delta,2,3,-60.812097294329924,,,0.019066841146794272,0.03066178713593814
structure,linear,0.05,q4,radial_control,plus_mace,2,3,-398.25851030657685,,,0.019066841146794272,0.09500215866053857
structure,linear,0.05,q4,radial_control,plus_soap,2,3,61.81782977893073,,,0.019066841146794272,0.007280133742449863
structure,linear,0.05,q4,radial_control,plus_tda,2,3,-594.3407265272264,,,0.019066841146794272,0.13238884334444348
structure,linear,0.05,q4,plus_radial_duplicate,plus_gatr,2,3,-0.657368224777688,,,0.023143280953969267,0.02329541752913169
structure,linear,0.05,q4,plus_radial_duplicate,plus_angular_delta,2,3,-32.48677746652591,,,0.023143280953969267,0.03066178713593814
structure,linear,0.05,q6,radial,radial_control,2,3,-29.25164315887794,,,0.01822839417698034,0.023560498995224312
structure,linear,0.05,q6,radial_control,plus_radial_duplicate,2,3,1.780472264382893,,,0.023560498995224312,0.023141010845264133
structure,linear,0.05,q6,radial_control,plus_gatr,2,3,2.549000317564143,,,0.023560498995224312,0.022959941801016348
structure,linear,0.05,q6,radial_control,plus_angular_delta,2,3,18.74257421023153,,,0.023560498995224312,0.01914465498674354
structure,linear,0.05,q6,radial_control,plus_mace,2,3,-48.605469758151784,,,0.023560498995224312,0.03501219020921772
structure,linear,0.05,q6,radial_control,plus_soap,2,3,83.38421387860777,,,0.023560498995224312,0.0039147621221792385
structure,linear,0.05,q6,radial_control,plus_tda,2,3,-85.69511987507245,,,0.023560498995224312,0.043750696852347025
structure,linear,0.05,q6,plus_radial_duplicate,plus_gatr,2,3,0.7824595280583435,,,0.023141010845264133,0.022959941801016348
structure,linear,0.05,q6,plus_radial_duplicate,plus_angular_delta,2,3,17.269582064685196,,,0.023141010845264133,0.01914465498674354
structure,linear,0.05,w4,radial,radial_control,2,3,-28.156290936399706,,,0.05494460124016462,0.07041496301919005
structure,linear,0.05,w4,radial_control,plus_radial_duplicate,2,3,-0.5417527371311737,,,0.07041496301919005,0.07079643800869642
structure,linear,0.05,w4,radial_control,plus_gatr,2,3,-0.3893608158219042,,,0.07041496301919005,0.07068913129366226
structure,linear,0.05,w4,radial_control,plus_angular_delta,2,3,1.7440360434334945,,,0.07041496301919005,0.06918690068416501
structure,linear,0.05,w4,radial_control,plus_mace,2,3,-7.935009572636553,,,0.07041496301919005,0.07600239707533127
structure,linear,0.05,w4,radial_control,plus_soap,2,3,-42.69844411911225,,,0.07041496301919005,0.10048105665543247
structure,linear,0.05,w4,radial_control,plus_tda,2,3,16.783874656965423,,,0.07041496301919005,0.058596603886300634
structure,linear,0.05,w4,plus_radial_duplicate,plus_gatr,2,3,0.151570782446675,,,0.07079643800869642,0.07068913129366226
structure,linear,0.05,w4,plus_radial_duplicate,plus_angular_delta,2,3,2.2734721827865068,,,0.07079643800869642,0.06918690068416501
structure,linear,0.05,w6,radial,radial_control,2,3,20.68655898496913,,,0.006832067672004933,0.005418747963142625
structure,linear,0.05,w6,radial_control,plus_radial_duplicate,2,3,1.4080560632039885,,,0.005418747963142625,0.005342448953897853
structure,linear,0.05,w6,radial_control,plus_gatr,2,3,1.3533886796844974,,,0.005418747963142625,0.005345411241628819
structure,linear,0.05,w6,radial_control,plus_angular_delta,2,3,0.3796829574103211,,,0.005418747963142625,0.005398173900621554
structure,linear,0.05,w6,radial_control,plus_mace,2,3,-79.40058120497102,,,0.005418747963142625,0.009721265339910398
structure,linear,0.05,w6,radial_control,plus_soap,2,3,-149.57415613049358,,,0.005418747963142625,0.013523794501851516
structure,linear,0.05,w6,radial_control,plus_tda,2,3,-130.69592708495935,,,0.005418747963142625,0.012500830849969231
structure,linear,0.05,w6,plus_radial_duplicate,plus_gatr,2,3,-0.055448124194157344,,,0.005342448953897853,0.005345411241628819
structure,linear,0.05,w6,plus_radial_duplicate,plus_angular_delta,2,3,-1.0430599750147262,,,0.005342448953897853,0.005398173900621554
structure,linear,0.05,qbar6,radial,radial_control,2,3,-29.290674386943994,,,0.02337693023358036,0.03022419074996145
structure,linear,0.05,qbar6,radial_control,plus_radial_duplicate,2,3,-1.5263889360487504,,,0.03022419074996145,0.03068552945357913
structure,linear,0.05,qbar6,radial_control,plus_gatr,2,3,-1.6832289862118932,,,0.03022419074996145,0.030732933089512773
structure,linear,0.05,qbar6,radial_control,plus_angular_delta,2,3,-2.675002550530503,,,0.03022419074996145,0.031032688623400122
structure,linear,0.05,qbar6,radial_control,plus_mace,2,3,7.878913496519679,,,0.03022419074996145,0.027842852905748883
structure,linear,0.05,qbar6,radial_control,plus_soap,2,3,29.412963455248352,,,0.03022419074996145,0.021334360570030735
