task,family,method,source,temperature_K,target,n,loss,constant_loss,r2_vs_training_mean,positive,prevalence,auroc,average_precision
structure,linear,radial,911,400.0,q4,3204,0.7837193063111508,0.9820558994348063,0.20196059433867497,,,,
structure,linear,radial,911,400.0,q6,3204,0.3210784693555502,1.0523700894353636,0.6948996626008053,,,,
structure,linear,radial,911,400.0,w4,3204,0.5375116756414396,0.8272883220768318,0.3502728597787218,,,,
structure,linear,radial,911,400.0,w6,3204,1.222489649933468,1.318123824294339,0.07255325531504508,,,,
structure,linear,radial,911,400.0,qbar6,3204,0.19360226537018216,1.130057230471389,0.8286792384050996,,,,
structure,linear,radial,911,400.0,q6_coherence,3204,0.26989993214926583,1.1593535205619419,0.767197901794058,,,,
structure,linear,radial,911,400.0,bond_order,3204,0.5547168831268428,1.0782081477124452,0.4855196704794481,,,,
structure,linear,radial,911,400.0,angular_arrangement,3204,0.3785548677423976,0.9900156246321791,0.6176273804940783,,,,
structure,linear,radial,913,400.0,q4,3204,1.0501307925453045,1.1760511349046043,0.10707046540923915,,,,
structure,linear,radial,913,400.0,q6,3204,0.3535212033091179,1.6974295734084182,0.7917314456827498,,,,
structure,linear,radial,913,400.0,w4,3204,0.5878315627868625,0.7315208380997806,0.19642540284453058,,,,
structure,linear,radial,913,400.0,w6,3204,1.5900929279625686,1.5689214076725528,-0.013494315385385036,,,,
structure,linear,radial,913,400.0,qbar6,3204,0.1659682652454838,1.3517218428286248,0.8772171463189666,,,,
structure,linear,radial,913,400.0,q6_coherence,3204,0.21895591816617754,1.341913434198334,0.8368330530225425,,,,
structure,linear,radial,913,400.0,bond_order,3204,0.6610834450025858,1.3112597051853858,0.49584095172884013,,,,
structure,linear,radial,913,400.0,angular_arrangement,3204,0.518234013850945,1.2227013551235824,0.5761565065096657,,,,
structure,linear,radial,938,450.0,q4,3204,0.509884927021397,0.7568703417231496,0.32632460421086984,,,,
structure,linear,radial,938,450.0,q6,3204,0.15287383162420232,1.0341458990565506,0.8521738259914111,,,,
structure,linear,radial,938,450.0,w4,3204,0.5165847254933592,0.8877326555042099,0.41808525090253434,,,,
structure,linear,radial,938,450.0,w6,3204,0.5122132816933863,0.553379360633151,0.07439034027699254,,,,
structure,linear,radial,938,450.0,qbar6,3204,0.09614996152093262,1.062759235667555,0.9095279925179501,,,,
structure,linear,radial,938,450.0,q6_coherence,3204,0.12756926358913473,1.0317503959865169,0.8763564675280223,,,,
structure,linear,radial,938,450.0,bond_order,3204,0.31921266515706875,0.8877729814285222,0.6404343544636589,,,,
structure,linear,radial,938,450.0,angular_arrangement,3204,0.3455353320254921,0.9204509006800198,0.6246021034145177,,,,
structure,linear,radial,942,450.0,q4,3204,0.5943891100946863,0.8693157246206851,0.3162563459276657,,,,
structure,linear,radial,942,450.0,q6,3204,0.15183780415500256,0.9459332926648407,0.8394836027736672,,,,
structure,linear,radial,942,450.0,w4,3204,0.57729078280076,0.9866437199087402,0.41489438269149825,,,,
structure,linear,radial,942,450.0,w6,3204,0.6451308298079764,0.703698841184242,0.08322880179495895,,,,
structure,linear,radial,942,450.0,qbar6,3204,0.07212738568914875,1.0849502522777519,0.9335200986978675,,,,
structure,linear,radial,942,450.0,q6_coherence,3204,0.11217712653972173,1.038443473851876,0.8919757027085686,,,,
structure,linear,radial,942,450.0,bond_order,3204,0.35882550651454925,0.9381642174180227,0.6175237769117925,,,,
structure,linear,radial,942,450.0,angular_arrangement,3204,0.3301745379048678,1.0412728733662904,0.6829125713825047,,,,
structure,linear,radial,970,500.0,q4,3204,0.46486206176473066,0.7025795348422363,0.33834955515874077,,,,
structure,linear,radial,970,500.0,q6,3204,0.10990724441444169,0.9755876862048958,0.8873425259783787,,,,
structure,linear,radial,970,500.0,w4,3204,0.45571441319994466,0.820544480253567,0.4446194884412378,,,,
structure,linear,radial,970,500.0,w6,3204,0.4519636133153353,0.5113808606390153,0.11618981447493548,,,,
structure,linear,radial,970,500.0,qbar6,3204,0.066629852391699,1.2329049515565487,0.9459570242559424,,,,
structure,linear,radial,970,500.0,q6_coherence,3204,0.09090073232561417,1.1822379003759167,0.9231113024741379,,,,
structure,linear,radial,970,500.0,bond_order,3204,0.27332965290196093,0.9042059023120298,0.6977130405773015,,,,
structure,linear,radial,970,500.0,angular_arrangement,3204,0.2775320575035648,1.0508891967333844,0.7359074026393517,,,,
structure,linear,radial,971,500.0,q4,3204,0.6719389539571301,0.9137848572136844,0.2646639428825638,,,,
structure,linear,radial,971,500.0,q6,3204,0.19035022552795508,0.8984595439679773,0.78813712113593,,,,
structure,linear,radial,971,500.0,w4,3204,0.6192587582438054,0.9795531492264641,0.36781505043108365,,,,
structure,linear,radial,971,500.0,w6,3204,0.8011147416046559,0.8437117098714971,0.050487586895444414,,,,
structure,linear,radial,971,500.0,qbar6,3204,0.08917494518940505,0.8383279723250536,0.8936276157622612,,,,
structure,linear,radial,971,500.0,q6_coherence,3204,0.11827102715182923,0.8566104048560857,0.8619313675372653,,,,
structure,linear,radial,971,500.0,bond_order,3204,0.4150181086124635,0.8884079395767936,0.5328518689171513,,,,
structure,linear,radial,971,500.0,angular_arrangement,3204,0.3754192232000109,0.8696989639025777,0.5683342871705839,,,,
structure,linear,radial,1000,510.0,q4,3204,1.1342955923681737,1.2177143003958968,0.06850433472005912,,,,
structure,linear,radial,1000,510.0,q6,3204,0.2923420559630741,1.3829358452560725,0.7886076516377067,,,,
structure,linear,radial,1000,510.0,w4,3204,0.8182612054473621,0.9725631506031919,0.15865493676182396,,,,
structure,linear,radial,1000,510.0,w6,3204,1.6167542207087993,1.6594312503608568,0.025717865469134127,,,,
structure,linear,radial,1000,510.0,qbar6,3204,0.1227691125258796,1.0756681952764977,0.8858671167698492,,,,
structure,linear,radial,1000,510.0,q6_coherence,3204,0.22578747529901472,1.054869913330542,0.7859570431901545,,,,
structure,linear,radial,1000,510.0,bond_order,3204,0.7017016103853839,1.227197109203843,0.4282079014669288,,,,
structure,linear,radial,1000,510.0,angular_arrangement,3204,0.8351066995955386,1.5646813325308662,0.4662768180120378,,,,
structure,linear,radial,1001,510.0,q4,3204,1.0633606422354773,1.2618420686753222,0.157294982761361,,,,
structure,linear,radial,1001,510.0,q6,3204,0.20530440816556841,0.7127159913775732,0.7119407861625979,,,,
structure,linear,radial,1001,510.0,w4,3204,1.2220163596851257,1.432960621627321,0.14720869419470817,,,,
structure,linear,radial,1001,510.0,w6,3204,0.784757491389957,0.8220693760188509,0.04538775645626081,,,,
structure,linear,radial,1001,510.0,qbar6,3204,0.09715529775849784,0.727389709925581,0.8664329499953501,,,,
structure,linear,radial,1001,510.0,q6_coherence,3204,0.1466864848563875,0.7745531192212736,0.8106179147482302,,,,
structure,linear,radial,1001,510.0,bond_order,3204,0.5865467806818355,0.9552551478076537,0.38597893763987323,,,,
structure,linear,radial,1001,510.0,angular_arrangement,3204,0.42561922952280995,0.8739563608023455,0.5129971602563023,,,,
structure,linear,radial,881,520.0,q4,3204,0.8119885141007287,1.0830697491237549,0.2502897299479939,,,,
structure,linear,radial,881,520.0,q6,3204,0.24879861305173828,0.9290449691819821,0.7321996014134775,,,,
structure,linear,radial,881,520.0,w4,3204,0.7189070429643751,1.0604806328534087,0.32209318992461944,,,,
structure,linear,radial,881,520.0,w6,3204,1.3733395793769143,1.465280907843273,0.06274655458500844,,,,
structure,linear,radial,881,520.0,qbar6,3204,0.10058907072142524,1.0240428620767752,0.9017725971768125,,,,
structure,linear,radial,881,520.0,q6_coherence,3204,0.16702908036541955,1.0710320718364934,0.8440484792588745,,,,
