task,family,method,source,temperature_K,caliper_A,target,n,loss,true_contrast_rms
structure,linear,radial_control,970,500.0,0.05,w6,82,0.014513748800080592,0.10562520457987064
structure,linear,radial_control,970,500.0,0.05,qbar6,82,0.020888437847806935,0.07958244387716755
structure,linear,radial_control,970,500.0,0.05,q6_coherence,82,0.018395309522948745,0.04325246021223588
structure,linear,radial_control,970,500.0,0.05,bond_order,82,0.060987466800331847,0.24863947449927762
structure,linear,radial_control,970,500.0,0.05,angular_arrangement,82,0.1852909479121659,0.4564394598621464
structure,linear,radial_control,971,500.0,0.05,q4,16,0.46089409902994316,0.6995239887906375
structure,linear,radial_control,971,500.0,0.05,q6,16,0.07039644591932917,0.19126547100619057
structure,linear,radial_control,971,500.0,0.05,w4,16,0.5014561981488741,0.7208948353117678
structure,linear,radial_control,971,500.0,0.05,w6,16,0.025563497895207107,0.1406353350802877
structure,linear,radial_control,971,500.0,0.05,qbar6,16,0.050206608533294034,0.13026485036415222
structure,linear,radial_control,971,500.0,0.05,q6_coherence,16,0.04199842587516417,0.08282895095921848
structure,linear,radial_control,971,500.0,0.05,bond_order,16,0.19175254590030197,0.4260699314084698
structure,linear,radial_control,971,500.0,0.05,angular_arrangement,16,0.19643813011324116,0.4772211851500516
structure,linear,radial_control,1000,510.0,0.05,q4,2,0.035810255441503264,0.18959328285465324
structure,linear,radial_control,1000,510.0,0.05,q6,2,0.02447605741145396,0.18444600397720076
structure,linear,radial_control,1000,510.0,0.05,w4,2,0.04897473710290791,0.18940047086597553
structure,linear,radial_control,1000,510.0,0.05,w6,2,0.04930654820530383,0.1854566227772121
structure,linear,radial_control,1000,510.0,0.05,qbar6,2,0.01729076925986496,0.05976879124222398
structure,linear,radial_control,1000,510.0,0.05,q6_coherence,2,0.005992228639350417,0.02829881516315293
structure,linear,radial_control,1000,510.0,0.05,bond_order,2,0.03030843267673072,0.15524484421344417
structure,linear,radial_control,1000,510.0,0.05,angular_arrangement,2,0.18653373521668648,0.4681339093935752
structure,linear,radial_control,1001,510.0,0.05,q4,27,0.3170136817229765,0.5806120321533584
structure,linear,radial_control,1001,510.0,0.05,q6,27,0.03669902774246135,0.15791416154800664
structure,linear,radial_control,1001,510.0,0.05,w4,27,0.4201345679261393,0.632134740607913
structure,linear,radial_control,1001,510.0,0.05,w6,27,0.020056089497165714,0.1417871957623332
structure,linear,radial_control,1001,510.0,0.05,qbar6,27,0.04386897136343797,0.09907650604183864
structure,linear,radial_control,1001,510.0,0.05,q6_coherence,27,0.03929122970208659,0.06835355034916336
structure,linear,radial_control,1001,510.0,0.05,bond_order,27,0.1461772613257112,0.3642877789511647
structure,linear,radial_control,1001,510.0,0.05,angular_arrangement,27,0.28076746337866104,0.5148658056162762
structure,linear,radial_control,1009,520.0,0.05,q4,14,0.07129442046921662,0.2113813404481155
structure,linear,radial_control,1009,520.0,0.05,q6,14,0.03176389471533076,0.1575887899811701
structure,linear,radial_control,1009,520.0,0.05,w4,14,0.0570562622996993,0.21643950211051974
structure,linear,radial_control,1009,520.0,0.05,w6,14,0.012496573300866853,0.09891221474462229
structure,linear,radial_control,1009,520.0,0.05,qbar6,14,0.018896096315858844,0.08945530424463699
structure,linear,radial_control,1009,520.0,0.05,q6_coherence,14,0.011680851842462096,0.05055296745715174
structure,linear,radial_control,1009,520.0,0.05,bond_order,14,0.03386468315723908,0.15094360762280937
structure,linear,radial_control,1009,520.0,0.05,angular_arrangement,14,0.1928318435540686,0.45369065818224485
structure,linear,radial_control,911,400.0,0.1,q4,13431,1.063373525994699,1.0266270699159583
structure,linear,radial_control,911,400.0,0.1,q6,13431,0.21184254329300656,0.4510847212905268
structure,linear,radial_control,911,400.0,0.1,w4,13431,1.4172694573500941,1.1788873541785532
structure,linear,radial_control,911,400.0,0.1,w6,13431,0.8815940405326672,0.9414256790661032
structure,linear,radial_control,911,400.0,0.1,qbar6,13431,0.08940506463491912,0.2363553336651145
structure,linear,radial_control,911,400.0,0.1,q6_coherence,13431,0.11533008081905083,0.2796867605913576
structure,linear,radial_control,911,400.0,0.1,bond_order,13431,0.6298024521040727,0.7818340400744901
structure,linear,radial_control,911,400.0,0.1,angular_arrangement,13431,0.5502196955464049,0.8252979712638587
structure,linear,radial_control,913,400.0,0.1,q4,11219,0.763514574940793,0.8448989307302719
structure,linear,radial_control,913,400.0,0.1,q6,11219,0.22460633718581322,0.46883306725310797
structure,linear,radial_control,913,400.0,0.1,w4,11219,0.5348184501429932,0.7145189952348846
structure,linear,radial_control,913,400.0,0.1,w6,11219,1.0691533901226158,1.0293600635205897
structure,linear,radial_control,913,400.0,0.1,qbar6,11219,0.07004012327777279,0.20303463450821171
structure,linear,radial_control,913,400.0,0.1,q6_coherence,11219,0.12207123500491139,0.30413820210350695
structure,linear,radial_control,913,400.0,0.1,bond_order,11219,0.4640340184458166,0.6630109717305254
structure,linear,radial_control,913,400.0,0.1,angular_arrangement,11219,0.43600482560031717,0.7542531642816
structure,linear,radial_control,938,450.0,0.1,q4,10713,1.8940705608917887,1.3471635105358934
structure,linear,radial_control,938,450.0,0.1,q6,10713,0.309175226800302,0.5533101707913456
structure,linear,radial_control,938,450.0,0.1,w4,10713,2.68461933458612,1.6320479698268333
structure,linear,radial_control,938,450.0,0.1,w6,10713,0.5114716084252472,0.7083241471819619
structure,linear,radial_control,938,450.0,0.1,qbar6,10713,0.17754859357475752,0.344674321476995
structure,linear,radial_control,938,450.0,0.1,q6_coherence,10713,0.15423235512341285,0.30677619376100695
structure,linear,radial_control,938,450.0,0.1,bond_order,10713,0.9551862799002714,0.9573589855658117
structure,linear,radial_control,938,450.0,0.1,angular_arrangement,10713,0.8104203456353807,0.9872689185839557
structure,linear,radial_control,942,450.0,0.1,q4,18952,0.40792369724270794,0.6211528106411476
structure,linear,radial_control,942,450.0,0.1,q6,18952,0.09396798360848298,0.2989398844217068
