source,temperature_K,caliper_A,candidate_pairs,matched_pairs,mean_radial_rms_A,mean_full_radial_rms_A,mean_density_gap
911,400.0,0.025,356642,0,,,
911,400.0,0.05,356642,91,0.046517421898250824,0.04146164130052468,0.009540265192116858
911,400.0,0.1,356642,13431,0.0787222787426075,0.05606567180109099,0.009941308083920236
913,400.0,0.025,356326,0,,,
913,400.0,0.05,356326,158,0.04673253305044261,0.038100324465559936,0.010011288507981537
913,400.0,0.1,356326,11219,0.07805999123971122,0.05148545419279971,0.009933473411750262
938,450.0,0.025,356642,0,,,
938,450.0,0.05,356642,13,0.047964498976243046,0.039160373952883035,0.006965655552640388
938,450.0,0.1,356642,10713,0.08360296877303397,0.060389165474188565,0.00984598249320988
942,450.0,0.025,356961,0,,,
942,450.0,0.05,356961,206,0.04701190797758497,0.03810521088234158,0.01004320069880217
942,450.0,0.1,356961,18952,0.07610441012285313,0.04950963756645977,0.00990520778721854
970,500.0,0.025,356642,0,,,
970,500.0,0.05,356642,82,0.047650130422185695,0.040377310705064735,0.009067957087352354
970,500.0,0.1,356642,20747,0.07856844330142941,0.04989576866418399,0.009899437458923991
971,500.0,0.025,356642,0,,,
971,500.0,0.05,356642,16,0.048237212305525426,0.041575539022189786,0.00961975470780963
971,500.0,0.1,356642,10619,0.083081233132732,0.05863602729614307,0.009930475944361734
1000,510.0,0.025,356323,0,,,
1000,510.0,0.05,356323,2,0.047987190339867716,0.04285570461793295,0.012477294341821536
1000,510.0,0.1,356323,7473,0.08493745643574681,0.060783320278601914,0.00988915881210916
1001,510.0,0.025,356961,0,,,
1001,510.0,0.05,356961,27,0.04734036221616257,0.04241073247097376,0.009506099967623803
1001,510.0,0.1,356961,11038,0.08267983200295645,0.05772120117166228,0.009825180845064353
881,520.0,0.025,356961,0,,,
881,520.0,0.05,356961,0,,,
881,520.0,0.1,356961,7220,0.08641270092253842,0.06245704542273516,0.009888273459992752
1009,520.0,0.025,356642,0,,,
1009,520.0,0.05,356642,14,0.04838625876374163,0.04327250966023486,0.010395615756133026
1009,520.0,0.1,356642,13594,0.08314448969524113,0.05912938396949483,0.0098738297577374
