task,family,method,source,temperature_K,caliper_A,target,n,loss,true_contrast_rms,discordant,concordance
structure,linear,radial,970,500.0,0.1,w6,156,0.23061658637137591,0.4735897075452456,,
structure,linear,radial,970,500.0,0.1,qbar6,156,0.07729084084888009,0.13339467402976257,,
structure,linear,radial,970,500.0,0.1,q6_coherence,156,0.05434562791589407,0.14387694799707285,,
structure,linear,radial,970,500.0,0.1,bond_order,156,0.18352453042530573,0.39905565645750707,,
structure,linear,radial,970,500.0,0.1,angular_arrangement,156,0.3664948505916338,0.7414295025787065,,
structure,linear,radial,971,500.0,0.1,q4,142,0.4840979604461691,0.6561699949959883,,
structure,linear,radial,971,500.0,0.1,q6,142,0.1911058655660181,0.428707105312773,,
structure,linear,radial,971,500.0,0.1,w4,142,0.4701979444116717,0.7058237690180038,,
structure,linear,radial,971,500.0,0.1,w6,142,0.4468512326804738,0.6486561218081057,,
structure,linear,radial,971,500.0,0.1,qbar6,142,0.14559418156708623,0.3345009800219259,,
structure,linear,radial,971,500.0,0.1,q6_coherence,142,0.15271324563495628,0.3353274547235976,,
structure,linear,radial,971,500.0,0.1,bond_order,142,0.3150934050510625,0.541237195272036,,
structure,linear,radial,971,500.0,0.1,angular_arrangement,142,0.4707889225285418,0.8220813036374066,,
structure,linear,radial,1000,510.0,0.1,q4,33,1.7260284320476114,1.2447935951461606,,
structure,linear,radial,1000,510.0,0.1,q6,33,0.7508042854056104,0.8570341052940958,,
structure,linear,radial,1000,510.0,0.1,w4,33,1.152747944711099,1.0437125453475344,,
structure,linear,radial,1000,510.0,0.1,w6,33,3.6552525677035383,1.8846070503100016,,
structure,linear,radial,1000,510.0,0.1,qbar6,33,0.12873365820054214,0.3222112522060935,,
structure,linear,radial,1000,510.0,0.1,q6_coherence,33,0.21572885871425648,0.46006374940638883,,
structure,linear,radial,1000,510.0,0.1,bond_order,33,1.2715492911304431,1.098527568165241,,
structure,linear,radial,1000,510.0,0.1,angular_arrangement,33,1.1761450617857871,1.1509391979611254,,
structure,linear,radial,1001,510.0,0.1,q4,97,1.3006015523939405,1.160572976042111,,
structure,linear,radial,1001,510.0,0.1,q6,97,0.2035511375434807,0.4805482371753739,,
structure,linear,radial,1001,510.0,0.1,w4,97,1.8760399834968169,1.386141296438495,,
structure,linear,radial,1001,510.0,0.1,w6,97,0.7998575961717955,0.878608502553682,,
structure,linear,radial,1001,510.0,0.1,qbar6,97,0.14801438094443736,0.40308803275389254,,
structure,linear,radial,1001,510.0,0.1,q6_coherence,97,0.13747204633425655,0.35582213333112767,,
structure,linear,radial,1001,510.0,0.1,bond_order,97,0.7442561161474547,0.8718071449715944,,
structure,linear,radial,1001,510.0,0.1,angular_arrangement,97,0.6181749270381119,0.8868320474094303,,
structure,linear,radial,881,520.0,0.1,q4,99,1.0096663625653441,0.9877981222786641,,
structure,linear,radial,881,520.0,0.1,q6,99,0.3140717115006833,0.5336228564487344,,
structure,linear,radial,881,520.0,0.1,w4,99,0.7528604679966469,0.8456158960370362,,
structure,linear,radial,881,520.0,0.1,w6,99,1.088886489671703,1.0359049643447915,,
structure,linear,radial,881,520.0,0.1,qbar6,99,0.12925481617596413,0.29643283225559547,,
structure,linear,radial,881,520.0,0.1,q6_coherence,99,0.2147658930355998,0.40176555728327495,,
structure,linear,radial,881,520.0,0.1,bond_order,99,0.5849176234909902,0.7413896646551302,,
structure,linear,radial,881,520.0,0.1,angular_arrangement,99,0.5735873344860554,0.8551680861071987,,
structure,linear,radial,1009,520.0,0.1,q4,160,1.624943486569372,1.281270713981003,,
structure,linear,radial,1009,520.0,0.1,q6,160,0.267526836493448,0.5130031277573246,,
structure,linear,radial,1009,520.0,0.1,w4,160,2.4241913187553354,1.5483593306656047,,
structure,linear,radial,1009,520.0,0.1,w6,160,0.36312262405622187,0.5891823752673391,,
structure,linear,radial,1009,520.0,0.1,qbar6,160,0.12405313662723187,0.3173129552609609,,
structure,linear,radial,1009,520.0,0.1,q6_coherence,160,0.08986214635557264,0.24823631573473656,,
structure,linear,radial,1009,520.0,0.1,bond_order,160,0.8156165914761969,0.8955155051519292,,
structure,linear,radial,1009,520.0,0.1,angular_arrangement,160,0.7914975056461253,1.0071228361065612,,
structure,linear,radial_control,911,400.0,0.05,q4,2,0.02704941970378924,0.156088250809767,,
structure,linear,radial_control,911,400.0,0.05,q6,2,0.04348539981956095,0.1392019094762592,,
structure,linear,radial_control,911,400.0,0.05,w4,2,0.12735493972976797,0.32627599448075145,,
structure,linear,radial_control,911,400.0,0.05,w6,2,0.0028656177152993844,0.10278381802583629,,
structure,linear,radial_control,911,400.0,0.05,qbar6,2,0.05702437817701833,0.010945204147925254,,
structure,linear,radial_control,911,400.0,0.05,q6_coherence,2,0.04301691366165341,0.010117604830586538,,
structure,linear,radial_control,911,400.0,0.05,bond_order,2,0.05013277813451488,0.16380039422338022,,
structure,linear,radial_control,911,400.0,0.05,angular_arrangement,2,0.20496554797038274,0.5322235002296847,,
structure,linear,radial_control,942,450.0,0.05,q4,1,0.0110842625897993,0.07125223941609359,,
structure,linear,radial_control,942,450.0,0.05,q6,1,0.0036355981708876754,0.06103165057492276,,
structure,linear,radial_control,942,450.0,0.05,w4,1,0.013474986308612134,0.03636067633642757,,
structure,linear,radial_control,942,450.0,0.05,w6,1,0.007971878210985866,0.04322356139918561,,
structure,linear,radial_control,942,450.0,0.05,qbar6,1,0.0034240033229045674,0.008611071169454941,,
structure,linear,radial_control,942,450.0,0.05,q6_coherence,1,0.008828646951585502,0.007597365575279685,,
structure,linear,radial_control,942,450.0,0.05,bond_order,1,0.00806989592579584,0.04495180668921859,,
