task,family,target,baseline,method,sources,n,improvement_percent,low,high,baseline_loss,candidate_loss
structure,linear,q4,radial,radial_control,10,32040,-1.2944124709131755,-1.8707133399262998,-0.6970663815278222,0.787577662023268,0.7977721654986236
structure,linear,q4,radial_control,plus_radial_duplicate,10,32040,-0.2330252212334738,-0.908424222607041,0.5097436160684254,0.7977721654986236,0.7996311758522159
structure,linear,q4,radial_control,plus_gatr,10,32040,-0.23399506977659357,-0.9088813769895909,0.5082099330441459,0.7977721654986236,0.7996389130339403
structure,linear,q4,radial_control,plus_angular_delta,10,32040,-0.18356565146822046,-0.7777217707914064,0.40035087548624393,0.7977721654986236,0.7992366011714533
structure,linear,q4,radial_control,plus_mace,10,32040,15.106699962685322,10.408191162589553,19.449616651963005,0.7977721654986236,0.6772551180709292
structure,linear,q4,radial_control,plus_soap,10,32040,73.7081176752117,71.64084046499613,75.65854852202541,0.7977721654986236,0.20974931897281354
structure,linear,q4,radial_control,plus_tda,10,32040,6.93004690576724,2.6782257396275546,11.072848539935698,0.7977721654986236,0.742486180228414
structure,linear,q4,plus_radial_duplicate,plus_gatr,10,32040,-0.0009675938055009325,-0.005076106452617246,0.00355537669769479,0.7996311758522159,0.7996389130339403
structure,linear,q4,plus_radial_duplicate,plus_angular_delta,10,32040,0.04934458443819345,-0.22973348300729945,0.3023745776612352,0.7996311758522159,0.7992366011714533
structure,linear,q6,radial,radial_control,10,32040,-0.3059117668945399,-1.5149091932564973,0.7180791353948002,0.2192842480110996,0.21995506432871176
structure,linear,q6,radial_control,plus_radial_duplicate,10,32040,-0.16190453073818833,-0.2434047607159151,-0.0835054051372408,0.21995506432871176,0.22031118154344806
structure,linear,q6,radial_control,plus_gatr,10,32040,-0.11852318814153939,-0.22390379325265553,-0.017287760175488387,0.21995506432871176,0.22021576208343294
structure,linear,q6,radial_control,plus_angular_delta,10,32040,0.38592627519409284,-0.23577559839511597,0.9940531500632899,0.21995506432871176,0.21910619994184719
structure,linear,q6,radial_control,plus_mace,10,32040,24.30063141879204,22.08091599495925,26.655028083699538,0.21995506432871176,0.1665045948592246
structure,linear,q6,radial_control,plus_soap,10,32040,91.78252181545231,91.26108681554388,92.3531006284121,0.21995506432871176,0.018074759427019724
structure,linear,q6,radial_control,plus_tda,10,32040,19.300624121664423,15.226108407495708,23.485673416747773,0.21995506432871176,0.1775023641260619
structure,linear,q6,plus_radial_duplicate,plus_gatr,10,32040,0.04331121976952623,-0.003323686103651191,0.09134028820616535,0.22031118154344806,0.22021576208343294
structure,linear,q6,plus_radial_duplicate,plus_angular_delta,10,32040,0.5469452767485783,-0.0592187443750225,1.1245455996472198,0.22031118154344806,0.21910619994184719
structure,linear,w4,radial,radial_control,10,32040,0.39878003161383235,-0.6808087501051219,1.4859421432620756,0.717426062298766,0.7145651104207251
