contrast,readout,metric,reference_arm,reference_representation,candidate_arm,candidate_representation,reference,candidate,delta,ci95_low,ci95_high,valid_draws
relaxed_teacher,linear,average_precision,A-observed,exported,C-relaxed-teacher,exported,0.083003640339294,0.09701921506686595,0.01401557472757195,0.0027790233855910307,0.05017463742391557,2000
relaxed_teacher,linear,brier,A-observed,exported,C-relaxed-teacher,exported,0.03503801714133139,0.03533502348181171,0.00029700634048032,-0.0016011280408440162,0.0026865920331378326,2000
relaxed_teacher,linear,log_loss,A-observed,exported,C-relaxed-teacher,exported,0.15900525226596113,0.15239305924023633,-0.0066121930257248,-0.011364260825748141,-0.0022969047758811113,2000
relaxed_teacher,linear,nll,A-observed,exported,C-relaxed-teacher,exported,0.20576552073038037,0.1980049394995888,-0.007760581230791569,-0.014377920610854978,-0.0005641593845170475,2000
relaxed_teacher,mlp,average_precision,A-observed,exported,C-relaxed-teacher,exported,0.15206122817576048,0.1551691659465794,0.0031079377708189138,-0.0006910229019859992,0.01035985158429857,2000
relaxed_teacher,mlp,brier,A-observed,exported,C-relaxed-teacher,exported,0.03324578777196953,0.0334322873702659,0.00018649959829637047,-5.884909745969349e-05,0.00045340296835062456,2000
relaxed_teacher,mlp,log_loss,A-observed,exported,C-relaxed-teacher,exported,0.15488986645482342,0.15555558862505398,0.0006657221702305594,-0.00031713881523119864,0.0017460633783694499,2000
relaxed_teacher,mlp,nll,A-observed,exported,C-relaxed-teacher,exported,0.2150145117662207,0.21649653984949965,0.0014820280832789634,-0.000564659123169823,0.003634502951664247,2000
physical_distance,linear,average_precision,B-relaxed,exported,D-physical-distance,exported,0.20870261822435154,0.20958643266167837,0.0008838144373268242,-0.001736177680141096,0.005977119230551366,2000
physical_distance,linear,brier,B-relaxed,exported,D-physical-distance,exported,0.030763008837892535,0.03068814048093235,-7.486835696018587e-05,-0.00013358027211543563,-9.811569985051907e-06,2000
physical_distance,linear,log_loss,B-relaxed,exported,D-physical-distance,exported,0.1325255181797746,0.1324014183751063,-0.00012409980466829285,-0.00032009362169277167,7.456514658244825e-05,2000
