arm,representation,readout,metric,estimate,ci95_low,ci95_high,valid_draws,selected_step
A-observed,conditions,linear,average_precision,0.055256122925803716,0.0355396240739909,0.08290313800133818,2000,1024
A-observed,conditions,linear,brier,0.031246826055471726,0.02252603945424435,0.04051856240426203,2000,1024
A-observed,conditions,linear,log_loss,0.1411660864144007,0.11158057906126702,0.17189786641607488,2000,1024
A-observed,conditions,linear,nll,0.19372409431737486,0.1456887472487764,0.2443648562108255,2000,1024
A-observed,conditions,mlp,average_precision,0.05856170013644129,0.04000554919842013,0.0825554023842496,2000,128
A-observed,conditions,mlp,brier,0.03123828601038974,0.022630593296236203,0.04034131474742219,2000,128
A-observed,conditions,mlp,log_loss,0.14124525054819514,0.11292331638785719,0.1708858333456846,2000,128
A-observed,conditions,mlp,nll,0.19233177624565576,0.14723560583401965,0.24087549899765032,2000,128
A-observed,descriptor,linear,average_precision,0.04136594843230867,0.022184523588022427,0.11883821397361923,2000,128
A-observed,descriptor,linear,brier,0.034420564913524694,0.025742166853025654,0.044269686960854863,2000,128
A-observed,descriptor,linear,log_loss,0.16505727829659203,0.13022888572279814,0.20522599700595656,2000,128
A-observed,descriptor,linear,nll,0.22257783143359355,0.16739438568550336,0.2848550290964671,2000,128
A-observed,descriptor,mlp,average_precision,0.03247908468153893,0.022847905242306284,0.04274128323757477,2000,0
A-observed,descriptor,mlp,brier,0.03156406197200376,0.022786314339806234,0.04091691326552722,2000,0
A-observed,descriptor,mlp,log_loss,0.14507099669010717,0.11549051111017232,0.17658954728098178,2000,0
A-observed,descriptor,mlp,nll,0.19559800980094455,0.15256114049545622,0.24221127900838965,2000,0
A-observed,descriptor_pca64,linear,average_precision,0.03622171773134834,0.023312053185672914,0.08146747420331088,2000,256
A-observed,descriptor_pca64,linear,brier,0.033393065774143006,0.025102076857228255,0.0425103627832378,2000,256
A-observed,descriptor_pca64,linear,log_loss,0.15687583450175677,0.12982227370852206,0.1871377687777078,2000,256
A-observed,descriptor_pca64,linear,nll,0.2141009724014836,0.16490379283919926,0.2698331026617097,2000,256
A-observed,descriptor_pca64,mlp,average_precision,0.032135053747164764,0.022728953567117842,0.04966147455062972,2000,128
A-observed,descriptor_pca64,mlp,brier,0.03782003228159301,0.029530299654769682,0.046871664716837166,2000,128
A-observed,descriptor_pca64,mlp,log_loss,0.1730491310511139,0.14052587538649405,0.2100978999821103,2000,128
A-observed,descriptor_pca64,mlp,nll,0.24952106319749534,0.1838448267263513,0.3229379251985412,2000,128
A-observed,exported,linear,average_precision,0.083003640339294,0.03742301092335394,0.17769384818346012,2000,128
A-observed,exported,linear,brier,0.03503801714133139,0.02842329545806981,0.042278656428543185,2000,128
A-observed,exported,linear,log_loss,0.15900525226596113,0.1323204758143453,0.18755718016316736,2000,128
A-observed,exported,linear,nll,0.20576552073038037,0.16747828835769035,0.2471268059788396,2000,128
A-observed,exported,mlp,average_precision,0.15206122817576048,0.05262359540505054,0.4136386096883533,2000,128
A-observed,exported,mlp,brier,0.03324578777196953,0.02463898725837989,0.04187479962478511,2000,128
A-observed,exported,mlp,log_loss,0.15488986645482342,0.11045346002148035,0.2031308175230448,2000,128
A-observed,exported,mlp,nll,0.2150145117662207,0.15846842341334744,0.2746303947369405,2000,128
A-observed,initial_exported,linear,average_precision,0.14233798160153652,0.05457116892226448,0.3953234048982068,2000,1024
A-observed,initial_exported,linear,brier,0.03208598412413301,0.024531183065102224,0.04007572538669012,2000,1024
A-observed,initial_exported,linear,log_loss,0.14267691262668988,0.11127470814697071,0.17589157840035005,2000,1024
A-observed,initial_exported,linear,nll,0.18803964961215103,0.14066520276517433,0.23855214624787183,2000,1024
A-observed,initial_exported,mlp,average_precision,0.1539637319454639,0.04780403046952124,0.3968827117420625,2000,128
A-observed,initial_exported,mlp,brier,0.03423549795664887,0.025452689129159257,0.043354821131644676,2000,128
A-observed,initial_exported,mlp,log_loss,0.16612852511785944,0.11806587680770822,0.22116330190462485,2000,128
A-observed,initial_exported,mlp,nll,0.22532329107580895,0.16916523233493652,0.28468206640413496,2000,128
B-relaxed,conditions,linear,average_precision,0.055256122925803716,0.0355396240739909,0.08290313800133818,2000,1024
B-relaxed,conditions,linear,brier,0.031246826055471726,0.02252603945424435,0.04051856240426203,2000,1024
B-relaxed,conditions,linear,log_loss,0.1411660864144007,0.11158057906126702,0.17189786641607488,2000,1024
