method,readout,embedding_width,hot_test_mse,relaxed_test_mse,q6_test_reduction,q6_increment_reduction_075ps,density_increment_reduction_075ps,distance_increment_reduction_075ps,hot_increment_reduction_075ps,latent_block_balanced_mse_075ps,boundary_latent_fraction,boundary_decoded_hot_fraction
frozen-fusion,nonlinear,512,0.040124424736354025,0.03091151326202959,0.819502641546481,0.20459208674880658,0.6747345955288875,0.9761933114653333,0.6214362664261943,0.16040637050457512,2.537492155325079e-10,5.4799277298213345e-09
frozen-fusion,ridge,512,0.040124424736354025,0.03153478665279827,0.8080978398979187,0.20811932983833847,0.6106605464124233,0.9698371107641185,0.6214362664261943,0.16040637050457512,2.537492155325079e-10,5.4799277298213345e-09
frozen-halo_center,nonlinear,256,0.07704107228064433,0.04866666940592564,0.821139594948436,0.19636277509996547,0.7197758012595659,0.9788264882026143,0.2830594207899071,0.294631965074591,1.4881618041952936e-10,4.309663226159731e-06
frozen-halo_center,ridge,256,0.07755597979451491,0.049863333252287076,0.810188334939392,0.20004105839225106,0.6351939670099105,0.9724748449602012,0.2839318429700337,0.294631965074591,1.4881618041952936e-10,4.3089807698443095e-06
frozen-halo_inner,nonlinear,256,0.04135693218746482,0.030017505795766272,0.731863979041667,0.022557118672069443,0.026329338785318956,0.16943922629334418,0.6171460386401493,0.026180775934559457,1.4346395915036396e-09,5.186748935247689e-09
frozen-halo_inner,ridge,256,0.04135693218746482,0.030924820849480523,0.731173969986945,0.044642238603001316,0.051277605129327664,0.16886202051386057,0.6171460386401493,0.026180775934559457,1.4346395915036396e-09,5.186748935247689e-09
frozen-mean80,nonlinear,256,0.017009184162710904,0.03460219342210676,0.7942631364385061,0.10448694470057307,0.26417608316059404,0.8228702853529442,0.8262540881826435,0.04824421666174904,0.03667982340918308,0.02399813423008617
frozen-mean80,ridge,256,0.01714816181407695,0.03575263295212167,0.794479345434714,0.11320311848152176,0.2665680158001199,0.8218947805887366,0.8255282611805184,0.04824421666174904,0.03667982340918308,0.02336738884490524
trained-fusion,nonlinear,512,0.04017680881762996,0.030925084457373717,0.8207499485892684,0.20851282696787188,0.6820409101608451,0.9760538022115482,0.6191668521283638,0.08143221744232254,6.838330286693726e-10,5.2977921318748635e-09
trained-fusion,ridge,512,0.04021241995416792,0.03132604438662707,0.8090602691353727,0.21915680162934215,0.5949335436955194,0.9665380353816855,0.6193011528514222,0.08143221744232254,6.838330286693726e-10,5.296629283366265e-09
trained-halo_center,nonlinear,256,0.0788406828847727,0.04635831418881434,0.824436936321762,0.20476235085473204,0.7063412717825107,0.9769051699827358,0.27495888350612085,0.13585602974702007,5.402740166139575e-10,0.0010013009471555462
trained-halo_center,ridge,256,0.07891203747049796,0.046925901373239015,0.8127903801668452,0.21165299613656385,0.622080234410125,0.9694941671180413,0.27434194545752055,0.13585602974702007,5.402740166139575e-10,0.0010013174243118132
trained-halo_inner,nonlinear,256,0.0414761678631518,0.03004940629513443,0.732653070676272,0.021625232524624005,0.019283248648534923,0.17969944925156456,0.615437448591234,0.02700840513762502,1.4059548019792455e-09,5.130969702380193e-09
trained-halo_inner,ridge,256,0.0414761678631518,0.03098429962919017,0.7296166770273813,0.032558476203691455,0.032940255375363714,0.1844698793878634,0.615437448591234,0.02700840513762502,1.4059548019792455e-09,5.130969702380193e-09
trained-mean80,nonlinear,256,0.017008133543106856,0.034684115248202536,0.794965067976719,0.10421917042693962,0.26644914996504243,0.8240435610908445,0.8261597632779956,0.04840905819153166,0.03670861889543971,0.024037164669293138
trained-mean80,ridge,256,0.017150378830028703,0.03561644811415148,0.7947951137398892,0.11166507031283224,0.2660194908767963,0.8225970475607575,0.8255322136051659,0.04840905819153166,0.03670861889543971,0.023366073072334792
dual_physics,ridge,512,0.04011745153571741,0.03144026401800895,0.8089283692691994,0.211372297292725,0.6084036972857811,0.9694160092782554,0.6207173489840618,0.16083716962398353,2.5715751011186593e-10,6.3222001171398e-09
dual_physics,trained_head,512,0.04718838675752957,0.032240752154386904,0.8300364716261294,0.24160162191662948,0.7515199767426104,0.9732685091829142,0.5677783274963681,0.16083716962398353,2.5715751011186593e-10,1.8323623637695475e-09
dual_ssl,ridge,512,0.04012443942967841,0.03153473141199597,0.8080995141869007,0.20810393944706385,0.6106568665387442,0.9698376758472773,0.6214366651834842,0.16040639002592852,2.5554882115402674e-10,6.215390418715184e-09
dual_ssl,trained_head,512,0.048871913185324384,0.033198090592288475,0.8318334060670699,0.2538513613259554,0.7271875444244935,0.9707923347918133,0.5449978494352179,0.16040639002592852,2.5554882115402674e-10,1.7630341121572303e-09
