model,source,atom,observations,first_ps,last_ps,velocity_roughness,increment_cosine,reversal_fraction,turn_pairs,adjacent_lags_ps,state_participation_rank,state_entropy_rank,state_d95,state_numerical_rank,state_rank_ceiling,movement_participation_rank,movement_entropy_rank,movement_d95,movement_numerical_rank,movement_rank_ceiling,fluctuation_participation_rank,fluctuation_entropy_rank,fluctuation_d95,fluctuation_numerical_rank,fluctuation_rank_ceiling
gf-mlp-cov1-factor1-s123-0035--encoder,independent_melt_197585375,1059,4,48.0,384.0,1.41884092078738,-0.4255831354237077,1.0,1,"[108.0, 120.0]",2.4727022705229054,2.655447304369968,3,3,3,2.0943596572903074,2.2545133318137736,2,3,3,1.9477784965014266,1.9732486120221806,2,2,2
gf-mlp-cov1-factor1-s123-0035--encoder,independent_melt_197585375,9436,4,48.0,384.0,1.501448660310376,-0.5123457038309928,1.0,1,"[108.0, 120.0]",2.4881563814654166,2.7210075361175323,3,3,3,2.2511705043918795,2.4242634252702233,3,3,3,1.9809630355860879,1.9903977192663636,2,2,2
gf-mlp-cov1-factor1-s123-0035--encoder,independent_melt_197585375,11506,4,48.0,384.0,1.5371314415333415,-0.5372244397365369,1.0,1,"[108.0, 120.0]",2.7376283754369677,2.852826945408179,3,3,3,2.0954291714114266,2.3685530846595637,3,3,3,1.7975088274792308,1.8883688456244776,2,2,2
gf-mlp-cov1-factor1-s123-0035--encoder,independent_melt_197585375,16693,4,48.0,384.0,1.664731174525264,-0.6796875179460591,1.0,1,"[108.0, 120.0]",2.4648552562146215,2.6984940966854105,3,3,3,2.1382822183486314,2.3843440074908244,3,3,3,1.8271632684341954,1.9061306115436674,2,2,2
gf-mlp-cov1-factor1-s123-0035--encoder,independent_melt_197585375,25922,4,48.0,384.0,1.7247383844783026,-0.7262309361165159,1.0,1,"[108.0, 120.0]",2.3808652329823294,2.65118558835165,3,3,3,1.603194767630047,1.9351991424667738,2,3,3,1.4770752604680344,1.6550768662156192,2,2,2
gf-mlp-cov1-factor1-s123-0035--encoder,independent_melt_197585375,28583,4,48.0,384.0,1.397959217774971,-0.398741125716581,1.0,1,"[108.0, 120.0]",2.9370268266645385,2.9672044772425674,3,3,3,2.4181460520685265,2.621697709639629,3,3,3,1.9433845960263672,1.970937725843964,2,2,2
gf-mlp-cov1-factor1-s123-0035--encoder,independent_melt_197585375,29981,4,48.0,384.0,1.5224226236198062,-0.5432624715376495,1.0,1,"[108.0, 120.0]",2.4041454999111282,2.6616276016428206,3,3,3,1.8939234105510028,2.2661398392832752,3,3,3,1.5682997461654142,1.7304477888267427,2,2,2
gf-mlp-cov1-factor1-s123-0035--encoder,independent_melt_197585375,31041,4,48.0,384.0,1.2400889743423749,-0.24090456419431924,1.0,1,"[108.0, 120.0]",2.777799214981855,2.880067551532234,3,3,3,2.2321788409047794,2.4921766370893956,3,3,3,1.8338629876631465,1.910070540526581,2,2,2
gf-mlp-cov1-factor1-s123-0035--encoder,independent_melt_197585375,33821,4,48.0,384.0,0.8464154807877969,0.1544347723302421,0.0,1,"[108.0, 120.0]",1.6149236446147117,1.9927136777434722,3,3,3,2.382368603990435,2.563487210614507,3,3,3,1.7990072485669124,1.8892792006642671,2,2,2
gf-mlp-cov1-factor1-s123-0035--encoder,independent_melt_197585375,34368,4,48.0,384.0,1.2203857317342346,-0.24667461067598878,1.0,1,"[108.0, 120.0]",2.2129068631336257,2.5278063000599933,3,3,3,2.2455766714691845,2.5594807649028795,3,3,3,1.6788868080488704,1.8115909966173878,2,2,2
