model,domain,lag_ps,pairs,sources,rms_jump,domain_reference_rms_jump,p50_jump,p95_jump,p99_jump,zero_increment_fraction,velocity_rms,drift_energy_fraction,movement_participation_rank,movement_entropy_rank,movement_d90,movement_d95,movement_d99,movement_numerical_rank,movement_rank_ceiling,fluctuation_participation_rank,fluctuation_entropy_rank,fluctuation_d90,fluctuation_d95,fluctuation_d99,fluctuation_numerical_rank,fluctuation_rank_ceiling
gf-mlp-cov1-factor1-s123-0035--encoder,all,108.0,480,15,0.7506234627269683,0.7506234627269683,0.2906712629257431,1.4340266143316331,1.6624366671814939,0.0,0.04982448170253061,0.19993453017109636,1.9682441814459786,3.4119237171841594,3,7,45,128,128,2.345904462679362,4.1570600662062915,4,9,53,128,128
gf-mlp-cov1-factor1-s123-0035--encoder,all,120.0,240,15,0.5447132135472499,0.5447132135472499,0.23449657286328823,1.361086522217317,1.435123541400601,0.0,0.03254101343784556,0.12035408115722286,1.9833205163501824,4.122650885707048,6,13,57,128,128,2.1992408234844336,4.72090098725776,7,15,61,128,128
gf-mlp-cov1-factor1-s123-0035--encoder,noncrystalline,108.0,229,15,0.4808698411501345,0.9244615566813993,0.26353325141367334,1.0702123880484615,1.3700750819139826,0.0,0.031918920459322965,0.10732876167974047,2.4721693331132673,5.583603749699881,8,17,57,128,128,2.7997087879256126,6.401825927020426,9,19,59,128,128
gf-mlp-cov1-factor1-s123-0035--encoder,noncrystalline,120.0,208,15,0.41873569906647246,0.8050100527643724,0.22908400041884638,0.9276785363400183,1.3327787871504637,0.0,0.02501515232482197,0.09415064965997963,2.4013676023565234,5.679756872232045,9,21,66,128,128,2.669340615321953,6.432727568199161,10,24,68,128,128
gf-mlp-cov1-factor1-s123-0035--encoder,pre_onset_12ps,108.0,0,0,,,,,,,,,,,,,,,,,,,,,,
gf-mlp-cov1-factor1-s123-0035--encoder,pre_onset_12ps,120.0,0,0,,,,,,,,,,,,,,,,,,,,,,
gf-mlp-cov1-factor1-s123-0035--encoder,at_risk_no_onset_12ps,108.0,187,14,0.5394691884126781,1.444877205165619,0.2597570171094579,1.3700750819139826,1.553993222981579,0.0,0.03580859650922395,0.1577434768063688,2.1292548848426076,4.356510335482204,6,11,43,128,128,2.4804997215461757,5.21407913185314,6,13,47,128,128
gf-mlp-cov1-factor1-s123-0035--encoder,at_risk_no_onset_12ps,120.0,199,14,0.35152856735220794,0.9415099598666824,0.2206544466253827,0.8685888797682553,1.3408112392016367,0.0,0.02100021726938067,0.03634345664542077,3.5564460537018583,8.80776682028971,14,31,74,128,128,3.75032066669314,9.244693116252524,14,32,74,128,128
gf-mlp-cov1-factor1-s123-0035--encoder,T400K,108.0,96,3,0.24330012079988847,0.4019940884085052,0.22123828152123337,0.3475027196332401,0.6260614829416814,0.0,0.0161496449537801,0.004516218398427889,9.205621279405797,18.34482562644881,24,36,62,96,96,9.192115147392427,18.29973582142243,23,36,62,95,95
gf-mlp-cov1-factor1-s123-0035--encoder,T400K,120.0,48,3,0.22921047416121237,0.3787143849792945,0.2193841255094088,0.3045580813299669,0.309925241941472,0.0,0.01369296895003259,0.02261189747261447,10.746759705485271,17.419699224540288,19,28,41,48,48,10.687805963876086,17.293867308328558,19,27,40,47,47
