model,domain,lag_ps,pairs,sources,rms_jump,domain_reference_rms_jump,p50_jump,p95_jump,p99_jump,zero_increment_fraction,velocity_rms,drift_energy_fraction,movement_participation_rank,movement_entropy_rank,movement_d90,movement_d95,movement_d99,movement_numerical_rank,movement_rank_ceiling,fluctuation_participation_rank,fluctuation_entropy_rank,fluctuation_d90,fluctuation_d95,fluctuation_d99,fluctuation_numerical_rank,fluctuation_rank_ceiling
gf-mlp-cov1-factor1-s123-0035--encoder,T450K,108.0,96,3,0.8569887664224373,0.860880840849864,0.5081403135192157,1.4345087967479195,1.6624366671814939,0.0,0.056884740795026735,0.3243486223065208,1.7532169234147033,2.8039663397597874,3,5,24,96,96,2.283876734850043,3.7663797846765763,3,7,30,95,95
gf-mlp-cov1-factor1-s123-0035--encoder,T450K,120.0,48,3,0.46669275594863896,0.4688122737440422,0.21550809826339676,1.2670289828773702,1.4652112538148905,0.0,0.027880093349989036,0.09019715292452406,1.875834661230625,3.7989546920953834,6,12,31,48,48,1.9902563844717778,4.113363508425968,7,13,31,47,47
gf-mlp-cov1-factor1-s123-0035--encoder,T500K,108.0,96,3,0.7811296711130549,0.7920973965577524,0.44368947894092897,1.553993222981579,1.638270573735529,0.0,0.051849406444456805,0.2019855060763725,2.1228274230849595,3.508213591477767,3,6,28,96,96,2.560092990549081,4.22912741457326,4,8,31,95,95
gf-mlp-cov1-factor1-s123-0035--encoder,T500K,120.0,48,3,0.8255040632915795,0.8370948429719406,0.2592255927579578,1.4240848979146006,1.5947222283626676,0.0,0.049315379448266784,0.30797602517808714,1.524219109620353,2.4169020184360823,2,4,18,48,48,1.8495137265270774,3.132029750560152,3,7,23,47,47
gf-mlp-cov1-factor1-s123-0035--encoder,T510K,108.0,96,3,0.8505839056297047,0.8437716537250212,0.5212871540260051,1.439839644358315,1.7147097424213733,0.0,0.05645960237980131,0.26396498185076955,1.908130050304426,3.011335909038856,3,5,23,96,96,2.3871366501485554,3.7972467665602703,3,6,28,95,95
gf-mlp-cov1-factor1-s123-0035--encoder,T510K,120.0,48,3,0.688491657180624,0.682977587878413,0.26131827164023025,1.3849016024377199,1.426908533163105,0.0,0.04113029702778789,0.24926963070149477,1.6157755067501978,2.7615362657011064,3,6,24,48,48,1.893681301149339,3.439797268814886,4,8,27,47,47
gf-mlp-cov1-factor1-s123-0035--encoder,T520K,108.0,96,3,0.8306001901132453,0.8289891359428442,0.27114947395720057,1.618792260577576,1.753159725162707,0.0,0.05513313402710532,0.25385416276518935,1.6656436758315472,2.638459730010402,2,4,24,96,96,1.990127793463344,3.2720735629620368,3,6,29,95,95
gf-mlp-cov1-factor1-s123-0035--encoder,T520K,120.0,48,3,0.24030217357836248,0.23983607710558524,0.2354894344927035,0.33072727985151407,0.40478470759741386,0.0,0.01435558393862735,0.03803238867245072,7.678132154478735,14.700979287990922,19,27,41,48,48,7.751339967757853,14.699733652798628,19,27,40,47,47
gf-mlp-cov1-factor1-s123-0035--projector,all,108.0,480,15,0.8209736529719265,0.8209736529719265,0.2490929758412914,1.7546677556566237,2.016672373153433,0.0,0.13362856511866145,0.06828246878045388,3.152062217770695,3.8566163366578894,3,4,6,115,128,3.038940992867458,3.8081639076084564,3,4,6,115,128
gf-mlp-cov1-factor1-s123-0035--projector,all,120.0,240,15,0.4908670645470273,0.4908670645470272,0.15015886430599412,1.1888970137092738,1.6332518873744821,0.0,0.07190788052184235,0.06562847053131321,3.627673143834846,4.541307981389198,4,5,7,116,128,3.8320903859357167,4.703496106392169,4,5,7,116,128
gf-mlp-cov1-factor1-s123-0035--projector,noncrystalline,108.0,229,15,0.6598603850719049,0.9902273925732089,0.19564205444836327,1.3618461581989143,1.8308826260393884,0.0,0.10740441683677426,0.06763400529666065,2.670109916963249,3.6360663716808954,3,5,7,113,128,2.7769998273861876,3.748921122989894,3,5,7,113,128
gf-mlp-cov1-factor1-s123-0035--projector,noncrystalline,120.0,208,15,0.5121748783713729,0.7686013675391633,0.1463036837590509,1.4489178223745551,1.592540710805086,0.0,0.07502929534334117,0.09931268120794651,1.5666135676998207,2.2992442847020924,3,4,7,97,128,1.6465817924302057,2.4425309715777477,3,4,7,97,128
gf-mlp-cov1-factor1-s123-0035--projector,pre_onset_12ps,108.0,0,0,,,,,,,,,,,,,,,,,,,,,,
gf-mlp-cov1-factor1-s123-0035--projector,pre_onset_12ps,120.0,0,0,,,,,,,,,,,,,,,,,,,,,,
gf-mlp-cov1-factor1-s123-0035--projector,at_risk_no_onset_12ps,108.0,187,14,0.6511201365913317,1.4811128024935667,0.16655187393820126,1.3618461581989143,1.7250396617435093,0.0,0.10598178060598709,0.09739386474398944,3.148094264085831,3.934546214921575,3,4,7,107,128,3.3670366751452145,4.118098150143893,4,4,7,107,128
gf-mlp-cov1-factor1-s123-0035--projector,at_risk_no_onset_12ps,120.0,199,14,0.3130467849084087,0.712092246654481,0.12887220547520842,0.8922932317173682,1.274138075496067,0.0,0.04585871090722594,0.02778073938548605,3.33265528679417,4.534476682941892,4,5,8,92,128,3.4262021488947343,4.617439863151951,4,5,9,92,128
gf-mlp-cov1-factor1-s123-0035--projector,T400K,108.0,96,3,0.22316609539582205,0.3833014053067233,0.12296071427376758,0.47766570154726734,0.9345696382047706,0.0,0.03632438751587777,0.005650706991550064,2.2078410130077377,3.428343981677712,4,5,8,82,96,2.1894693743515323,3.4083740460887246,4,5,8,82,95
gf-mlp-cov1-factor1-s123-0035--projector,T400K,120.0,48,3,0.15793646056450142,0.27126552165628215,0.12881484357756642,0.26718848068286327,0.44285518581162187,0.0,0.023136358001111718,0.02118038680043862,2.2069613698998127,3.2868226033718453,3,5,8,48,48,2.201200928211804,3.273040062773551,3,5,8,47,47
gf-mlp-cov1-factor1-s123-0035--projector,T450K,108.0,96,3,0.8798453698037205,0.850482252415036,0.842682123417034,1.7026640355757259,2.016672373153433,0.0,0.14321102007056694,0.1285858667447684,3.4635382695868215,3.9603689489251805,3,4,6,96,96,3.267891083559885,3.8912577186790065,3,4,6,95,95
gf-mlp-cov1-factor1-s123-0035--projector,T450K,120.0,48,3,0.5279702702680434,0.51035029571834,0.1416418746396803,1.3679709243003888,1.720294094154984,0.0,0.07734318689430436,0.07198664660497224,2.0353668749790215,2.712329136538283,3,3,6,48,48,2.0824080758235874,2.7811844255619707,3,3,6,47,47
gf-mlp-cov1-factor1-s123-0035--projector,T500K,108.0,96,3,0.9803444699788848,0.8762192591725173,0.5909719789140535,1.9464890102164671,2.3190971033790144,0.0,0.15956909746258655,0.07500037244514438,2.6343617738521177,3.4262876646924707,3,4,6,96,96,2.5492524114256483,3.3843386911002744,3,4,6,95,95
gf-mlp-cov1-factor1-s123-0035--projector,T500K,120.0,48,3,0.7129097502855808,0.6371895516129654,0.22229351050553492,1.4489178223745551,1.7449940240915172,0.0,0.1044352592563902,0.16817809604694597,3.357222127305042,3.9883162305657445,3,4,6,48,48,3.6886790650003314,4.270207055912501,4,4,7,47,47
gf-mlp-cov1-factor1-s123-0035--projector,T510K,108.0,96,3,0.9498537632948657,0.9786282022311756,0.8845288941593009,1.8387875291784164,2.0260254204938595,0.0,0.15460617402540924,0.08328892444355258,3.1304682988236334,3.6543883308258,3,4,6,96,96,2.9346110563939045,3.535944109762532,3,4,6,95,95
gf-mlp-cov1-factor1-s123-0035--projector,T510K,120.0,48,3,0.6010081960931594,0.6192148656953472,0.17000642131187058,1.2352795301039983,1.4665819324134783,0.0,0.0880426263619781,0.15632667543911072,2.918882370668242,3.892307102668159,4,4,7,48,48,3.3683285247807486,4.265396763144509,4,5,7,47,47
gf-mlp-cov1-factor1-s123-0035--projector,T520K,108.0,96,3,0.8262930848116082,0.7817577069461431,0.19081185219336452,1.8688932645766863,2.105767366843916,0.0,0.1344944005098582,0.13329446315105398,2.0648988527042444,2.754312037402975,3,3,5,96,96,2.0597961086795205,2.8072628261113173,3,3,6,95,95
gf-mlp-cov1-factor1-s123-0035--projector,T520K,120.0,48,3,0.1777770502599285,0.16819525869629848,0.15180510137114261,0.2683424472595373,0.44945226798827353,0.0,0.02604283687562782,0.03815443428972744,2.2020873625912123,3.1345181643775852,3,5,7,48,48,2.1627677645666874,3.1179948302143057,3,5,8,47,47
gf-mlp-cov1-factor1-s456-0035--encoder,all,108.0,480,15,0.788564892495476,0.788564892495476,0.2127837792984437,1.92497187279586,2.398894492771396,0.0,0.048090781508844514,0.11162247562474707,3.0318666862396184,4.5286973379891515,4,6,32,128,128,3.17595742651461,4.827526073769447,4,6,36,128,128
gf-mlp-cov1-factor1-s456-0035--encoder,all,120.0,240,15,0.463790493213263,0.46379049321326293,0.16688241118033278,1.1012431264829854,2.0059117666121273,0.0,0.02545591712049697,0.09626507480224894,2.6974338599835033,5.24983261088527,6,10,49,128,128,3.0280335194711765,5.85892443680466,6,12,52,128,128
gf-mlp-cov1-factor1-s456-0035--encoder,noncrystalline,108.0,229,15,0.40714267158690354,1.088687579480903,0.1880908147832849,0.8403003974920581,1.6137345149782087,0.0,0.024829674068105115,0.0737557350036554,3.2406593930743224,6.098768623668355,7,14,49,128,128,3.489348412278083,6.552865356990436,7,15,51,128,128
gf-mlp-cov1-factor1-s456-0035--encoder,noncrystalline,120.0,208,15,0.30682973278765596,0.820453719084233,0.1655906596676991,0.6309288074032298,1.052609953810748,0.0,0.016840863196295117,0.08899395632342888,2.5725248911922014,5.933458602320987,9,20,65,128,128,2.8635197290414,6.667837926886235,10,22,67,128,128
gf-mlp-cov1-factor1-s456-0035--encoder,pre_onset_12ps,108.0,0,0,,,,,,,,,,,,,,,,,,,,,,
gf-mlp-cov1-factor1-s456-0035--encoder,pre_onset_12ps,120.0,0,0,,,,,,,,,,,,,,,,,,,,,,
gf-mlp-cov1-factor1-s456-0035--encoder,at_risk_no_onset_12ps,108.0,187,14,0.4493882726521495,1.6418546946589314,0.1800044019063704,1.062026777674015,1.5080655269446932,0.0,0.027406030167486255,0.11140767499424302,2.872035203474814,5.173538309305129,6,9,37,128,128,3.1771806944702567,5.712508966560429,6,10,39,128,128
gf-mlp-cov1-factor1-s456-0035--encoder,at_risk_no_onset_12ps,120.0,199,14,0.2658079270970722,0.9711379213486905,0.15977656404631077,0.6121164749333201,1.0738698823418127,0.0,0.014589312763344657,0.034969245055191965,3.5372994509578213,8.338080995409978,12,28,72,128,128,3.7222234877699245,8.722122469900388,12,29,73,128,128
gf-mlp-cov1-factor1-s456-0035--encoder,T400K,108.0,96,3,0.17209716066380407,0.27392477383724423,0.15679680678396987,0.25064175704901237,0.4163676712717138,0.0,0.010495378415319185,0.005117739472610421,9.203440465889063,18.795266891186067,24,38,64,96,96,9.153218786277177,18.70904875773216,24,37,64,95,95
gf-mlp-cov1-factor1-s456-0035--encoder,T400K,120.0,48,3,0.16272583020551243,0.2590085511265373,0.15450439799828347,0.2219590154073013,0.23084259324716316,0.0,0.008931479423772563,0.023337304480232923,10.426372982601546,17.753329991941968,21,29,41,48,48,10.523983775921275,17.768918741234312,20,28,41,47,47
gf-mlp-cov1-factor1-s456-0035--encoder,T450K,108.0,96,3,0.7923879785540721,0.7889136369158226,0.4501832917098084,1.6041526051152897,2.4911602895973926,0.0,0.04832393314681768,0.2185877782165237,2.7725262425678414,4.122075631437373,4,5,21,96,96,3.3938252145535492,4.8638684546093796,4,6,25,95,95
gf-mlp-cov1-factor1-s456-0035--encoder,T450K,120.0,48,3,0.49514118156863157,0.4929701622315197,0.1644805493113649,1.017239886354413,2.0531401048270044,0.0,0.027176652099162913,0.06930550852457598,1.6091320640300444,2.7172331929109164,3,6,22,48,48,1.646394153138354,2.815036838071266,3,6,23,47,47
gf-mlp-cov1-factor1-s456-0035--encoder,T500K,108.0,96,3,0.9383189309623171,0.8849585015069139,0.3709525441681068,2.0440952739274,2.391642508684538,0.0,0.05722356032326184,0.10635532839743109,2.904613592476222,4.349849097099774,4,5,18,96,96,2.9764264539728362,4.536818114236463,4,6,20,95,95
gf-mlp-cov1-factor1-s456-0035--encoder,T500K,120.0,48,3,0.7057622411996576,0.6656268724661304,0.21619351158378813,1.1578153321699067,2.1407086632612753,0.0,0.03873694131650413,0.2467340618471887,2.1924070348696105,3.426186370485819,3,5,16,48,48,2.7911220229124094,4.253398499998479,4,6,19,47,47
gf-mlp-cov1-factor1-s456-0035--encoder,T510K,108.0,96,3,0.8697963517035636,0.8513392932799431,0.48074229156719683,2.183186575093834,2.507310177847326,0.0,0.053044697659053,0.1506816412315569,2.7126362179635213,3.772874672638264,3,5,18,96,96,2.720448032037382,3.966011815897188,3,5,20,95,95
gf-mlp-cov1-factor1-s456-0035--encoder,T510K,120.0,48,3,0.5263898850598119,0.5152199038991377,0.1818599971327608,1.0983068471215554,1.106922787097206,0.0,0.028891789467941825,0.22791092392279305,1.826237813341762,3.1704435594435982,4,6,22,48,48,2.1883750113145233,3.9213183336291735,4,8,25,47,47
gf-mlp-cov1-factor1-s456-0035--encoder,T520K,108.0,96,3,0.9026010732750993,0.8841226260334519,0.19149887256678133,2.1593415277113905,2.5456618166596905,0.0,0.055045299908238546,0.15656047133954853,2.4249347119247635,3.4516418908689492,3,4,16,96,96,2.6070311289729933,3.7461376638679096,3,4,18,95,95
gf-mlp-cov1-factor1-s456-0035--encoder,T520K,120.0,48,3,0.16934275974280494,0.16587590008097441,0.15977656404631077,0.22925250070181197,0.26484585320008125,0.0,0.009294660671250255,0.043164057122841895,7.972323989480899,15.135682732801339,19,27,41,48,48,8.198368403338312,15.331980095855505,19,27,40,47,47
gf-mlp-cov1-factor1-s456-0035--projector,all,108.0,480,15,0.821274457499932,0.821274457499932,0.16209055953070656,1.8767567539787307,2.776583012325444,0.0,0.14514468419430518,0.040219437026602904,4.295148249800524,4.997542621032184,4,5,7,124,128,4.147397326288132,4.897374450504011,4,5,7,124,128
gf-mlp-cov1-factor1-s456-0035--projector,all,120.0,240,15,0.5243793941852805,0.5243793941852805,0.06453704831550483,1.110518639643634,2.6927007532199005,0.0,0.08340670135881695,0.04780689524790269,3.9155335385830172,4.476081012924866,4,4,6,113,128,3.970352923786289,4.524839519222725,4,4,6,113,128
gf-mlp-cov1-factor1-s456-0035--projector,noncrystalline,108.0,229,15,0.5115289840716601,0.8807596724879349,0.14711935234587817,1.0998576101688935,1.188151373507362,0.0,0.09040304635228598,0.08232052207496732,1.6445714419755029,2.4309524233206736,3,4,6,113,128,1.6985440957748787,2.5292448116245976,3,4,7,113,128
gf-mlp-cov1-factor1-s456-0035--projector,noncrystalline,120.0,208,15,0.4243880827698034,0.730718923907059,0.06238571212701905,1.2397543056759561,1.2579962624963514,0.0,0.06750229027366211,0.11790909214240562,1.2619134115654485,1.6304487866898891,2,3,4,87,128,1.3017595583017676,1.7083820988056124,2,3,4,87,128
gf-mlp-cov1-factor1-s456-0035--projector,pre_onset_12ps,108.0,0,0,,,,,,,,,,,,,,,,,,,,,,
gf-mlp-cov1-factor1-s456-0035--projector,pre_onset_12ps,120.0,0,0,,,,,,,,,,,,,,,,,,,,,,
gf-mlp-cov1-factor1-s456-0035--projector,at_risk_no_onset_12ps,108.0,187,14,0.47828012735101905,1.329619599379393,0.1393874629262329,1.1210366393519626,1.3167236694541777,0.0,0.08452694151976774,0.16272205876538945,1.9490552761941327,2.802746671451578,3,4,6,98,128,2.1848596387394457,3.1125668526495125,3,5,7,99,128
gf-mlp-cov1-factor1-s456-0035--projector,at_risk_no_onset_12ps,120.0,199,14,0.26374713202697886,0.7332174931989219,0.05673560050699989,0.6772911955954892,1.266653451423015,0.0,0.0419510730573177,0.041340557510046394,1.907958995875522,2.639498299840273,3,4,5,83,128,1.9600536403844637,2.7039139550539177,3,4,5,83,128
gf-mlp-cov1-factor1-s456-0035--projector,T400K,108.0,96,3,0.12543703215095012,0.2272886436049497,0.05261692287097017,0.19005503039839225,0.7140375011856424,0.0,0.022168616412646763,0.014090738594824044,2.0999729465166026,2.483418259780052,2,2,6,72,96,2.110746204513066,2.4940146270333825,2,3,6,72,95
gf-mlp-cov1-factor1-s456-0035--projector,T400K,120.0,48,3,0.07307251740706296,0.13240550323499195,0.05552638167269957,0.12440940341027057,0.23835755829555705,0.0,0.01162276341231361,0.026045008325428998,1.177800431938955,1.5321792771425644,1,2,7,48,48,1.1785183245511353,1.5343724604298372,1,2,8,47,47
gf-mlp-cov1-factor1-s456-0035--projector,T450K,108.0,96,3,0.8608847331044545,0.8700993202282391,0.6752899379901277,2.0297867474172886,2.776583012325444,0.0,0.15214504916482818,0.08588935235999874,3.3790732766976013,3.9849340830023205,4,4,6,96,96,3.096489383925404,3.78441672667876,4,4,6,95,95
gf-mlp-cov1-factor1-s456-0035--projector,T450K,120.0,48,3,0.6328331764944947,0.6396067853359495,0.05887154492038321,1.1761438000927584,2.7496559172556614,0.0,0.10065713555322889,0.05286246744719248,1.5559146262812482,1.8941009076984376,2,2,4,48,48,1.5318718256562873,1.8767905825572047,2,2,4,47,47
gf-mlp-cov1-factor1-s456-0035--projector,T500K,108.0,96,3,1.0995019766294256,0.9619494557008422,0.41641228592446833,2.615870558647824,4.2278254014154415,0.0,0.19431612137883336,0.04506659444282679,4.037877966856218,4.739579665820187,4,5,6,96,96,3.933436250785065,4.660348749836213,4,5,6,95,95
gf-mlp-cov1-factor1-s456-0035--projector,T500K,120.0,48,3,0.8201270953092183,0.7175255976862258,0.1559286115095353,1.2579962624963514,4.13433513185002,0.0,0.13044771871901698,0.09663688027183527,2.778301832106914,3.569771964090353,4,4,6,48,48,2.5766766132698633,3.4545932962699615,4,4,6,47,47
gf-mlp-cov1-factor1-s456-0035--projector,T510K,108.0,96,3,0.8503853050344106,0.8465637680205647,0.6594898268762296,1.799322416779314,2.515050758873622,0.0,0.15028947438403395,0.05704129032025772,3.3599830645657627,4.083696573892848,4,4,6,96,96,3.151540224915647,3.921474382307205,4,4,6,95,95
gf-mlp-cov1-factor1-s456-0035--projector,T510K,120.0,48,3,0.5343567960118765,0.5319554559811043,0.08929354452147645,1.1960883932263568,1.266653451423015,0.0,0.08499368624745995,0.1928813329384763,1.7741295742946854,2.4395809065610705,2,3,6,48,48,1.9655355571694737,2.7041251182323074,3,4,6,47,47
gf-mlp-cov1-factor1-s456-0035--projector,T520K,108.0,96,3,0.826765950164489,0.7477120713829488,0.14391211526018502,1.9684068816972198,2.787968809137948,0.0,0.1461152013719352,0.07779611842571117,3.2626934037727953,3.890967771002806,4,4,6,96,96,3.2165683509120724,3.860771515396245,4,4,6,95,95
gf-mlp-cov1-factor1-s456-0035--projector,T520K,120.0,48,3,0.10443028896769775,0.09444485185150897,0.06422216922520663,0.19013451244296678,0.284031532506801,0.0,0.016610465669187086,0.004805577369210034,1.0613629741495385,1.2086507174144119,1,1,4,48,48,1.0575745278400417,1.1986315003606416,1,1,4,47,47
gf-visreg-mlp-factor1-s123-0035--encoder,all,108.0,480,15,0.7289240830800142,0.7289240830800143,0.3055595643051225,1.4898318777875053,1.6043099315790041,0.0,0.03840747334847062,0.20126207593956136,1.916367686831122,3.366479689154521,3,7,39,128,128,2.266938364069423,4.1082416651353615,4,9,47,128,128
gf-visreg-mlp-factor1-s123-0035--encoder,all,120.0,240,15,0.5408889541074714,0.5408889541074713,0.2794200128011712,1.339248411995313,1.4990291686806252,0.0,0.02564980457419736,0.12025257508613209,2.1696220736952974,4.645659440564813,6,12,52,128,128,2.4457019048753788,5.368919078003724,7,14,56,128,128
gf-visreg-mlp-factor1-s123-0035--encoder,noncrystalline,108.0,229,15,0.46779830993754273,0.8980477211432646,0.28969032876902717,0.8818508059495382,1.37857527938804,0.0,0.024648590351779517,0.12006629993734975,2.3765863042382014,5.469420563495448,8,16,53,128,128,2.7238045569771305,6.393404336652048,9,18,56,128,128
gf-visreg-mlp-factor1-s123-0035--encoder,noncrystalline,120.0,208,15,0.43240725634311006,0.8301063576236252,0.2779878801735838,0.8634414970935586,1.2816628270848747,0.0,0.020505431914333173,0.09319733082411755,2.667221086119781,6.18994220107323,9,18,59,128,128,3.008666220910312,7.022942307538817,10,20,62,128,128
gf-visreg-mlp-factor1-s123-0035--encoder,pre_onset_12ps,108.0,0,0,,,,,,,,,,,,,,,,,,,,,,
gf-visreg-mlp-factor1-s123-0035--encoder,pre_onset_12ps,120.0,0,0,,,,,,,,,,,,,,,,,,,,,,
gf-visreg-mlp-factor1-s123-0035--encoder,at_risk_no_onset_12ps,108.0,187,14,0.5053409065455673,1.27791855960165,0.27701280541682183,1.1902477497373622,1.4550331226217073,0.0,0.026626733634633307,0.16264734373777287,2.0826602760725255,4.443813989258406,7,12,42,128,128,2.441963396988287,5.407347624209979,8,14,46,128,128
gf-visreg-mlp-factor1-s123-0035--encoder,at_risk_no_onset_12ps,120.0,199,14,0.3776501085669443,0.9550109174266083,0.26806721981200415,0.849580196543188,1.4099919435877155,0.0,0.017908761879137692,0.03472314700970348,3.928339251725051,8.903146927064371,11,23,66,128,128,4.158662375476418,9.322118623921716,11,24,67,128,128
gf-visreg-mlp-factor1-s123-0035--encoder,T400K,108.0,96,3,0.25809090803749657,0.430267327458002,0.24793912449209995,0.3686738252746007,0.5622301681176729,0.0,0.013598974024904894,0.002987854510685048,9.110909551479576,16.806383527054724,20,32,59,96,96,9.098123672145483,16.76291473242827,20,31,58,95,95
gf-visreg-mlp-factor1-s123-0035--encoder,T400K,120.0,48,3,0.24966749578347494,0.41622452716653136,0.23749485019189154,0.3263121283492583,0.3711800751166381,0.0,0.011839625170276551,0.016841703496664757,8.116865198161047,14.54901483693278,17,25,39,48,48,8.047451922734005,14.386544804608553,16,24,39,47,47
gf-visreg-mlp-factor1-s123-0035--encoder,T450K,108.0,96,3,0.8576436524800843,0.8446877542050003,0.5195256011139503,1.506371748501981,1.6271626015072058,0.0,0.04518978929318489,0.33463046424633486,1.6870898978727455,2.684035822051234,2,5,21,96,96,2.158101535529417,3.6163183605927287,4,7,28,95,95
gf-visreg-mlp-factor1-s123-0035--encoder,T450K,120.0,48,3,0.43410493499149166,0.42754717716025487,0.2945781336954379,0.9975560305733961,1.101210556314386,0.0,0.020585938504882117,0.07480322314059651,2.952885949334606,6.004116948988418,8,13,31,48,48,3.185773190553915,6.419468519331774,8,14,31,47,47
gf-visreg-mlp-factor1-s123-0035--encoder,T500K,108.0,96,3,0.7114712839565316,0.719717968802434,0.3971712270682996,1.450170194964141,1.6043099315790041,0.0,0.03748787426709716,0.19265867020320843,2.1413072940660856,3.6446880146622176,3,7,27,96,96,2.583870971352669,4.40069106522474,4,9,30,95,95
gf-visreg-mlp-factor1-s123-0035--encoder,T500K,120.0,48,3,0.8167268916054318,0.8261935973349845,0.406158100533248,1.4990291686806252,1.5264857817893382,0.0,0.0387304732350082,0.3210821376845133,1.5472773941804245,2.5155318321804017,3,5,18,48,48,1.8909926644516855,3.3138257099878077,4,7,22,47,47
gf-visreg-mlp-factor1-s123-0035--encoder,T510K,108.0,96,3,0.8530067319150597,0.8452811815752035,0.5522264507353835,1.524927483294426,1.655385179884312,0.0,0.0449454670007074,0.2792342904486408,1.8126342161215079,2.8389811418601574,3,4,21,96,96,2.257816277858566,3.603185657462963,3,7,26,95,95
gf-visreg-mlp-factor1-s123-0035--encoder,T510K,120.0,48,3,0.6848112842426055,0.6786090541173635,0.3032128671704334,1.4099919435877155,1.4891940966421362,0.0,0.03247482773985035,0.25592988742104184,1.7196722852174884,3.041953423381534,4,7,22,48,48,2.077057527552228,3.879774957138732,5,9,25,47,47
gf-visreg-mlp-factor1-s123-0035--encoder,T520K,108.0,96,3,0.7878300390515917,0.805449804905307,0.31002550937423173,1.54591752824859,1.6311756907469792,0.0,0.04151126561787241,0.2417302285433156,1.6680118867406666,2.7457180721471692,3,6,23,96,96,1.9510932036857662,3.3751882663048844,4,8,28,95,95
gf-visreg-mlp-factor1-s123-0035--encoder,T520K,120.0,48,3,0.27570643780139603,0.28187259374572965,0.266215327970378,0.35514625691359875,0.38488064378855974,0.0,0.013074432738459624,0.019124389537183137,7.620967569395777,12.862463630389293,14,23,38,48,48,7.5705037193476965,12.733706677004,14,22,38,47,47
gf-visreg-mlp-factor1-s123-0035--projector,all,108.0,480,15,0.7528174032118635,0.7528174032118634,0.3322855090906768,1.3898804314869413,1.545161172472345,0.0,0.12124558958914937,0.14710002676055003,2.6196315834641566,3.2995763619567233,3,4,6,111,128,2.798147803149588,3.522565813189531,3,4,6,112,128
